B19301H_001E,B19301H_001M,B19301H_001M,B19301H_001EA,B19301H_001MA,state
35458,314,314,null,null,12
34632,451,451,null,null,13
46962,1757,1757,null,null,15
27772,737,737,null,null,16
39377,313,313,null,null,17
29709,279,279,null,null,18
31891,408,408,null,null,19
32168,416,416,null,null,20
27446,357,357,null,null,21
31660,497,497,null,null,22
30398,556,556,null,null,23
46710,525,525,null,null,24
45259,399,399,null,null,25
31998,234,234,null,null,26
37992,359,359,null,null,27
28229,571,571,null,null,28
30524,362,362,null,null,29
31086,849,849,null,null,30
33197,456,456,null,null,31
36684,723,723,null,null,32
37421,709,709,null,null,33
47605,422,422,null,null,34
36056,897,897,null,null,35
44432,339,339,null,null,36
33210,369,369,null,null,37
35883,1063,1063,null,null,38
31695,257,257,null,null,39
29913,357,357,null,null,40
34043,354,354,null,null,41
34547,205,205,null,null,42
38096,991,991,null,null,44
32334,507,507,null,null,45
31960,963,963,null,null,46
29850,337,337,null,null,47
40228,263,263,null,null,48
29582,455,455,null,null,49
32738,731,731,null,null,50
41488,367,367,null,null,51
39645,420,420,null,null,53
25325,510,510,null,null,54
33672,325,325,null,null,55
31727,908,908,null,null,56
20062,4261,4261,null,null,72
29671,442,442,null,null,01
41924,1207,1207,null,null,02
36002,472,472,null,null,04
27221,424,424,null,null,05
48642,296,296,null,null,06
40565,459,459,null,null,08
49110,629,629,null,null,09
36766,895,895,null,null,10
82061,3188,3188,null,null,11
