B22005F_001E,B22005F_001M,B22005F_002E,B22005F_002M,B22005F_003E,B22005F_003M,B22005F_001M,B22005F_001EA,B22005F_001MA,B22005F_002M,B22005F_002EA,B22005F_002MA,B22005F_003M,B22005F_003EA,B22005F_003MA,state
155110,6741,36790,3855,118320,6900,6741,null,null,3855,null,null,6900,null,null,12
74279,5675,16766,3140,57513,4793,5675,null,null,3140,null,null,4793,null,null,13
2476,691,331,313,2145,662,691,null,null,313,null,null,662,null,null,15
16329,1899,4832,1437,11497,1731,1899,null,null,1437,null,null,1731,null,null,16
214464,6607,53010,3854,161454,6457,6607,null,null,3854,null,null,6457,null,null,17
42437,3160,10188,1653,32249,3205,3160,null,null,1653,null,null,3205,null,null,18
11840,1560,2520,825,9320,1492,1560,null,null,825,null,null,1492,null,null,19
20091,2347,2968,980,17123,2015,2347,null,null,980,null,null,2015,null,null,20
9313,1474,1667,588,7646,1403,1474,null,null,588,null,null,1403,null,null,21
20095,2374,2842,1020,17253,2305,2374,null,null,1020,null,null,2305,null,null,22
685,308,251,194,434,256,308,null,null,194,null,null,256,null,null,23
54131,3403,8147,1728,45984,3160,3403,null,null,1728,null,null,3160,null,null,24
90234,5020,31145,3098,59089,4391,5020,null,null,3098,null,null,4391,null,null,25
34198,2703,9760,1587,24438,2159,2703,null,null,1587,null,null,2159,null,null,26
27541,2053,4891,1093,22650,2086,2053,null,null,1093,null,null,2086,null,null,27
7537,1348,1653,756,5884,1259,1348,null,null,756,null,null,1259,null,null,28
17504,2092,3216,910,14288,2155,2092,null,null,910,null,null,2155,null,null,29
968,480,240,208,728,403,480,null,null,208,null,null,403,null,null,30
10354,1717,1735,714,8619,1564,1717,null,null,714,null,null,1564,null,null,31
73943,4192,18719,2035,55224,3776,4192,null,null,2035,null,null,3776,null,null,32
2583,830,229,256,2354,772,830,null,null,256,null,null,772,null,null,33
151413,6087,40935,3604,110478,5682,6087,null,null,3604,null,null,5682,null,null,34
68705,3889,17979,2319,50726,3602,3889,null,null,2319,null,null,3602,null,null,35
502697,10946,176350,7047,326347,10337,10946,null,null,7047,null,null,10337,null,null,36
77260,4385,15339,2588,61921,4188,4385,null,null,2588,null,null,4188,null,null,37
1015,641,428,468,587,320,641,null,null,468,null,null,320,null,null,38
32459,2878,9132,1599,23327,2485,2878,null,null,1599,null,null,2485,null,null,39
28291,2039,4441,931,23850,2147,2039,null,null,931,null,null,2147,null,null,40
28528,2619,7409,1588,21119,2232,2619,null,null,1588,null,null,2232,null,null,41
73961,4091,29772,3019,44189,3423,4091,null,null,3019,null,null,3423,null,null,42
16782,1905,7437,1397,9345,1720,1905,null,null,1397,null,null,1720,null,null,44
21295,2668,4633,1380,16662,2307,2668,null,null,1380,null,null,2307,null,null,45
1515,502,313,277,1202,466,502,null,null,277,null,null,466,null,null,46
16998,1933,4981,1001,12017,1629,1933,null,null,1001,null,null,1629,null,null,47
453839,10991,86493,5079,367346,10086,10991,null,null,5079,null,null,10086,null,null,48
40813,2991,3742,1069,37071,2751,2991,null,null,1069,null,null,2751,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
56514,3408,8509,1988,48005,3291,3408,null,null,1988,null,null,3291,null,null,51
88533,3712,20459,2716,68074,3882,3712,null,null,2716,null,null,3882,null,null,53
2177,696,612,348,1565,649,696,null,null,348,null,null,649,null,null,54
34775,2687,10241,1670,24534,2411,2687,null,null,1670,null,null,2411,null,null,55
1650,800,84,109,1566,792,800,null,null,109,null,null,792,null,null,56
200125,6763,87141,4545,112984,5055,6763,null,null,4545,null,null,5055,null,null,72
16541,2001,3106,1005,13435,1876,2001,null,null,1005,null,null,1876,null,null,01
2547,719,429,312,2118,637,719,null,null,312,null,null,637,null,null,02
156519,5734,38590,2827,117929,5248,5734,null,null,2827,null,null,5248,null,null,04
22001,1837,4042,1286,17959,2017,1837,null,null,1286,null,null,2017,null,null,05
1364663,15288,239275,7229,1125388,15211,15288,null,null,7229,null,null,15211,null,null,06
67693,4228,11391,1702,56302,4059,4228,null,null,1702,null,null,4059,null,null,08
54843,4171,20753,2670,34090,3780,4171,null,null,2670,null,null,3780,null,null,09
3737,1136,885,552,2852,943,1136,null,null,552,null,null,943,null,null,10
11190,1387,2525,1000,8665,1460,1387,null,null,1000,null,null,1460,null,null,11
