B13002H_001E,B13002H_001M,B13002H_002E,B13002H_002M,B13002H_003E,B13002H_003M,B13002H_004E,B13002H_004M,B13002H_005E,B13002H_005M,B13002H_006E,B13002H_006M,B13002H_007E,B13002H_007M,B13002H_001M,B13002H_001EA,B13002H_001MA,B13002H_002M,B13002H_002EA,B13002H_002MA,B13002H_003M,B13002H_003EA,B13002H_003MA,B13002H_004M,B13002H_004EA,B13002H_004MA,B13002H_005M,B13002H_005EA,B13002H_005MA,B13002H_006M,B13002H_006EA,B13002H_006MA,B13002H_007M,B13002H_007EA,B13002H_007MA,state
2157975,4699,93689,4416,62655,3529,31034,3220,2064286,5889,881339,11271,1182947,11851,4699,null,null,4416,null,null,3529,null,null,3220,null,null,5889,null,null,11271,null,null,11851,null,null,12
1248530,4347,66609,4487,49733,3969,16876,2242,1181921,5534,591082,9080,590839,8694,4347,null,null,4487,null,null,3969,null,null,2242,null,null,5534,null,null,9080,null,null,8694,null,null,13
63126,863,3793,844,3290,804,503,321,59333,1216,30738,2057,28595,2286,863,null,null,844,null,null,804,null,null,321,null,null,1216,null,null,2057,null,null,2286,null,null,15
304188,1528,16411,2092,12938,1932,3473,1083,287777,2636,143840,5071,143937,5271,1528,null,null,2092,null,null,1932,null,null,1083,null,null,2636,null,null,5071,null,null,5271,null,null,16
1754744,3324,81046,4017,61825,3705,19221,1961,1673698,5316,750612,9830,923086,10765,3324,null,null,4017,null,null,3705,null,null,1961,null,null,5316,null,null,9830,null,null,10765,null,null,17
1190533,2799,63993,4172,44293,3176,19700,2706,1126540,5148,516360,7660,610180,8779,2799,null,null,4172,null,null,3176,null,null,2706,null,null,5148,null,null,7660,null,null,8779,null,null,18
589387,1628,32365,2505,24152,2328,8213,1233,557022,3273,263431,5158,293591,5265,1628,null,null,2505,null,null,2328,null,null,1233,null,null,3273,null,null,5158,null,null,5265,null,null,19
483358,2190,25401,2008,19058,1767,6343,1147,457957,3203,218569,5003,239388,5737,2190,null,null,2008,null,null,1767,null,null,1147,null,null,3203,null,null,5003,null,null,5737,null,null,20
860953,2969,45442,3042,29801,2768,15641,2098,815511,4141,386538,8402,428973,7655,2969,null,null,3042,null,null,2768,null,null,2098,null,null,4141,null,null,8402,null,null,7655,null,null,21
623825,2472,32201,3187,22056,2187,10145,2112,591624,4043,268313,6301,323311,6448,2472,null,null,3187,null,null,2187,null,null,2112,null,null,4043,null,null,6301,null,null,6448,null,null,22
