C05010_001E,C05010_001M,C05010_002E,C05010_002M,C05010_003E,C05010_003M,C05010_004E,C05010_004M,C05010_005E,C05010_005M,C05010_006E,C05010_006M,C05010_007E,C05010_007M,C05010_001M,C05010_001EA,C05010_001MA,C05010_002M,C05010_002EA,C05010_002MA,C05010_003M,C05010_003EA,C05010_003MA,C05010_004M,C05010_004EA,C05010_004MA,C05010_005M,C05010_005EA,C05010_005MA,C05010_006M,C05010_006EA,C05010_006MA,C05010_007M,C05010_007EA,C05010_007MA,state
3916874,10716,1794316,27695,1105680,25247,688636,22136,2122558,27508,1483915,23997,638643,19367,10716,null,null,27695,null,null,25247,null,null,22136,null,null,27508,null,null,23997,null,null,19367,null,null,12
2370784,8688,1070705,21131,809721,19499,260984,12964,1300079,20571,1069199,21433,230880,13960,8688,null,null,21131,null,null,19499,null,null,12964,null,null,20571,null,null,21433,null,null,13960,null,null,13
286037,3464,79230,5929,50291,4973,28939,4141,206807,6614,150533,6998,56274,5505,3464,null,null,5929,null,null,4973,null,null,4141,null,null,6614,null,null,6998,null,null,5505,null,null,15
421469,2724,185599,9685,149490,9239,36109,5391,235870,10134,213773,9658,22097,3679,2724,null,null,9685,null,null,9239,null,null,5391,null,null,10134,null,null,9658,null,null,3679,null,null,16
2805993,7004,1058476,20034,703998,16460,354478,14185,1747517,20844,1360431,19602,387086,12563,7004,null,null,20034,null,null,16460,null,null,14185,null,null,20844,null,null,19602,null,null,12563,null,null,17
1489601,6338,628710,15563,529071,15818,99639,6772,860891,14992,785123,15996,75768,6765,6338,null,null,15563,null,null,15818,null,null,6772,null,null,14992,null,null,15996,null,null,6765,null,null,18
695841,3386,235069,9215,193053,9133,42016,3770,460772,8805,425823,8727,34949,3336,3386,null,null,9215,null,null,9133,null,null,3770,null,null,8805,null,null,8727,null,null,3336,null,null,19
685239,4100,260091,9452,201951,9181,58140,4802,425148,9898,373889,9246,51259,5608,4100,null,null,9452,null,null,9181,null,null,4802,null,null,9898,null,null,9246,null,null,5608,null,null,20
927917,6765,429563,13700,381470,12647,48093,5205,498354,12993,470112,12989,28242,3719,6765,null,null,13700,null,null,12647,null,null,5205,null,null,12993,null,null,12989,null,null,3719,null,null,21
1038911,7324,504511,13220,460005,13795,44506,5013,534400,13145,500768,12831,33632,4159,7324,null,null,13220,null,null,13795,null,null,5013,null,null,13145,null,null,12831,null,null,4159,null,null,22
241745,2078,88923,5563,81236,5695,7687,1642,152822,5905,143440,5474,9382,1882,2078,null,null,5563,null,null,5695,null,null,1642,null,null,5905,null,null,5474,null,null,1882,null,null,23
1283590,6106,360816,12991,243786,11282,117030,10126,922774,14641,676468,12878,246306,10588,6106,null,null,12991,null,null,11282,null,null,10126,null,null,14641,null,null,12878,null,null,10588,null,null,24
1321640,4693,347432,11157,209110,9761,138322,8708,974208,10406,722935,10329,251273,9152,4693,null,null,11157,null,null,9761,null,null,8708,null,null,10406,null,null,10329,null,null,9152,null,null,25
2083970,6764,858605,15087,727639,14399,130966,8771,1225365,15418,1081159,15193,144206,6942,6764,null,null,15087,null,null,14399,null,null,8771,null,null,15418,null,null,15193,null,null,6942,null,null,26
1242027,4568,372537,10118,250457,8818,122080,7697,869490,9754,758185,9387,111305,6603,4568,null,null,10118,null,null,8818,null,null,7697,null,null,9754,null,null,9387,null,null,6603,null,null,27
669293,4904,350834,9090,330227,9314,20607,3822,318459,9811,308324,9538,10135,1892,4904,null,null,9090,null,null,9314,null,null,3822,null,null,9811,null,null,9538,null,null,1892,null,null,28
