C17013_001E,C17013_001M,C17013_002E,C17013_002M,C17013_003E,C17013_003M,C17013_004E,C17013_004M,C17013_005E,C17013_005M,C17013_006E,C17013_006M,C17013_007E,C17013_007M,C17013_008E,C17013_008M,C17013_009E,C17013_009M,C17013_010E,C17013_010M,C17013_011E,C17013_011M,C17013_001M,C17013_001EA,C17013_001MA,C17013_002M,C17013_002EA,C17013_002MA,C17013_003M,C17013_003EA,C17013_003MA,C17013_004M,C17013_004EA,C17013_004MA,C17013_005M,C17013_005EA,C17013_005MA,C17013_006M,C17013_006EA,C17013_006MA,C17013_007M,C17013_007EA,C17013_007MA,C17013_008M,C17013_008EA,C17013_008MA,C17013_009M,C17013_009EA,C17013_009MA,C17013_010M,C17013_010EA,C17013_010MA,C17013_011M,C17013_011EA,C17013_011MA,state
4864461,24241,509616,11766,209201,7653,210021,8924,76415,5458,13979,2306,4354845,24292,2308635,22143,1623993,19373,378823,9926,43394,3462,24241,null,null,11766,null,null,7653,null,null,8924,null,null,5458,null,null,2306,null,null,24292,null,null,22143,null,null,19373,null,null,9926,null,null,3462,null,null,12
2479003,18252,296261,9486,101365,5394,128554,5910,56169,4210,10173,1789,2182742,17899,1010656,14527,907341,12992,235011,8316,29734,3126,18252,null,null,9486,null,null,5394,null,null,5910,null,null,4210,null,null,1789,null,null,17899,null,null,14527,null,null,12992,null,null,8316,null,null,3126,null,null,13
315505,5105,18826,2161,7766,1220,7368,1423,2665,786,1027,497,296679,5251,123085,4536,119751,4743,39577,3136,14266,1626,5105,null,null,2161,null,null,1220,null,null,1423,null,null,786,null,null,497,null,null,5251,null,null,4536,null,null,4743,null,null,3136,null,null,1626,null,null,15
411617,7286,41274,3641,17104,1992,15268,2058,6827,1673,2075,731,370343,7745,191617,6925,122859,5286,46935,3056,8932,1398,7286,null,null,3641,null,null,1992,null,null,2058,null,null,1673,null,null,731,null,null,7745,null,null,6925,null,null,5286,null,null,3056,null,null,1398,null,null,16
3100613,17145,293044,9264,107876,5838,124828,5867,50842,3618,9498,1812,2807569,16895,1295746,14080,1137751,13792,332010,7893,42062,3052,17145,null,null,9264,null,null,5838,null,null,5867,null,null,3618,null,null,1812,null,null,16895,null,null,14080,null,null,13792,null,null,7893,null,null,3052,null,null,17
1645758,11176,157720,5867,56317,3859,69615,4736,25128,2505,6660,1018,1488038,11737,748570,10480,572262,10304,146311,5099,20895,2627,11176,null,null,5867,null,null,3859,null,null,4736,null,null,2505,null,null,1018,null,null,11737,null,null,10480,null,null,10304,null,null,5099,null,null,2627,null,null,18
795043,8419,60129,3265,25325,1606,23206,2411,9277,1586,2321,778,734914,8832,386381,6782,261968,6588,79115,3679,7450,1256,8419,null,null,3265,null,null,1606,null,null,2411,null,null,1586,null,null,778,null,null,8832,null,null,6782,null,null,6588,null,null,3679,null,null,1256,null,null,19
716005,8245,56464,3559,24185,2314,21767,2062,9098,1408,1414,702,659541,7653,335527,6601,244818,5501,71875,3278,7321,1161,8245,null,null,3559,null,null,2314,null,null,2062,null,null,1408,null,null,702,null,null,7653,null,null,6601,null,null,5501,null,null,3278,null,null,1161,null,null,20
1121404,10897,156782,6330,66011,4596,62289,3962,23419,2663,5063,1150,964622,12227,495357,8953,374919,9023,86297,4181,8049,1473,10897,null,null,6330,null,null,4596,null,null,3962,null,null,2663,null,null,1150,null,null,12227,null,null,8953,null,null,9023,null,null,4181,null,null,1473,null,null,21
1097712,12285,168708,7561,66722,4262,71741,4905,25399,3207,4846,1341,929004,11536,458344,9156,370419,8185,90716,4587,9525,1828,12285,null,null,7561,null,null,4262,null,null,4905,null,null,3207,null,null,1341,null,null,11536,null,null,9156,null,null,8185,null,null,4587,null,null,1828,null,null,22
