B19025C_001E,B19025C_001M,B19025C_001M,B19025C_001EA,B19025C_001MA,state
1098404000,185238074,185238074,null,null,12
499071000,86506445,86506445,null,null,13
48569500,31316261,31316261,null,null,15
451878500,124259296,124259296,null,null,16
670102700,130477166,130477166,null,null,17
449240400,111169218,111169218,null,null,18
173156200,50551060,50551060,null,null,19
399321200,68672168,68672168,null,null,20
284019800,80907407,80907407,null,null,21
451360900,84897854,84897854,null,null,22
144646200,37846451,37846451,null,null,23
603473900,210351720,210351720,null,null,24
351886800,124041501,124041501,null,null,25
931305700,120228361,120228361,null,null,26
1092526700,183338136,183338136,null,null,27
196269700,52735936,52735936,null,null,28
514137300,109976033,109976033,null,null,29
907239800,160969653,160969653,null,null,30
214124400,42909509,42909509,null,null,31
620077100,92250582,92250582,null,null,32
56138900,41032699,41032699,null,null,33
430011300,102123445,102123445,null,null,34
2722021700,262886700,262886700,null,null,35
1567289500,246456708,246456708,null,null,36
2054531700,168330434,168330434,null,null,37
610015800,74042874,74042874,null,null,38
382329400,111417515,111417515,null,null,39
5372440900,320052358,320052358,null,null,40
789512100,166586860,166586860,null,null,41
373028200,85407422,85407422,null,null,42
98819500,51785102,51785102,null,null,44
306041200,62422709,62422709,null,null,45
680556900,86525320,86525320,null,null,46
400531100,91818050,91818050,null,null,47
3376614200,564330488,564330488,null,null,48
448013200,133485549,133485549,null,null,49
61153200,29941165,29941165,null,null,50
728055700,190920580,190920580,null,null,51
1679173100,138474054,138474054,null,null,53
34671200,15939073,15939073,null,null,54
992429700,109281514,109281514,null,null,55
153700300,64791601,64791601,null,null,56
74050600,27831693,27831693,null,null,72
565315100,129950447,129950447,null,null,01
1894408700,200340165,200340165,null,null,02
3804139300,245810991,245810991,null,null,04
406969800,128877212,128877212,null,null,05
6033536900,397323228,397323228,null,null,06
958317000,121280878,121280878,null,null,08
180076800,60891567,60891567,null,null,09
112965700,64663324,64663324,null,null,10
38620100,27480777,27480777,null,null,11
