B19113G_001E,B19113G_001M,B19113G_001M,B19113G_001EA,B19113G_001MA,state
54810,4400,4400,null,null,12
70324,7437,7437,null,null,13
87216,7171,7171,null,null,15
61977,13605,13605,null,null,16
60555,4786,4786,null,null,17
41922,7175,7175,null,null,18
50325,11162,11162,null,null,19
64183,6095,6095,null,null,20
40653,15948,15948,null,null,21
52755,10238,10238,null,null,22
36627,5431,5431,null,null,23
83149,6988,6988,null,null,24
63295,10441,10441,null,null,25
52140,2512,2512,null,null,26
75833,6614,6614,null,null,27
38618,6362,6362,null,null,28
48801,4039,4039,null,null,29
51380,5578,5578,null,null,30
54180,20136,20136,null,null,31
62056,6012,6012,null,null,32
53404,24129,24129,null,null,33
75723,5670,5670,null,null,34
66888,6692,6692,null,null,35
59167,4670,4670,null,null,36
51409,4561,4561,null,null,37
65885,16538,16538,null,null,38
46799,8233,8233,null,null,39
55888,1633,1633,null,null,40
55635,3887,3887,null,null,41
51634,2851,2851,null,null,42
40775,9708,9708,null,null,44
54799,10180,10180,null,null,45
47081,16123,16123,null,null,46
49442,9291,9291,null,null,47
63094,3004,3004,null,null,48
66961,10465,10465,null,null,49
59986,19650,19650,null,null,50
70865,6423,6423,null,null,51
63448,5436,5436,null,null,53
56415,14429,14429,null,null,54
56932,5432,5432,null,null,55
72446,17168,17168,null,null,56
23103,3951,3951,null,null,72
60262,9429,9429,null,null,01
69991,16080,16080,null,null,02
56291,2684,2684,null,null,04
49292,4823,4823,null,null,05
81564,2059,2059,null,null,06
70798,4258,4258,null,null,08
60065,14975,14975,null,null,09
56063,20409,20409,null,null,10
112413,34306,34306,null,null,11
