B19025F_001E,B19025F_001M,B19025F_001M,B19025F_001EA,B19025F_001MA,state
8963979400,535842058,535842058,null,null,12
3981342200,466442068,466442068,null,null,13
168784000,51799315,51799315,null,null,15
873024100,214586309,214586309,null,null,16
12695318200,476873660,476873660,null,null,17
2213625600,254629886,254629886,null,null,18
555498100,95317062,95317062,null,null,19
1092992500,182291996,182291996,null,null,20
425063400,79744774,79744774,null,null,21
954535900,162706207,162706207,null,null,22
55311700,53854771,53854771,null,null,23
3971012100,290644609,290644609,null,null,24
5179417600,437012675,437012675,null,null,25
1726382200,181140901,181140901,null,null,26
1688304200,260691932,260691932,null,null,27
397898900,126970114,126970114,null,null,28
948382500,149555752,149555752,null,null,29
46349200,31102699,31102699,null,null,30
529295600,91106711,91106711,null,null,31
3597605900,249181716,249181716,null,null,32
268540600,110251966,110251966,null,null,33
9008511600,554925828,554925828,null,null,34
3338895700,405480063,405480063,null,null,35
27474599600,921093869,921093869,null,null,36
3475501000,280317008,280317008,null,null,37
90286100,58463721,58463721,null,null,38
1621586500,262359759,262359759,null,null,39
1329256600,149452388,149452388,null,null,40
1574783500,168567461,168567461,null,null,41
3397106500,280328234,280328234,null,null,42
743684400,105554442,105554442,null,null,44
1049736600,201514951,201514951,null,null,45
83627500,30804802,30804802,null,null,46
815227400,117853267,117853267,null,null,47
24669144500,880364432,880364432,null,null,48
2183968500,187206006,187206006,null,null,49
37549900,25598123,25598123,null,null,50
3836302900,353077829,353077829,null,null,51
5227979200,371653638,371653638,null,null,53
110936100,56820284,56820284,null,null,54
1778360200,168065858,168065858,null,null,55
67694000,25876231,25876231,null,null,56
4969298300,264351876,264351876,null,null,72
874123000,191856778,191856778,null,null,01
207751100,70033897,70033897,null,null,02
7868455500,421775343,421775343,null,null,04
952672600,130434863,130434863,null,null,05
85340108000,1618325050,1618325050,null,null,06
3934275000,287228260,287228260,null,null,08
2795501900,269233990,269233990,null,null,09
191816200,78730652,78730652,null,null,10
761064200,166514883,166514883,null,null,11
