B18108_001E,B18108_001M,B18108_002E,B18108_002M,B18108_003E,B18108_003M,B18108_004E,B18108_004M,B18108_005E,B18108_005M,B18108_006E,B18108_006M,B18108_007E,B18108_007M,B18108_008E,B18108_008M,B18108_009E,B18108_009M,B18108_010E,B18108_010M,B18108_011E,B18108_011M,B18108_012E,B18108_012M,B18108_013E,B18108_013M,B18108_014E,B18108_014M,B18108_015E,B18108_015M,B18108_016E,B18108_016M,B18108_017E,B18108_017M,B18108_018E,B18108_018M,B18108_019E,B18108_019M,B18108_020E,B18108_020M,B18108_021E,B18108_021M,B18108_022E,B18108_022M,B18108_023E,B18108_023M,B18108_024E,B18108_024M,B18108_025E,B18108_025M,B18108_001M,B18108_001EA,B18108_001MA,B18108_002M,B18108_002EA,B18108_002MA,B18108_003M,B18108_003EA,B18108_003MA,B18108_004M,B18108_004EA,B18108_004MA,B18108_005M,B18108_005EA,B18108_005MA,B18108_006M,B18108_006EA,B18108_006MA,B18108_007M,B18108_007EA,B18108_007MA,B18108_008M,B18108_008EA,B18108_008MA,B18108_009M,B18108_009EA,B18108_009MA,B18108_010M,B18108_010EA,B18108_010MA,B18108_011M,B18108_011EA,B18108_011MA,B18108_012M,B18108_012EA,B18108_012MA,B18108_013M,B18108_013EA,B18108_013MA,B18108_014M,B18108_014EA,B18108_014MA,B18108_015M,B18108_015EA,B18108_015MA,B18108_016M,B18108_016EA,B18108_016MA,B18108_017M,B18108_017EA,B18108_017MA,B18108_018M,B18108_018EA,B18108_018MA,B18108_019M,B18108_019EA,B18108_019MA,B18108_020M,B18108_020EA,B18108_020MA,B18108_021M,B18108_021EA,B18108_021MA,B18108_022M,B18108_022EA,B18108_022MA,B18108_023M,B18108_023EA,B18108_023MA,B18108_024M,B18108_024EA,B18108_024MA,B18108_025M,B18108_025EA,B18108_025MA,state
20294479,4316,1117372,2983,4910,1632,1239,726,1111223,3403,3018973,4543,127287,6393,44195,3444,2847491,7825,4303395,8708,151998,8003,114530,6170,4036867,12491,7833993,9462,520961,12313,467779,12130,6845253,18013,2260137,4219,300789,9321,211634,7290,1747714,10819,1760609,3961,328754,8846,488701,9484,943154,11042,4316,null,null,2983,null,null,1632,null,null,726,null,null,3403,null,null,4543,null,null,6393,null,null,3444,null,null,7825,null,null,8708,null,null,8003,null,null,6170,null,null,12491,null,null,9462,null,null,12313,null,null,12130,null,null,18013,null,null,4219,null,null,9321,null,null,7290,null,null,10819,null,null,3961,null,null,8846,null,null,9484,null,null,11042,null,null,12
10120788,3683,654878,4445,3204,1349,929,688,650745,4440,1851448,4692,84373,6038,29152,3646,1737923,8749,2327447,8310,82184,5572,63920,4792,2181343,9785,3956712,7518,293813,9926,258366,8807,3404533,15077,840374,4933,124824,5594,109501,4998,606049,8102,489929,4421,90337,4412,161370,5560,238222,5773,3683,null,null,4445,null,null,1349,null,null,688,null,null,4440,null,null,4692,null,null,6038,null,null,3646,null,null,8749,null,null,8310,null,null,5572,null,null,4792,null,null,9785,null,null,7518,null,null,9926,null,null,8807,null,null,15077,null,null,4933,null,null,5594,null,null,4998,null,null,8102,null,null,4421,null,null,4412,null,null,5560,null,null,5773,null,null,13
1378730,2525,90706,38,265,434,132,167,90309,460,216855,769,6209,1417,1686,596,208960,1712,303999,2791,7035,1517,6726,1527,290238,3515,528436,2056,29054,2777,23216,2399,476166,4355,138113,787,16860,1584,13293,1969,107960,2235,100621,642,16599,1610,35048,2014,48974,2252,2525,null,null,38,null,null,434,null,null,167,null,null,460,null,null,769,null,null,1417,null,null,596,null,null,1712,null,null,2791,null,null,1517,null,null,1527,null,null,3515,null,null,2056,null,null,2777,null,null,2399,null,null,4355,null,null,787,null,null,1584,null,null,1969,null,null,2235,null,null,642,null,null,1610,null,null,2014,null,null,2252,null,null,15
1662867,795,114143,1710,564,314,0,198,113579,1701,321487,2060,10827,1552,6744,1707,303916,3137,371296,3485,15643,2177,14366,2056,341287,4649,603507,3358,45810,3565,39833,3999,517864,4462,154118,1776,24074,1781,14298,1854,115746,2469,98316,1237,23751,2266,28977,2294,45588,2620,795,null,null,1710,null,null,314,null,null,198,null,null,1701,null,null,2060,null,null,1552,null,null,1707,null,null,3137,null,null,3485,null,null,2177,null,null,2056,null,null,4649,null,null,3358,null,null,3565,null,null,3999,null,null,4462,null,null,1776,null,null,1781,null,null,1854,null,null,2469,null,null,1237,null,null,2266,null,null,2294,null,null,2620,null,null,16
12620388,1326,769490,2349,3499,1043,1185,563,764806,2840,2150373,2954,66063,4070,26974,2872,2057336,5466,2925283,4367,82628,4509,55566,4392,2787089,7736,4967332,5023,287228,8893,254440,8235,4425664,13080,1059677,2680,135342,5011,114923,4492,809412,6523,748233,2786,136459,3865,224657,6257,387117,5765,1326,null,null,2349,null,null,1043,null,null,563,null,null,2840,null,null,2954,null,null,4070,null,null,2872,null,null,5466,null,null,4367,null,null,4509,null,null,4392,null,null,7736,null,null,5023,null,null,8893,null,null,8235,null,null,13080,null,null,2680,null,null,5011,null,null,4492,null,null,6523,null,null,2786,null,null,3865,null,null,6257,null,null,5765,null,null,17
6534914,919,420367,3036,2686,875,527,536,417154,3368,1153558,3913,48285,4092,17252,2385,1088021,5991,1493761,5333,65129,3765,41700,3337,1386932,7633,2509950,6015,195773,6168,183222,7482,2130955,9924,571644,2801,88607,4105,70364,4126,412673,6054,385634,2037,76927,3678,119138,4165,189569,3962,919,null,null,3036,null,null,875,null,null,536,null,null,3368,null,null,3913,null,null,4092,null,null,2385,null,null,5991,null,null,5333,null,null,3765,null,null,3337,null,null,7633,null,null,6015,null,null,6168,null,null,7482,null,null,9924,null,null,2801,null,null,4105,null,null,4126,null,null,6054,null,null,2037,null,null,3678,null,null,4165,null,null,3962,null,null,18
3091437,506,197487,1804,882,364,174,169,196431,1768,527510,2348,22185,2432,8820,1422,496505,3417,706844,3553,25196,2285,17004,1905,664644,4164,1168361,4340,76015,4076,57152,2857,1035194,6130,276925,1650,37567,2520,25014,1794,214344,3249,214310,1503,43194,2392,50827,2642,120289,2791,506,null,null,1804,null,null,364,null,null,169,null,null,1768,null,null,2348,null,null,2432,null,null,1422,null,null,3417,null,null,3553,null,null,2285,null,null,1905,null,null,4164,null,null,4340,null,null,4076,null,null,2857,null,null,6130,null,null,1650,null,null,2520,null,null,1794,null,null,3249,null,null,1503,null,null,2392,null,null,2642,null,null,2791,null,null,19
2850862,1447,197406,1979,1442,817,788,447,195176,1975,515696,2255,20369,2144,7610,1426,487717,3295,656723,4225,27562,2518,17371,2022,611790,4821,1061670,4300,80411,4080,63327,3716,917932,6097,243674,1807,36648,2273,26053,2378,180973,3512,175693,1744,35272,2129,48383,2751,92038,3167,1447,null,null,1979,null,null,817,null,null,447,null,null,1975,null,null,2255,null,null,2144,null,null,1426,null,null,3295,null,null,4225,null,null,2518,null,null,2022,null,null,4821,null,null,4300,null,null,4080,null,null,3716,null,null,6097,null,null,1807,null,null,2273,null,null,2378,null,null,3512,null,null,1744,null,null,2129,null,null,2751,null,null,3167,null,null,20
4354380,1440,272949,2784,2423,765,354,396,270172,2940,737037,3750,40047,3210,15276,2242,681714,4588,964054,4911,52688,3493,35189,3297,876177,5663,1714973,4385,169861,6708,182010,6720,1363102,11210,404805,1811,69852,3803,65169,3649,269784,4797,260562,1726,51428,3038,94866,3994,114268,3803,1440,null,null,2784,null,null,765,null,null,396,null,null,2940,null,null,3750,null,null,3210,null,null,2242,null,null,4588,null,null,4911,null,null,3493,null,null,3297,null,null,5663,null,null,4385,null,null,6708,null,null,6720,null,null,11210,null,null,1811,null,null,3803,null,null,3649,null,null,4797,null,null,1726,null,null,3038,null,null,3994,null,null,3803,null,null,21
4577182,1950,306963,3568,2727,962,499,454,303737,3853,808494,3541,48098,4534,14529,2220,745867,6031,1079778,6451,48331,4041,35330,4356,996117,9417,1727921,7299,154447,6389,146269,6409,1427205,10280,398035,2755,66136,4028,57871,3946,274028,4684,255991,2338,47304,2817,87292,3840,121395,4111,1950,null,null,3568,null,null,962,null,null,454,null,null,3853,null,null,3541,null,null,4534,null,null,2220,null,null,6031,null,null,6451,null,null,4041,null,null,4356,null,null,9417,null,null,7299,null,null,6389,null,null,6409,null,null,10280,null,null,2755,null,null,4028,null,null,3946,null,null,4684,null,null,2338,null,null,2817,null,null,3840,null,null,4111,null,null,22
