B19019_001E,B19019_001M,B19019_002E,B19019_002M,B19019_003E,B19019_003M,B19019_004E,B19019_004M,B19019_005E,B19019_005M,B19019_006E,B19019_006M,B19019_007E,B19019_007M,B19019_008E,B19019_008M,B19019_001M,B19019_001EA,B19019_001MA,B19019_002M,B19019_002EA,B19019_002MA,B19019_003M,B19019_003EA,B19019_003MA,B19019_004M,B19019_004EA,B19019_004MA,B19019_005M,B19019_005EA,B19019_005MA,B19019_006M,B19019_006EA,B19019_006MA,B19019_007M,B19019_007EA,B19019_007MA,B19019_008M,B19019_008EA,B19019_008MA,state
50860,241,28566,505,57742,641,63829,1010,72497,1371,68540,1967,70480,3467,70327,4110,241,null,null,505,null,null,641,null,null,1010,null,null,1371,null,null,1967,null,null,3467,null,null,4110,null,null,12
53559,710,30116,680,59491,1037,66889,1660,77466,2058,72470,2612,66442,4276,70161,4532,710,null,null,680,null,null,1037,null,null,1660,null,null,2058,null,null,2612,null,null,4276,null,null,4532,null,null,13
74511,1776,35912,1950,75000,2641,91448,2508,101929,6330,101435,3393,121699,6759,139936,11967,1776,null,null,1950,null,null,2641,null,null,2508,null,null,6330,null,null,3393,null,null,6759,null,null,11967,null,null,15
51807,963,25154,1204,57782,1889,65326,2938,72206,3421,68890,4953,75234,6877,69469,6136,963,null,null,1204,null,null,1889,null,null,2938,null,null,3421,null,null,4953,null,null,6877,null,null,6136,null,null,16
60960,389,31304,330,69405,1033,79851,1248,92389,1666,87596,2800,78845,3700,89161,5982,389,null,null,330,null,null,1033,null,null,1248,null,null,1666,null,null,2800,null,null,3700,null,null,5982,null,null,17
52314,371,27254,485,59807,891,69234,1693,78004,1756,72743,3017,71889,2698,73805,5398,371,null,null,485,null,null,891,null,null,1693,null,null,1756,null,null,3017,null,null,2698,null,null,5398,null,null,18
56247,695,28619,708,64386,1068,75476,2004,88293,2727,84449,2794,73045,5367,72563,7217,695,null,null,708,null,null,1068,null,null,2004,null,null,2727,null,null,2794,null,null,5367,null,null,7217,null,null,19
54935,893,28507,1031,63225,1488,72934,2557,82187,2262,77648,3909,76871,8128,76304,11040,893,null,null,1031,null,null,1488,null,null,2557,null,null,2262,null,null,3909,null,null,8128,null,null,11040,null,null,20
46659,600,23935,833,53244,1012,61646,1554,75046,2170,66438,4307,65847,5620,53473,9780,600,null,null,833,null,null,1012,null,null,1554,null,null,2170,null,null,4307,null,null,5620,null,null,9780,null,null,21
45146,776,24036,748,51211,852,59896,1941,74863,2948,71173,7156,65965,7791,67665,16695,776,null,null,748,null,null,852,null,null,1941,null,null,2948,null,null,7156,null,null,7791,null,null,16695,null,null,22
