C01001A_001E,C01001A_001M,C01001A_002E,C01001A_002M,C01001A_003E,C01001A_003M,C01001A_004E,C01001A_004M,C01001A_005E,C01001A_005M,C01001A_006E,C01001A_006M,C01001A_007E,C01001A_007M,C01001A_008E,C01001A_008M,C01001A_009E,C01001A_009M,C01001A_001M,C01001A_001EA,C01001A_001MA,C01001A_002M,C01001A_002EA,C01001A_002MA,C01001A_003M,C01001A_003EA,C01001A_003MA,C01001A_004M,C01001A_004EA,C01001A_004MA,C01001A_005M,C01001A_005EA,C01001A_005MA,C01001A_006M,C01001A_006EA,C01001A_006MA,C01001A_007M,C01001A_007EA,C01001A_007MA,C01001A_008M,C01001A_008EA,C01001A_008MA,C01001A_009M,C01001A_009EA,C01001A_009MA,state
15574165,29122,7636928,17881,1424939,8912,4587256,12532,1624733,3193,7937237,15695,1358973,8059,4624536,11822,1953728,3610,29122,null,null,17881,null,null,8912,null,null,12532,null,null,3193,null,null,15695,null,null,8059,null,null,11822,null,null,3610,null,null,12
6054861,18041,3000534,10797,676582,7684,1880987,6397,442965,1610,3054327,10981,635562,6698,1870624,6979,548141,2014,18041,null,null,10797,null,null,7684,null,null,6397,null,null,1610,null,null,10981,null,null,6698,null,null,6979,null,null,2014,null,null,13
357994,5134,192504,3251,28711,2183,129543,1638,34250,395,165490,2706,27318,1632,104895,1734,33277,290,5134,null,null,3251,null,null,2183,null,null,1638,null,null,395,null,null,2706,null,null,1632,null,null,1734,null,null,290,null,null,15
1510119,7573,755100,4229,193796,2511,445911,2739,115393,727,755019,4406,180687,2546,444380,2764,129952,964,7573,null,null,4229,null,null,2511,null,null,2739,null,null,727,null,null,4406,null,null,2546,null,null,2764,null,null,964,null,null,16
9123763,24574,4504629,13681,976878,7408,2863746,8815,664005,1832,4619134,14007,928997,7073,2837441,8853,852696,2057,24574,null,null,13681,null,null,7408,null,null,8815,null,null,1832,null,null,14007,null,null,7073,null,null,8853,null,null,2057,null,null,17
5536418,10307,2728970,5486,626863,2915,1703359,4246,398748,1225,2807448,6685,594202,4200,1706275,3928,506971,1184,10307,null,null,5486,null,null,2915,null,null,4246,null,null,1225,null,null,6685,null,null,4200,null,null,3928,null,null,1184,null,null,18
2834162,5131,1404537,3477,321127,2394,862120,2186,221290,479,1429625,3248,302757,2202,848809,1955,278059,709,5131,null,null,3477,null,null,2394,null,null,2186,null,null,479,null,null,3248,null,null,2202,null,null,1955,null,null,709,null,null,19
2458966,7467,1221221,5464,293699,3439,746405,3042,181117,949,1237745,4262,276420,3061,737780,2548,223545,873,7467,null,null,5464,null,null,3439,null,null,3042,null,null,949,null,null,4262,null,null,3061,null,null,2548,null,null,873,null,null,20
3866333,6634,1897330,4946,425125,3216,1188648,2850,283557,578,1969003,3492,409500,2696,1202439,2399,357064,511,6634,null,null,4946,null,null,3216,null,null,2850,null,null,578,null,null,3492,null,null,2696,null,null,2399,null,null,511,null,null,21
2901495,5946,1433535,4610,316205,3290,898200,3096,219130,1006,1467960,4100,298281,3081,896512,2450,273167,995,5946,null,null,4610,null,null,3290,null,null,3096,null,null,1006,null,null,4100,null,null,3081,null,null,2450,null,null,995,null,null,22
