B11002F_001E,B11002F_001M,B11002F_002E,B11002F_002M,B11002F_003E,B11002F_003M,B11002F_004E,B11002F_004M,B11002F_005E,B11002F_005M,B11002F_006E,B11002F_006M,B11002F_007E,B11002F_007M,B11002F_008E,B11002F_008M,B11002F_009E,B11002F_009M,B11002F_010E,B11002F_010M,B11002F_011E,B11002F_011M,B11002F_012E,B11002F_012M,B11002F_001M,B11002F_001EA,B11002F_001MA,B11002F_002M,B11002F_002EA,B11002F_002MA,B11002F_003M,B11002F_003EA,B11002F_003MA,B11002F_004M,B11002F_004EA,B11002F_004MA,B11002F_005M,B11002F_005EA,B11002F_005MA,B11002F_006M,B11002F_006EA,B11002F_006MA,B11002F_007M,B11002F_007EA,B11002F_007MA,B11002F_008M,B11002F_008EA,B11002F_008MA,B11002F_009M,B11002F_009EA,B11002F_009MA,B11002F_010M,B11002F_010EA,B11002F_010MA,B11002F_011M,B11002F_011EA,B11002F_011MA,B11002F_012M,B11002F_012EA,B11002F_012MA,state
523731,26330,458707,26370,277240,20265,273593,19819,3647,2100,54787,9922,47881,9049,6906,1510,126680,11962,118992,11357,7688,1999,65024,7328,26330,null,null,26370,null,null,20265,null,null,19819,null,null,2100,null,null,9922,null,null,9049,null,null,1510,null,null,11962,null,null,11357,null,null,1999,null,null,7328,null,null,12
284462,23035,258668,22551,175955,18366,174148,18264,1807,1003,36246,7652,31293,6739,4953,1459,46467,8703,44546,8322,1921,1025,25794,5182,23035,null,null,22551,null,null,18366,null,null,18264,null,null,1003,null,null,7652,null,null,6739,null,null,1459,null,null,8703,null,null,8322,null,null,1025,null,null,5182,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
60743,7913,56590,7905,37442,7807,37039,7771,403,291,9098,3763,7982,3185,1116,775,10050,4176,9332,3876,718,486,4153,1435,7913,null,null,7905,null,null,7807,null,null,7771,null,null,291,null,null,3763,null,null,3185,null,null,775,null,null,4176,null,null,3876,null,null,486,null,null,1435,null,null,16
825479,25521,769189,24445,495740,21109,489221,20367,6519,2382,109479,12731,94229,10856,15250,3120,163970,13011,152063,12299,11907,2046,56290,6829,25521,null,null,24445,null,null,21109,null,null,20367,null,null,2382,null,null,12731,null,null,10856,null,null,3120,null,null,13011,null,null,12299,null,null,2046,null,null,6829,null,null,17
153250,11899,140517,12287,97167,10928,96424,10814,743,568,14101,3363,11869,2809,2232,963,29249,4365,26778,4031,2471,1131,12733,2574,11899,null,null,12287,null,null,10928,null,null,10814,null,null,568,null,null,3363,null,null,2809,null,null,963,null,null,4365,null,null,4031,null,null,1131,null,null,2574,null,null,18
38727,5068,34060,4927,22335,4143,22154,4122,181,188,2327,1231,1831,979,496,402,9398,3115,8540,2759,858,539,4667,1735,5068,null,null,4927,null,null,4143,null,null,4122,null,null,188,null,null,1231,null,null,979,null,null,402,null,null,3115,null,null,2759,null,null,539,null,null,1735,null,null,19
70953,8253,63519,7791,46579,6988,46196,6909,383,327,6214,2917,5612,2753,602,367,10726,3100,9841,2842,885,482,7434,2196,8253,null,null,7791,null,null,6988,null,null,6909,null,null,327,null,null,2917,null,null,2753,null,null,367,null,null,3100,null,null,2842,null,null,482,null,null,2196,null,null,20
30525,5493,25562,5192,17047,4745,17047,4745,0,190,4066,2414,3142,1754,924,775,4449,1925,3996,1732,453,305,4963,2012,5493,null,null,5192,null,null,4745,null,null,4745,null,null,190,null,null,2414,null,null,1754,null,null,775,null,null,1925,null,null,1732,null,null,305,null,null,2012,null,null,21
62556,6910,52251,6090,40000,5577,39086,5566,914,884,4114,1818,3265,1375,849,667,8137,3127,7339,2796,798,938,10305,2694,6910,null,null,6090,null,null,5577,null,null,5566,null,null,884,null,null,1818,null,null,1375,null,null,667,null,null,3127,null,null,2796,null,null,938,null,null,2694,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
223571,13088,203902,13441,117546,12004,112858,11538,4688,1540,41571,8805,33460,7212,8111,2426,44785,8258,38749,6932,6036,2304,19669,4587,13088,null,null,13441,null,null,12004,null,null,11538,null,null,1540,null,null,8805,null,null,7212,null,null,2426,null,null,8258,null,null,6932,null,null,2304,null,null,4587,null,null,24
279018,16944,245398,16973,126270,12342,123407,12124,2863,1208,29694,5681,24620,4780,5074,1579,89434,9815,84665,9429,4769,1195,33620,4176,16944,null,null,16973,null,null,12342,null,null,12124,null,null,1208,null,null,5681,null,null,4780,null,null,1579,null,null,9815,null,null,9429,null,null,1195,null,null,4176,null,null,25
115320,10149,100478,9811,65141,8999,63722,8501,1419,1156,10276,3400,8630,2906,1646,745,25061,4792,23628,4645,1433,531,14842,3293,10149,null,null,9811,null,null,8999,null,null,8501,null,null,1156,null,null,3400,null,null,2906,null,null,745,null,null,4792,null,null,4645,null,null,531,null,null,3293,null,null,26
105548,7749,97493,7721,57691,7119,57632,7124,59,85,15718,4013,12633,3270,3085,1131,24084,6351,20487,5243,3597,1338,8055,2467,7749,null,null,7721,null,null,7119,null,null,7124,null,null,85,null,null,4013,null,null,3270,null,null,1131,null,null,6351,null,null,5243,null,null,1338,null,null,2467,null,null,27
28205,4912,25922,5076,17132,3960,17089,3949,43,57,3789,2067,3161,1618,628,544,5001,3209,4600,3090,401,344,2283,1286,4912,null,null,5076,null,null,3960,null,null,3949,null,null,57,null,null,2067,null,null,1618,null,null,544,null,null,3209,null,null,3090,null,null,344,null,null,1286,null,null,28
62175,6660,56473,6541,33353,5445,33287,5445,66,80,6268,2696,5405,2343,863,518,16852,4198,15945,3954,907,735,5702,1911,6660,null,null,6541,null,null,5445,null,null,5445,null,null,80,null,null,2696,null,null,2343,null,null,518,null,null,4198,null,null,3954,null,null,735,null,null,1911,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
36200,5754,33526,5666,21197,4837,20983,4842,214,204,2680,1116,2517,1112,163,136,9649,3335,9042,3211,607,454,2674,765,5754,null,null,5666,null,null,4837,null,null,4842,null,null,204,null,null,1116,null,null,1112,null,null,136,null,null,3335,null,null,3211,null,null,454,null,null,765,null,null,31
266201,15235,238049,15325,139911,12088,137419,11869,2492,1263,34801,6384,32181,5754,2620,1101,63337,8367,58196,7714,5141,1355,28152,4293,15235,null,null,15325,null,null,12088,null,null,11869,null,null,1263,null,null,6384,null,null,5754,null,null,1101,null,null,8367,null,null,7714,null,null,1355,null,null,4293,null,null,32
7723,2406,6859,2288,4892,2053,4892,2053,0,187,1033,1015,802,793,231,241,934,673,793,569,141,200,864,790,2406,null,null,2288,null,null,2053,null,null,2053,null,null,187,null,null,1015,null,null,793,null,null,241,null,null,673,null,null,569,null,null,200,null,null,790,null,null,33
538188,20941,490839,20517,271354,17946,262970,17573,8384,2108,68151,9549,58595,8089,9556,2268,151334,13338,139464,11979,11870,2293,47349,5401,20941,null,null,20517,null,null,17946,null,null,17573,null,null,2108,null,null,9549,null,null,8089,null,null,2268,null,null,13338,null,null,11979,null,null,2293,null,null,5401,null,null,34
204279,12308,172229,12155,102066,9167,101157,9160,909,632,22302,5337,20038,4757,2264,851,47861,7917,45714,7561,2147,956,32050,4068,12308,null,null,12155,null,null,9167,null,null,9160,null,null,632,null,null,5337,null,null,4757,null,null,851,null,null,7917,null,null,7561,null,null,956,null,null,4068,null,null,35
1727142,36880,1552936,36863,800420,33528,778349,32614,22071,4300,196911,20322,169047,17233,27864,4835,555605,25318,527707,23868,27898,3876,174206,11642,36880,null,null,36863,null,null,33528,null,null,32614,null,null,4300,null,null,20322,null,null,17233,null,null,4835,null,null,25318,null,null,23868,null,null,3876,null,null,11642,null,null,36
287962,15785,260240,15102,173979,14277,172542,14058,1437,702,33000,7312,28466,6324,4534,1889,53261,8339,50344,8134,2917,1016,27722,5311,15785,null,null,15102,null,null,14277,null,null,14058,null,null,702,null,null,7312,null,null,6324,null,null,1889,null,null,8339,null,null,8134,null,null,1016,null,null,5311,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
92874,9150,79579,8969,40782,6865,40453,6892,329,243,15682,5170,13335,4592,2347,870,23115,4861,21719,4566,1396,649,13295,2614,9150,null,null,8969,null,null,6865,null,null,6892,null,null,243,null,null,5170,null,null,4592,null,null,870,null,null,4861,null,null,4566,null,null,649,null,null,2614,null,null,39
100915,8027,88839,7820,60833,7429,60476,7408,357,234,12075,2995,10392,2649,1683,861,15931,4174,14970,3978,961,415,12076,2411,8027,null,null,7820,null,null,7429,null,null,7408,null,null,234,null,null,2995,null,null,2649,null,null,861,null,null,4174,null,null,3978,null,null,415,null,null,2411,null,null,40
106313,10009,98242,10289,71464,9562,71044,9533,420,388,12527,4273,11074,3855,1453,785,14251,4726,12715,4117,1536,990,8071,2566,10009,null,null,10289,null,null,9562,null,null,9533,null,null,388,null,null,4273,null,null,3855,null,null,785,null,null,4726,null,null,4117,null,null,990,null,null,2566,null,null,41
245649,14600,216982,14711,95298,11081,94175,10945,1123,644,31680,5575,27001,4942,4679,1347,90004,10571,86358,10151,3646,1214,28667,3882,14600,null,null,14711,null,null,11081,null,null,10945,null,null,644,null,null,5575,null,null,4942,null,null,1347,null,null,10571,null,null,10151,null,null,1214,null,null,3882,null,null,42
