C16008_001E,C16008_001M,C16008_002E,C16008_002M,C16008_003E,C16008_003M,C16008_004E,C16008_004M,C16008_005E,C16008_005M,C16008_006E,C16008_006M,C16008_007E,C16008_007M,C16008_008E,C16008_008M,C16008_009E,C16008_009M,C16008_010E,C16008_010M,C16008_011E,C16008_011M,C16008_012E,C16008_012M,C16008_013E,C16008_013M,C16008_014E,C16008_014M,C16008_015E,C16008_015M,C16008_016E,C16008_016M,C16008_017E,C16008_017M,C16008_018E,C16008_018M,C16008_019E,C16008_019M,C16008_020E,C16008_020M,C16008_021E,C16008_021M,C16008_022E,C16008_022M,C16008_023E,C16008_023M,C16008_001M,C16008_001EA,C16008_001MA,C16008_002M,C16008_002EA,C16008_002MA,C16008_003M,C16008_003EA,C16008_003MA,C16008_004M,C16008_004EA,C16008_004MA,C16008_005M,C16008_005EA,C16008_005MA,C16008_006M,C16008_006EA,C16008_006MA,C16008_007M,C16008_007EA,C16008_007MA,C16008_008M,C16008_008EA,C16008_008MA,C16008_009M,C16008_009EA,C16008_009MA,C16008_010M,C16008_010EA,C16008_010MA,C16008_011M,C16008_011EA,C16008_011MA,C16008_012M,C16008_012EA,C16008_012MA,C16008_013M,C16008_013EA,C16008_013MA,C16008_014M,C16008_014EA,C16008_014MA,C16008_015M,C16008_015EA,C16008_015MA,C16008_016M,C16008_016EA,C16008_016MA,C16008_017M,C16008_017EA,C16008_017MA,C16008_018M,C16008_018EA,C16008_018MA,C16008_019M,C16008_019EA,C16008_019MA,C16008_020M,C16008_020EA,C16008_020MA,C16008_021M,C16008_021EA,C16008_021MA,C16008_022M,C16008_022EA,C16008_022MA,C16008_023M,C16008_023EA,C16008_023MA,state
19494972,2952,17614488,29871,2881926,9770,2148302,15775,733624,15614,637626,15223,95998,6536,14732562,26628,11441001,31503,3291561,28590,2144289,29579,1147272,18449,1880484,29921,145747,8621,15213,2549,130534,8260,77657,6499,52877,5083,1734737,26671,280147,11028,1454590,24831,406232,11423,1048358,22570,2952,null,null,29871,null,null,9770,null,null,15775,null,null,15614,null,null,15223,null,null,6536,null,null,26628,null,null,31503,null,null,28590,null,null,29579,null,null,18449,null,null,29921,null,null,8621,null,null,2549,null,null,8260,null,null,6499,null,null,5083,null,null,26671,null,null,11028,null,null,24831,null,null,11423,null,null,22570,null,null,12
9655493,4445,9052715,17715,1811434,6972,1560696,10306,250738,9421,210640,9683,40098,3376,7241281,15640,6669969,18280,571312,18056,408593,15129,162719,7621,602778,16661,44298,4848,5424,1431,38874,4347,24422,3517,14452,2745,558480,15326,67955,5709,490525,15417,154569,8819,335956,12501,4445,null,null,17715,null,null,6972,null,null,10306,null,null,9421,null,null,9683,null,null,3376,null,null,15640,null,null,18280,null,null,18056,null,null,15129,null,null,7621,null,null,16661,null,null,4848,null,null,1431,null,null,4347,null,null,3517,null,null,2745,null,null,15326,null,null,5709,null,null,15417,null,null,8819,null,null,12501,null,null,13
1337835,28,1225838,9848,207207,2531,172119,4615,35088,3700,26370,3270,8718,1655,1018631,8291,798349,11340,220282,7974,134846,6565,85436,5093,111997,9845,9836,2352,1069,617,8767,2246,3091,1031,5676,1931,102161,8309,11483,2076,90678,8094,27335,3381,63343,6426,28,null,null,9848,null,null,2531,null,null,4615,null,null,3700,null,null,3270,null,null,1655,null,null,8291,null,null,11340,null,null,7974,null,null,6565,null,null,5093,null,null,9845,null,null,2352,null,null,617,null,null,2246,null,null,1031,null,null,1931,null,null,8309,null,null,2076,null,null,8094,null,null,3381,null,null,6426,null,null,15
1568997,1710,1509236,4987,317974,2562,281256,3558,36718,2910,26782,3191,9936,2553,1191262,4369,1110902,5683,80360,5241,59981,4698,20379,2798,59761,4796,4340,1352,238,209,4102,1340,2355,1084,1747,786,55421,4235,6593,1430,48828,3985,14799,2345,34029,3520,1710,null,null,4987,null,null,2562,null,null,3558,null,null,2910,null,null,3191,null,null,2553,null,null,4369,null,null,5683,null,null,5241,null,null,4698,null,null,2798,null,null,4796,null,null,1352,null,null,209,null,null,1340,null,null,1084,null,null,786,null,null,4235,null,null,1430,null,null,3985,null,null,2345,null,null,3520,null,null,16
12032049,2349,11141821,18564,2103363,5684,1633066,12185,470297,11345,407200,10904,63097,4581,9038458,16427,7569487,19468,1468971,20833,1021997,16879,446974,11796,890228,18625,49866,5101,6437,1315,43429,4936,29705,3835,13724,2331,840362,16386,61815,5066,778547,16743,260090,9895,518457,13633,2349,null,null,18564,null,null,5684,null,null,12185,null,null,11345,null,null,10904,null,null,4581,null,null,16427,null,null,19468,null,null,20833,null,null,16879,null,null,11796,null,null,18625,null,null,5101,null,null,1315,null,null,4936,null,null,3835,null,null,2331,null,null,16386,null,null,5066,null,null,16743,null,null,9895,null,null,13633,null,null,17
6212686,3036,6007012,8521,1139707,4169,1032734,7154,106973,6154,87406,6091,19567,2525,4867305,8376,4613783,10619,253522,7377,180941,7331,72581,4717,205674,8730,17459,2614,3733,1850,13726,2129,8390,1721,5336,1517,188215,7440,19622,2576,168593,7112,62844,5101,105749,6054,3036,null,null,8521,null,null,4169,null,null,7154,null,null,6154,null,null,6091,null,null,2525,null,null,8376,null,null,10619,null,null,7377,null,null,7331,null,null,4717,null,null,8730,null,null,2614,null,null,1850,null,null,2129,null,null,1721,null,null,1517,null,null,7440,null,null,2576,null,null,7112,null,null,5101,null,null,6054,null,null,18
2937206,1804,2840413,5512,519481,3085,476778,3528,42703,3127,34263,3068,8440,1754,2320932,4720,2222833,5988,98099,5504,63650,4202,34449,3812,96793,5540,9999,2105,859,492,9140,1972,3778,1114,5362,1826,86794,4752,10582,1777,76212,4448,24142,2581,52070,4398,1804,null,null,5512,null,null,3085,null,null,3528,null,null,3127,null,null,3068,null,null,1754,null,null,4720,null,null,5988,null,null,5504,null,null,4202,null,null,3812,null,null,5540,null,null,2105,null,null,492,null,null,1972,null,null,1114,null,null,1826,null,null,4752,null,null,1777,null,null,4448,null,null,2581,null,null,4398,null,null,19
2709883,1979,2586779,6141,508868,2772,441001,3902,67867,3984,60141,4117,7726,1668,2077911,5799,1942334,7226,135577,6678,95692,5668,39885,3885,123104,6000,8645,1721,643,468,8002,1622,4110,1132,3892,1270,114459,5263,10000,1647,104459,5119,30849,2837,73610,5034,1979,null,null,6141,null,null,2772,null,null,3902,null,null,3984,null,null,4117,null,null,1668,null,null,5799,null,null,7226,null,null,6678,null,null,5668,null,null,3885,null,null,6000,null,null,1721,null,null,468,null,null,1622,null,null,1132,null,null,1270,null,null,5263,null,null,1647,null,null,5119,null,null,2837,null,null,5034,null,null,20
4164025,2784,4070558,7151,728254,4422,690769,5549,37485,3704,30480,3291,7005,1592,3342304,6150,3242596,7039,99708,5410,69121,4238,30587,3102,93467,6500,11254,2619,1600,911,9654,2298,5022,1332,4632,1748,82213,5319,11993,1980,70220,4864,23306,3011,46914,4152,2784,null,null,7151,null,null,4422,null,null,5549,null,null,3704,null,null,3291,null,null,1592,null,null,6150,null,null,7039,null,null,5410,null,null,4238,null,null,3102,null,null,6500,null,null,2619,null,null,911,null,null,2298,null,null,1332,null,null,1748,null,null,5319,null,null,1980,null,null,4864,null,null,3011,null,null,4152,null,null,21
4374703,3568,4265907,8638,799191,4343,758294,5463,40897,4495,34762,4301,6135,1744,3466716,7345,3251508,8376,215208,7461,160181,7015,55027,4057,108796,7410,11127,2054,788,546,10339,1995,4625,1446,5714,1872,97669,6850,11135,1932,86534,6422,29232,3674,57302,5512,3568,null,null,8638,null,null,4343,null,null,5463,null,null,4495,null,null,4301,null,null,1744,null,null,7345,null,null,8376,null,null,7461,null,null,7015,null,null,4057,null,null,7410,null,null,2054,null,null,546,null,null,1995,null,null,1446,null,null,1872,null,null,6850,null,null,1932,null,null,6422,null,null,3674,null,null,5512,null,null,22
1267538,938,1245378,3405,188487,1689,181725,1836,6762,1389,6055,1314,707,317,1056891,2699,1000173,4475,56718,3732,43905,3123,12813,1769,22160,3236,2523,1055,288,239,2235,1026,1210,874,1025,656,19637,2641,6951,1557,12686,1951,5987,1300,6699,1332,938,null,null,3405,null,null,1689,null,null,1836,null,null,1389,null,null,1314,null,null,317,null,null,2699,null,null,4475,null,null,3732,null,null,3123,null,null,1769,null,null,3236,null,null,1055,null,null,239,null,null,1026,null,null,874,null,null,656,null,null,2641,null,null,1557,null,null,1951,null,null,1300,null,null,1332,null,null,23
5653552,1594,5206651,13945,946558,4381,790970,8133,155588,7375,132001,7037,23587,2975,4260093,12337,3732721,15295,527372,12368,385081,10563,142291,6101,446901,13860,36699,4274,6207,1622,30492,3947,16814,2554,13678,2687,410202,12157,54586,5740,355616,11277,136765,7534,218851,10215,1594,null,null,13945,null,null,4381,null,null,8133,null,null,7375,null,null,7037,null,null,2975,null,null,12337,null,null,15295,null,null,12368,null,null,10563,null,null,6101,null,null,13860,null,null,4274,null,null,1622,null,null,3947,null,null,2554,null,null,2687,null,null,12157,null,null,5740,null,null,11277,null,null,7534,null,null,10215,null,null,24
6452005,1483,5928346,14827,980305,5539,777173,7628,203132,7795,176634,7167,26498,2982,4948041,12690,4076784,17744,871257,17180,572520,14046,298737,9344,523659,14504,38868,4910,4874,1038,33994,4890,20522,4112,13472,2936,484791,12782,65945,4901,418846,12577,165917,6847,252929,11497,1483,null,null,14827,null,null,5539,null,null,7628,null,null,7795,null,null,7167,null,null,2982,null,null,12690,null,null,17744,null,null,17180,null,null,14046,null,null,9344,null,null,14504,null,null,4910,null,null,1038,null,null,4890,null,null,4112,null,null,2936,null,null,12782,null,null,4901,null,null,12577,null,null,6847,null,null,11497,null,null,25
9356637,2272,9042099,11128,1588146,4380,1444425,7617,143721,6703,122065,6670,21656,2896,7453953,9690,6973387,13125,480566,10897,330324,10074,150242,7143,314538,10973,31374,3642,3721,831,27653,3489,16784,2874,10869,2304,283164,9248,43271,3286,239893,8994,91557,4917,148336,8165,2272,null,null,11128,null,null,4380,null,null,7617,null,null,6703,null,null,6670,null,null,2896,null,null,9690,null,null,13125,null,null,10897,null,null,10074,null,null,7143,null,null,10973,null,null,3642,null,null,831,null,null,3489,null,null,2874,null,null,2304,null,null,9248,null,null,3286,null,null,8994,null,null,4917,null,null,8165,null,null,26
5168872,1829,4950899,8061,913933,3766,802795,6756,111138,6659,91348,6539,19790,2538,4036966,6876,3737569,10205,299397,8520,197555,7076,101842,5536,217973,7447,23610,2905,4051,1264,19559,2802,8263,1714,11296,2253,194363,6252,26730,3272,167633,6310,60984,4282,106649,4993,1829,null,null,8061,null,null,3766,null,null,6756,null,null,6659,null,null,6539,null,null,2538,null,null,6876,null,null,10205,null,null,8520,null,null,7076,null,null,5536,null,null,7447,null,null,2905,null,null,1264,null,null,2802,null,null,1714,null,null,2253,null,null,6252,null,null,3272,null,null,6310,null,null,4282,null,null,4993,null,null,27
2801896,2989,2767168,5121,534044,3529,511735,3612,22309,2815,17268,2400,5041,1412,2233124,4456,2177935,4372,55189,3910,40372,3330,14817,2281,34728,3938,2279,987,214,288,2065,935,1213,554,852,558,32449,3752,4336,1267,28113,3433,10468,2209,17645,2982,2989,null,null,5121,null,null,3529,null,null,3612,null,null,2815,null,null,2400,null,null,1412,null,null,4456,null,null,4372,null,null,3910,null,null,3330,null,null,2281,null,null,3938,null,null,987,null,null,288,null,null,935,null,null,554,null,null,558,null,null,3752,null,null,1267,null,null,3433,null,null,2209,null,null,2982,null,null,28
5721468,2913,5592775,8124,1007788,3591,944370,5468,63418,4930,50686,4894,12732,2105,4584987,7479,4402012,11504,182975,8419,130508,7452,52467,4200,128693,7358,10744,2165,956,457,9788,2049,6420,1658,3368,884,117949,6731,15960,2223,101989,5962,44929,3638,57060,5160,2913,null,null,8124,null,null,3591,null,null,5468,null,null,4930,null,null,4894,null,null,2105,null,null,7479,null,null,11504,null,null,8419,null,null,7452,null,null,4200,null,null,7358,null,null,2165,null,null,457,null,null,2049,null,null,1658,null,null,884,null,null,6731,null,null,2223,null,null,5962,null,null,3638,null,null,5160,null,null,29
981377,1458,971172,2168,166937,2187,162124,2582,4813,1244,4524,1194,289,197,804235,2296,778086,3546,26149,2783,22115,2337,4034,1131,10205,1637,594,383,150,182,444,314,230,273,214,193,9611,1581,4633,993,4978,1156,2621,863,2357,825,1458,null,null,2168,null,null,2187,null,null,2582,null,null,1244,null,null,1194,null,null,197,null,null,2296,null,null,3546,null,null,2783,null,null,2337,null,null,1131,null,null,1637,null,null,383,null,null,182,null,null,314,null,null,273,null,null,193,null,null,1581,null,null,993,null,null,1156,null,null,863,null,null,825,null,null,30
