B99161_001E,B99161_002E,B99161_003E,B99161_001EA,B99161_002EA,B99161_003EA,state
19494972,1432054,18062918,null,null,null,12
9655493,619608,9035885,null,null,null,13
1337835,99820,1238015,null,null,null,15
1568997,100223,1468774,null,null,null,16
12032049,728108,11303941,null,null,null,17
6212686,396800,5815886,null,null,null,18
2937206,189036,2748170,null,null,null,19
2709883,173351,2536532,null,null,null,20
4164025,262703,3901322,null,null,null,21
4374703,282730,4091973,null,null,null,22
1267538,58836,1208702,null,null,null,23
5653552,422452,5231100,null,null,null,24
6452005,463883,5988122,null,null,null,25
9356637,543797,8812840,null,null,null,26
5168872,297024,4871848,null,null,null,27
2801896,155515,2646381,null,null,null,28
5721468,345239,5376229,null,null,null,29
981377,67855,913522,null,null,null,30
1774959,125035,1649924,null,null,null,31
2756697,177509,2579188,null,null,null,32
1270317,72236,1198081,null,null,null,33
8424299,541587,7882712,null,null,null,34
1955889,106927,1848962,null,null,null,35
18586270,1480363,17105907,null,null,null,36
9552195,645969,8906226,null,null,null,37
703055,48556,654499,null,null,null,38
10921628,620050,10301578,null,null,null,39
3659465,247712,3411753,null,null,null,40
3858883,239863,3619020,null,null,null,41
12074484,824995,11249489,null,null,null,42
1002282,62255,940027,null,null,null,44
4671107,308966,4362141,null,null,null,45
804562,37633,766929,null,null,null,46
6247026,387968,5859058,null,null,null,47
25855685,1574278,24281407,null,null,null,48
2797795,154408,2643387,null,null,null,49
594130,26628,567502,null,null,null,50
7908026,588946,7319080,null,null,null,51
6838056,435934,6402122,null,null,null,53
1729434,86937,1642497,null,null,null,54
5444618,307424,5137194,null,null,null,55
547628,27755,519873,null,null,null,56
3251554,125606,3125948,null,null,null,72
4576657,326999,4249658,null,null,null,01
689399,50821,638578,null,null,null,02
6494749,608063,5886686,null,null,null,04
2799532,170882,2628650,null,null,null,05
36767595,2871007,33896588,null,null,null,06
5205474,413035,4792439,null,null,null,08
3391423,214394,3177029,null,null,null,09
896824,48701,848123,null,null,null,10
637624,57527,580097,null,null,null,11
