B02012_001E,B02012_001M,B02012_001M,B02012_001EA,B02012_001MA,state
42968,5677,5677,null,null,12
17918,3830,3830,null,null,13
371680,10235,10235,null,null,15
5946,1611,1611,null,null,16
15061,2946,2946,null,null,17
8155,2392,2392,null,null,18
5904,2040,2040,null,null,19
6667,1890,1890,null,null,20
3886,1200,1200,null,null,21
2995,899,899,null,null,22
1668,771,771,null,null,23
11852,2787,2787,null,null,24
11125,2356,2356,null,null,25
9838,1717,1717,null,null,26
6487,1473,1473,null,null,27
2039,1205,1205,null,null,28
13108,2401,2401,null,null,29
2254,944,944,null,null,30
3794,1074,1074,null,null,31
40951,3557,3557,null,null,32
639,536,536,null,null,33
11348,2698,2698,null,null,34
2977,868,868,null,null,35
30833,3791,3791,null,null,36
17209,3252,3252,null,null,37
1887,1219,1219,null,null,38
12117,2161,2161,null,null,39
12053,1916,1916,null,null,40
36313,4016,4016,null,null,41
12659,2493,2493,null,null,42
3529,1794,1794,null,null,44
5573,1627,1627,null,null,45
1708,813,813,null,null,46
9947,3010,3010,null,null,47
51563,5075,5075,null,null,48
44861,2462,2462,null,null,49
664,378,378,null,null,50
21721,3249,3249,null,null,51
88387,4503,4503,null,null,53
1515,825,825,null,null,54
6098,1442,1442,null,null,55
1248,850,850,null,null,56
542,396,396,null,null,72
3769,922,922,null,null,01
15903,1794,1794,null,null,02
31883,3713,3713,null,null,04
11608,1450,1450,null,null,05
319337,11253,11253,null,null,06
17506,2641,2641,null,null,08
4062,1148,1148,null,null,09
2820,1778,1778,null,null,10
289,207,207,null,null,11
