B19001C_001E,B19001C_001M,B19001C_002E,B19001C_002M,B19001C_003E,B19001C_003M,B19001C_004E,B19001C_004M,B19001C_005E,B19001C_005M,B19001C_006E,B19001C_006M,B19001C_007E,B19001C_007M,B19001C_008E,B19001C_008M,B19001C_009E,B19001C_009M,B19001C_010E,B19001C_010M,B19001C_011E,B19001C_011M,B19001C_012E,B19001C_012M,B19001C_013E,B19001C_013M,B19001C_014E,B19001C_014M,B19001C_015E,B19001C_015M,B19001C_016E,B19001C_016M,B19001C_017E,B19001C_017M,B19001C_001M,B19001C_001EA,B19001C_001MA,B19001C_002M,B19001C_002EA,B19001C_002MA,B19001C_003M,B19001C_003EA,B19001C_003MA,B19001C_004M,B19001C_004EA,B19001C_004MA,B19001C_005M,B19001C_005EA,B19001C_005MA,B19001C_006M,B19001C_006EA,B19001C_006MA,B19001C_007M,B19001C_007EA,B19001C_007MA,B19001C_008M,B19001C_008EA,B19001C_008MA,B19001C_009M,B19001C_009EA,B19001C_009MA,B19001C_010M,B19001C_010EA,B19001C_010MA,B19001C_011M,B19001C_011EA,B19001C_011MA,B19001C_012M,B19001C_012EA,B19001C_012MA,B19001C_013M,B19001C_013EA,B19001C_013MA,B19001C_014M,B19001C_014EA,B19001C_014MA,B19001C_015M,B19001C_015EA,B19001C_015MA,B19001C_016M,B19001C_016EA,B19001C_016MA,B19001C_017M,B19001C_017EA,B19001C_017MA,state
18773,2366,1947,679,564,288,2209,898,1228,535,1321,677,824,569,939,490,428,294,789,470,1685,657,1668,702,2474,889,1365,490,532,301,529,268,271,158,2366,null,null,679,null,null,288,null,null,898,null,null,535,null,null,677,null,null,569,null,null,490,null,null,294,null,null,470,null,null,657,null,null,702,null,null,889,null,null,490,null,null,301,null,null,268,null,null,158,null,null,12
11831,1684,1938,801,1202,655,1135,667,918,472,949,527,467,410,837,595,522,413,241,210,873,474,865,525,721,465,461,245,317,265,317,250,68,74,1684,null,null,801,null,null,655,null,null,667,null,null,472,null,null,527,null,null,410,null,null,595,null,null,413,null,null,210,null,null,474,null,null,525,null,null,465,null,null,245,null,null,265,null,null,250,null,null,74,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
8481,1536,1595,634,343,245,359,303,531,342,814,604,285,216,482,366,216,210,530,284,1003,632,770,323,226,175,767,513,51,97,233,255,276,271,1536,null,null,634,null,null,245,null,null,303,null,null,342,null,null,604,null,null,216,null,null,366,null,null,210,null,null,284,null,null,632,null,null,323,null,null,175,null,null,513,null,null,97,null,null,255,null,null,271,null,null,16
11139,1522,776,304,552,248,1015,521,756,377,966,520,725,461,914,496,148,134,385,271,997,454,928,441,1393,691,688,431,279,238,335,336,282,199,1522,null,null,304,null,null,248,null,null,521,null,null,377,null,null,520,null,null,461,null,null,496,null,null,134,null,null,271,null,null,454,null,null,441,null,null,691,null,null,431,null,null,238,null,null,336,null,null,199,null,null,17
7020,1100,318,237,374,325,248,220,1077,672,485,422,549,322,421,372,260,203,135,143,746,351,207,148,881,494,631,337,159,177,174,137,355,362,1100,null,null,237,null,null,325,null,null,220,null,null,672,null,null,422,null,null,322,null,null,372,null,null,203,null,null,143,null,null,351,null,null,148,null,null,494,null,null,337,null,null,177,null,null,137,null,null,362,null,null,18
3508,810,533,332,221,271,193,210,193,171,310,258,409,301,47,68,323,288,67,86,106,153,204,179,539,302,101,75,257,228,0,159,5,10,810,null,null,332,null,null,271,null,null,210,null,null,171,null,null,258,null,null,301,null,null,68,null,null,288,null,null,86,null,null,153,null,null,179,null,null,302,null,null,75,null,null,228,null,null,159,null,null,10,null,null,19
8429,1238,647,300,551,369,730,374,773,373,998,411,695,369,603,420,252,179,314,238,671,288,455,269,1135,499,244,204,101,103,196,151,64,60,1238,null,null,300,null,null,369,null,null,374,null,null,373,null,null,411,null,null,369,null,null,420,null,null,179,null,null,238,null,null,288,null,null,269,null,null,499,null,null,204,null,null,103,null,null,151,null,null,60,null,null,20
5080,1176,818,565,717,588,99,117,250,204,313,322,298,244,0,190,63,89,82,109,469,358,443,415,553,467,332,325,537,382,42,56,64,109,1176,null,null,565,null,null,588,null,null,117,null,null,204,null,null,322,null,null,244,null,null,190,null,null,89,null,null,109,null,null,358,null,null,415,null,null,467,null,null,325,null,null,382,null,null,56,null,null,109,null,null,21
8580,1217,1355,541,338,234,667,341,283,167,497,391,504,304,322,192,353,247,365,275,541,351,1067,546,1327,682,373,300,409,291,96,84,83,97,1217,null,null,541,null,null,234,null,null,341,null,null,167,null,null,391,null,null,304,null,null,192,null,null,247,null,null,275,null,null,351,null,null,546,null,null,682,null,null,300,null,null,291,null,null,84,null,null,97,null,null,22
3421,656,677,279,656,412,87,64,193,121,126,104,255,190,27,35,163,113,62,42,119,130,387,340,259,247,309,252,56,107,45,74,0,172,656,null,null,279,null,null,412,null,null,64,null,null,121,null,null,104,null,null,190,null,null,35,null,null,113,null,null,42,null,null,130,null,null,340,null,null,247,null,null,252,null,null,107,null,null,74,null,null,172,null,null,23
5706,1058,633,383,179,207,181,151,731,409,0,198,0,198,155,188,158,202,326,237,136,140,400,253,881,399,631,394,323,308,96,129,876,530,1058,null,null,383,null,null,207,null,null,151,null,null,409,null,null,198,null,null,198,null,null,188,null,null,202,null,null,237,null,null,140,null,null,253,null,null,399,null,null,394,null,null,308,null,null,129,null,null,530,null,null,24
4603,943,414,311,627,450,316,267,74,120,264,177,96,95,422,438,293,245,181,208,144,202,354,275,458,302,309,268,397,345,129,172,125,125,943,null,null,311,null,null,450,null,null,267,null,null,120,null,null,177,null,null,95,null,null,438,null,null,245,null,null,208,null,null,202,null,null,275,null,null,302,null,null,268,null,null,345,null,null,172,null,null,125,null,null,25
18761,1674,2151,551,1364,460,882,317,1626,505,1426,612,1034,476,926,265,1024,334,934,498,1856,453,1681,546,2105,682,901,349,361,248,279,175,211,152,1674,null,null,551,null,null,460,null,null,317,null,null,505,null,null,612,null,null,476,null,null,265,null,null,334,null,null,498,null,null,453,null,null,546,null,null,682,null,null,349,null,null,248,null,null,175,null,null,152,null,null,26
18668,1423,2805,712,1640,502,1661,676,1253,484,595,250,961,331,769,245,930,395,445,209,1276,349,1444,501,2330,588,1133,422,556,210,343,186,527,262,1423,null,null,712,null,null,502,null,null,676,null,null,484,null,null,250,null,null,331,null,null,245,null,null,395,null,null,209,null,null,349,null,null,501,null,null,588,null,null,422,null,null,210,null,null,186,null,null,262,null,null,27
4455,735,664,498,661,467,341,233,530,328,203,233,138,169,184,173,79,92,83,140,332,214,315,246,434,317,291,253,48,84,152,181,0,213,735,null,null,498,null,null,467,null,null,233,null,null,328,null,null,233,null,null,169,null,null,173,null,null,92,null,null,140,null,null,214,null,null,246,null,null,317,null,null,253,null,null,84,null,null,181,null,null,213,null,null,28
