B28009H_001E,B28009H_001M,B28009H_002E,B28009H_002M,B28009H_003E,B28009H_003M,B28009H_004E,B28009H_004M,B28009H_005E,B28009H_005M,B28009H_006E,B28009H_006M,B28009H_001M,B28009H_001EA,B28009H_001MA,B28009H_002M,B28009H_002EA,B28009H_002MA,B28009H_003M,B28009H_003EA,B28009H_003MA,B28009H_004M,B28009H_004EA,B28009H_004MA,B28009H_005M,B28009H_005EA,B28009H_005MA,B28009H_006M,B28009H_006EA,B28009H_006MA,state
11047243,7383,10412249,22017,48516,5937,9641010,31717,722723,23949,634994,21012,7383,null,null,22017,null,null,5937,null,null,31717,null,null,23949,null,null,21012,null,null,12
5371870,5913,5031062,15730,15935,3195,4660740,23807,354387,21098,340808,13632,5913,null,null,15730,null,null,3195,null,null,23807,null,null,21098,null,null,13632,null,null,13
299150,1832,288386,2737,971,603,269695,4169,17720,3232,10764,2229,1832,null,null,2737,null,null,603,null,null,4169,null,null,3232,null,null,2229,null,null,15
1363549,1034,1286318,6177,6512,1626,1181871,10880,97935,9101,77231,6250,1034,null,null,6177,null,null,1626,null,null,10880,null,null,9101,null,null,6250,null,null,16
7718997,5219,7245823,12709,30673,3484,6847439,19296,367711,14826,473174,10693,5219,null,null,12709,null,null,3484,null,null,19296,null,null,14826,null,null,10693,null,null,17
5136514,3544,4731131,13315,26446,3820,4334710,21677,369975,15696,405383,12651,3544,null,null,13315,null,null,3820,null,null,21677,null,null,15696,null,null,12651,null,null,18
2624166,2410,2430579,8353,15289,1832,2239689,11953,175601,10807,193587,7957,2410,null,null,8353,null,null,1832,null,null,11953,null,null,10807,null,null,7957,null,null,19
2160347,2007,2014803,7153,9580,2129,1859388,11279,145835,9527,145544,6897,2007,null,null,7153,null,null,2129,null,null,11279,null,null,9527,null,null,6897,null,null,20
3669511,4516,3295602,12400,14485,2430,3033407,18667,247710,13265,373909,12313,4516,null,null,12400,null,null,2430,null,null,18667,null,null,13265,null,null,12313,null,null,21
2700371,3138,2487760,10685,6793,1551,2270301,14377,210666,12507,212611,9937,3138,null,null,10685,null,null,1551,null,null,14377,null,null,12507,null,null,9937,null,null,22
1212415,875,1127697,5071,9663,2082,1038132,8263,79902,6455,84718,5008,875,null,null,5071,null,null,2082,null,null,8263,null,null,6455,null,null,5008,null,null,23
3022240,2933,2864205,9385,9969,1983,2734944,12882,119292,9630,158035,8782,2933,null,null,9385,null,null,1983,null,null,12882,null,null,9630,null,null,8782,null,null,24
4760610,7027,4507852,11720,13827,2666,4322892,15889,171133,10669,252758,10089,7027,null,null,11720,null,null,2666,null,null,15889,null,null,10669,null,null,10089,null,null,25
7332412,3626,6833695,11996,29459,3383,6380026,18588,424210,17166,498717,10874,3626,null,null,11996,null,null,3383,null,null,18588,null,null,17166,null,null,10874,null,null,26
4346277,2918,4096273,8188,23320,2284,3852879,12699,220074,10365,250004,7477,2918,null,null,8188,null,null,2284,null,null,12699,null,null,10365,null,null,7477,null,null,27
1657874,2210,1498490,9226,6219,1776,1345930,14324,146341,12769,159384,9110,2210,null,null,9226,null,null,1776,null,null,14324,null,null,12769,null,null,9110,null,null,28
4722536,3353,4358771,11508,19129,2631,3987517,17322,352125,14703,363765,11897,3353,null,null,11508,null,null,2631,null,null,17322,null,null,14703,null,null,11897,null,null,29
877573,1002,812633,4343,6406,1379,736591,8885,69636,7837,64940,4285,1002,null,null,4343,null,null,1379,null,null,8885,null,null,7837,null,null,4285,null,null,30
1480196,1599,1385292,5415,7475,1552,1299292,7989,78525,5198,94904,5213,1599,null,null,5415,null,null,1552,null,null,7989,null,null,5198,null,null,5213,null,null,31
1445685,2180,1369072,5316,6129,1983,1266433,9159,96510,8031,76613,5116,2180,null,null,5316,null,null,1983,null,null,9159,null,null,8031,null,null,5116,null,null,32
1177726,1565,1122783,4355,4765,1509,1061648,8077,56370,7250,54943,4035,1565,null,null,4355,null,null,1509,null,null,8077,null,null,7250,null,null,4035,null,null,33
4875566,5770,4628027,10564,14340,2706,4411238,15441,202449,11232,247539,9986,5770,null,null,10564,null,null,2706,null,null,15441,null,null,11232,null,null,9986,null,null,34
772057,2283,721492,5510,4180,1199,660162,7839,57150,5942,50565,5202,2283,null,null,5510,null,null,1199,null,null,7839,null,null,5942,null,null,5202,null,null,35
10669717,7903,9914806,21581,43337,5534,9292357,26739,579112,23032,754911,19839,7903,null,null,21581,null,null,5534,null,null,26739,null,null,23032,null,null,19839,null,null,36
6297608,4759,5850387,14818,23687,2962,5402893,22296,423807,19941,447221,13605,4759,null,null,14818,null,null,2962,null,null,22296,null,null,19941,null,null,13605,null,null,37
623825,799,583366,2964,1348,447,544509,4262,37509,3436,40459,3023,799,null,null,2964,null,null,447,null,null,4262,null,null,3436,null,null,3023,null,null,38
8996608,4402,8301725,16490,39803,4023,7762114,24365,499808,17338,694883,16277,4402,null,null,16490,null,null,4023,null,null,24365,null,null,17338,null,null,16277,null,null,39
2528338,2104,2322227,8096,8943,1865,2088155,10553,225129,9319,206111,8041,2104,null,null,8096,null,null,1865,null,null,10553,null,null,9319,null,null,8041,null,null,40
3061337,2493,2907722,7603,14410,3038,2721339,16108,171973,13160,153615,7433,2493,null,null,7603,null,null,3038,null,null,16108,null,null,13160,null,null,7433,null,null,41
9549773,4808,8735281,16301,48025,3741,8234782,22093,452474,17222,814492,15727,4808,null,null,16301,null,null,3741,null,null,22093,null,null,17222,null,null,15727,null,null,42
737453,2686,686707,5208,1064,661,659327,6287,26316,3679,50746,4168,2686,null,null,5208,null,null,661,null,null,6287,null,null,3679,null,null,4168,null,null,44
3088907,3520,2885246,9756,9242,1715,2653533,15417,222471,12655,203661,8962,3520,null,null,9756,null,null,1715,null,null,15417,null,null,12655,null,null,8962,null,null,45
687202,1097,639737,3664,3165,798,592247,5610,44325,4238,47465,3528,1097,null,null,3664,null,null,798,null,null,5610,null,null,4238,null,null,3528,null,null,46
4831042,3498,4401088,14148,16849,3090,4005405,21792,378834,17484,429954,13373,3498,null,null,14148,null,null,3090,null,null,21792,null,null,17484,null,null,13373,null,null,47
11586179,8262,11040058,17765,32276,5479,10294782,31687,713000,29038,546121,15856,8262,null,null,17765,null,null,5479,null,null,31687,null,null,29038,null,null,15856,null,null,48
2367041,2248,2309264,5348,5841,1284,2138074,11564,165349,11377,57777,4827,2248,null,null,5348,null,null,1284,null,null,11564,null,null,11377,null,null,4827,null,null,49
559730,816,521325,3556,4248,917,479850,5675,37227,4550,38405,3438,816,null,null,3556,null,null,917,null,null,5675,null,null,4550,null,null,3438,null,null,50
5097389,4335,4794976,13307,17810,2352,4503381,18810,273785,14635,302413,12205,4335,null,null,13307,null,null,2352,null,null,18810,null,null,14635,null,null,12205,null,null,51
4965963,3354,4765486,9296,20419,4443,4532232,16773,212835,12675,200477,8427,3354,null,null,9296,null,null,4443,null,null,16773,null,null,12675,null,null,8427,null,null,53
1649108,2619,1455104,9948,6247,1813,1305908,12142,142949,9898,194004,9781,2619,null,null,9948,null,null,1813,null,null,12142,null,null,9898,null,null,9781,null,null,54
4610820,2458,4273798,9053,30103,2508,4005345,13466,238350,10202,337022,8472,2458,null,null,9053,null,null,2508,null,null,13466,null,null,10202,null,null,8472,null,null,55
