C21001D_001E,C21001D_001M,C21001D_002E,C21001D_002M,C21001D_003E,C21001D_003M,C21001D_004E,C21001D_004M,C21001D_005E,C21001D_005M,C21001D_006E,C21001D_006M,C21001D_007E,C21001D_007M,C21001D_008E,C21001D_008M,C21001D_009E,C21001D_009M,C21001D_010E,C21001D_010M,C21001D_011E,C21001D_011M,C21001D_012E,C21001D_012M,C21001D_013E,C21001D_013M,C21001D_014E,C21001D_014M,C21001D_015E,C21001D_015M,C21001D_001M,C21001D_001EA,C21001D_001MA,C21001D_002M,C21001D_002EA,C21001D_002MA,C21001D_003M,C21001D_003EA,C21001D_003MA,C21001D_004M,C21001D_004EA,C21001D_004MA,C21001D_005M,C21001D_005EA,C21001D_005MA,C21001D_006M,C21001D_006EA,C21001D_006MA,C21001D_007M,C21001D_007EA,C21001D_007MA,C21001D_008M,C21001D_008EA,C21001D_008MA,C21001D_009M,C21001D_009EA,C21001D_009MA,C21001D_010M,C21001D_010EA,C21001D_010MA,C21001D_011M,C21001D_011EA,C21001D_011MA,C21001D_012M,C21001D_012EA,C21001D_012MA,C21001D_013M,C21001D_013EA,C21001D_013MA,C21001D_014M,C21001D_014EA,C21001D_014MA,C21001D_015M,C21001D_015EA,C21001D_015MA,state
449619,5622,195479,3675,165758,3705,9803,1597,155955,3790,29721,1398,3423,887,26298,1495,254140,3514,210757,3203,1118,560,209639,3239,43383,1884,155,181,43228,1896,5622,null,null,3675,null,null,3705,null,null,1597,null,null,3790,null,null,1398,null,null,887,null,null,1495,null,null,3514,null,null,3203,null,null,560,null,null,3239,null,null,1884,null,null,181,null,null,1896,null,null,12
309297,4706,146238,2942,130893,2913,3557,940,127336,3110,15345,1435,1403,635,13942,1305,163059,3254,144917,2921,759,457,144158,2823,18142,1608,148,250,17994,1506,4706,null,null,2942,null,null,2913,null,null,940,null,null,3110,null,null,1435,null,null,635,null,null,1305,null,null,3254,null,null,2921,null,null,457,null,null,2823,null,null,1608,null,null,250,null,null,1506,null,null,13
462182,7445,209080,4863,153347,4481,11148,1561,142199,4521,55733,1301,20366,1551,35367,1980,253102,3867,174866,3730,857,607,174009,3693,78236,1202,632,347,77604,1245,7445,null,null,4863,null,null,4481,null,null,1561,null,null,4521,null,null,1301,null,null,1551,null,null,1980,null,null,3867,null,null,3730,null,null,607,null,null,3693,null,null,1202,null,null,347,null,null,1245,null,null,15
18523,1755,7396,1112,6202,1114,176,244,6026,1095,1194,528,7,14,1187,528,11127,1236,9485,1258,0,198,9485,1258,1642,541,0,198,1642,541,1755,null,null,1112,null,null,1114,null,null,244,null,null,1095,null,null,528,null,null,14,null,null,528,null,null,1236,null,null,1258,null,null,198,null,null,1258,null,null,541,null,null,198,null,null,541,null,null,16
541961,4043,257110,2503,221636,2644,3885,1125,217751,2917,35474,777,2230,684,33244,869,284851,2905,240633,3028,1097,556,239536,2996,44218,1908,78,93,44140,1901,4043,null,null,2503,null,null,2644,null,null,1125,null,null,2917,null,null,777,null,null,684,null,null,869,null,null,2905,null,null,3028,null,null,556,null,null,2996,null,null,1908,null,null,93,null,null,1901,null,null,17
109572,2946,54080,1663,50703,1689,988,700,49715,1844,3377,755,410,290,2967,750,55492,2146,49757,2208,265,234,49492,2218,5735,1106,0,192,5735,1106,2946,null,null,1663,null,null,1689,null,null,700,null,null,1844,null,null,755,null,null,290,null,null,750,null,null,2146,null,null,2208,null,null,234,null,null,2218,null,null,1106,null,null,192,null,null,1106,null,null,18
57121,1773,27453,1176,25912,1186,598,387,25314,1288,1541,580,0,159,1541,580,29668,1365,27380,1433,29,63,27351,1430,2288,622,0,159,2288,622,1773,null,null,1176,null,null,1186,null,null,387,null,null,1288,null,null,580,null,null,159,null,null,580,null,null,1365,null,null,1433,null,null,63,null,null,1430,null,null,622,null,null,159,null,null,622,null,null,19
62854,2818,30100,1786,27958,1705,603,527,27355,1747,2142,383,95,114,2047,378,32754,1753,29340,1836,38,82,29302,1827,3414,427,0,174,3414,427,2818,null,null,1786,null,null,1705,null,null,527,null,null,1747,null,null,383,null,null,114,null,null,378,null,null,1753,null,null,1836,null,null,82,null,null,1827,null,null,427,null,null,174,null,null,427,null,null,20
46124,2417,19653,1512,18325,1438,285,281,18040,1362,1328,496,176,122,1152,490,26471,1659,23957,1706,0,190,23957,1706,2514,609,0,190,2514,609,2417,null,null,1512,null,null,1438,null,null,281,null,null,1362,null,null,496,null,null,122,null,null,490,null,null,1659,null,null,1706,null,null,190,null,null,1706,null,null,609,null,null,190,null,null,609,null,null,21
61615,1958,30536,1699,26911,1524,1615,970,25296,1584,3625,744,168,193,3457,788,31079,1521,27163,1621,170,228,26993,1662,3916,641,0,208,3916,641,1958,null,null,1699,null,null,1524,null,null,970,null,null,1584,null,null,744,null,null,193,null,null,788,null,null,1521,null,null,1621,null,null,228,null,null,1662,null,null,641,null,null,208,null,null,641,null,null,22
