B25006_001E,B25006_001M,B25006_002E,B25006_002M,B25006_003E,B25006_003M,B25006_004E,B25006_004M,B25006_005E,B25006_005M,B25006_006E,B25006_006M,B25006_007E,B25006_007M,B25006_008E,B25006_008M,B25006_009E,B25006_009M,B25006_010E,B25006_010M,B25006_001M,B25006_001EA,B25006_001MA,B25006_002M,B25006_002EA,B25006_002MA,B25006_003M,B25006_003EA,B25006_003MA,B25006_004M,B25006_004EA,B25006_004MA,B25006_005M,B25006_005EA,B25006_005MA,B25006_006M,B25006_006EA,B25006_006MA,B25006_007M,B25006_007EA,B25006_007MA,B25006_008M,B25006_008EA,B25006_008MA,B25006_009M,B25006_009EA,B25006_009MA,B25006_010M,B25006_010EA,B25006_010MA,state
7573456,23478,6063776,20702,1041426,10945,18773,2366,170014,5261,3785,764,155110,6741,120572,5916,22231,2293,98341,5625,23478,null,null,20702,null,null,10945,null,null,2366,null,null,5261,null,null,764,null,null,6741,null,null,5916,null,null,2293,null,null,5625,null,null,12
3686135,15528,2277774,11805,1142075,11043,11831,1684,124400,4052,2180,911,74279,5675,53596,3851,9170,1518,44426,3867,15528,null,null,11805,null,null,11043,null,null,1684,null,null,4052,null,null,911,null,null,5675,null,null,3851,null,null,1518,null,null,3867,null,null,13
455868,4824,151402,3116,9651,1420,998,470,178552,4222,37097,2334,2476,691,75692,3440,2698,774,72994,3249,4824,null,null,3116,null,null,1420,null,null,470,null,null,4222,null,null,2334,null,null,691,null,null,3440,null,null,774,null,null,3249,null,null,15
610872,4143,563299,4430,2829,1176,8481,1536,7651,1462,761,524,16329,1899,11522,1651,1142,588,10380,1569,4143,null,null,4430,null,null,1176,null,null,1536,null,null,1462,null,null,524,null,null,1899,null,null,1651,null,null,588,null,null,1569,null,null,16
4822046,12932,3619597,13053,679986,7386,11139,1522,223951,4791,1777,668,214464,6607,71132,4250,12573,1568,58559,4215,12932,null,null,13053,null,null,7386,null,null,1522,null,null,4791,null,null,668,null,null,6607,null,null,4250,null,null,1568,null,null,4215,null,null,17
2533270,10440,2179446,11130,229634,4529,7020,1100,42879,2180,720,451,42437,3160,31134,3208,3060,859,28074,3019,10440,null,null,11130,null,null,4529,null,null,1100,null,null,2180,null,null,451,null,null,3160,null,null,3208,null,null,859,null,null,3019,null,null,18
1247932,7106,1158356,6930,37732,2520,3508,810,24412,1503,682,363,11840,1560,11402,1623,530,345,10872,1630,7106,null,null,6930,null,null,2520,null,null,810,null,null,1503,null,null,363,null,null,1560,null,null,1623,null,null,345,null,null,1630,null,null,19
1110407,6778,969924,6845,64221,2847,8429,1238,25029,1859,567,345,20091,2347,22146,2177,1293,385,20853,2089,6778,null,null,6845,null,null,2847,null,null,1238,null,null,1859,null,null,345,null,null,2347,null,null,2177,null,null,385,null,null,2089,null,null,20
1717706,9131,1524820,9147,139595,3768,5080,1176,18822,1319,449,379,9313,1474,19627,2419,1304,459,18323,2265,9131,null,null,9147,null,null,3768,null,null,1176,null,null,1319,null,null,379,null,null,1474,null,null,2419,null,null,459,null,null,2265,null,null,21
1720801,8997,1123033,7550,523323,6628,8580,1217,24139,1653,189,157,20095,2374,21442,2606,1936,693,19506,2411,8997,null,null,7550,null,null,6628,null,null,1217,null,null,1653,null,null,157,null,null,2374,null,null,2606,null,null,693,null,null,2411,null,null,22
531660,5774,510056,5873,4732,929,3421,656,5209,902,117,165,685,308,7440,1163,193,156,7247,1165,5774,null,null,5873,null,null,929,null,null,656,null,null,902,null,null,165,null,null,308,null,null,1163,null,null,156,null,null,1165,null,null,23
2194657,9484,1318819,7793,651937,7549,5706,1058,120317,3133,1074,607,54131,3403,42673,3433,4539,1024,38134,3264,9484,null,null,7793,null,null,7549,null,null,1058,null,null,3133,null,null,607,null,null,3403,null,null,3433,null,null,1024,null,null,3264,null,null,24
2579398,8290,2131900,9364,167190,4630,4603,943,136364,3396,1205,683,90234,5020,47902,4086,7141,1344,40761,3799,8290,null,null,9364,null,null,4630,null,null,943,null,null,3396,null,null,683,null,null,5020,null,null,4086,null,null,1344,null,null,3799,null,null,25
3884153,13696,3140156,11366,521368,6280,18761,1674,95420,2632,635,315,34198,2703,73615,3838,5272,1025,68343,3697,13696,null,null,11366,null,null,6280,null,null,1674,null,null,2632,null,null,315,null,null,2703,null,null,3838,null,null,1025,null,null,3697,null,null,26
2148725,7378,1898036,7143,103376,3522,18668,1423,70448,2307,287,173,27541,2053,30369,2529,2150,627,28219,2391,7378,null,null,7143,null,null,3522,null,null,1423,null,null,2307,null,null,173,null,null,2053,null,null,2529,null,null,627,null,null,2391,null,null,27
1091245,8803,669640,6525,393344,6287,4455,735,8744,1350,417,485,7537,1348,7108,1594,443,335,6665,1556,8803,null,null,6525,null,null,6287,null,null,735,null,null,1350,null,null,485,null,null,1348,null,null,1594,null,null,335,null,null,1556,null,null,28
2372190,10844,2003555,9647,266343,5387,11169,1568,37491,1815,1850,741,17504,2092,34278,2999,2485,794,31793,2836,10844,null,null,9647,null,null,5387,null,null,1568,null,null,1815,null,null,741,null,null,2092,null,null,2999,null,null,794,null,null,2836,null,null,29
416125,4426,384605,4196,1624,649,17212,1203,2601,832,38,61,968,480,9077,1756,508,348,8569,1671,4426,null,null,4196,null,null,649,null,null,1203,null,null,832,null,null,61,null,null,480,null,null,1756,null,null,348,null,null,1671,null,null,30
747562,4452,678025,4876,33211,1631,4413,759,12250,1355,330,239,10354,1717,8979,1249,594,313,8385,1186,4452,null,null,4876,null,null,1631,null,null,759,null,null,1355,null,null,239,null,null,1717,null,null,1249,null,null,313,null,null,1186,null,null,31
1055158,6433,760688,7892,92168,3697,12621,1451,78567,3080,5512,855,73943,4192,31659,2558,4580,1148,27079,2341,6433,null,null,7892,null,null,3697,null,null,1451,null,null,3080,null,null,855,null,null,4192,null,null,2558,null,null,1148,null,null,2341,null,null,32
