B19113A_001E,B19113A_001M,B19113A_001M,B19113A_001EA,B19113A_001MA,state
65227,517,517,null,null,12
73751,1013,1013,null,null,13
90869,3306,3306,null,null,15
64723,1414,1414,null,null,16
83840,800,800,null,null,17
69121,705,705,null,null,18
74735,991,991,null,null,19
73338,1088,1088,null,null,20
61185,800,800,null,null,21
71286,935,935,null,null,22
69205,1824,1824,null,null,23
106819,1203,1203,null,null,24
101635,932,932,null,null,25
71583,453,453,null,null,26
87179,867,867,null,null,27
65404,1698,1698,null,null,28
68567,968,968,null,null,29
67805,1788,1788,null,null,30
76084,1044,1044,null,null,31
70739,1265,1265,null,null,32
87299,2071,2071,null,null,33
101602,710,710,null,null,34
61625,1872,1872,null,null,35
89329,790,790,null,null,36
69373,779,779,null,null,37
82233,1883,1883,null,null,38
70940,475,475,null,null,39
65704,787,787,null,null,40
72316,1031,1031,null,null,41
76482,460,460,null,null,42
82911,3238,3238,null,null,44
70670,990,990,null,null,45
74564,1673,1673,null,null,46
64442,915,915,null,null,47
70595,443,443,null,null,48
76823,1011,1011,null,null,49
75478,2114,2114,null,null,50
90427,838,838,null,null,51
84123,967,967,null,null,53
56931,1084,1084,null,null,54
76284,600,600,null,null,55
74330,2467,2467,null,null,56
25160,650,650,null,null,72
67763,1089,1089,null,null,01
98427,4445,4445,null,null,02
68421,881,881,null,null,04
60466,906,906,null,null,05
82900,619,619,null,null,06
83583,1153,1153,null,null,08
103342,1586,1586,null,null,09
79964,1883,1883,null,null,10
187512,7867,7867,null,null,11
