B19113C_001E,B19113C_001M,B19113C_001M,B19113C_001EA,B19113C_001MA,state
50995,3892,3892,null,null,12
29926,9201,9201,null,null,13
null,null,null,null,null,15
45503,8174,8174,null,null,16
51414,5580,5580,null,null,17
52199,17183,17183,null,null,18
39840,15980,15980,null,null,19
52020,8663,8663,null,null,20
59417,12416,12416,null,null,21
53044,12786,12786,null,null,22
43010,17436,17436,null,null,23
98154,18133,18133,null,null,24
49085,26011,26011,null,null,25
46278,5336,5336,null,null,26
42044,5794,5794,null,null,27
39107,15775,15775,null,null,28
49391,20322,20322,null,null,29
45027,5258,5258,null,null,30
44903,5804,5804,null,null,31
44918,10434,10434,null,null,32
118468,82805,82805,null,null,33
60971,19934,19934,null,null,34
37676,4305,4305,null,null,35
49665,5251,5251,null,null,36
46467,5045,5045,null,null,37
37048,7765,7765,null,null,38
45236,22042,22042,null,null,39
50024,2424,2424,null,null,40
47436,5321,5321,null,null,41
42060,5685,5685,null,null,42
34375,22639,22639,null,null,44
49666,16857,16857,null,null,45
22405,2591,2591,null,null,46
52582,14637,14637,null,null,47
59284,6396,6396,null,null,48
48245,10246,10246,null,null,49
44274,35070,35070,null,null,50
66894,23142,23142,null,null,51
50643,3793,3793,null,null,53
null,null,null,null,null,54
49371,5602,5602,null,null,55
37047,9169,9169,null,null,56
25355,12226,12226,null,null,72
56514,13652,13652,null,null,01
54239,4962,4962,null,null,02
38832,1977,1977,null,null,04
49946,22022,22022,null,null,05
52114,3123,3123,null,null,06
50221,8309,8309,null,null,08
54000,19449,19449,null,null,09
91003,48326,48326,null,null,10
null,null,null,null,null,11
