B19313B_001E,B19313B_001M,B19313B_001M,B19313B_001EA,B19313B_001MA,state
60999285900,1116188001,1116188001,null,null,12
68208228500,1124310862,1124310862,null,null,13
835601300,118552936,118552936,null,null,15
242000500,91113288,91113288,null,null,16
39010625100,932629402,932629402,null,null,17
11978928900,803929724,803929724,null,null,18
2021410300,260307745,260307745,null,null,19
3380819600,181267500,181267500,null,null,20
6738923800,270679621,270679621,null,null,21
24596707300,754367828,754367828,null,null,22
242412500,42573890,42573890,null,null,23
54785143300,818443206,818443206,null,null,24
12351579800,470145054,470145054,null,null,25
25925469900,616774182,616774182,null,null,26
5739487200,253255666,253255666,null,null,27
17521401600,687472347,687472347,null,null,28
13877980700,450333608,450333608,null,null,29
98115300,37312847,37312847,null,null,30
1854333900,176019623,176019623,null,null,31
5456925900,298661033,298661033,null,null,32
392782400,79426285,79426285,null,null,33
30978709200,944411733,944411733,null,null,34
886370600,107584410,107584410,null,null,35
73935988900,1299441784,1299441784,null,null,36
44082621200,1409859773,1409859773,null,null,37
325396000,89194670,89194670,null,null,38
27096461200,646150997,646150997,null,null,39
5482064500,262635349,262635349,null,null,40
1517176400,109612958,109612958,null,null,41
28631697500,700064671,700064671,null,null,42
1412203700,136025463,136025463,null,null,44
23921836000,611838531,611838531,null,null,45
248906400,32903093,32903093,null,null,46
22158962800,643465038,643465038,null,null,47
75367156900,1230919974,1230919974,null,null,48
571673400,94355412,94355412,null,null,49
103695400,25927422,25927422,null,null,50
41416178600,852779705,852779705,null,null,51
6634598500,337423472,337423472,null,null,53
1309664600,118055045,118055045,null,null,54
5963703900,190756982,190756982,null,null,55
179141000,71570959,71570959,null,null,56
4381246700,288008017,288008017,null,null,72
24027883200,649729550,649729550,null,null,01
766042800,167209563,167209563,null,null,02
6278916700,290303248,290303248,null,null,04
7864602500,452422535,452422535,null,null,05
60817150800,1125539471,1125539471,null,null,06
5676391600,320089793,320089793,null,null,08
8944957800,362025432,362025432,null,null,09
4931566000,347232592,347232592,null,null,10
9438851100,645460193,645460193,null,null,11
