B17020C_001E,B17020C_001M,B17020C_002E,B17020C_002M,B17020C_003E,B17020C_003M,B17020C_004E,B17020C_004M,B17020C_005E,B17020C_005M,B17020C_006E,B17020C_006M,B17020C_007E,B17020C_007M,B17020C_008E,B17020C_008M,B17020C_009E,B17020C_009M,B17020C_010E,B17020C_010M,B17020C_011E,B17020C_011M,B17020C_012E,B17020C_012M,B17020C_013E,B17020C_013M,B17020C_014E,B17020C_014M,B17020C_015E,B17020C_015M,B17020C_016E,B17020C_016M,B17020C_017E,B17020C_017M,B17020C_001M,B17020C_001EA,B17020C_001MA,B17020C_002M,B17020C_002EA,B17020C_002MA,B17020C_003M,B17020C_003EA,B17020C_003MA,B17020C_004M,B17020C_004EA,B17020C_004MA,B17020C_005M,B17020C_005EA,B17020C_005MA,B17020C_006M,B17020C_006EA,B17020C_006MA,B17020C_007M,B17020C_007EA,B17020C_007MA,B17020C_008M,B17020C_008EA,B17020C_008MA,B17020C_009M,B17020C_009EA,B17020C_009MA,B17020C_010M,B17020C_010EA,B17020C_010MA,B17020C_011M,B17020C_011EA,B17020C_011MA,B17020C_012M,B17020C_012EA,B17020C_012MA,B17020C_013M,B17020C_013EA,B17020C_013MA,B17020C_014M,B17020C_014EA,B17020C_014MA,B17020C_015M,B17020C_015EA,B17020C_015MA,B17020C_016M,B17020C_016EA,B17020C_016MA,B17020C_017M,B17020C_017EA,B17020C_017MA,state
51076,5649,9890,2105,530,390,540,353,1432,728,5561,1396,1564,858,263,274,0,221,41186,5090,1919,820,2027,775,2977,1008,25664,3839,6203,1037,2011,793,385,260,5649,null,null,2105,null,null,390,null,null,353,null,null,728,null,null,1396,null,null,858,null,null,274,null,null,221,null,null,5090,null,null,820,null,null,775,null,null,1008,null,null,3839,null,null,1037,null,null,793,null,null,260,null,null,12
37037,5696,10654,3669,990,621,1506,745,1733,838,5167,1927,804,521,86,113,368,371,26383,4157,1945,965,1481,1025,2929,1007,16825,2843,3163,875,0,218,40,68,5696,null,null,3669,null,null,621,null,null,745,null,null,838,null,null,1927,null,null,521,null,null,113,null,null,371,null,null,4157,null,null,965,null,null,1025,null,null,1007,null,null,2843,null,null,875,null,null,218,null,null,68,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
25590,2527,6793,1756,646,453,736,373,508,323,3732,1050,1147,650,13,27,11,23,18797,2899,1666,620,1740,607,2464,863,10334,1941,2051,645,422,339,120,150,2527,null,null,1756,null,null,453,null,null,373,null,null,323,null,null,1050,null,null,650,null,null,27,null,null,23,null,null,2899,null,null,620,null,null,607,null,null,863,null,null,1941,null,null,645,null,null,339,null,null,150,null,null,16
29643,3660,5609,1291,121,101,568,360,581,432,3827,1016,322,204,92,97,98,123,24034,3451,1231,607,2402,940,1297,519,14614,2240,3441,972,734,638,315,259,3660,null,null,1291,null,null,101,null,null,360,null,null,432,null,null,1016,null,null,204,null,null,97,null,null,123,null,null,3451,null,null,607,null,null,940,null,null,519,null,null,2240,null,null,972,null,null,638,null,null,259,null,null,17
16905,2456,2918,1082,274,258,0,192,107,120,2215,897,208,213,91,143,23,43,13987,2332,629,377,868,491,888,654,8500,1515,2605,703,462,287,35,60,2456,null,null,1082,null,null,258,null,null,192,null,null,120,null,null,897,null,null,213,null,null,143,null,null,43,null,null,2332,null,null,377,null,null,491,null,null,654,null,null,1515,null,null,703,null,null,287,null,null,60,null,null,18
10363,1659,2670,973,54,59,240,232,353,381,1542,688,364,276,105,180,12,19,7693,1456,521,324,473,301,489,281,4753,985,1313,496,132,141,12,21,1659,null,null,973,null,null,59,null,null,232,null,null,381,null,null,688,null,null,276,null,null,180,null,null,19,null,null,1456,null,null,324,null,null,301,null,null,281,null,null,985,null,null,496,null,null,141,null,null,21,null,null,19
20463,2502,3345,867,291,223,277,168,195,197,1955,606,549,277,78,95,0,174,17118,2456,1161,563,1194,642,1925,592,9853,1706,2315,623,558,259,112,172,2502,null,null,867,null,null,223,null,null,168,null,null,197,null,null,606,null,null,277,null,null,95,null,null,174,null,null,2456,null,null,563,null,null,642,null,null,592,null,null,1706,null,null,623,null,null,259,null,null,172,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
24695,2658,7167,2574,239,235,1480,1342,1396,554,2985,1074,713,437,354,299,0,208,17528,2313,1279,752,1135,468,1321,731,11053,1600,1902,661,347,249,491,317,2658,null,null,2574,null,null,235,null,null,1342,null,null,554,null,null,1074,null,null,437,null,null,299,null,null,208,null,null,2313,null,null,752,null,null,468,null,null,731,null,null,1600,null,null,661,null,null,249,null,null,317,null,null,22
