B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,B19001_001M,B19001_001EA,B19001_001MA,B19001_002M,B19001_002EA,B19001_002MA,B19001_003M,B19001_003EA,B19001_003MA,B19001_004M,B19001_004EA,B19001_004MA,B19001_005M,B19001_005EA,B19001_005MA,B19001_006M,B19001_006EA,B19001_006MA,B19001_007M,B19001_007EA,B19001_007MA,B19001_008M,B19001_008EA,B19001_008MA,B19001_009M,B19001_009EA,B19001_009MA,B19001_010M,B19001_010EA,B19001_010MA,B19001_011M,B19001_011EA,B19001_011MA,B19001_012M,B19001_012EA,B19001_012MA,B19001_013M,B19001_013EA,B19001_013MA,B19001_014M,B19001_014EA,B19001_014MA,B19001_015M,B19001_015EA,B19001_015MA,B19001_016M,B19001_016EA,B19001_016MA,B19001_017M,B19001_017EA,B19001_017MA,state
7573456,23478,540162,12814,380118,9799,396960,10214,439214,12261,412385,10018,420447,11390,400969,10663,390918,10337,330999,9063,635701,13313,767782,13663,880905,17230,556443,12112,325589,8776,326855,9098,368009,8539,23478,null,null,12814,null,null,9799,null,null,10214,null,null,12261,null,null,10018,null,null,11390,null,null,10663,null,null,10337,null,null,9063,null,null,13313,null,null,13663,null,null,17230,null,null,12112,null,null,8776,null,null,9098,null,null,8539,null,null,12
3686135,15528,277504,9245,186590,6710,181811,6989,199645,7881,176851,6411,189701,8726,169644,6544,176921,7927,154377,6743,296332,8191,380388,12158,448149,10784,298285,8591,171992,6825,182522,6766,195423,6575,15528,null,null,9245,null,null,6710,null,null,6989,null,null,7881,null,null,6411,null,null,8726,null,null,6544,null,null,7927,null,null,6743,null,null,8191,null,null,12158,null,null,10784,null,null,8591,null,null,6825,null,null,6766,null,null,6575,null,null,13
455868,4824,25137,2416,16648,2221,11893,1763,16616,2104,13662,1660,16707,2053,16293,1560,16772,1901,14658,1851,31912,2803,48932,3598,62561,3736,50444,3133,34713,2309,37177,2631,41743,2482,4824,null,null,2416,null,null,2221,null,null,1763,null,null,2104,null,null,1660,null,null,2053,null,null,1560,null,null,1901,null,null,1851,null,null,2803,null,null,3598,null,null,3736,null,null,3133,null,null,2309,null,null,2631,null,null,2482,null,null,15
610872,4143,44642,3581,30409,2991,30516,2832,31791,2904,28162,2820,34272,3578,33305,3419,29576,2726,31127,2663,53795,3321,71316,3873,73915,4304,47953,3721,26672,2460,24339,2464,19082,2435,4143,null,null,3581,null,null,2991,null,null,2832,null,null,2904,null,null,2820,null,null,3578,null,null,3419,null,null,2726,null,null,2663,null,null,3321,null,null,3873,null,null,4304,null,null,3721,null,null,2460,null,null,2464,null,null,2435,null,null,16
4822046,12932,337376,8945,207545,7178,218520,7029,230530,7331,204542,6067,221396,7790,205960,7519,207969,5875,179736,6060,357549,8131,466236,9622,616501,12199,453179,8776,273401,7176,312819,7668,328787,7722,12932,null,null,8945,null,null,7178,null,null,7029,null,null,7331,null,null,6067,null,null,7790,null,null,7519,null,null,5875,null,null,6060,null,null,8131,null,null,9622,null,null,12199,null,null,8776,null,null,7176,null,null,7668,null,null,7722,null,null,17
2533270,10440,169319,6144,120810,4775,128712,5999,140106,5527,132682,5077,135528,5767,133535,7479,129908,5517,110596,5583,216221,6339,284279,8004,323239,8343,204822,6261,110106,5239,105506,4590,87901,4091,10440,null,null,6144,null,null,4775,null,null,5999,null,null,5527,null,null,5077,null,null,5767,null,null,7479,null,null,5517,null,null,5583,null,null,6339,null,null,8004,null,null,8343,null,null,6261,null,null,5239,null,null,4590,null,null,4091,null,null,18
1247932,7106,72996,3853,54335,3022,58382,3241,64916,3787,63190,3319,63714,3704,57855,2927,62133,4259,55490,3317,106820,4426,135524,4760,173355,5031,109741,5035,63823,3599,56555,2724,49103,3144,7106,null,null,3853,null,null,3022,null,null,3241,null,null,3787,null,null,3319,null,null,3704,null,null,2927,null,null,4259,null,null,3317,null,null,4426,null,null,4760,null,null,5031,null,null,5035,null,null,3599,null,null,2724,null,null,3144,null,null,19
1110407,6778,68603,3681,51932,3006,49696,3148,59233,2976,57524,3705,59547,3635,55667,2989,57728,3592,48542,3442,91758,4284,120538,4869,139810,4707,96217,4571,54318,3330,50333,3133,48961,2465,6778,null,null,3681,null,null,3006,null,null,3148,null,null,2976,null,null,3705,null,null,3635,null,null,2989,null,null,3592,null,null,3442,null,null,4284,null,null,4869,null,null,4707,null,null,4571,null,null,3330,null,null,3133,null,null,2465,null,null,20
1717706,9131,164883,6076,107718,5265,105699,5442,96037,4138,93583,4911,94616,4669,86913,5236,83909,4712,71296,4364,134990,5563,173468,5514,196195,6773,120968,5567,69774,3851,59053,3598,58604,3822,9131,null,null,6076,null,null,5265,null,null,5442,null,null,4138,null,null,4911,null,null,4669,null,null,5236,null,null,4712,null,null,4364,null,null,5563,null,null,5514,null,null,6773,null,null,5567,null,null,3851,null,null,3598,null,null,3822,null,null,21
1720801,8997,177657,6483,111597,5758,116369,6120,105727,5200,91499,5043,89807,4586,84156,4445,81454,5109,69419,4595,124751,5691,155107,5703,178891,7190,119432,4685,74537,4856,75391,4988,65007,3836,8997,null,null,6483,null,null,5758,null,null,6120,null,null,5200,null,null,5043,null,null,4586,null,null,4445,null,null,5109,null,null,4595,null,null,5691,null,null,5703,null,null,7190,null,null,4685,null,null,4856,null,null,4988,null,null,3836,null,null,22
