B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,B19101B_001M,B19101B_001EA,B19101B_001MA,B19101B_002M,B19101B_002EA,B19101B_002MA,B19101B_003M,B19101B_003EA,B19101B_003MA,B19101B_004M,B19101B_004EA,B19101B_004MA,B19101B_005M,B19101B_005EA,B19101B_005MA,B19101B_006M,B19101B_006EA,B19101B_006MA,B19101B_007M,B19101B_007EA,B19101B_007MA,B19101B_008M,B19101B_008EA,B19101B_008MA,B19101B_009M,B19101B_009EA,B19101B_009MA,B19101B_010M,B19101B_010EA,B19101B_010MA,B19101B_011M,B19101B_011EA,B19101B_011MA,B19101B_012M,B19101B_012EA,B19101B_012MA,B19101B_013M,B19101B_013EA,B19101B_013MA,B19101B_014M,B19101B_014EA,B19101B_014MA,B19101B_015M,B19101B_015EA,B19101B_015MA,B19101B_016M,B19101B_016EA,B19101B_016MA,B19101B_017M,B19101B_017EA,B19101B_017MA,state
676286,8401,57671,4619,28416,3274,40094,3896,49038,4055,45818,4349,43000,3487,45074,4147,34547,3633,35954,3686,60088,4301,74084,4228,71855,5126,39982,3282,20716,2408,17229,2221,12720,1726,8401,null,null,4619,null,null,3274,null,null,3896,null,null,4055,null,null,4349,null,null,3487,null,null,4147,null,null,3633,null,null,3686,null,null,4301,null,null,4228,null,null,5126,null,null,3282,null,null,2408,null,null,2221,null,null,1726,null,null,12
718837,10706,58306,4854,38479,3221,41636,3616,43958,3440,38210,3810,40307,3265,35427,3856,34233,2903,34581,2730,55426,3726,82880,5908,87242,5133,54097,4128,30478,3063,24835,2829,18742,2838,10706,null,null,4854,null,null,3221,null,null,3616,null,null,3440,null,null,3810,null,null,3265,null,null,3856,null,null,2903,null,null,2730,null,null,3726,null,null,5908,null,null,5133,null,null,4128,null,null,3063,null,null,2829,null,null,2838,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
388662,6107,45120,3575,19695,2157,23185,2607,25267,2788,21939,2232,22601,2548,18655,1923,19380,2589,16348,2208,25823,2740,33913,2886,42362,3344,31372,2887,16911,2348,14147,2110,11944,1849,6107,null,null,3575,null,null,2157,null,null,2607,null,null,2788,null,null,2232,null,null,2548,null,null,1923,null,null,2589,null,null,2208,null,null,2740,null,null,2886,null,null,3344,null,null,2887,null,null,2348,null,null,2110,null,null,1849,null,null,17
129416,4040,13972,2227,7783,1573,8950,2043,10299,1537,6961,1375,8978,1684,7353,1547,6276,1335,5971,1403,9946,1771,12720,1761,13221,2026,7326,1458,4192,1402,3322,1050,2146,663,4040,null,null,2227,null,null,1573,null,null,2043,null,null,1537,null,null,1375,null,null,1684,null,null,1547,null,null,1335,null,null,1403,null,null,1771,null,null,1761,null,null,2026,null,null,1458,null,null,1402,null,null,1050,null,null,663,null,null,18
22035,1780,4099,1170,1100,501,2004,840,1398,663,2336,832,2039,732,946,612,1207,736,880,443,1247,419,1364,533,1661,633,710,517,291,217,353,269,400,233,1780,null,null,1170,null,null,501,null,null,840,null,null,663,null,null,832,null,null,732,null,null,612,null,null,736,null,null,443,null,null,419,null,null,533,null,null,633,null,null,517,null,null,217,null,null,269,null,null,233,null,null,19
35048,2183,3502,921,2291,727,2046,783,1383,543,2885,1154,1944,556,1994,882,2407,838,2121,731,3195,980,3525,1087,3543,1023,1450,636,1582,705,474,356,706,391,2183,null,null,921,null,null,727,null,null,783,null,null,543,null,null,1154,null,null,556,null,null,882,null,null,838,null,null,731,null,null,980,null,null,1087,null,null,1023,null,null,636,null,null,705,null,null,356,null,null,391,null,null,20
78395,3446,9207,1769,3890,977,6025,1492,5409,1280,4078,1187,6579,1669,5609,1269,4011,1015,4105,968,6135,1236,7442,1593,7950,1411,2892,825,2712,894,1711,650,640,417,3446,null,null,1769,null,null,977,null,null,1492,null,null,1280,null,null,1187,null,null,1669,null,null,1269,null,null,1015,null,null,968,null,null,1236,null,null,1593,null,null,1411,null,null,825,null,null,894,null,null,650,null,null,417,null,null,21
319304,7102,36908,3226,25246,2656,32135,3268,26354,2847,22424,2588,21188,2159,16378,2542,13561,1974,12311,1625,23583,2231,27606,2850,27523,2882,13624,1977,8276,1416,7800,1535,4387,1169,7102,null,null,3226,null,null,2656,null,null,3268,null,null,2847,null,null,2588,null,null,2159,null,null,2542,null,null,1974,null,null,1625,null,null,2231,null,null,2850,null,null,2882,null,null,1977,null,null,1416,null,null,1535,null,null,1169,null,null,22
