B19202B_001E,B19202B_001M,B19202B_001M,B19202B_001EA,B19202B_001MA,state
26205,624,624,null,null,12
28239,1803,1803,null,null,13
53054,13866,13866,null,null,15
null,null,null,null,null,16
23817,1263,1263,null,null,17
23257,1906,1906,null,null,18
21414,2853,2853,null,null,19
23427,2997,2997,null,null,20
23464,3133,3133,null,null,21
18315,1122,1122,null,null,22
46613,25657,25657,null,null,23
41792,1118,1118,null,null,24
28027,4832,4832,null,null,25
22166,761,761,null,null,26
21952,2136,2136,null,null,27
18065,1272,1272,null,null,28
25630,1472,1472,null,null,29
27482,20476,20476,null,null,30
23352,4210,4210,null,null,31
25675,2055,2055,null,null,32
55522,15219,15219,null,null,33
29050,1544,1544,null,null,34
42140,3796,3796,null,null,35
27559,1235,1235,null,null,36
24680,1067,1067,null,null,37
17179,7918,7918,null,null,38
21067,870,870,null,null,39
20589,1842,1842,null,null,40
22244,2553,2553,null,null,41
22784,1840,1840,null,null,42
20132,5191,5191,null,null,44
20145,1406,1406,null,null,45
38615,17257,17257,null,null,46
24611,1267,1267,null,null,47
30479,756,756,null,null,48
13026,3330,3330,null,null,49
16654,14668,14668,null,null,50
31654,1233,1233,null,null,51
36115,4562,4562,null,null,53
22488,3966,3966,null,null,54
18587,1928,1928,null,null,55
null,null,null,null,null,56
10482,833,833,null,null,72
19406,1145,1145,null,null,01
44040,13504,13504,null,null,02
32586,4112,4112,null,null,04
20353,2417,2417,null,null,05
29679,1587,1587,null,null,06
29723,5029,5029,null,null,08
28292,3217,3217,null,null,09
30171,4285,4285,null,null,10
26213,1740,1740,null,null,11
