C21001F_001E,C21001F_001M,C21001F_002E,C21001F_002M,C21001F_003E,C21001F_003M,C21001F_004E,C21001F_004M,C21001F_005E,C21001F_005M,C21001F_006E,C21001F_006M,C21001F_007E,C21001F_007M,C21001F_008E,C21001F_008M,C21001F_009E,C21001F_009M,C21001F_010E,C21001F_010M,C21001F_011E,C21001F_011M,C21001F_012E,C21001F_012M,C21001F_013E,C21001F_013M,C21001F_014E,C21001F_014M,C21001F_015E,C21001F_015M,C21001F_001M,C21001F_001EA,C21001F_001MA,C21001F_002M,C21001F_002EA,C21001F_002MA,C21001F_003M,C21001F_003EA,C21001F_003MA,C21001F_004M,C21001F_004EA,C21001F_004MA,C21001F_005M,C21001F_005EA,C21001F_005MA,C21001F_006M,C21001F_006EA,C21001F_006MA,C21001F_007M,C21001F_007EA,C21001F_007MA,C21001F_008M,C21001F_008EA,C21001F_008MA,C21001F_009M,C21001F_009EA,C21001F_009MA,C21001F_010M,C21001F_010EA,C21001F_010MA,C21001F_011M,C21001F_011EA,C21001F_011MA,C21001F_012M,C21001F_012EA,C21001F_012MA,C21001F_013M,C21001F_013EA,C21001F_013MA,C21001F_014M,C21001F_014EA,C21001F_014MA,C21001F_015M,C21001F_015EA,C21001F_015MA,state
424351,18738,214566,10326,196991,10235,8700,2150,188291,9886,17575,2303,2918,930,14657,2133,209785,11330,185768,10144,2543,998,183225,10212,24017,3070,305,239,23712,3135,18738,null,null,10326,null,null,10235,null,null,2150,null,null,9886,null,null,2303,null,null,930,null,null,2133,null,null,11330,null,null,10144,null,null,998,null,null,10212,null,null,3070,null,null,239,null,null,3135,null,null,12
190258,12887,102727,7011,99651,6925,3355,1109,96296,6804,3076,1055,769,519,2307,976,87531,7205,84180,7105,1069,660,83111,7248,3351,1210,265,370,3086,1145,12887,null,null,7011,null,null,6925,null,null,1109,null,null,6804,null,null,1055,null,null,519,null,null,976,null,null,7205,null,null,7105,null,null,660,null,null,7248,null,null,1210,null,null,370,null,null,1145,null,null,13
8515,1691,4842,1240,4529,1213,286,197,4243,1198,313,253,161,171,152,161,3673,866,3305,835,16,26,3289,836,368,225,0,185,368,225,1691,null,null,1240,null,null,1213,null,null,197,null,null,1198,null,null,253,null,null,171,null,null,161,null,null,866,null,null,835,null,null,26,null,null,836,null,null,225,null,null,185,null,null,225,null,null,15
41248,4093,21546,2573,20384,2459,318,282,20066,2417,1162,535,305,274,857,496,19702,2215,18974,2184,0,198,18974,2184,728,354,0,198,728,354,4093,null,null,2573,null,null,2459,null,null,282,null,null,2417,null,null,535,null,null,274,null,null,496,null,null,2215,null,null,2184,null,null,198,null,null,2184,null,null,354,null,null,198,null,null,354,null,null,16
558558,15761,287219,8861,268270,8705,3541,950,264729,8430,18949,2029,1392,525,17557,1986,271339,9045,249570,8557,379,277,249191,8608,21769,2127,0,185,21769,2127,15761,null,null,8861,null,null,8705,null,null,950,null,null,8430,null,null,2029,null,null,525,null,null,1986,null,null,9045,null,null,8557,null,null,277,null,null,8608,null,null,2127,null,null,185,null,null,2127,null,null,17
100205,7066,54715,4165,51078,4231,2292,858,48786,4135,3637,739,1114,582,2523,667,45490,3750,41475,3586,218,180,41257,3571,4015,915,0,192,4015,915,7066,null,null,4165,null,null,4231,null,null,858,null,null,4135,null,null,739,null,null,582,null,null,667,null,null,3750,null,null,3586,null,null,180,null,null,3571,null,null,915,null,null,192,null,null,915,null,null,18
28313,3056,15137,1921,14677,1838,258,200,14419,1814,460,230,173,149,287,187,13176,1694,12641,1716,29,56,12612,1721,535,382,0,159,535,382,3056,null,null,1921,null,null,1838,null,null,200,null,null,1814,null,null,230,null,null,149,null,null,187,null,null,1694,null,null,1716,null,null,56,null,null,1721,null,null,382,null,null,159,null,null,382,null,null,19
48949,4925,25492,2921,24035,2868,827,515,23208,2853,1457,524,285,207,1172,462,23457,2552,21676,2333,211,213,21465,2311,1781,565,52,82,1729,570,4925,null,null,2921,null,null,2868,null,null,515,null,null,2853,null,null,524,null,null,207,null,null,462,null,null,2552,null,null,2333,null,null,213,null,null,2311,null,null,565,null,null,82,null,null,570,null,null,20
24143,3518,13428,2277,12705,2109,208,246,12497,2101,723,538,17,31,706,536,10715,1946,10402,1918,482,495,9920,1864,313,294,0,190,313,294,3518,null,null,2277,null,null,2109,null,null,246,null,null,2101,null,null,538,null,null,31,null,null,536,null,null,1946,null,null,1918,null,null,495,null,null,1864,null,null,294,null,null,190,null,null,294,null,null,21
46048,4473,26993,3030,25936,2950,483,325,25453,2949,1057,479,87,104,970,491,19055,2253,18215,2166,180,305,18035,2184,840,456,0,208,840,456,4473,null,null,3030,null,null,2950,null,null,325,null,null,2949,null,null,479,null,null,104,null,null,491,null,null,2253,null,null,2166,null,null,305,null,null,2184,null,null,456,null,null,208,null,null,456,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
159063,9050,84399,5473,80501,5407,1847,968,78654,5388,3898,685,337,232,3561,672,74664,4938,69542,4471,748,608,68794,4478,5122,1326,0,198,5122,1326,9050,null,null,5473,null,null,5407,null,null,968,null,null,5388,null,null,685,null,null,232,null,null,672,null,null,4938,null,null,4471,null,null,608,null,null,4478,null,null,1326,null,null,198,null,null,1326,null,null,24
206122,10871,104781,5684,97576,5468,1421,518,96155,5421,7205,1208,939,393,6266,1228,101341,6508,92109,6387,309,262,91800,6429,9232,1470,0,203,9232,1470,10871,null,null,5684,null,null,5468,null,null,518,null,null,5421,null,null,1208,null,null,393,null,null,1228,null,null,6508,null,null,6387,null,null,262,null,null,6429,null,null,1470,null,null,203,null,null,1470,null,null,25
78922,5500,41463,3424,39120,3344,886,437,38234,3328,2343,609,577,259,1766,517,37459,2971,34300,3082,378,335,33922,3059,3159,799,0,168,3159,799,5500,null,null,3424,null,null,3344,null,null,437,null,null,3328,null,null,609,null,null,259,null,null,517,null,null,2971,null,null,3082,null,null,335,null,null,3059,null,null,799,null,null,168,null,null,799,null,null,26
71547,4319,39824,2385,37912,2275,719,365,37193,2314,1912,605,389,272,1523,564,31723,2721,30200,2587,173,172,30027,2556,1523,646,0,149,1523,646,4319,null,null,2385,null,null,2275,null,null,365,null,null,2314,null,null,605,null,null,272,null,null,564,null,null,2721,null,null,2587,null,null,172,null,null,2556,null,null,646,null,null,149,null,null,646,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
42248,3798,21121,2467,19766,2379,790,431,18976,2355,1355,631,355,384,1000,485,21127,2288,19787,2261,436,382,19351,2223,1340,478,0,187,1340,478,3798,null,null,2467,null,null,2379,null,null,431,null,null,2355,null,null,631,null,null,384,null,null,485,null,null,2288,null,null,2261,null,null,382,null,null,2223,null,null,478,null,null,187,null,null,478,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
24224,3592,12283,2031,11601,1926,257,213,11344,1868,682,372,176,137,506,319,11941,1962,10792,1725,37,65,10755,1730,1149,445,0,159,1149,445,3592,null,null,2031,null,null,1926,null,null,213,null,null,1868,null,null,372,null,null,137,null,null,319,null,null,1962,null,null,1725,null,null,65,null,null,1730,null,null,445,null,null,159,null,null,445,null,null,31
189073,10061,98429,6032,93886,5869,2371,897,91515,5865,4543,1098,986,456,3557,1090,90644,5286,83576,4876,284,217,83292,4831,7068,1358,38,64,7030,1361,10061,null,null,6032,null,null,5869,null,null,897,null,null,5865,null,null,1098,null,null,456,null,null,1090,null,null,5286,null,null,4876,null,null,217,null,null,4831,null,null,1358,null,null,64,null,null,1361,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
381988,15126,194217,8365,181065,8106,3837,1060,177228,8229,13152,1625,633,442,12519,1627,187771,8790,170438,8125,530,341,169908,8097,17333,1837,0,200,17333,1837,15126,null,null,8365,null,null,8106,null,null,1060,null,null,8229,null,null,1625,null,null,442,null,null,1627,null,null,8790,null,null,8125,null,null,341,null,null,8097,null,null,1837,null,null,200,null,null,1837,null,null,34
155681,7551,77638,4994,66514,4926,4670,1112,61844,4535,11124,1415,3039,823,8085,1423,78043,4294,64741,3640,513,353,64228,3632,13302,1723,0,195,13302,1723,7551,null,null,4994,null,null,4926,null,null,1112,null,null,4535,null,null,1415,null,null,823,null,null,1423,null,null,4294,null,null,3640,null,null,353,null,null,3632,null,null,1723,null,null,195,null,null,1723,null,null,35
1277510,25122,621640,14063,570674,13795,11531,2069,559143,13629,50966,2971,3436,871,47530,2789,655870,13848,580446,12489,1707,802,578739,12436,75424,4148,372,279,75052,4173,25122,null,null,14063,null,null,13795,null,null,2069,null,null,13629,null,null,2971,null,null,871,null,null,2789,null,null,13848,null,null,12489,null,null,802,null,null,12436,null,null,4148,null,null,279,null,null,4173,null,null,36
190432,8976,99792,5893,96056,5730,2626,1076,93430,5518,3736,929,324,252,3412,917,90640,5119,86308,5027,1277,688,85031,4845,4332,1271,0,203,4332,1271,8976,null,null,5893,null,null,5730,null,null,1076,null,null,5518,null,null,929,null,null,252,null,null,917,null,null,5119,null,null,5027,null,null,688,null,null,4845,null,null,1271,null,null,203,null,null,1271,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
71681,5525,37795,3728,35333,3544,1357,521,33976,3491,2462,719,828,501,1634,576,33886,3286,31610,3196,320,223,31290,3187,2276,663,29,50,2247,671,5525,null,null,3728,null,null,3544,null,null,521,null,null,3491,null,null,719,null,null,501,null,null,576,null,null,3286,null,null,3196,null,null,223,null,null,3187,null,null,663,null,null,50,null,null,671,null,null,39
70956,4832,39474,3045,37437,2902,1146,454,36291,2820,2037,636,179,141,1858,579,31482,2542,29734,2477,116,153,29618,2496,1748,465,24,38,1724,465,4832,null,null,3045,null,null,2902,null,null,454,null,null,2820,null,null,636,null,null,141,null,null,579,null,null,2542,null,null,2477,null,null,153,null,null,2496,null,null,465,null,null,38,null,null,465,null,null,40
82899,6620,44631,3887,42773,3669,1753,623,41020,3596,1858,668,270,282,1588,595,38268,3755,35806,3623,116,169,35690,3639,2462,751,0,201,2462,751,6620,null,null,3887,null,null,3669,null,null,623,null,null,3596,null,null,668,null,null,282,null,null,595,null,null,3755,null,null,3623,null,null,169,null,null,3639,null,null,751,null,null,201,null,null,751,null,null,41
176014,8602,88733,5561,84268,5271,2674,1094,81594,5034,4465,1025,474,367,3991,934,87281,4587,81076,4455,320,224,80756,4516,6205,924,0,174,6205,924,8602,null,null,5561,null,null,5271,null,null,1094,null,null,5034,null,null,1025,null,null,367,null,null,934,null,null,4587,null,null,4455,null,null,224,null,null,4516,null,null,924,null,null,174,null,null,924,null,null,42
43883,4023,22341,2748,20444,2697,542,420,19902,2652,1897,593,44,74,1853,594,21542,2051,19846,1843,144,174,19702,1801,1696,658,45,76,1651,651,4023,null,null,2748,null,null,2697,null,null,420,null,null,2652,null,null,593,null,null,74,null,null,594,null,null,2051,null,null,1843,null,null,174,null,null,1801,null,null,658,null,null,76,null,null,651,null,null,44
50980,6166,26201,3767,25646,3709,1571,733,24075,3789,555,399,180,191,375,348,24779,3248,23272,3138,170,178,23102,3129,1507,656,27,47,1480,657,6166,null,null,3767,null,null,3709,null,null,733,null,null,3789,null,null,399,null,null,191,null,null,348,null,null,3248,null,null,3138,null,null,178,null,null,3129,null,null,656,null,null,47,null,null,657,null,null,45
