B99172_001E,B99172_002E,B99172_003E,B99172_004E,B99172_005E,B99172_006E,B99172_007E,B99172_008E,B99172_009E,B99172_010E,B99172_011E,B99172_012E,B99172_013E,B99172_014E,B99172_015E,B99172_001EA,B99172_002EA,B99172_003EA,B99172_004EA,B99172_005EA,B99172_006EA,B99172_007EA,B99172_008EA,B99172_009EA,B99172_010EA,B99172_011EA,B99172_012EA,B99172_013EA,B99172_014EA,B99172_015EA,state
4864461,321726,38622,6580,6893,9861,16533,109401,2674770,254956,134243,116257,167082,266226,741311,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
2479003,185511,19875,2543,4725,6834,11779,64994,1354113,120430,72409,60532,82587,145753,346918,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
315505,12601,1584,515,247,355,690,2834,177959,15149,10384,10173,16230,26035,40749,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
411617,29103,2716,1014,686,641,712,6402,251511,20105,11868,10406,12973,16481,46999,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
3100613,182184,22084,4635,5236,5905,9214,63786,1774059,170243,101096,78583,99732,161194,422662,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1645758,103002,9805,2175,2679,3304,6013,30742,986980,98735,46918,33267,49272,76047,196819,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
795043,38748,4628,1697,768,913,1465,11910,491024,45718,26766,18033,20627,37705,95041,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
716005,38057,3199,1137,799,841,3006,9425,441671,37890,21452,16533,21392,35088,85515,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
1121404,105547,10793,1866,3166,3527,5116,26767,631109,59967,32190,28092,33771,49963,129530,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
1097712,111479,9912,1792,1953,3672,4511,35389,563452,51428,28796,22008,36171,60621,166528,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
329554,19342,1044,545,386,225,775,2893,215977,17751,10146,7639,9949,13758,29124,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1458953,53336,7816,1608,2055,2326,3773,21445,846696,78820,58518,38967,51425,81577,210591,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1633661,75141,8950,1963,3460,3050,4481,22177,924678,89273,60231,41618,62942,102483,233214,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
2476595,157658,18387,4553,6571,6957,9913,47712,1466327,149093,82231,56374,82004,115407,273408,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
1367104,54279,5298,1423,1816,1780,3812,11692,913401,76813,43190,32700,38234,55717,126949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
730719,78361,7727,1470,1994,2659,4586,23539,365586,36370,18027,18119,29313,45175,97793,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1527349,95521,9487,2470,2582,3561,7264,28473,901676,80147,44685,40156,46718,72880,191729,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
257449,14215,1239,174,345,143,1105,3413,160039,11207,8645,6679,7944,11212,31089,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
476436,23809,2550,506,445,771,1020,6178,294820,24902,14874,11506,13714,21877,59464,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
670968,42676,4619,530,1159,1265,3581,14602,380135,31634,18370,15733,25164,40508,90992,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
342912,9732,1287,149,138,471,343,1676,228150,19112,12994,8980,10618,14032,35230,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
2197150,108303,10555,3368,2374,3478,6129,31950,1241237,120295,82220,58163,78597,126946,323535,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
481127,48714,3281,784,957,2498,3303,14082,266498,20244,12207,12190,18395,24449,53525,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
4541583,295646,37969,7233,11455,12095,17948,113094,2294207,241688,150834,121042,168432,310407,759533,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
2542663,188356,21046,4578,3822,5323,9086,53506,1480512,131081,70301,52224,80480,128328,314020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
184904,8351,1327,132,298,115,242,1337,114570,10196,5657,3920,5393,9034,24332,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
2929661,204891,20515,4649,5385,7542,10731,53163,1757266,163529,87831,70796,91883,137013,314467,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
961731,70074,7619,2088,2210,1858,3702,23144,541346,45492,24613,20252,29854,48764,140715,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
995749,57558,6491,1043,1950,2234,3204,12194,627143,48571,33174,21707,28748,47940,103792,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
3150563,163199,21113,4665,4954,6316,10361,60881,1850624,180311,107960,79652,96226,158403,405898,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
247448,15589,1321,731,366,559,1097,3114,142631,14430,9218,6748,7577,13642,30425,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
1224695,83872,9927,1254,1560,2621,5518,27712,684226,62963,32715,24349,39458,74738,173782,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
209986,12410,1079,407,176,149,806,2284,135447,10614,5622,4546,6591,8927,20928,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
1670605,125954,14749,3153,1989,5753,5949,35867,927253,95913,48058,41571,50651,89907,223838,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
6602215,531455,38905,13821,14035,14604,27241,155141,3693433,280920,183982,151861,222863,368008,905946,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
711124,35445,3348,1059,1023,1140,1958,7197,469532,35592,22395,16643,19615,33435,62742,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
