B10059_001E,B10059_001M,B10059_002E,B10059_002M,B10059_003E,B10059_003M,B10059_004E,B10059_004M,B10059_005E,B10059_005M,B10059_006E,B10059_006M,B10059_007E,B10059_007M,B10059_008E,B10059_008M,B10059_009E,B10059_009M,B10059_010E,B10059_010M,B10059_011E,B10059_011M,B10059_001M,B10059_001EA,B10059_001MA,B10059_002M,B10059_002EA,B10059_002MA,B10059_003M,B10059_003EA,B10059_003MA,B10059_004M,B10059_004EA,B10059_004MA,B10059_005M,B10059_005EA,B10059_005MA,B10059_006M,B10059_006EA,B10059_006MA,B10059_007M,B10059_007EA,B10059_007MA,B10059_008M,B10059_008EA,B10059_008MA,B10059_009M,B10059_009EA,B10059_009MA,B10059_010M,B10059_010EA,B10059_010MA,B10059_011M,B10059_011EA,B10059_011MA,state
500186,17164,76215,6433,27683,3436,15854,2592,11829,2330,48532,5451,423971,16817,121265,6899,67866,5648,53399,4280,302706,15600,17164,null,null,6433,null,null,3436,null,null,2592,null,null,2330,null,null,5451,null,null,16817,null,null,6899,null,null,5648,null,null,4280,null,null,15600,null,null,12
263332,10927,45998,3901,24016,2845,13402,2150,10614,1828,21982,2813,217334,10003,78126,5589,43744,3937,34382,3369,139208,8135,10927,null,null,3901,null,null,2845,null,null,2150,null,null,1828,null,null,2813,null,null,10003,null,null,5589,null,null,3937,null,null,3369,null,null,8135,null,null,13
55125,3988,4065,1223,1568,585,1016,443,552,378,2497,1017,51060,3611,11671,2054,5594,1597,6077,1455,39389,3237,3988,null,null,1223,null,null,585,null,null,443,null,null,378,null,null,1017,null,null,3611,null,null,2054,null,null,1597,null,null,1455,null,null,3237,null,null,15
26148,3338,3631,1268,1288,524,563,310,725,455,2343,1114,22517,3007,7515,1692,4609,1424,2906,975,15002,2336,3338,null,null,1268,null,null,524,null,null,310,null,null,455,null,null,1114,null,null,3007,null,null,1692,null,null,1424,null,null,975,null,null,2336,null,null,16
262714,11384,31306,2903,13796,2064,9299,1821,4497,1146,17510,2199,231408,11090,69585,5136,41394,3821,28191,2644,161823,8679,11384,null,null,2903,null,null,2064,null,null,1821,null,null,1146,null,null,2199,null,null,11090,null,null,5136,null,null,3821,null,null,2644,null,null,8679,null,null,17
126520,6794,17837,2432,9912,1905,7220,1657,2692,870,7925,1523,108683,6620,49632,3809,31570,3520,18062,2075,59051,5009,6794,null,null,2432,null,null,1905,null,null,1657,null,null,870,null,null,1523,null,null,6620,null,null,3809,null,null,3520,null,null,2075,null,null,5009,null,null,18
41852,3615,4115,1214,1854,632,1493,625,361,188,2261,920,37737,3557,14827,1911,8827,1464,6000,1141,22910,2959,3615,null,null,1214,null,null,632,null,null,625,null,null,188,null,null,920,null,null,3557,null,null,1911,null,null,1464,null,null,1141,null,null,2959,null,null,19
44033,3266,4605,1060,2281,761,1737,664,544,349,2324,815,39428,3276,15485,1752,9001,1333,6484,1324,23943,2587,3266,null,null,1060,null,null,761,null,null,664,null,null,349,null,null,815,null,null,3276,null,null,1752,null,null,1333,null,null,1324,null,null,2587,null,null,20
100833,5254,22642,2806,15003,2307,9786,2084,5217,1163,7639,1639,78191,5048,40297,3754,22753,2938,17544,2380,37894,3646,5254,null,null,2806,null,null,2307,null,null,2084,null,null,1163,null,null,1639,null,null,5048,null,null,3754,null,null,2938,null,null,2380,null,null,3646,null,null,21
112557,7257,24366,3138,14490,2498,8218,1911,6272,1385,9876,1887,88191,6589,42386,4186,21249,2814,21137,3244,45805,4037,7257,null,null,3138,null,null,2498,null,null,1911,null,null,1385,null,null,1887,null,null,6589,null,null,4186,null,null,2814,null,null,3244,null,null,4037,null,null,22
18529,2342,2284,886,1390,709,635,472,755,519,894,453,16245,2275,5405,1346,2943,916,2462,836,10840,2006,2342,null,null,886,null,null,709,null,null,472,null,null,519,null,null,453,null,null,2275,null,null,1346,null,null,916,null,null,836,null,null,2006,null,null,23
141930,7371,11049,2028,5101,1326,3111,1036,1990,700,5948,1232,130881,7180,40935,4440,24311,3730,16624,1959,89946,5506,7371,null,null,2028,null,null,1326,null,null,1036,null,null,700,null,null,1232,null,null,7180,null,null,4440,null,null,3730,null,null,1959,null,null,5506,null,null,24
