B98022_001E,B98022_002E,B98022_003E,B98022_004E,B98022_005E,B98022_006E,B98022_007E,B98022_008E,B98022_009E,B98022_010E,B98022_001EA,B98022_002EA,B98022_003EA,B98022_004EA,B98022_005EA,B98022_006EA,B98022_007EA,B98022_008EA,B98022_009EA,B98022_010EA,state
96.3,3.7,1.1,0.2,0.0,0.0,0.2,0.4,1.6,0.3,null,null,null,null,null,null,null,null,null,null,12
95.2,4.8,1.9,0.6,0.5,0.0,0.1,1.0,0.3,0.4,null,null,null,null,null,null,null,null,null,null,13
94.2,5.8,0.0,0.1,0.1,0.0,0.7,1.0,3.9,0.0,null,null,null,null,null,null,null,null,null,null,15
90.6,9.4,3.1,0.6,0.5,0.0,0.0,0.6,2.5,2.1,null,null,null,null,null,null,null,null,null,null,16
98.5,1.5,0.8,0.0,0.1,0.0,0.0,0.2,0.4,0.0,null,null,null,null,null,null,null,null,null,null,17
96.6,3.4,0.6,0.0,1.1,0.0,0.0,0.5,1.0,0.0,null,null,null,null,null,null,null,null,null,null,18
99.8,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,19
98.9,1.1,0.4,0.1,0.1,0.0,0.0,0.1,0.6,0.0,null,null,null,null,null,null,null,null,null,null,20
97.7,2.3,0.7,0.1,0.1,0.0,0.0,0.7,0.8,0.0,null,null,null,null,null,null,null,null,null,null,21
97.6,2.4,1.3,0.0,0.1,0.0,0.0,0.4,0.3,0.3,null,null,null,null,null,null,null,null,null,null,22
64.0,36.0,0.5,1.3,0.1,0.0,0.0,29.1,1.3,3.7,null,null,null,null,null,null,null,null,null,null,23
94.3,5.7,2.2,0.4,0.5,0.0,0.1,1.1,0.9,0.6,null,null,null,null,null,null,null,null,null,null,24
93.2,6.8,2.7,0.0,0.2,0.0,0.2,1.4,2.3,0.0,null,null,null,null,null,null,null,null,null,null,25
96.9,3.1,1.2,0.4,0.3,0.0,0.1,0.6,0.4,0.0,null,null,null,null,null,null,null,null,null,null,26
97.9,2.1,0.6,0.1,0.0,0.0,0.1,0.7,0.0,0.5,null,null,null,null,null,null,null,null,null,null,27
93.2,6.8,1.3,0.6,0.1,0.0,0.0,0.4,3.4,1.1,null,null,null,null,null,null,null,null,null,null,28
99.0,1.0,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.5,null,null,null,null,null,null,null,null,null,null,29
99.2,0.8,0.3,0.2,0.1,0.0,0.0,0.2,0.0,0.0,null,null,null,null,null,null,null,null,null,null,30
97.4,2.6,0.7,0.9,0.0,0.0,0.0,0.0,1.0,0.0,null,null,null,null,null,null,null,null,null,null,31
