C17026_001E,C17026_001M,C17026_002E,C17026_002M,C17026_003E,C17026_003M,C17026_004E,C17026_004M,C17026_005E,C17026_005M,C17026_006E,C17026_006M,C17026_007E,C17026_007M,C17026_008E,C17026_008M,C17026_001M,C17026_001EA,C17026_001MA,C17026_002M,C17026_002EA,C17026_002MA,C17026_003M,C17026_003EA,C17026_003MA,C17026_004M,C17026_004EA,C17026_004MA,C17026_005M,C17026_005EA,C17026_005MA,C17026_006M,C17026_006EA,C17026_006MA,C17026_007M,C17026_007EA,C17026_007MA,C17026_008M,C17026_008EA,C17026_008MA,state
4864461,24241,197818,7393,311798,10526,209892,7508,218666,8299,312977,9867,127172,5496,3486138,24408,24241,null,null,7393,null,null,10526,null,null,7508,null,null,8299,null,null,9867,null,null,5496,null,null,24408,null,null,12
2479003,18252,126990,6554,169271,6625,97859,5354,108520,5755,148272,6575,63843,4645,1764248,17510,18252,null,null,6554,null,null,6625,null,null,5354,null,null,5755,null,null,6575,null,null,4645,null,null,17510,null,null,13
315505,5105,8431,1402,10395,1734,8388,1403,9074,1509,14461,1981,5788,1235,258968,5072,5105,null,null,1402,null,null,1734,null,null,1403,null,null,1509,null,null,1981,null,null,1235,null,null,5072,null,null,15
411617,7286,16002,2139,25272,2816,16204,2399,15663,2243,25749,2259,10463,1627,302264,7943,7286,null,null,2139,null,null,2816,null,null,2399,null,null,2243,null,null,2259,null,null,1627,null,null,7943,null,null,16
3100613,17145,121550,6028,171494,7046,106390,5734,103738,3809,160951,6283,68779,4295,2367711,17384,17145,null,null,6028,null,null,7046,null,null,5734,null,null,3809,null,null,6283,null,null,4295,null,null,17384,null,null,17
1645758,11176,63137,4411,94583,4897,54904,3744,63721,4479,96871,5013,38811,2710,1233731,11685,11176,null,null,4411,null,null,4897,null,null,3744,null,null,4479,null,null,5013,null,null,2710,null,null,11685,null,null,18
795043,8419,24471,1932,35658,2730,22598,1985,22561,1914,39243,2998,18954,1990,631558,7722,8419,null,null,1932,null,null,2730,null,null,1985,null,null,1914,null,null,2998,null,null,1990,null,null,7722,null,null,19
716005,8245,21043,1767,35421,2936,25377,2184,26453,2210,40552,3213,17459,2318,549700,7479,8245,null,null,1767,null,null,2936,null,null,2184,null,null,2210,null,null,3213,null,null,2318,null,null,7479,null,null,20
1121404,10897,63380,3512,93402,4685,46826,3286,50611,3444,68442,4478,30098,2561,768645,11575,10897,null,null,3512,null,null,4685,null,null,3286,null,null,3444,null,null,4478,null,null,2561,null,null,11575,null,null,21
1097712,12285,67855,5004,100853,6141,54596,4295,44826,3887,68564,4266,26252,2291,734766,10893,12285,null,null,5004,null,null,6141,null,null,4295,null,null,3887,null,null,4266,null,null,2291,null,null,10893,null,null,22
329554,6035,8385,1425,16825,1916,10946,1908,11708,2001,18311,1951,8292,1283,255087,6039,6035,null,null,1425,null,null,1916,null,null,1908,null,null,2001,null,null,1951,null,null,1283,null,null,6039,null,null,23
1458953,11514,39091,2811,53268,3669,32393,2458,35448,3205,56917,4694,24627,2826,1217209,11696,11514,null,null,2811,null,null,3669,null,null,2458,null,null,3205,null,null,4694,null,null,2826,null,null,11696,null,null,24
1633661,12099,51812,3712,67410,3534,37214,3109,37341,3228,60852,4317,27235,2543,1351797,11816,12099,null,null,3712,null,null,3534,null,null,3109,null,null,3228,null,null,4317,null,null,2543,null,null,11816,null,null,25
