B17020F_001E,B17020F_001M,B17020F_002E,B17020F_002M,B17020F_003E,B17020F_003M,B17020F_004E,B17020F_004M,B17020F_005E,B17020F_005M,B17020F_006E,B17020F_006M,B17020F_007E,B17020F_007M,B17020F_008E,B17020F_008M,B17020F_009E,B17020F_009M,B17020F_010E,B17020F_010M,B17020F_011E,B17020F_011M,B17020F_012E,B17020F_012M,B17020F_013E,B17020F_013M,B17020F_014E,B17020F_014M,B17020F_015E,B17020F_015M,B17020F_016E,B17020F_016M,B17020F_017E,B17020F_017M,B17020F_001M,B17020F_001EA,B17020F_001MA,B17020F_002M,B17020F_002EA,B17020F_002MA,B17020F_003M,B17020F_003EA,B17020F_003MA,B17020F_004M,B17020F_004EA,B17020F_004MA,B17020F_005M,B17020F_005EA,B17020F_005MA,B17020F_006M,B17020F_006EA,B17020F_006MA,B17020F_007M,B17020F_007EA,B17020F_007MA,B17020F_008M,B17020F_008EA,B17020F_008MA,B17020F_009M,B17020F_009EA,B17020F_009MA,B17020F_010M,B17020F_010EA,B17020F_010MA,B17020F_011M,B17020F_011EA,B17020F_011MA,B17020F_012M,B17020F_012EA,B17020F_012MA,B17020F_013M,B17020F_013EA,B17020F_013MA,B17020F_014M,B17020F_014EA,B17020F_014MA,B17020F_015M,B17020F_015EA,B17020F_015MA,B17020F_016M,B17020F_016EA,B17020F_016MA,B17020F_017M,B17020F_017EA,B17020F_017MA,state
562684,25701,114499,12590,16298,3665,14417,2960,11915,2428,58401,6466,10871,2187,2268,682,329,224,448185,23318,31610,4430,32943,4168,34583,4058,300002,15551,36363,4390,9487,2031,3197,897,25701,null,null,12590,null,null,3665,null,null,2960,null,null,2428,null,null,6466,null,null,2187,null,null,682,null,null,224,null,null,23318,null,null,4430,null,null,4168,null,null,4058,null,null,15551,null,null,4390,null,null,2031,null,null,897,null,null,12
293601,22168,85679,12750,17464,3572,17760,3756,12678,2690,36364,5854,1227,518,186,240,0,218,207922,17552,16667,3184,19265,2884,23539,4508,136247,11113,10470,2275,1350,779,384,467,22168,null,null,12750,null,null,3572,null,null,3756,null,null,2690,null,null,5854,null,null,518,null,null,240,null,null,218,null,null,17552,null,null,3184,null,null,2884,null,null,4508,null,null,11113,null,null,2275,null,null,779,null,null,467,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
65948,7277,13515,4761,3044,1873,1907,1599,634,762,7273,2098,395,340,213,244,49,92,52433,7102,6974,1883,6550,1881,5780,1273,30324,3988,2115,706,446,456,244,275,7277,null,null,4761,null,null,1873,null,null,1599,null,null,762,null,null,2098,null,null,340,null,null,244,null,null,92,null,null,7102,null,null,1883,null,null,1881,null,null,1273,null,null,3988,null,null,706,null,null,456,null,null,275,null,null,16
815298,24283,156645,16100,20316,3722,30173,4918,22611,3830,71246,7140,9076,2031,2815,979,408,360,658653,21776,57121,4590,59672,5037,68258,5086,421780,13844,41346,3573,8078,1312,2398,952,24283,null,null,16100,null,null,3722,null,null,4918,null,null,3830,null,null,7140,null,null,2031,null,null,979,null,null,360,null,null,21776,null,null,4590,null,null,5037,null,null,5086,null,null,13844,null,null,3573,null,null,1312,null,null,952,null,null,17
154906,11029,39515,6858,6529,1734,7317,1802,5648,1572,18967,3676,1054,466,0,192,0,192,115391,10743,11159,2223,13166,2134,12369,2238,68822,6601,8000,1245,1313,655,562,302,11029,null,null,6858,null,null,1734,null,null,1802,null,null,1572,null,null,3676,null,null,466,null,null,192,null,null,192,null,null,10743,null,null,2223,null,null,2134,null,null,2238,null,null,6601,null,null,1245,null,null,655,null,null,302,null,null,18
41063,4520,10637,3034,1579,686,1460,778,2080,864,5240,1500,17,23,21,39,240,325,30426,4246,2753,861,2782,1023,2792,778,20360,2730,1617,615,66,95,56,91,4520,null,null,3034,null,null,686,null,null,778,null,null,864,null,null,1500,null,null,23,null,null,39,null,null,325,null,null,4246,null,null,861,null,null,1023,null,null,778,null,null,2730,null,null,615,null,null,95,null,null,91,null,null,19
73590,7766,15779,4030,2238,847,2308,1039,2200,1295,8755,1969,139,139,139,220,0,174,57811,7188,5409,1622,6108,1657,6753,1742,34688,4272,4325,1154,411,228,117,161,7766,null,null,4030,null,null,847,null,null,1039,null,null,1295,null,null,1969,null,null,139,null,null,220,null,null,174,null,null,7188,null,null,1622,null,null,1657,null,null,1742,null,null,4272,null,null,1154,null,null,228,null,null,161,null,null,20
35538,5126,14067,3167,2288,923,2306,874,2195,945,6949,1566,329,312,0,190,0,190,21471,4329,1275,673,2266,791,2292,974,14056,2760,1205,775,377,470,0,190,5126,null,null,3167,null,null,923,null,null,874,null,null,945,null,null,1566,null,null,312,null,null,190,null,null,190,null,null,4329,null,null,673,null,null,791,null,null,974,null,null,2760,null,null,775,null,null,470,null,null,190,null,null,21
65369,6418,18048,3745,2735,1467,2355,810,2045,981,10218,2282,586,686,85,140,24,41,47321,5455,5183,1532,5181,1651,3578,982,29978,3275,2498,825,711,494,192,180,6418,null,null,3745,null,null,1467,null,null,810,null,null,981,null,null,2282,null,null,686,null,null,140,null,null,41,null,null,5455,null,null,1532,null,null,1651,null,null,982,null,null,3275,null,null,825,null,null,494,null,null,180,null,null,22
