C14007G_001E,C14007G_001M,C14007G_002E,C14007G_002M,C14007G_003E,C14007G_003M,C14007G_004E,C14007G_004M,C14007G_005E,C14007G_005M,C14007G_006E,C14007G_006M,C14007G_007E,C14007G_007M,C14007G_001M,C14007G_001EA,C14007G_001MA,C14007G_002M,C14007G_002EA,C14007G_002MA,C14007G_003M,C14007G_003EA,C14007G_003MA,C14007G_004M,C14007G_004EA,C14007G_004MA,C14007G_005M,C14007G_005EA,C14007G_005MA,C14007G_006M,C14007G_006EA,C14007G_006MA,C14007G_007M,C14007G_007EA,C14007G_007MA,state
482959,20396,222606,13404,33209,4071,102894,7816,41553,3895,44950,4278,260353,10690,20396,null,null,13404,null,null,4071,null,null,7816,null,null,3895,null,null,4278,null,null,10690,null,null,12
231731,13204,117278,9069,19313,2737,55483,5686,21119,3127,21363,2717,114453,7508,13204,null,null,9069,null,null,2737,null,null,5686,null,null,3127,null,null,2717,null,null,7508,null,null,13
317927,12761,118380,5784,18699,2131,52000,4178,22863,2117,24818,2280,199547,9790,12761,null,null,5784,null,null,2131,null,null,4178,null,null,2117,null,null,2280,null,null,9790,null,null,15
37725,2947,16264,2161,1801,802,6952,1476,3523,1173,3988,1035,21461,2354,2947,null,null,2161,null,null,802,null,null,1476,null,null,1173,null,null,1035,null,null,2354,null,null,16
286630,13024,142762,8409,23959,3114,65512,5072,27828,2741,25463,2809,143868,7746,13024,null,null,8409,null,null,3114,null,null,5072,null,null,2741,null,null,2809,null,null,7746,null,null,17
143661,8018,76852,5859,11870,1902,38496,3838,14984,1825,11502,2145,66809,5040,8018,null,null,5859,null,null,1902,null,null,3838,null,null,1825,null,null,2145,null,null,5040,null,null,18
50794,3642,28911,2932,4422,1239,13248,1833,6537,1262,4704,1522,21883,2225,3642,null,null,2932,null,null,1239,null,null,1833,null,null,1262,null,null,1522,null,null,2225,null,null,19
93527,5282,51823,3839,7653,1912,23560,2604,10489,1709,10121,2048,41704,3276,5282,null,null,3839,null,null,1912,null,null,2604,null,null,1709,null,null,2048,null,null,3276,null,null,20
83118,6523,47580,4867,7541,1496,22557,2697,9654,1680,7828,1692,35538,3791,6523,null,null,4867,null,null,1496,null,null,2697,null,null,1680,null,null,1692,null,null,3791,null,null,21
82796,8006,40221,5233,5354,1567,19037,3178,8647,2062,7183,1826,42575,4472,8006,null,null,5233,null,null,1567,null,null,3178,null,null,2062,null,null,1826,null,null,4472,null,null,22
24863,2532,11060,1639,1637,477,5578,1308,2145,629,1700,610,13803,1576,2532,null,null,1639,null,null,477,null,null,1308,null,null,629,null,null,610,null,null,1576,null,null,23
181533,10137,94074,6638,15090,1919,42276,4099,16640,2387,20068,2641,87459,6278,10137,null,null,6638,null,null,1919,null,null,4099,null,null,2387,null,null,2641,null,null,6278,null,null,24
193874,11276,88609,6311,14171,2247,36122,3746,16007,2321,22309,2864,105265,7494,11276,null,null,6311,null,null,2247,null,null,3746,null,null,2321,null,null,2864,null,null,7494,null,null,25
281808,11165,142158,7240,20228,2344,63160,4006,29865,2518,28905,2730,139650,5857,11165,null,null,7240,null,null,2344,null,null,4006,null,null,2518,null,null,2730,null,null,5857,null,null,26
140419,7295,74790,4758,11028,1657,35865,3237,14689,1602,13208,1899,65629,4154,7295,null,null,4758,null,null,1657,null,null,3237,null,null,1602,null,null,1899,null,null,4154,null,null,27
30899,4558,15465,2843,1711,682,8783,2154,2287,791,2684,889,15434,2655,4558,null,null,2843,null,null,682,null,null,2154,null,null,791,null,null,889,null,null,2655,null,null,28
137024,8157,69917,6186,8638,1725,32763,3771,14707,2145,13809,2041,67107,4966,8157,null,null,6186,null,null,1725,null,null,3771,null,null,2145,null,null,2041,null,null,4966,null,null,29
30331,2718,12373,1971,1603,669,5584,1532,2969,891,2217,731,17958,2005,2718,null,null,1971,null,null,669,null,null,1532,null,null,891,null,null,731,null,null,2005,null,null,30
40416,4085,20816,2419,2814,791,9250,1981,5245,1102,3507,967,19600,2563,4085,null,null,2419,null,null,791,null,null,1981,null,null,1102,null,null,967,null,null,2563,null,null,31
126921,8916,54192,5738,7275,1339,24383,3660,12495,2019,10039,1748,72729,5380,8916,null,null,5738,null,null,1339,null,null,3660,null,null,2019,null,null,1748,null,null,5380,null,null,32
26698,3165,12755,2030,1810,707,5184,1257,1999,681,3762,956,13943,1865,3165,null,null,2030,null,null,707,null,null,1257,null,null,681,null,null,956,null,null,1865,null,null,33
216051,11570,101312,6233,18827,2411,46385,3945,18803,2308,17297,2166,114739,7388,11570,null,null,6233,null,null,2411,null,null,3945,null,null,2308,null,null,2166,null,null,7388,null,null,34
61376,5954,24734,3089,3064,886,11331,2299,5305,1151,5034,1286,36642,4542,5954,null,null,3089,null,null,886,null,null,2299,null,null,1151,null,null,1286,null,null,4542,null,null,35
563006,21475,251253,11219,40921,3948,103615,6392,47252,3662,59465,4764,311753,14288,21475,null,null,11219,null,null,3948,null,null,6392,null,null,3662,null,null,4764,null,null,14288,null,null,36
238975,11247,121149,8401,16330,2254,58434,5075,23792,2953,22593,2660,117826,6095,11247,null,null,8401,null,null,2254,null,null,5075,null,null,2953,null,null,2660,null,null,6095,null,null,37
19113,2583,8522,1762,2591,820,3268,906,784,432,1879,646,10591,1776,2583,null,null,1762,null,null,820,null,null,906,null,null,432,null,null,646,null,null,1776,null,null,38
291627,12144,149542,7007,21345,2167,70785,4475,31719,3207,25693,2512,142085,7642,12144,null,null,7007,null,null,2167,null,null,4475,null,null,3207,null,null,2512,null,null,7642,null,null,39
280918,7866,117897,5437,17982,2082,58252,3803,22182,2064,19481,2017,163021,5329,7866,null,null,5437,null,null,2082,null,null,3803,null,null,2064,null,null,2017,null,null,5329,null,null,40
192622,10145,82786,7038,14155,2195,36351,4189,15154,2103,17126,2990,109836,5496,10145,null,null,7038,null,null,2195,null,null,4189,null,null,2103,null,null,2990,null,null,5496,null,null,41
295364,12621,150314,7829,25287,2545,72249,5568,29764,2941,23014,2628,145050,7355,12621,null,null,7829,null,null,2545,null,null,5568,null,null,2941,null,null,2628,null,null,7355,null,null,42
30351,4388,14489,2519,1849,899,6346,1513,3065,1003,3229,836,15862,2746,4388,null,null,2519,null,null,899,null,null,1513,null,null,1003,null,null,836,null,null,2746,null,null,44
94947,7932,48952,5716,8570,1951,24190,3655,8007,1633,8185,1738,45995,4162,7932,null,null,5716,null,null,1951,null,null,3655,null,null,1633,null,null,1738,null,null,4162,null,null,45
19443,2601,10659,1837,1763,959,4993,1135,2143,680,1760,653,8784,1734,2601,null,null,1837,null,null,959,null,null,1135,null,null,680,null,null,653,null,null,1734,null,null,46
125454,9291,59552,6298,7571,1789,29923,4000,12301,2135,9757,1911,65902,5215,9291,null,null,6298,null,null,1789,null,null,4000,null,null,2135,null,null,1911,null,null,5215,null,null,47
648912,20746,306406,12733,43100,3370,143573,8272,60477,4724,59256,5048,342506,13213,20746,null,null,12733,null,null,3370,null,null,8272,null,null,4724,null,null,5048,null,null,13213,null,null,48
79825,6232,42364,4952,6287,1266,17100,2470,10712,2158,8265,1813,37461,3252,6232,null,null,4952,null,null,1266,null,null,2470,null,null,2158,null,null,1813,null,null,3252,null,null,49
11284,1657,4739,1232,957,435,2521,846,402,203,859,337,6545,1111,1657,null,null,1232,null,null,435,null,null,846,null,null,203,null,null,337,null,null,1111,null,null,50
279394,11455,142463,7332,20242,2691,61096,4655,30135,2779,30990,2747,136931,7005,11455,null,null,7332,null,null,2691,null,null,4655,null,null,2779,null,null,2747,null,null,7005,null,null,51
381198,14172,171941,8756,25941,2951,83087,5727,33148,2732,29765,3107,209257,8308,14172,null,null,8756,null,null,2951,null,null,5727,null,null,2732,null,null,3107,null,null,8308,null,null,53
28377,3207,16148,2186,2175,740,7924,1357,2872,899,3177,893,12229,2003,3207,null,null,2186,null,null,740,null,null,1357,null,null,899,null,null,893,null,null,2003,null,null,54
125961,7996,68313,5743,12741,1904,32219,3606,12470,2242,10883,1478,57648,3840,7996,null,null,5743,null,null,1904,null,null,3606,null,null,2242,null,null,1478,null,null,3840,null,null,55
14233,2041,6206,1315,913,434,3124,954,1275,753,894,443,8027,1557,2041,null,null,1315,null,null,434,null,null,954,null,null,753,null,null,443,null,null,1557,null,null,56
143896,9773,39967,4674,4293,1270,16457,2639,8002,1621,11215,1827,103929,6946,9773,null,null,4674,null,null,1270,null,null,2639,null,null,1621,null,null,1827,null,null,6946,null,null,72
76342,6361,35043,3944,5296,1404,16236,2539,7245,1441,6266,1440,41299,3791,6361,null,null,3944,null,null,1404,null,null,2539,null,null,1441,null,null,1440,null,null,3791,null,null,01
58910,4987,28465,3261,4256,1111,13348,1993,7066,1491,3795,1145,30445,2560,4987,null,null,3261,null,null,1111,null,null,1993,null,null,1491,null,null,1145,null,null,2560,null,null,02
227024,12828,110718,7754,15556,2322,50808,4466,23432,2867,20922,2357,116306,7151,12828,null,null,7754,null,null,2322,null,null,4466,null,null,2867,null,null,2357,null,null,7151,null,null,04
68088,5359,31004,3693,5717,1566,13727,1975,7150,1699,4410,1178,37084,3504,5359,null,null,3693,null,null,1566,null,null,1975,null,null,1699,null,null,1178,null,null,3504,null,null,05
1724695,27537,804850,18469,117763,5730,338988,10790,156926,6701,191173,8072,919845,17683,27537,null,null,18469,null,null,5730,null,null,10790,null,null,6701,null,null,8072,null,null,17683,null,null,06
168741,8970,76174,5432,10395,1527,37582,4123,14428,1783,13769,1952,92567,5468,8970,null,null,5432,null,null,1527,null,null,4123,null,null,1783,null,null,1952,null,null,5468,null,null,08
102287,7716,51435,4785,9124,1702,22657,3157,9759,1811,9895,1887,50852,4983,7716,null,null,4785,null,null,1702,null,null,3157,null,null,1811,null,null,1887,null,null,4983,null,null,09
22407,2854,11870,2019,2176,778,4230,1148,3086,1098,2378,740,10537,1781,2854,null,null,2019,null,null,778,null,null,1148,null,null,1098,null,null,740,null,null,1781,null,null,10
15557,2370,6125,1188,1275,509,2211,783,390,253,2249,794,9432,1662,2370,null,null,1188,null,null,509,null,null,783,null,null,253,null,null,794,null,null,1662,null,null,11
