C14003_001E,C14003_001M,C14003_002E,C14003_002M,C14003_003E,C14003_003M,C14003_004E,C14003_004M,C14003_005E,C14003_005M,C14003_006E,C14003_006M,C14003_007E,C14003_007M,C14003_008E,C14003_008M,C14003_009E,C14003_009M,C14003_010E,C14003_010M,C14003_011E,C14003_011M,C14003_012E,C14003_012M,C14003_013E,C14003_013M,C14003_014E,C14003_014M,C14003_015E,C14003_015M,C14003_016E,C14003_016M,C14003_017E,C14003_017M,C14003_018E,C14003_018M,C14003_019E,C14003_019M,C14003_020E,C14003_020M,C14003_021E,C14003_021M,C14003_022E,C14003_022M,C14003_023E,C14003_023M,C14003_024E,C14003_024M,C14003_025E,C14003_025M,C14003_026E,C14003_026M,C14003_027E,C14003_027M,C14003_028E,C14003_028M,C14003_001M,C14003_001EA,C14003_001MA,C14003_002M,C14003_002EA,C14003_002MA,C14003_003M,C14003_003EA,C14003_003MA,C14003_004M,C14003_004EA,C14003_004MA,C14003_005M,C14003_005EA,C14003_005MA,C14003_006M,C14003_006EA,C14003_006MA,C14003_007M,C14003_007EA,C14003_007MA,C14003_008M,C14003_008EA,C14003_008MA,C14003_009M,C14003_009EA,C14003_009MA,C14003_010M,C14003_010EA,C14003_010MA,C14003_011M,C14003_011EA,C14003_011MA,C14003_012M,C14003_012EA,C14003_012MA,C14003_013M,C14003_013EA,C14003_013MA,C14003_014M,C14003_014EA,C14003_014MA,C14003_015M,C14003_015EA,C14003_015MA,C14003_016M,C14003_016EA,C14003_016MA,C14003_017M,C14003_017EA,C14003_017MA,C14003_018M,C14003_018EA,C14003_018MA,C14003_019M,C14003_019EA,C14003_019MA,C14003_020M,C14003_020EA,C14003_020MA,C14003_021M,C14003_021EA,C14003_021MA,C14003_022M,C14003_022EA,C14003_022MA,C14003_023M,C14003_023EA,C14003_023MA,C14003_024M,C14003_024EA,C14003_024MA,C14003_025M,C14003_025EA,C14003_025MA,C14003_026M,C14003_026EA,C14003_026MA,C14003_027M,C14003_027EA,C14003_027MA,C14003_028M,C14003_028EA,C14003_028MA,state
19944148,9362,3895161,28120,128009,7336,926254,16116,999921,17276,623589,7200,317020,7441,441422,11668,268843,11535,190103,6762,823647,18464,98623,6149,151888,8030,144145,6914,81079,4668,54927,3672,101670,5278,96017,6386,95298,5188,15225340,22949,222544,6964,55114,4870,22410,2801,23273,2726,124825,6337,723764,12125,2296056,14508,11757354,11596,9362,null,null,28120,null,null,7336,null,null,16116,null,null,17276,null,null,7200,null,null,7441,null,null,11668,null,null,11535,null,null,6762,null,null,18464,null,null,6149,null,null,8030,null,null,6914,null,null,4668,null,null,3672,null,null,5278,null,null,6386,null,null,5188,null,null,22949,null,null,6964,null,null,4870,null,null,2801,null,null,2726,null,null,6337,null,null,12125,null,null,14508,null,null,11596,null,null,12
9922591,8143,2347139,18171,76640,5541,603838,12139,638502,12482,373967,5195,191278,7181,228119,9309,123373,6209,111422,6472,400097,13107,51436,4355,70724,4731,71685,4782,42582,3183,28524,3371,51117,4876,37851,3987,46178,4616,7175355,16814,139022,6253,25402,3571,13281,2172,15751,2384,83473,5486,431855,9602,1242518,8742,5224053,11366,8143,null,null,18171,null,null,5541,null,null,12139,null,null,12482,null,null,5195,null,null,7181,null,null,9309,null,null,6209,null,null,6472,null,null,13107,null,null,4355,null,null,4731,null,null,4782,null,null,3183,null,null,3371,null,null,4876,null,null,3987,null,null,4616,null,null,16814,null,null,6253,null,null,3571,null,null,2172,null,null,2384,null,null,5486,null,null,9602,null,null,8742,null,null,11366,null,null,13
1374882,2411,259430,6080,5827,1150,67426,3295,66732,3549,35638,1644,15717,1725,28189,2317,20909,2222,18992,2206,72110,4178,11405,1776,12585,1600,14947,1849,9228,1377,3904,1136,5718,1007,7025,1377,7298,1414,1043342,5940,19815,2495,6292,1209,1820,717,2375,628,11195,1660,65132,2751,177910,3034,758803,2873,2411,null,null,6080,null,null,1150,null,null,3295,null,null,3549,null,null,1644,null,null,1725,null,null,2317,null,null,2222,null,null,2206,null,null,4178,null,null,1776,null,null,1600,null,null,1849,null,null,1377,null,null,1136,null,null,1007,null,null,1377,null,null,1414,null,null,5940,null,null,2495,null,null,1209,null,null,717,null,null,628,null,null,1660,null,null,2751,null,null,3034,null,null,2873,null,null,15
1616630,2710,391798,7809,8924,1566,106157,4388,109084,4559,67520,1713,27711,2341,34357,3130,22316,2749,15729,2169,62393,5056,7199,1740,12855,2712,9898,1451,4582,1145,5224,1223,9625,1944,7543,1667,5467,1167,1162439,7383,31510,2794,7355,1479,2851,775,2012,711,14446,1633,68055,4311,190696,4810,845514,4022,2710,null,null,7809,null,null,1566,null,null,4388,null,null,4559,null,null,1713,null,null,2341,null,null,3130,null,null,2749,null,null,2169,null,null,5056,null,null,1740,null,null,2712,null,null,1451,null,null,1145,null,null,1223,null,null,1944,null,null,1667,null,null,1167,null,null,7383,null,null,2794,null,null,1479,null,null,775,null,null,711,null,null,1633,null,null,4311,null,null,4810,null,null,4022,null,null,16
12343102,7261,2685587,19000,108814,5675,677157,11107,735650,11902,454232,4658,207002,6082,265410,8010,131240,5784,106082,4433,601019,16465,69724,4022,102160,5362,82277,5615,47227,3750,53859,3451,113338,6296,75949,4618,56485,3538,9056496,15879,132515,5274,28040,2684,12698,2047,13788,1795,78666,4123,495326,9913,1558562,8659,6736901,6788,7261,null,null,19000,null,null,5675,null,null,11107,null,null,11902,null,null,4658,null,null,6082,null,null,8010,null,null,5784,null,null,4433,null,null,16465,null,null,4022,null,null,5362,null,null,5615,null,null,3750,null,null,3451,null,null,6296,null,null,4618,null,null,3538,null,null,15879,null,null,5274,null,null,2684,null,null,2047,null,null,1795,null,null,4123,null,null,9913,null,null,8659,null,null,6788,null,null,17
6387865,5194,1405792,15228,41006,3133,355670,8251,374994,8526,236785,3990,117296,4547,152066,6635,69444,4106,58531,4139,278427,9956,33577,2996,62175,4659,55601,4085,28194,2400,26729,2164,39490,3869,17630,2242,15031,1798,4703646,12461,100596,4233,26258,2879,6917,1406,10572,1666,44616,3446,282747,6835,770411,7257,3461529,7999,5194,null,null,15228,null,null,3133,null,null,8251,null,null,8526,null,null,3990,null,null,4547,null,null,6635,null,null,4106,null,null,4139,null,null,9956,null,null,2996,null,null,4659,null,null,4085,null,null,2400,null,null,2164,null,null,3869,null,null,2242,null,null,1798,null,null,12461,null,null,4233,null,null,2879,null,null,1406,null,null,1666,null,null,3446,null,null,6835,null,null,7257,null,null,7999,null,null,18
3017234,3353,682976,7551,26478,2417,172773,4521,182563,4776,109118,1941,61830,2876,71499,3616,33882,3224,24833,2187,121765,5736,11991,1896,22967,2432,17547,2336,8941,1122,16473,1704,22828,2605,11105,1848,9913,1509,2212493,6770,41559,2844,8051,1579,3858,1020,3662,820,19485,2148,128591,4445,350065,5115,1657222,4792,3353,null,null,7551,null,null,2417,null,null,4521,null,null,4776,null,null,1941,null,null,2876,null,null,3616,null,null,3224,null,null,2187,null,null,5736,null,null,1896,null,null,2432,null,null,2336,null,null,1122,null,null,1704,null,null,2605,null,null,1848,null,null,1509,null,null,6770,null,null,2844,null,null,1579,null,null,1020,null,null,820,null,null,2148,null,null,4445,null,null,5115,null,null,4792,null,null,19
2789271,3180,669219,9092,22782,2099,169161,4671,174198,5198,103747,2029,58063,2927,74811,4683,38339,3346,28118,2617,105683,6629,13322,1849,24037,2757,20237,2626,10234,1277,7559,1363,11923,1882,9368,1653,9003,1398,2014369,8255,43284,3161,9472,1827,2474,773,3953,1059,21970,2135,126108,4961,329461,5144,1477647,4981,3180,null,null,9092,null,null,2099,null,null,4671,null,null,5198,null,null,2029,null,null,2927,null,null,4683,null,null,3346,null,null,2617,null,null,6629,null,null,1849,null,null,2757,null,null,2626,null,null,1277,null,null,1363,null,null,1882,null,null,1653,null,null,1398,null,null,8255,null,null,3161,null,null,1827,null,null,773,null,null,1059,null,null,2135,null,null,4961,null,null,5144,null,null,4981,null,null,20
4275617,4122,916815,11434,32742,3272,234517,6065,242066,5669,150186,2767,80924,4487,89071,5476,51821,3587,35488,3245,168218,7192,17513,2015,33862,2901,37427,3348,20347,1835,13804,1799,19048,2157,11635,1562,14582,1767,3190584,10749,61337,3201,10184,1537,5279,1193,5640,1319,35724,3190,190437,6887,501267,5761,2380716,5693,4122,null,null,11434,null,null,3272,null,null,6065,null,null,5669,null,null,2767,null,null,4487,null,null,5476,null,null,3587,null,null,3245,null,null,7192,null,null,2015,null,null,2901,null,null,3348,null,null,1835,null,null,1799,null,null,2157,null,null,1562,null,null,1767,null,null,10749,null,null,3201,null,null,1537,null,null,1193,null,null,1319,null,null,3190,null,null,6887,null,null,5761,null,null,5693,null,null,21
4492545,6358,942785,11509,36133,3640,240565,7702,253856,7955,146962,3693,77122,5132,99496,4830,53703,4032,34948,2624,230131,7978,25804,2859,55979,4370,55154,4380,30752,2575,13909,2342,20177,2555,14708,2208,13648,2006,3319629,8987,55905,4472,9245,1637,8189,2128,9616,1819,37545,4074,201116,5977,602697,8290,2395316,7265,6358,null,null,11509,null,null,3640,null,null,7702,null,null,7955,null,null,3693,null,null,5132,null,null,4830,null,null,4032,null,null,2624,null,null,7978,null,null,2859,null,null,4370,null,null,4380,null,null,2575,null,null,2342,null,null,2555,null,null,2208,null,null,2006,null,null,8987,null,null,4472,null,null,1637,null,null,2128,null,null,1819,null,null,4074,null,null,5977,null,null,8290,null,null,7265,null,null,22
