B18101H_001E,B18101H_001M,B18101H_002E,B18101H_002M,B18101H_003E,B18101H_003M,B18101H_004E,B18101H_004M,B18101H_005E,B18101H_005M,B18101H_006E,B18101H_006M,B18101H_007E,B18101H_007M,B18101H_008E,B18101H_008M,B18101H_009E,B18101H_009M,B18101H_010E,B18101H_010M,B18101H_001M,B18101H_001EA,B18101H_001MA,B18101H_002M,B18101H_002EA,B18101H_002MA,B18101H_003M,B18101H_003EA,B18101H_003MA,B18101H_004M,B18101H_004EA,B18101H_004MA,B18101H_005M,B18101H_005EA,B18101H_005MA,B18101H_006M,B18101H_006EA,B18101H_006MA,B18101H_007M,B18101H_007EA,B18101H_007MA,B18101H_008M,B18101H_008EA,B18101H_008MA,B18101H_009M,B18101H_009EA,B18101H_009MA,B18101H_010M,B18101H_010EA,B18101H_010MA,state
11108555,7337,1755027,2492,78034,5025,1676993,5544,6356835,5988,740988,14914,5615847,14883,2996693,2059,977086,13666,2019607,14117,7337,null,null,2492,null,null,5025,null,null,5544,null,null,5988,null,null,14914,null,null,14883,null,null,2059,null,null,13666,null,null,14117,null,null,12
5397447,5746,1105945,2656,50826,4034,1055119,4300,3345977,4314,394437,10313,2951540,10123,945525,1741,338353,7580,607172,7899,5746,null,null,2656,null,null,4034,null,null,4300,null,null,4314,null,null,10313,null,null,10123,null,null,1741,null,null,7580,null,null,7899,null,null,13
291287,2054,42421,386,1015,465,41406,663,185138,2021,16068,2005,169070,2923,63728,479,20739,1770,42989,1807,2054,null,null,386,null,null,465,null,null,663,null,null,2021,null,null,2005,null,null,2923,null,null,479,null,null,1770,null,null,1807,null,null,15
1370690,1147,327487,303,13083,2018,314404,2044,808572,1165,100525,5013,708047,5044,234631,425,85729,3359,148902,3353,1147,null,null,303,null,null,2018,null,null,2044,null,null,1165,null,null,5013,null,null,5044,null,null,425,null,null,3359,null,null,3353,null,null,16
7789493,4504,1505573,1762,50583,3621,1454990,3884,4896170,3420,428724,10748,4467446,12027,1387750,2158,462586,6468,925164,6387,4504,null,null,1762,null,null,3621,null,null,3884,null,null,3420,null,null,10748,null,null,12027,null,null,2158,null,null,6468,null,null,6387,null,null,17
5203223,3325,1122640,1730,47510,3993,1075130,4635,3219038,2723,392995,8375,2826043,9674,861545,1600,314577,5689,546968,5849,3325,null,null,1730,null,null,3993,null,null,4635,null,null,2723,null,null,8375,null,null,9674,null,null,1600,null,null,5689,null,null,5849,null,null,18
2671539,2202,572697,930,25889,2553,546808,2629,1625966,1592,156325,5733,1469641,5909,472876,792,149529,4281,323347,4264,2202,null,null,930,null,null,2553,null,null,2629,null,null,1592,null,null,5733,null,null,5909,null,null,792,null,null,4281,null,null,4264,null,null,19
2177741,1978,475808,1080,18132,2095,457676,2305,1324019,1635,148133,4676,1175886,4975,377914,838,130724,3569,247190,3589,1978,null,null,1080,null,null,2095,null,null,2305,null,null,1635,null,null,4676,null,null,4975,null,null,838,null,null,3569,null,null,3589,null,null,20
3704304,4406,794658,1870,44688,3536,749970,4374,2292025,2870,381879,10448,1910146,11117,617621,1109,262290,5948,355331,6043,4406,null,null,1870,null,null,3536,null,null,4374,null,null,2870,null,null,10448,null,null,11117,null,null,1109,null,null,5948,null,null,6043,null,null,21
2711225,2909,569759,1082,31515,3130,538244,3311,1676539,2381,213351,8489,1463188,9193,464927,1358,177642,5207,287285,5411,2909,null,null,1082,null,null,3130,null,null,3311,null,null,2381,null,null,8489,null,null,9193,null,null,1358,null,null,5207,null,null,5411,null,null,22
1231065,811,225310,349,13474,2023,211836,2059,761789,993,102436,4357,659353,4416,243966,511,80821,3233,163145,3288,811,null,null,349,null,null,2023,null,null,2059,null,null,993,null,null,4357,null,null,4416,null,null,511,null,null,3233,null,null,3288,null,null,23
3042420,3209,574719,994,26906,3377,547813,3587,1899508,2489,184015,6686,1715493,7089,568193,1222,175205,4613,392988,4560,3209,null,null,994,null,null,3377,null,null,3587,null,null,2489,null,null,6686,null,null,7089,null,null,1222,null,null,4613,null,null,4560,null,null,24
4876774,6564,853724,2371,35481,3465,818243,4154,3123182,5166,274127,9643,2849055,9254,899868,1610,275398,6442,624470,6625,6564,null,null,2371,null,null,3465,null,null,4154,null,null,5166,null,null,9643,null,null,9254,null,null,1610,null,null,6442,null,null,6625,null,null,25
7412229,3393,1470262,1537,65442,4208,1404820,4490,4597466,2126,545350,10419,4052116,10896,1344501,1531,457644,6877,886857,6684,3393,null,null,1537,null,null,4208,null,null,4490,null,null,2126,null,null,10419,null,null,10896,null,null,1531,null,null,6877,null,null,6684,null,null,26
4401935,2560,899347,1086,30074,2277,869273,2237,2749642,2033,239720,6061,2509922,6468,752946,855,230643,4798,522303,4851,2560,null,null,1086,null,null,2277,null,null,2237,null,null,2033,null,null,6061,null,null,6468,null,null,855,null,null,4798,null,null,4851,null,null,27
1668795,2166,354045,491,21076,3129,332969,3096,1001106,2168,145770,7937,855336,7504,313644,1105,124939,4306,188705,4117,2166,null,null,491,null,null,3129,null,null,3096,null,null,2168,null,null,7937,null,null,7504,null,null,1105,null,null,4306,null,null,4117,null,null,28
4769311,3220,1007617,1477,43792,4000,963825,4252,2928937,2599,369556,9752,2559381,9918,832757,1168,301232,6900,531525,6895,3220,null,null,1477,null,null,4000,null,null,4252,null,null,2599,null,null,9752,null,null,9918,null,null,1168,null,null,6900,null,null,6895,null,null,29
889270,952,177671,327,6711,1219,170960,1284,541013,941,64839,4083,476174,4260,170586,441,58065,2571,112521,2596,952,null,null,327,null,null,1219,null,null,1284,null,null,941,null,null,4083,null,null,4260,null,null,441,null,null,2571,null,null,2596,null,null,30
1498129,1616,329240,650,11504,1487,317736,1642,913157,1467,89747,4060,823410,4316,255732,726,87003,2625,168729,2541,1616,null,null,650,null,null,1487,null,null,1642,null,null,1467,null,null,4060,null,null,4316,null,null,726,null,null,2625,null,null,2541,null,null,31
