C25122_001E,C25122_001M,C25122_002E,C25122_002M,C25122_003E,C25122_003M,C25122_004E,C25122_004M,C25122_005E,C25122_005M,C25122_006E,C25122_006M,C25122_007E,C25122_007M,C25122_008E,C25122_008M,C25122_009E,C25122_009M,C25122_010E,C25122_010M,C25122_011E,C25122_011M,C25122_012E,C25122_012M,C25122_013E,C25122_013M,C25122_014E,C25122_014M,C25122_015E,C25122_015M,C25122_016E,C25122_016M,C25122_017E,C25122_017M,C25122_018E,C25122_018M,C25122_019E,C25122_019M,C25122_020E,C25122_020M,C25122_021E,C25122_021M,C25122_022E,C25122_022M,C25122_023E,C25122_023M,C25122_024E,C25122_024M,C25122_025E,C25122_025M,C25122_026E,C25122_026M,C25122_027E,C25122_027M,C25122_028E,C25122_028M,C25122_029E,C25122_029M,C25122_030E,C25122_030M,C25122_031E,C25122_031M,C25122_001M,C25122_001EA,C25122_001MA,C25122_002M,C25122_002EA,C25122_002MA,C25122_003M,C25122_003EA,C25122_003MA,C25122_004M,C25122_004EA,C25122_004MA,C25122_005M,C25122_005EA,C25122_005MA,C25122_006M,C25122_006EA,C25122_006MA,C25122_007M,C25122_007EA,C25122_007MA,C25122_008M,C25122_008EA,C25122_008MA,C25122_009M,C25122_009EA,C25122_009MA,C25122_010M,C25122_010EA,C25122_010MA,C25122_011M,C25122_011EA,C25122_011MA,C25122_012M,C25122_012EA,C25122_012MA,C25122_013M,C25122_013EA,C25122_013MA,C25122_014M,C25122_014EA,C25122_014MA,C25122_015M,C25122_015EA,C25122_015MA,C25122_016M,C25122_016EA,C25122_016MA,C25122_017M,C25122_017EA,C25122_017MA,C25122_018M,C25122_018EA,C25122_018MA,C25122_019M,C25122_019EA,C25122_019MA,C25122_020M,C25122_020EA,C25122_020MA,C25122_021M,C25122_021EA,C25122_021MA,C25122_022M,C25122_022EA,C25122_022MA,C25122_023M,C25122_023EA,C25122_023MA,C25122_024M,C25122_024EA,C25122_024MA,C25122_025M,C25122_025EA,C25122_025MA,C25122_026M,C25122_026EA,C25122_026MA,C25122_027M,C25122_027EA,C25122_027MA,C25122_028M,C25122_028EA,C25122_028MA,C25122_029M,C25122_029EA,C25122_029MA,C25122_030M,C25122_030EA,C25122_030MA,C25122_031M,C25122_031EA,C25122_031MA,state
2716331,20401,309607,9369,56749,3827,127198,6455,100241,5123,25419,2906,388173,10694,53634,3888,181285,7110,127580,7182,25674,2600,592081,12211,26025,2422,278164,10650,263191,8770,24701,2791,456512,10014,8604,1776,168392,6527,264377,8540,15139,2158,481443,11167,6512,1627,120890,6328,338836,10504,15205,2187,488515,15037,3796,1104,64920,5809,403950,11723,15849,2646,20401,null,null,9369,null,null,3827,null,null,6455,null,null,5123,null,null,2906,null,null,10694,null,null,3888,null,null,7110,null,null,7182,null,null,2600,null,null,12211,null,null,2422,null,null,10650,null,null,8770,null,null,2791,null,null,10014,null,null,1776,null,null,6527,null,null,8540,null,null,2158,null,null,11167,null,null,1627,null,null,6328,null,null,10504,null,null,2187,null,null,15037,null,null,1104,null,null,5809,null,null,11723,null,null,2646,null,null,12
1417529,16560,177648,7422,49100,4114,74625,4954,37253,3998,16670,2340,216541,7663,40850,3331,117479,6375,42428,3747,15784,1947,296933,9020,21121,2099,178517,6951,82951,4931,14344,1861,229313,9328,10015,2142,114915,6688,94776,6589,9607,1797,242208,10219,5577,1262,98502,5951,128735,7743,9394,2039,254886,9563,4756,1182,51328,4045,190107,8551,8695,1439,16560,null,null,7422,null,null,4114,null,null,4954,null,null,3998,null,null,2340,null,null,7663,null,null,3331,null,null,6375,null,null,3747,null,null,1947,null,null,9020,null,null,2099,null,null,6951,null,null,4931,null,null,1861,null,null,9328,null,null,2142,null,null,6688,null,null,6589,null,null,1797,null,null,10219,null,null,1262,null,null,5951,null,null,7743,null,null,2039,null,null,9563,null,null,1182,null,null,4045,null,null,8551,null,null,1439,null,null,13
195242,4348,16820,2066,4824,996,3196,1011,7031,1430,1769,729,16856,2382,3793,997,5599,1185,6052,1366,1412,561,26279,2675,1311,478,5247,1079,17895,2253,1826,745,27805,2551,837,441,3780,801,21709,2448,1479,538,41852,3335,1150,539,4636,969,34129,3040,1937,559,65630,3526,229,163,3887,834,58156,3536,3358,915,4348,null,null,2066,null,null,996,null,null,1011,null,null,1430,null,null,729,null,null,2382,null,null,997,null,null,1185,null,null,1366,null,null,561,null,null,2675,null,null,478,null,null,1079,null,null,2253,null,null,745,null,null,2551,null,null,441,null,null,801,null,null,2448,null,null,538,null,null,3335,null,null,539,null,null,969,null,null,3040,null,null,559,null,null,3526,null,null,163,null,null,834,null,null,3536,null,null,915,null,null,15
192655,5870,27408,2703,8916,1439,13109,2226,3071,1187,2312,837,33174,3237,9415,1603,19205,2510,3200,1129,1354,561,40663,3659,5375,1651,26287,2624,5720,1389,3281,955,35125,3347,2416,640,21853,2219,8494,2428,2362,916,33011,2906,1088,428,17645,2158,11957,1918,2321,760,23274,2608,880,492,6680,1446,13607,2130,2107,668,5870,null,null,2703,null,null,1439,null,null,2226,null,null,1187,null,null,837,null,null,3237,null,null,1603,null,null,2510,null,null,1129,null,null,561,null,null,3659,null,null,1651,null,null,2624,null,null,1389,null,null,955,null,null,3347,null,null,640,null,null,2219,null,null,2428,null,null,916,null,null,2906,null,null,428,null,null,2158,null,null,1918,null,null,760,null,null,2608,null,null,492,null,null,1446,null,null,2130,null,null,668,null,null,16
1675188,17617,233372,8074,68256,4038,91681,5946,57432,3904,16003,1640,252398,8259,66739,3968,119087,4999,56194,4455,10378,1568,321125,8625,28776,2411,182211,7080,97211,5071,12927,1902,244443,6477,12431,1584,122367,5310,100598,5652,9047,1376,276894,9701,7544,1304,114524,5919,145105,6912,9721,1329,346956,8812,4410,1082,66757,4792,265389,8006,10400,1560,17617,null,null,8074,null,null,4038,null,null,5946,null,null,3904,null,null,1640,null,null,8259,null,null,3968,null,null,4999,null,null,4455,null,null,1568,null,null,8625,null,null,2411,null,null,7080,null,null,5071,null,null,1902,null,null,6477,null,null,1584,null,null,5310,null,null,5652,null,null,1376,null,null,9701,null,null,1304,null,null,5919,null,null,6912,null,null,1329,null,null,8812,null,null,1082,null,null,4792,null,null,8006,null,null,1560,null,null,17
801849,11165,112118,5562,32544,2817,56258,4054,13178,2256,10138,1575,141717,5159,35909,2998,84294,4892,14200,2606,7314,1190,188847,6525,21030,2472,133296,5745,26436,3061,8085,1440,134256,6699,9133,1644,92080,5396,26344,3226,6699,1124,128899,6028,6115,1400,78075,4210,37557,3395,7152,1401,96012,5198,2825,920,41606,3427,48175,3508,3406,857,11165,null,null,5562,null,null,2817,null,null,4054,null,null,2256,null,null,1575,null,null,5159,null,null,2998,null,null,4892,null,null,2606,null,null,1190,null,null,6525,null,null,2472,null,null,5745,null,null,3061,null,null,1440,null,null,6699,null,null,1644,null,null,5396,null,null,3226,null,null,1124,null,null,6028,null,null,1400,null,null,4210,null,null,3395,null,null,1401,null,null,5198,null,null,920,null,null,3427,null,null,3508,null,null,857,null,null,18
366497,6811,48362,3363,15019,1678,24537,2392,5201,1311,3605,737,64576,3625,19661,2035,34201,2636,6516,1440,4198,815,84599,4074,12431,1270,56287,3658,11637,1527,4244,816,60769,4060,5253,1015,40937,3361,10740,1306,3839,724,59818,3746,4224,847,34522,2529,16744,1942,4328,780,48373,3228,2729,910,21908,2322,19107,2148,4629,777,6811,null,null,3363,null,null,1678,null,null,2392,null,null,1311,null,null,737,null,null,3625,null,null,2035,null,null,2636,null,null,1440,null,null,815,null,null,4074,null,null,1270,null,null,3658,null,null,1527,null,null,816,null,null,4060,null,null,1015,null,null,3361,null,null,1306,null,null,724,null,null,3746,null,null,847,null,null,2529,null,null,1942,null,null,780,null,null,3228,null,null,910,null,null,2322,null,null,2148,null,null,777,null,null,19
381015,7352,45467,3510,14497,1856,21515,2804,5473,1300,3982,850,58987,3897,17920,1810,29773,2930,7861,1777,3433,750,89081,4896,12824,1940,55485,3854,16011,2120,4761,1044,68324,3902,5575,992,44452,3886,16244,2061,2053,553,63984,3708,3365,691,32907,2606,24154,2616,3558,876,55172,3199,1463,523,19109,1995,31557,2970,3043,896,7352,null,null,3510,null,null,1856,null,null,2804,null,null,1300,null,null,850,null,null,3897,null,null,1810,null,null,2930,null,null,1777,null,null,750,null,null,4896,null,null,1940,null,null,3854,null,null,2120,null,null,1044,null,null,3902,null,null,992,null,null,3886,null,null,2061,null,null,553,null,null,3708,null,null,691,null,null,2606,null,null,2616,null,null,876,null,null,3199,null,null,523,null,null,1995,null,null,2970,null,null,896,null,null,20
569531,9504,102110,5159,40376,3474,40035,3690,7839,1577,13860,1780,110103,5836,37145,3422,54254,3651,8320,1490,10384,1747,123359,5157,21019,2680,78219,4286,12895,1915,11226,1602,85758,4891,8096,1451,55422,4761,16292,2062,5948,1446,87481,4840,5230,1194,53563,4103,23799,2687,4889,931,60720,4341,1787,551,29794,3292,23983,2577,5156,1107,9504,null,null,5159,null,null,3474,null,null,3690,null,null,1577,null,null,1780,null,null,5836,null,null,3422,null,null,3651,null,null,1490,null,null,1747,null,null,5157,null,null,2680,null,null,4286,null,null,1915,null,null,1602,null,null,4891,null,null,1451,null,null,4761,null,null,2062,null,null,1446,null,null,4840,null,null,1194,null,null,4103,null,null,2687,null,null,931,null,null,4341,null,null,551,null,null,3292,null,null,2577,null,null,1107,null,null,21
615091,11467,112420,6089,36758,3735,48367,3652,13354,2330,13941,1886,126821,6508,29756,2679,66229,4386,18415,2622,12421,1887,126563,6276,12493,1900,77587,5003,23897,3132,12586,1997,94058,5615,4426,1196,52625,3715,28111,3232,8896,1278,81193,4836,3114,1160,38509,3280,33198,3026,6372,1334,74036,4667,901,488,23644,3010,43137,3769,6354,1174,11467,null,null,6089,null,null,3735,null,null,3652,null,null,2330,null,null,1886,null,null,6508,null,null,2679,null,null,4386,null,null,2622,null,null,1887,null,null,6276,null,null,1900,null,null,5003,null,null,3132,null,null,1997,null,null,5615,null,null,1196,null,null,3715,null,null,3232,null,null,1278,null,null,4836,null,null,1160,null,null,3280,null,null,3026,null,null,1334,null,null,4667,null,null,488,null,null,3010,null,null,3769,null,null,1174,null,null,22
