B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,B25055_001M,B25055_001EA,B25055_001MA,B25055_002M,B25055_002EA,B25055_002MA,B25055_003M,B25055_003EA,B25055_003MA,B25055_004M,B25055_004EA,B25055_004MA,B25055_005M,B25055_005EA,B25055_005MA,B25055_006M,B25055_006EA,B25055_006MA,B25055_007M,B25055_007EA,B25055_007MA,B25055_008M,B25055_008EA,B25055_008MA,B25055_009M,B25055_009EA,B25055_009MA,B25055_010M,B25055_010EA,B25055_010MA,B25055_011M,B25055_011EA,B25055_011MA,B25055_012M,B25055_012EA,B25055_012MA,B25055_013M,B25055_013EA,B25055_013MA,state
2594344,19409,1837694,17475,7964,1628,1829730,17441,360891,8792,2891,1005,358000,8803,225179,7733,4457,1217,220722,7544,170580,6358,47240,3055,123340,5601,19409,null,null,17475,null,null,1628,null,null,17441,null,null,8792,null,null,1005,null,null,8803,null,null,7733,null,null,1217,null,null,7544,null,null,6358,null,null,3055,null,null,5601,null,null,12
1343035,16441,1028752,14379,2985,916,1025767,14479,168130,7192,1548,601,166582,7161,93528,4898,1449,615,92079,4792,52625,3551,12207,1989,40418,3272,16441,null,null,14379,null,null,916,null,null,14479,null,null,7192,null,null,601,null,null,7161,null,null,4898,null,null,615,null,null,4792,null,null,3551,null,null,1989,null,null,3272,null,null,13
183461,4397,128389,3406,1255,535,127134,3380,27239,2671,0,185,27239,2671,15800,1744,55,89,15745,1741,12033,1667,1999,676,10034,1532,4397,null,null,3406,null,null,535,null,null,3380,null,null,2671,null,null,185,null,null,2671,null,null,1744,null,null,89,null,null,1741,null,null,1667,null,null,676,null,null,1532,null,null,15
178918,6143,136369,5353,782,500,135587,5254,18202,2074,397,315,17805,2032,12652,1779,930,586,11722,1688,11695,1567,3975,1030,7720,1165,6143,null,null,5353,null,null,500,null,null,5254,null,null,2074,null,null,315,null,null,2032,null,null,1779,null,null,586,null,null,1688,null,null,1567,null,null,1030,null,null,1165,null,null,16
1606712,17023,1161800,15531,6917,1801,1154883,15398,207768,6477,3008,1520,204760,6263,125910,4682,4777,1221,121133,4597,111234,4883,28539,2070,82695,4483,17023,null,null,15531,null,null,1801,null,null,15398,null,null,6477,null,null,1520,null,null,6263,null,null,4682,null,null,1221,null,null,4597,null,null,4883,null,null,2070,null,null,4483,null,null,17
759055,10989,554352,9516,2307,995,552045,9588,102618,4861,651,471,101967,4845,56614,3368,1383,735,55231,3315,45471,2762,12737,1723,32734,2314,10989,null,null,9516,null,null,995,null,null,9588,null,null,4861,null,null,471,null,null,4845,null,null,3368,null,null,735,null,null,3315,null,null,2762,null,null,1723,null,null,2314,null,null,18
341654,6567,248632,5966,1119,477,247513,6077,37795,2421,397,376,37398,2496,23538,2164,561,258,22977,2157,31689,2039,10416,1311,21273,1756,6567,null,null,5966,null,null,477,null,null,6077,null,null,2421,null,null,376,null,null,2496,null,null,2164,null,null,258,null,null,2157,null,null,2039,null,null,1311,null,null,1756,null,null,19
360185,7382,261574,6592,1263,583,260311,6579,45067,2953,269,268,44798,2937,25148,2027,580,345,24568,2010,28396,2209,9090,1382,19306,1743,7382,null,null,6592,null,null,583,null,null,6579,null,null,2953,null,null,268,null,null,2937,null,null,2027,null,null,345,null,null,2010,null,null,2209,null,null,1382,null,null,1743,null,null,20
518068,9043,378246,7119,2590,817,375656,7106,72992,3815,353,303,72639,3812,39981,3191,622,433,39359,3172,26849,2553,4865,1098,21984,2121,9043,null,null,7119,null,null,817,null,null,7106,null,null,3815,null,null,303,null,null,3812,null,null,3191,null,null,433,null,null,3172,null,null,2553,null,null,1098,null,null,2121,null,null,21
554521,10794,412029,9168,1143,578,410886,9249,76878,4105,726,551,76152,4070,41896,3253,1075,605,40821,3109,23718,1918,3717,863,20001,1847,10794,null,null,9168,null,null,578,null,null,9249,null,null,4105,null,null,551,null,null,4070,null,null,3253,null,null,605,null,null,3109,null,null,1918,null,null,863,null,null,1847,null,null,22
