C15010H_001E,C15010H_001M,C15010H_002E,C15010H_002M,C15010H_003E,C15010H_003M,C15010H_004E,C15010H_004M,C15010H_005E,C15010H_005M,C15010H_006E,C15010H_006M,C15010H_001M,C15010H_001EA,C15010H_001MA,C15010H_002M,C15010H_002EA,C15010H_002MA,C15010H_003M,C15010H_003EA,C15010H_003MA,C15010H_004M,C15010H_004EA,C15010H_004MA,C15010H_005M,C15010H_005EA,C15010H_005MA,C15010H_006M,C15010H_006EA,C15010H_006MA,state
2811651,26371,866131,15732,266925,9151,647527,12117,412644,10250,618424,12532,26371,null,null,15732,null,null,9151,null,null,12117,null,null,10250,null,null,12532,null,null,12
1320630,15865,391756,9844,120505,5131,319001,9144,190549,6501,298819,8745,15865,null,null,9844,null,null,5131,null,null,9144,null,null,6501,null,null,8745,null,null,13
109334,4196,42906,2782,10147,1473,17297,2108,10626,1600,28358,2328,4196,null,null,2782,null,null,1473,null,null,2108,null,null,1600,null,null,2328,null,null,15
276206,8586,92507,5074,31340,3135,44671,3388,44738,3211,62950,5412,8586,null,null,5074,null,null,3135,null,null,3388,null,null,3211,null,null,5412,null,null,16
2164500,14707,658796,12590,199632,5710,471954,9592,316314,7312,517804,10340,14707,null,null,12590,null,null,5710,null,null,9592,null,null,7312,null,null,10340,null,null,17
978524,13711,270079,7363,117710,5357,203063,6563,177825,6526,209847,6763,13711,null,null,7363,null,null,5357,null,null,6563,null,null,6526,null,null,6763,null,null,18
539626,10756,150941,5446,53687,3193,117647,5651,103477,4893,113874,5197,10756,null,null,5446,null,null,3193,null,null,5651,null,null,4893,null,null,5197,null,null,19
539522,9019,152180,5558,54521,2949,112290,4526,104860,4131,115671,5222,9019,null,null,5558,null,null,2949,null,null,4526,null,null,4131,null,null,5222,null,null,20
626887,11120,174052,6370,75022,4265,128955,5330,105392,4779,143466,7012,11120,null,null,6370,null,null,4265,null,null,5330,null,null,4779,null,null,7012,null,null,21
536219,11973,146725,5859,70400,4297,110097,4988,90317,5153,118680,5452,11973,null,null,5859,null,null,4297,null,null,4988,null,null,5153,null,null,5452,null,null,22
278469,7566,88475,4543,29942,2458,40470,3324,44704,3182,74878,4253,7566,null,null,4543,null,null,2458,null,null,3324,null,null,3182,null,null,4253,null,null,23
1000349,10150,406712,8970,77368,3792,168294,6140,108339,4800,239636,7261,10150,null,null,8970,null,null,3792,null,null,6140,null,null,4800,null,null,7261,null,null,24
1661268,12733,638775,11149,137837,6370,302077,8828,160436,5801,422143,9077,12733,null,null,11149,null,null,6370,null,null,8828,null,null,5801,null,null,9077,null,null,25
1568769,15962,490662,9250,170179,5364,340421,7922,238016,5989,329491,7285,15962,null,null,9250,null,null,5364,null,null,7922,null,null,5989,null,null,7285,null,null,26
1151531,11412,364300,7031,114950,4060,231568,5970,167186,6244,273527,6051,11412,null,null,7031,null,null,4060,null,null,5970,null,null,6244,null,null,6051,null,null,27
304066,8740,81096,4821,37475,3140,64845,4744,62878,4302,57772,3717,8740,null,null,4821,null,null,3140,null,null,4744,null,null,4302,null,null,3717,null,null,28
1005793,13142,291753,8035,99777,4920,217859,5440,178260,6088,218144,7449,13142,null,null,8035,null,null,4920,null,null,5440,null,null,6088,null,null,7449,null,null,29
204175,5876,73767,3732,24042,2436,31953,2769,33304,2591,41109,3027,5876,null,null,3732,null,null,2436,null,null,2769,null,null,2591,null,null,3027,null,null,30
352431,6436,92758,3730,40803,2562,76492,3112,71315,3309,71063,3402,6436,null,null,3730,null,null,2562,null,null,3112,null,null,3309,null,null,3402,null,null,31
312974,9238,99297,5439,27525,2676,66394,4706,43790,3410,75968,3984,9238,null,null,5439,null,null,2676,null,null,4706,null,null,3410,null,null,3984,null,null,32
320062,6806,113217,4815,28088,2597,60977,3379,37975,2580,79805,4481,6806,null,null,4815,null,null,2597,null,null,3379,null,null,2580,null,null,4481,null,null,33
1570198,15748,529811,10997,117049,5309,345171,9289,216917,7474,361250,8734,15748,null,null,10997,null,null,5309,null,null,9289,null,null,7474,null,null,8734,null,null,34
247966,6172,92004,3933,21924,2188,33173,2872,39451,2651,61414,3869,6172,null,null,3933,null,null,2188,null,null,2872,null,null,2651,null,null,3869,null,null,35
3366718,20694,1121849,13999,268144,7090,594802,13280,422955,9054,958968,15503,20694,null,null,13999,null,null,7090,null,null,13280,null,null,9054,null,null,15503,null,null,36
1596092,15261,518891,11216,159437,5861,318582,7863,221991,6783,377191,9261,15261,null,null,11216,null,null,5861,null,null,7863,null,null,6783,null,null,9261,null,null,37
135425,4657,36238,2600,18393,1674,26861,2214,28689,2524,25244,2878,4657,null,null,2600,null,null,1674,null,null,2214,null,null,2524,null,null,2878,null,null,38
1869253,17444,541750,11307,213297,6844,402637,7655,322300,8269,389269,9692,17444,null,null,11307,null,null,6844,null,null,7655,null,null,8269,null,null,9692,null,null,39
511271,8909,141081,5148,54615,3125,115186,4131,97504,3918,102885,3746,8909,null,null,5148,null,null,3125,null,null,4131,null,null,3918,null,null,3746,null,null,40
799488,11017,306799,7738,70185,3753,114275,5021,88080,4579,220149,6870,11017,null,null,7738,null,null,3753,null,null,5021,null,null,4579,null,null,6870,null,null,41
2315396,20736,734307,12108,244953,7366,451364,8369,365358,7768,519414,10474,20736,null,null,12108,null,null,7366,null,null,8369,null,null,7768,null,null,10474,null,null,42
214972,6877,75020,3903,21084,1987,35678,3147,28124,2386,55066,3474,6877,null,null,3903,null,null,1987,null,null,3147,null,null,2386,null,null,3474,null,null,44
734380,12654,228542,7817,65925,4080,165194,5660,118607,5307,156112,5899,12654,null,null,7817,null,null,4080,null,null,5660,null,null,5307,null,null,5899,null,null,45
152067,4990,44665,2633,19692,2006,27477,2364,32386,2808,27847,2639,4990,null,null,2633,null,null,2006,null,null,2364,null,null,2808,null,null,2639,null,null,46
962624,14954,273099,8626,107681,5403,217541,6283,144033,5760,220270,8644,14954,null,null,8626,null,null,5403,null,null,6283,null,null,5760,null,null,8644,null,null,47
3209090,25821,1052994,14691,255953,7549,757516,12835,443992,10679,698635,14930,25821,null,null,14691,null,null,7549,null,null,12835,null,null,10679,null,null,14930,null,null,48
516086,9362,166464,6103,52266,3522,98894,5246,75519,4167,122943,5100,9362,null,null,6103,null,null,3522,null,null,5246,null,null,4167,null,null,5100,null,null,49
151365,4823,59299,3336,11851,1176,20825,1815,19277,2228,40113,2319,4823,null,null,3336,null,null,1176,null,null,1815,null,null,2228,null,null,2319,null,null,50
1563590,15983,615874,11196,118646,5336,273047,8066,165545,5189,390478,9095,15983,null,null,11196,null,null,5336,null,null,8066,null,null,5189,null,null,9095,null,null,51
1365104,15345,530004,10724,117284,4075,214545,7353,160229,5621,343042,8973,15345,null,null,10724,null,null,4075,null,null,7353,null,null,5621,null,null,8973,null,null,53
247670,8452,66561,3404,32479,2861,48126,3155,53343,4030,47161,3704,8452,null,null,3404,null,null,2861,null,null,3155,null,null,4030,null,null,3704,null,null,54
1040667,12696,320758,7503,121427,4350,199499,6487,180505,5995,218478,5381,12696,null,null,7503,null,null,4350,null,null,6487,null,null,5995,null,null,5381,null,null,55
97415,4518,33843,2826,12552,2261,13274,2217,18515,2096,19231,2271,4518,null,null,2826,null,null,2261,null,null,2217,null,null,2096,null,null,2271,null,null,56
9843,1643,3224,992,453,344,2371,891,1313,672,2482,851,1643,null,null,992,null,null,344,null,null,891,null,null,672,null,null,851,null,null,72
622920,12235,175697,6678,65566,4088,146684,6991,108223,5819,126750,5710,12235,null,null,6678,null,null,4088,null,null,6991,null,null,5819,null,null,5710,null,null,01
117370,4798,46190,3191,12155,1457,15037,1835,16120,1841,27868,2824,4798,null,null,3191,null,null,1457,null,null,1835,null,null,1841,null,null,2824,null,null,02
1024482,12896,328429,8313,104363,4679,218291,7117,154267,6837,219132,6891,12896,null,null,8313,null,null,4679,null,null,7117,null,null,6837,null,null,6891,null,null,04
368889,9076,99924,4818,42349,3201,75652,4172,78911,4547,72053,4412,9076,null,null,4818,null,null,3201,null,null,4172,null,null,4547,null,null,4412,null,null,05
4858354,31675,1925939,21984,331052,9177,821656,14011,364844,9316,1414863,20043,31675,null,null,21984,null,null,9177,null,null,14011,null,null,9316,null,null,20043,null,null,06
1266409,12403,482098,8780,98387,4691,249304,7776,134547,5135,302073,7820,12403,null,null,8780,null,null,4691,null,null,7776,null,null,5135,null,null,7820,null,null,08
770014,9548,273184,6679,61295,3843,155592,5713,90572,4238,189371,5139,9548,null,null,6679,null,null,3843,null,null,5713,null,null,4238,null,null,5139,null,null,09
151856,5552,51600,3398,15268,1991,31847,2557,24059,2073,29082,2645,5552,null,null,3398,null,null,1991,null,null,2557,null,null,2073,null,null,2645,null,null,10
174222,1947,84408,3488,6176,1384,19742,2109,6068,1125,57828,3314,1947,null,null,3488,null,null,1384,null,null,2109,null,null,1125,null,null,3314,null,null,11
