C16003_001E,C16003_001M,C16003_002E,C16003_002M,C16003_003E,C16003_003M,C16003_004E,C16003_004M,C16003_005E,C16003_005M,C16003_006E,C16003_006M,C16003_007E,C16003_007M,C16003_008E,C16003_008M,C16003_001M,C16003_001EA,C16003_001MA,C16003_002M,C16003_002EA,C16003_002MA,C16003_003M,C16003_003EA,C16003_003MA,C16003_004M,C16003_004EA,C16003_004MA,C16003_005M,C16003_005EA,C16003_005MA,C16003_006M,C16003_006EA,C16003_006MA,C16003_007M,C16003_007EA,C16003_007MA,C16003_008M,C16003_008EA,C16003_008MA,state
1315361,32170,199475,10730,13502,3455,152322,9542,33651,4594,1115886,26786,892739,24638,223147,10345,32170,null,null,10730,null,null,3455,null,null,9542,null,null,4594,null,null,26786,null,null,24638,null,null,10345,null,null,12
309613,16145,75087,5965,2717,1148,57896,5422,14474,2539,234526,12519,147316,10225,87210,6907,16145,null,null,5965,null,null,1148,null,null,5422,null,null,2539,null,null,12519,null,null,10225,null,null,6907,null,null,13
66760,7173,10476,2575,1976,816,340,359,8160,2236,56284,5536,1252,755,55032,5298,7173,null,null,2575,null,null,816,null,null,359,null,null,2236,null,null,5536,null,null,755,null,null,5298,null,null,15
33886,5848,10976,3188,261,317,9726,3152,989,655,22910,3484,18359,3337,4551,1484,5848,null,null,3188,null,null,317,null,null,3152,null,null,655,null,null,3484,null,null,3337,null,null,1484,null,null,16
508317,16633,100851,6696,7089,1650,68472,5235,25290,3171,407466,12915,203442,9853,204024,9553,16633,null,null,6696,null,null,1650,null,null,5235,null,null,3171,null,null,12915,null,null,9853,null,null,9553,null,null,17
113939,10207,30857,4579,2624,1408,18222,3519,10011,2211,83082,7363,43898,5318,39184,4766,10207,null,null,4579,null,null,1408,null,null,3519,null,null,2211,null,null,7363,null,null,5318,null,null,4766,null,null,18
59856,6655,16125,2945,1590,770,8414,2175,6121,1797,43731,4713,21094,2922,22637,3686,6655,null,null,2945,null,null,770,null,null,2175,null,null,1797,null,null,4713,null,null,2922,null,null,3686,null,null,19
76555,7760,15617,2873,248,297,11370,2350,3999,1498,60938,5678,39480,4407,21458,3514,7760,null,null,2873,null,null,297,null,null,2350,null,null,1498,null,null,5678,null,null,4407,null,null,3514,null,null,20
50870,5446,12330,2433,1569,1062,5749,1548,5012,1677,38540,3941,18724,2603,19816,3077,5446,null,null,2433,null,null,1062,null,null,1548,null,null,1677,null,null,3941,null,null,2603,null,null,3077,null,null,21
69874,8122,12890,2745,763,671,9862,2535,2265,952,56984,6037,34505,4554,22479,3448,8122,null,null,2745,null,null,671,null,null,2535,null,null,952,null,null,6037,null,null,4554,null,null,3448,null,null,22
11911,2245,2043,826,376,272,132,154,1535,752,9868,1760,925,597,8943,1598,2245,null,null,826,null,null,272,null,null,154,null,null,752,null,null,1760,null,null,597,null,null,1598,null,null,23
207021,13896,47419,4659,3896,1367,29467,4070,14056,2529,159602,11018,87889,9322,71713,5376,13896,null,null,4659,null,null,1367,null,null,4070,null,null,2529,null,null,11018,null,null,9322,null,null,5376,null,null,24
332263,16424,54873,4493,6406,1582,26573,3160,21894,3189,277390,13535,114798,8185,162592,9826,16424,null,null,4493,null,null,1582,null,null,3160,null,null,3189,null,null,13535,null,null,8185,null,null,9826,null,null,25
162225,11251,32835,3714,2656,923,10504,2479,19675,3232,129390,9302,33004,4268,96386,8372,11251,null,null,3714,null,null,923,null,null,2479,null,null,3232,null,null,9302,null,null,4268,null,null,8372,null,null,26
141480,8961,39904,4293,4480,1906,14359,2300,21065,3327,101576,6506,35599,3957,65977,5486,8961,null,null,4293,null,null,1906,null,null,2300,null,null,3327,null,null,6506,null,null,3957,null,null,5486,null,null,27
22115,3323,7183,1800,593,409,5175,1549,1415,1057,14932,2464,10423,2223,4509,1244,3323,null,null,1800,null,null,409,null,null,1549,null,null,1057,null,null,2464,null,null,2223,null,null,1244,null,null,28
64936,7077,15767,2669,1083,690,5984,1612,8700,2198,49169,5062,15937,2731,33232,4793,7077,null,null,2669,null,null,690,null,null,1612,null,null,2198,null,null,5062,null,null,2731,null,null,4793,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
59762,5641,17192,2431,595,480,10645,1881,5952,1300,42570,4039,27589,3437,14981,2150,5641,null,null,2431,null,null,480,null,null,1881,null,null,1300,null,null,4039,null,null,3437,null,null,2150,null,null,31
164997,12203,35160,4585,2696,984,28671,4349,3793,1090,129837,9350,92944,8003,36893,3668,12203,null,null,4585,null,null,984,null,null,4349,null,null,1090,null,null,9350,null,null,8003,null,null,3668,null,null,32
16402,3669,3465,1148,843,647,407,317,2215,837,12937,2871,2398,1042,10539,2594,3669,null,null,1148,null,null,647,null,null,317,null,null,837,null,null,2871,null,null,1042,null,null,2594,null,null,33
563649,21748,101701,6749,6141,1433,71528,6093,24032,3203,461948,17780,269804,13679,192144,10254,21748,null,null,6749,null,null,1433,null,null,6093,null,null,3203,null,null,17780,null,null,13679,null,null,10254,null,null,34
75726,7825,15594,3346,1442,886,13714,3000,438,306,60132,5826,51896,5448,8236,1772,7825,null,null,3346,null,null,886,null,null,3000,null,null,306,null,null,5826,null,null,5448,null,null,1772,null,null,35
1426573,34655,242776,12006,16393,2733,131990,9637,94393,5811,1183797,25641,561110,20189,622687,15690,34655,null,null,12006,null,null,2733,null,null,9637,null,null,5811,null,null,25641,null,null,20189,null,null,15690,null,null,36
244299,13583,67976,4668,4029,1372,52916,4775,11031,2410,176323,11085,126718,7745,49605,6560,13583,null,null,4668,null,null,1372,null,null,4775,null,null,2410,null,null,11085,null,null,7745,null,null,6560,null,null,37
6941,2319,1193,752,184,192,434,335,575,491,5748,1942,1170,888,4578,1732,2319,null,null,752,null,null,192,null,null,335,null,null,491,null,null,1942,null,null,888,null,null,1732,null,null,38
144443,10394,30382,4326,4068,1681,11384,2436,14930,2916,114061,7936,35658,4181,78403,7123,10394,null,null,4326,null,null,1681,null,null,2436,null,null,2916,null,null,7936,null,null,4181,null,null,7123,null,null,39
81094,6845,19419,2982,704,364,16000,2801,2715,899,61675,5096,43137,3942,18538,2962,6845,null,null,2982,null,null,364,null,null,2801,null,null,899,null,null,5096,null,null,3942,null,null,2962,null,null,40
106935,8507,26456,3911,896,679,19318,3921,6242,1550,80479,6125,45737,5372,34742,3644,8507,null,null,3911,null,null,679,null,null,3921,null,null,1550,null,null,6125,null,null,5372,null,null,3644,null,null,41
289702,15373,60333,7197,7075,2440,28492,4664,24766,3681,229369,11315,100302,7293,129067,8500,15373,null,null,7197,null,null,2440,null,null,4664,null,null,3681,null,null,11315,null,null,7293,null,null,8500,null,null,42
39990,5668,5904,1547,757,676,4333,1370,814,492,34086,5005,18539,3247,15547,3320,5668,null,null,1547,null,null,676,null,null,1370,null,null,492,null,null,5005,null,null,3247,null,null,3320,null,null,44
75004,9250,20813,3880,863,532,17342,3477,2608,1422,54191,6367,41157,5422,13034,2814,9250,null,null,3880,null,null,532,null,null,3477,null,null,1422,null,null,6367,null,null,5422,null,null,2814,null,null,45
11913,2740,3756,1596,30,54,1292,697,2434,1415,8157,1834,3160,997,4997,1469,2740,null,null,1596,null,null,54,null,null,697,null,null,1415,null,null,1834,null,null,997,null,null,1469,null,null,46
109375,10484,29067,4237,1501,721,22003,3729,5563,1626,80308,7532,52038,5338,28270,4270,10484,null,null,4237,null,null,721,null,null,3729,null,null,1626,null,null,7532,null,null,5338,null,null,4270,null,null,47
2011693,46539,475601,17227,25894,3988,409454,16767,40253,5675,1536092,33059,1306781,30684,229311,13865,46539,null,null,17227,null,null,3988,null,null,16767,null,null,5675,null,null,33059,null,null,30684,null,null,13865,null,null,48
57654,7087,14064,2950,752,450,10113,2611,3199,1210,43590,5030,30591,4517,12999,2864,7087,null,null,2950,null,null,450,null,null,2611,null,null,1210,null,null,5030,null,null,4517,null,null,2864,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
236838,13748,54126,5322,5057,1587,32718,4578,16351,2993,182712,9991,98567,8670,84145,5615,13748,null,null,5322,null,null,1587,null,null,4578,null,null,2993,null,null,9991,null,null,8670,null,null,5615,null,null,51
279478,16844,63901,6787,4528,1517,40643,5321,18730,3672,215577,11970,93433,8165,122144,7452,16844,null,null,6787,null,null,1517,null,null,5321,null,null,3672,null,null,11970,null,null,8165,null,null,7452,null,null,53
5929,1854,1468,845,34,53,776,807,658,435,4461,1327,2255,917,2206,1097,1854,null,null,845,null,null,53,null,null,807,null,null,435,null,null,1327,null,null,917,null,null,1097,null,null,54
90967,6355,21451,2805,2157,1214,12601,2476,6693,1955,69516,4810,38255,3933,31261,3530,6355,null,null,2805,null,null,1214,null,null,2476,null,null,1955,null,null,4810,null,null,3933,null,null,3530,null,null,55
7789,2506,2212,1290,101,176,2111,1277,0,197,5577,1690,3897,1409,1680,1041,2506,null,null,1290,null,null,176,null,null,1277,null,null,197,null,null,1690,null,null,1409,null,null,1041,null,null,56
2012954,28503,333287,7948,2858,1086,330376,7889,53,91,1679667,23672,1678175,23574,1492,761,28503,null,null,7948,null,null,1086,null,null,7889,null,null,91,null,null,23672,null,null,23574,null,null,761,null,null,72
54288,6121,11917,2498,1274,1058,8099,2177,2544,872,42371,4483,25191,3784,17180,3054,6121,null,null,2498,null,null,1058,null,null,2177,null,null,872,null,null,4483,null,null,3784,null,null,3054,null,null,01
15530,3085,2590,1464,1435,1408,165,193,990,500,12940,2278,1850,977,11090,2121,3085,null,null,1464,null,null,1408,null,null,193,null,null,500,null,null,2278,null,null,977,null,null,2121,null,null,02
241222,12910,53557,5400,3677,1037,42435,5342,7445,1893,187665,9493,134359,9417,53306,4673,12910,null,null,5400,null,null,1037,null,null,5342,null,null,1893,null,null,9493,null,null,9417,null,null,4673,null,null,04
52085,7431,15602,2971,473,414,12534,2630,2595,957,36483,5216,27057,4155,9426,2133,7431,null,null,2971,null,null,414,null,null,2630,null,null,957,null,null,5216,null,null,4155,null,null,2133,null,null,05
3169431,49462,652171,17653,48248,5614,482523,16946,121400,7705,2517260,38688,1450379,32266,1066881,23280,49462,null,null,17653,null,null,5614,null,null,16946,null,null,7705,null,null,38688,null,null,32266,null,null,23280,null,null,06
155973,10301,36021,4606,1644,699,27822,4411,6555,1779,119952,7374,79723,6708,40229,4708,10301,null,null,4606,null,null,699,null,null,4411,null,null,1779,null,null,7374,null,null,6708,null,null,4708,null,null,08
142323,10809,24369,3973,3059,1149,14657,3055,6653,1615,117954,8102,64079,6312,53875,4407,10809,null,null,3973,null,null,1149,null,null,3055,null,null,1615,null,null,8102,null,null,6312,null,null,4407,null,null,09
22713,4235,4224,1921,590,770,2713,1401,921,967,18489,3171,10643,2926,7846,1571,4235,null,null,1921,null,null,770,null,null,1401,null,null,967,null,null,3171,null,null,2926,null,null,1571,null,null,10
25036,4172,4680,1336,312,320,3764,1219,604,429,20356,3418,13641,2659,6715,2213,4172,null,null,1336,null,null,320,null,null,1219,null,null,429,null,null,3418,null,null,2659,null,null,2213,null,null,11
