B07002_001E,B07002_001M,B07002_002E,B07002_002M,B07002_003E,B07002_003M,B07002_004E,B07002_004M,B07002_005E,B07002_005M,B07002_006E,B07002_006M,B07002_001M,B07002_001EA,B07002_001MA,B07002_002M,B07002_002EA,B07002_002MA,B07002_003M,B07002_003EA,B07002_003MA,B07002_004M,B07002_004EA,B07002_004MA,B07002_005M,B07002_005EA,B07002_005MA,B07002_006M,B07002_006EA,B07002_006MA,state
42.5,0.1,44.8,0.2,31.2,0.5,30.8,0.7,37.2,1.3,35.7,1.7,0.1,null,null,0.2,null,null,0.5,null,null,0.7,null,null,1.3,null,null,1.7,null,null,12
37.0,0.1,39.8,0.2,27.5,0.4,27.4,0.5,27.6,0.6,31.8,2.0,0.1,null,null,0.2,null,null,0.4,null,null,0.5,null,null,0.6,null,null,2.0,null,null,13
39.4,0.3,41.6,0.4,31.5,0.9,32.6,4.9,26.8,1.4,34.2,3.6,0.3,null,null,0.4,null,null,0.9,null,null,4.9,null,null,1.4,null,null,3.6,null,null,15
36.4,0.2,39.6,0.5,26.3,0.9,26.7,1.4,29.3,0.9,24.4,5.8,0.2,null,null,0.5,null,null,0.9,null,null,1.4,null,null,0.9,null,null,5.8,null,null,16
38.4,0.1,40.7,0.2,28.9,0.4,27.6,0.5,26.9,0.6,29.9,1.5,0.1,null,null,0.2,null,null,0.4,null,null,0.5,null,null,0.6,null,null,1.5,null,null,17
38.1,0.1,40.9,0.2,26.8,0.5,25.8,0.6,26.2,0.7,27.3,1.5,0.1,null,null,0.2,null,null,0.5,null,null,0.6,null,null,0.7,null,null,1.5,null,null,18
38.5,0.2,42.1,0.4,25.9,0.5,24.5,0.6,25.8,0.8,25.0,2.3,0.2,null,null,0.4,null,null,0.5,null,null,0.6,null,null,0.8,null,null,2.3,null,null,19
36.9,0.2,40.4,0.3,26.8,0.7,24.2,0.8,26.8,0.8,23.4,2.3,0.2,null,null,0.3,null,null,0.7,null,null,0.8,null,null,0.8,null,null,2.3,null,null,20
39.2,0.2,42.3,0.3,27.2,0.4,27.3,1.0,26.0,0.9,29.0,1.9,0.2,null,null,0.3,null,null,0.4,null,null,1.0,null,null,0.9,null,null,1.9,null,null,21
37.0,0.2,39.5,0.3,26.8,0.4,27.6,0.8,27.6,0.9,30.7,1.7,0.2,null,null,0.3,null,null,0.4,null,null,0.8,null,null,0.9,null,null,1.7,null,null,22
44.9,0.2,46.9,0.3,29.7,1.1,28.3,1.6,30.5,1.2,31.2,4.6,0.2,null,null,0.3,null,null,1.1,null,null,1.6,null,null,1.2,null,null,4.6,null,null,23
38.9,0.1,41.3,0.2,29.6,0.6,28.6,0.7,29.3,0.6,28.6,1.4,0.1,null,null,0.2,null,null,0.6,null,null,0.7,null,null,0.6,null,null,1.4,null,null,24
39.9,0.2,42.6,0.2,29.4,0.5,27.9,0.5,27.4,0.7,27.6,1.2,0.2,null,null,0.2,null,null,0.5,null,null,0.5,null,null,0.7,null,null,1.2,null,null,25
40.2,0.1,43.5,0.2,27.2,0.3,26.6,0.4,27.7,0.9,28.1,1.5,0.1,null,null,0.2,null,null,0.3,null,null,0.4,null,null,0.9,null,null,1.5,null,null,26
38.4,0.1,41.5,0.2,28.1,0.5,26.4,0.5,26.8,0.7,28.9,1.7,0.1,null,null,0.2,null,null,0.5,null,null,0.5,null,null,0.7,null,null,1.7,null,null,27
37.7,0.2,40.2,0.3,26.0,0.7,26.5,0.8,27.3,1.9,34.9,9.2,0.2,null,null,0.3,null,null,0.7,null,null,0.8,null,null,1.9,null,null,9.2,null,null,28
38.9,0.1,42.3,0.2,27.1,0.5,27.5,0.6,27.2,0.7,27.8,2.4,0.1,null,null,0.2,null,null,0.5,null,null,0.6,null,null,0.7,null,null,2.4,null,null,29
40.5,0.3,44.8,0.4,26.2,0.9,27.1,2.5,27.2,1.2,25.4,0.8,0.3,null,null,0.4,null,null,0.9,null,null,2.5,null,null,1.2,null,null,0.8,null,null,30
36.8,0.2,40.3,0.4,26.1,0.6,24.5,0.6,26.1,1.0,29.2,3.5,0.2,null,null,0.4,null,null,0.6,null,null,0.6,null,null,1.0,null,null,3.5,null,null,31
38.3,0.2,40.5,0.3,30.2,0.7,29.9,2.6,32.6,1.7,33.8,5.7,0.2,null,null,0.3,null,null,0.7,null,null,2.6,null,null,1.7,null,null,5.7,null,null,32
43.2,0.3,46.3,0.3,30.1,1.3,28.0,2.0,28.0,1.0,30.9,5.1,0.3,null,null,0.3,null,null,1.3,null,null,2.0,null,null,1.0,null,null,5.1,null,null,33
39.9,0.1,41.6,0.2,30.7,0.5,30.2,0.5,30.2,0.6,29.7,0.9,0.1,null,null,0.2,null,null,0.5,null,null,0.5,null,null,0.6,null,null,0.9,null,null,34
38.2,0.3,40.8,0.4,27.4,1.2,29.1,3.3,30.0,1.6,27.3,2.8,0.3,null,null,0.4,null,null,1.2,null,null,3.3,null,null,1.6,null,null,2.8,null,null,35
38.8,0.2,40.7,0.1,29.9,0.3,28.3,0.5,26.6,0.4,28.6,0.7,0.2,null,null,0.1,null,null,0.3,null,null,0.5,null,null,0.4,null,null,0.7,null,null,36
39.2,0.2,42.1,0.2,27.8,0.5,26.8,0.4,29.2,0.7,27.3,0.9,0.2,null,null,0.2,null,null,0.5,null,null,0.4,null,null,0.7,null,null,0.9,null,null,37
35.7,0.3,39.2,0.6,24.7,0.8,25.7,1.7,23.1,0.8,27.8,6.6,0.3,null,null,0.6,null,null,0.8,null,null,1.7,null,null,0.8,null,null,6.6,null,null,38
39.8,0.1,43.2,0.2,27.3,0.3,26.5,0.5,27.5,0.6,27.7,1.6,0.1,null,null,0.2,null,null,0.3,null,null,0.5,null,null,0.6,null,null,1.6,null,null,39
36.9,0.2,40.1,0.2,26.7,0.5,26.8,0.8,26.6,0.7,30.3,5.5,0.2,null,null,0.2,null,null,0.5,null,null,0.8,null,null,0.7,null,null,5.5,null,null,40
39.5,0.2,43.0,0.3,28.9,0.7,28.4,1.0,29.9,1.1,28.6,2.4,0.2,null,null,0.3,null,null,0.7,null,null,1.0,null,null,1.1,null,null,2.4,null,null,41
