B98012_001E,B98012_002E,B98012_003E,B98012_001EA,B98012_002EA,B98012_003EA,state
87.0,86.0,88.0,null,null,null,12
90.0,88.9,91.0,null,null,null,13
88.7,88.0,89.3,null,null,null,15
91.6,91.0,92.2,null,null,null,16
93.7,92.6,94.7,null,null,null,17
94.5,93.7,95.2,null,null,null,18
95.8,95.3,96.2,null,null,null,19
91.7,91.1,92.4,null,null,null,20
93.7,92.7,94.6,null,null,null,21
86.6,85.7,87.4,null,null,null,22
90.3,90.1,90.5,null,null,null,23
93.3,92.7,93.9,null,null,null,24
94.5,93.5,95.4,null,null,null,25
94.2,94.0,94.4,null,null,null,26
94.3,94.2,94.5,null,null,null,27
87.8,86.0,89.4,null,null,null,28
94.1,93.9,94.4,null,null,null,29
92.4,91.6,93.2,null,null,null,30
94.9,93.5,96.2,null,null,null,31
88.9,88.8,89.0,null,null,null,32
95.3,95.4,95.3,null,null,null,33
93.3,92.2,94.5,null,null,null,34
88.5,88.0,89.0,null,null,null,35
91.9,90.6,93.1,null,null,null,36
91.3,91.0,91.6,null,null,null,37
92.7,93.6,91.7,null,null,null,38
95.8,95.6,96.1,null,null,null,39
91.1,90.9,91.4,null,null,null,40
93.5,92.3,94.7,null,null,null,41
94.2,93.3,95.0,null,null,null,42
91.9,90.4,93.3,null,null,null,44
88.7,87.5,89.9,null,null,null,45
91.0,90.9,91.0,null,null,null,46
92.0,92.1,91.9,null,null,null,47
90.4,89.5,91.4,null,null,null,48
93.1,93.1,93.0,null,null,null,49
94.7,93.0,96.2,null,null,null,50
93.2,92.2,94.3,null,null,null,51
94.2,93.0,95.4,null,null,null,53
92.8,91.9,93.7,null,null,null,54
96.0,95.6,96.3,null,null,null,55
91.9,89.8,94.1,null,null,null,56
87.2,85.2,89.0,null,null,null,72
88.1,87.7,88.5,null,null,null,01
89.6,89.6,89.7,null,null,null,02
91.4,90.7,92.2,null,null,null,04
91.0,90.4,91.5,null,null,null,05
91.0,90.2,91.7,null,null,null,06
93.5,92.9,94.0,null,null,null,08
93.4,92.5,94.4,null,null,null,09
89.4,88.3,90.4,null,null,null,10
88.1,84.8,91.2,null,null,null,11
