C17001G_001E,C17001G_001M,C17001G_002E,C17001G_002M,C17001G_003E,C17001G_003M,C17001G_004E,C17001G_004M,C17001G_005E,C17001G_005M,C17001G_006E,C17001G_006M,C17001G_007E,C17001G_007M,C17001G_008E,C17001G_008M,C17001G_009E,C17001G_009M,C17001G_010E,C17001G_010M,C17001G_011E,C17001G_011M,C17001G_012E,C17001G_012M,C17001G_013E,C17001G_013M,C17001G_014E,C17001G_014M,C17001G_015E,C17001G_015M,C17001G_016E,C17001G_016M,C17001G_017E,C17001G_017M,C17001G_018E,C17001G_018M,C17001G_019E,C17001G_019M,C17001G_001M,C17001G_001EA,C17001G_001MA,C17001G_002M,C17001G_002EA,C17001G_002MA,C17001G_003M,C17001G_003EA,C17001G_003MA,C17001G_004M,C17001G_004EA,C17001G_004MA,C17001G_005M,C17001G_005EA,C17001G_005MA,C17001G_006M,C17001G_006EA,C17001G_006MA,C17001G_007M,C17001G_007EA,C17001G_007MA,C17001G_008M,C17001G_008EA,C17001G_008MA,C17001G_009M,C17001G_009EA,C17001G_009MA,C17001G_010M,C17001G_010EA,C17001G_010MA,C17001G_011M,C17001G_011EA,C17001G_011MA,C17001G_012M,C17001G_012EA,C17001G_012MA,C17001G_013M,C17001G_013EA,C17001G_013MA,C17001G_014M,C17001G_014EA,C17001G_014MA,C17001G_015M,C17001G_015EA,C17001G_015MA,C17001G_016M,C17001G_016EA,C17001G_016MA,C17001G_017M,C17001G_017EA,C17001G_017MA,C17001G_018M,C17001G_018EA,C17001G_018MA,C17001G_019M,C17001G_019EA,C17001G_019MA,state
520530,21860,95281,10329,48263,6067,29404,4834,16951,2557,1908,818,47018,5741,21778,4076,22338,2901,2902,1340,425249,18621,220782,10885,97885,7720,110896,6929,12001,1340,204467,11005,88050,6848,101320,6527,15097,2139,21860,null,null,10329,null,null,6067,null,null,4834,null,null,2557,null,null,818,null,null,5741,null,null,4076,null,null,2901,null,null,1340,null,null,18621,null,null,10885,null,null,7720,null,null,6929,null,null,1340,null,null,11005,null,null,6848,null,null,6527,null,null,2139,null,null,12
250560,14077,48997,6000,21229,3205,13309,2664,7615,1543,305,213,27768,4011,14886,2741,11172,2132,1710,764,201563,12567,101288,7286,53190,5348,43757,4127,4341,1177,100275,7491,47713,4467,47178,4614,5384,1444,14077,null,null,6000,null,null,3205,null,null,2664,null,null,1543,null,null,213,null,null,4011,null,null,2741,null,null,2132,null,null,764,null,null,12567,null,null,7286,null,null,5348,null,null,4127,null,null,1177,null,null,7491,null,null,4467,null,null,4614,null,null,1444,null,null,13
335402,13108,28982,4566,12634,2650,5055,1491,6735,1733,844,486,16348,2915,5822,1482,9266,1818,1260,576,306420,13341,158455,8637,59170,4398,88664,5786,10621,1477,147965,6229,53621,3243,82490,4465,11854,1212,13108,null,null,4566,null,null,2650,null,null,1491,null,null,1733,null,null,486,null,null,2915,null,null,1482,null,null,1818,null,null,576,null,null,13341,null,null,8637,null,null,4398,null,null,5786,null,null,1477,null,null,6229,null,null,3243,null,null,4465,null,null,1212,null,null,15
40706,2970,8225,1847,3723,1083,1642,670,2067,788,14,27,4502,1325,2159,994,2039,749,304,242,32481,3131,15896,2281,7077,1364,7441,1481,1378,709,16585,2049,7096,1733,8141,1361,1348,519,2970,null,null,1847,null,null,1083,null,null,670,null,null,788,null,null,27,null,null,1325,null,null,994,null,null,749,null,null,242,null,null,3131,null,null,2281,null,null,1364,null,null,1481,null,null,709,null,null,2049,null,null,1733,null,null,1361,null,null,519,null,null,16
314481,13981,52175,5571,22593,3048,12976,2470,9154,1481,463,234,29582,3315,15061,2409,13303,2182,1218,711,262306,13089,132308,7868,65403,5087,61111,4576,5794,1063,129998,7152,62062,4996,60591,4085,7345,1209,13981,null,null,5571,null,null,3048,null,null,2470,null,null,1481,null,null,234,null,null,3315,null,null,2409,null,null,2182,null,null,711,null,null,13089,null,null,7868,null,null,5087,null,null,4576,null,null,1063,null,null,7152,null,null,4996,null,null,4085,null,null,1209,null,null,17
151261,8618,31778,4425,13931,2345,9194,1711,4712,1210,25,30,17847,2785,8907,2137,8230,1662,710,378,119483,7373,56849,4157,32970,3265,21702,2649,2177,745,62634,5238,32272,3577,26949,2759,3413,812,8618,null,null,4425,null,null,2345,null,null,1711,null,null,1210,null,null,30,null,null,2785,null,null,2137,null,null,1662,null,null,378,null,null,7373,null,null,4157,null,null,3265,null,null,2649,null,null,745,null,null,5238,null,null,3577,null,null,2759,null,null,812,null,null,18
54620,3941,13227,2239,4914,1026,3281,890,1621,567,12,21,8313,1909,3818,1006,4156,1607,339,361,41393,3669,20053,2429,11788,1785,6899,1314,1366,624,21340,2485,11876,1778,8976,1366,488,279,3941,null,null,2239,null,null,1026,null,null,890,null,null,567,null,null,21,null,null,1909,null,null,1006,null,null,1607,null,null,361,null,null,3669,null,null,2429,null,null,1785,null,null,1314,null,null,624,null,null,2485,null,null,1778,null,null,1366,null,null,279,null,null,19
99129,5501,16070,3284,8183,2189,4155,1181,3980,1578,48,74,7887,1774,3518,1035,3794,1122,575,403,83059,5418,40153,3374,23010,2839,15457,2014,1686,605,42906,3739,22522,2657,18689,2251,1695,493,5501,null,null,3284,null,null,2189,null,null,1181,null,null,1578,null,null,74,null,null,1774,null,null,1035,null,null,1122,null,null,403,null,null,5418,null,null,3374,null,null,2839,null,null,2014,null,null,605,null,null,3739,null,null,2657,null,null,2251,null,null,493,null,null,20
87346,6758,22073,3408,9834,1944,6423,1632,3324,843,87,108,12239,2422,7131,1671,4638,1350,470,238,65273,5682,32756,3629,18218,2629,13183,2229,1355,506,32517,3440,17273,2188,13560,2118,1684,554,6758,null,null,3408,null,null,1944,null,null,1632,null,null,843,null,null,108,null,null,2422,null,null,1671,null,null,1350,null,null,238,null,null,5682,null,null,3629,null,null,2629,null,null,2229,null,null,506,null,null,3440,null,null,2188,null,null,2118,null,null,554,null,null,21
89071,8625,22385,4105,10661,2241,7818,2051,2676,979,167,150,11724,2704,4980,1655,6408,1634,336,205,66686,7235,32348,3617,15068,2729,14614,2508,2666,793,34338,4787,15923,3135,16389,2776,2026,761,8625,null,null,4105,null,null,2241,null,null,2051,null,null,979,null,null,150,null,null,2704,null,null,1655,null,null,1634,null,null,205,null,null,7235,null,null,3617,null,null,2729,null,null,2508,null,null,793,null,null,4787,null,null,3135,null,null,2776,null,null,761,null,null,22
