B06004G_001E,B06004G_001M,B06004G_002E,B06004G_002M,B06004G_003E,B06004G_003M,B06004G_004E,B06004G_004M,B06004G_005E,B06004G_005M,B06004G_001M,B06004G_001EA,B06004G_001MA,B06004G_002M,B06004G_002EA,B06004G_002MA,B06004G_003M,B06004G_003EA,B06004G_003MA,B06004G_004M,B06004G_004EA,B06004G_004MA,B06004G_005M,B06004G_005EA,B06004G_005MA,state
532751,22197,258469,14921,155547,9244,27295,3790,91440,8049,22197,null,null,14921,null,null,9244,null,null,3790,null,null,8049,null,null,12
258456,13861,136011,8867,83379,6840,12162,2172,26904,4759,13861,null,null,8867,null,null,6840,null,null,2172,null,null,4759,null,null,13
341679,13209,278089,12198,48368,4246,9373,1660,5849,970,13209,null,null,12198,null,null,4246,null,null,1660,null,null,970,null,null,15
42070,3150,18927,2548,18740,2390,1338,649,3065,1208,3150,null,null,2548,null,null,2390,null,null,649,null,null,1208,null,null,16
321411,13961,222951,10910,56671,4739,9045,1965,32744,3775,13961,null,null,10910,null,null,4739,null,null,1965,null,null,3775,null,null,17
158643,8640,115780,7420,33356,4019,3050,839,6457,1254,8640,null,null,7420,null,null,4019,null,null,839,null,null,1254,null,null,18
57293,3933,37255,3585,16877,2318,1624,676,1537,737,3933,null,null,3585,null,null,2318,null,null,676,null,null,737,null,null,19
103366,5640,65647,4788,32600,3462,1548,566,3571,1588,5640,null,null,4788,null,null,3462,null,null,566,null,null,1588,null,null,20
92135,6909,60067,4994,26843,3397,1514,636,3711,1242,6909,null,null,4994,null,null,3397,null,null,636,null,null,1242,null,null,21
92749,8594,67153,7084,19769,3048,2123,849,3704,1201,8594,null,null,7084,null,null,3048,null,null,849,null,null,1201,null,null,22
26340,2599,17534,2002,6793,1406,592,348,1421,802,2599,null,null,2002,null,null,1406,null,null,348,null,null,802,null,null,23
201041,10942,107047,7347,65747,6408,6918,1497,21329,3611,10942,null,null,7347,null,null,6408,null,null,1497,null,null,3611,null,null,24
212365,11429,120855,7322,33875,3278,8492,1617,49143,5734,11429,null,null,7322,null,null,3278,null,null,1617,null,null,5734,null,null,25
306220,11961,238823,10671,44061,3082,6073,1675,17263,2770,11961,null,null,10671,null,null,3082,null,null,1675,null,null,2770,null,null,26
156646,7970,113234,6262,30068,3292,3410,1049,9934,1738,7970,null,null,6262,null,null,3292,null,null,1049,null,null,1738,null,null,27
33852,4789,18887,3804,12276,2753,1804,1104,885,400,4789,null,null,3804,null,null,2753,null,null,1104,null,null,400,null,null,28
150100,8621,98626,7150,43463,4048,2206,691,5805,1621,8621,null,null,7150,null,null,4048,null,null,691,null,null,1621,null,null,29
32218,2943,20892,2718,10109,1695,587,282,630,356,2943,null,null,2718,null,null,1695,null,null,282,null,null,356,null,null,30
45386,4417,26860,2483,12697,1953,1018,372,4811,2591,4417,null,null,2483,null,null,1953,null,null,372,null,null,2591,null,null,31
139202,9741,60689,6721,62339,4722,4684,1222,11490,2619,9741,null,null,6721,null,null,4722,null,null,1222,null,null,2619,null,null,32
28717,2992,13544,2117,11981,1778,1624,803,1568,883,2992,null,null,2117,null,null,1778,null,null,803,null,null,883,null,null,33
237326,12507,139131,9866,48743,4256,7369,1388,42083,4850,12507,null,null,9866,null,null,4256,null,null,1388,null,null,4850,null,null,34
65905,6313,37267,4825,24670,3350,1589,870,2379,919,6313,null,null,4825,null,null,3350,null,null,870,null,null,919,null,null,35
616861,22455,390345,15893,68996,4751,20317,2775,137203,11497,22455,null,null,15893,null,null,4751,null,null,2775,null,null,11497,null,null,36
268866,12841,164017,10028,80906,5726,10081,1904,13862,2506,12841,null,null,10028,null,null,5726,null,null,1904,null,null,2506,null,null,37
21588,2952,11316,2347,8946,1784,439,329,887,584,2952,null,null,2347,null,null,1784,null,null,329,null,null,584,null,null,38
324432,12837,242283,11091,61111,4819,6652,1893,14386,2731,12837,null,null,11091,null,null,4819,null,null,1893,null,null,2731,null,null,39
303606,7998,229227,6788,62731,3532,4506,1062,7142,1580,7998,null,null,6788,null,null,3532,null,null,1062,null,null,1580,null,null,40
207593,10682,115441,7531,73480,5703,5590,1369,13082,2724,10682,null,null,7531,null,null,5703,null,null,1369,null,null,2724,null,null,41
323754,13735,211120,10191,66355,5041,17475,3253,28804,4371,13735,null,null,10191,null,null,5041,null,null,3253,null,null,4371,null,null,42
32887,4436,22124,3492,6712,1272,960,496,3091,1332,4436,null,null,3492,null,null,1272,null,null,496,null,null,1332,null,null,44
108096,9006,60282,6093,39909,4585,4368,1581,3537,973,9006,null,null,6093,null,null,4585,null,null,1581,null,null,973,null,null,45
21548,2935,15288,2532,5147,1174,486,371,627,387,2935,null,null,2532,null,null,1174,null,null,371,null,null,387,null,null,46
139850,9818,86081,8022,45166,4236,3185,809,5418,1452,9818,null,null,8022,null,null,4236,null,null,809,null,null,1452,null,null,47
714714,21781,434747,15639,182637,8781,31049,4264,66281,5895,21781,null,null,15639,null,null,8781,null,null,4264,null,null,5895,null,null,48
89044,6578,53241,5045,29207,3350,2133,878,4463,981,6578,null,null,5045,null,null,3350,null,null,878,null,null,981,null,null,49
12324,1632,7205,1293,4161,901,295,308,663,361,1632,null,null,1293,null,null,901,null,null,308,null,null,361,null,null,50
310423,12755,166885,8576,96642,6198,14998,2304,31898,4280,12755,null,null,8576,null,null,6198,null,null,2304,null,null,4280,null,null,51
414136,15502,242641,10436,127285,7916,17881,2458,26329,4369,15502,null,null,10436,null,null,7916,null,null,2458,null,null,4369,null,null,53
31304,3390,20848,3337,8254,1790,728,372,1474,609,3390,null,null,3337,null,null,1790,null,null,372,null,null,609,null,null,54
