C17010A_001E,C17010A_001M,C17010A_002E,C17010A_002M,C17010A_003E,C17010A_003M,C17010A_004E,C17010A_004M,C17010A_005E,C17010A_005M,C17010A_006E,C17010A_006M,C17010A_007E,C17010A_007M,C17010A_008E,C17010A_008M,C17010A_009E,C17010A_009M,C17010A_010E,C17010A_010M,C17010A_011E,C17010A_011M,C17010A_012E,C17010A_012M,C17010A_013E,C17010A_013M,C17010A_014E,C17010A_014M,C17010A_015E,C17010A_015M,C17010A_016E,C17010A_016M,C17010A_017E,C17010A_017M,C17010A_001M,C17010A_001EA,C17010A_001MA,C17010A_002M,C17010A_002EA,C17010A_002MA,C17010A_003M,C17010A_003EA,C17010A_003MA,C17010A_004M,C17010A_004EA,C17010A_004MA,C17010A_005M,C17010A_005EA,C17010A_005MA,C17010A_006M,C17010A_006EA,C17010A_006MA,C17010A_007M,C17010A_007EA,C17010A_007MA,C17010A_008M,C17010A_008EA,C17010A_008MA,C17010A_009M,C17010A_009EA,C17010A_009MA,C17010A_010M,C17010A_010EA,C17010A_010MA,C17010A_011M,C17010A_011EA,C17010A_011MA,C17010A_012M,C17010A_012EA,C17010A_012MA,C17010A_013M,C17010A_013EA,C17010A_013MA,C17010A_014M,C17010A_014EA,C17010A_014MA,C17010A_015M,C17010A_015EA,C17010A_015MA,C17010A_016M,C17010A_016EA,C17010A_016MA,C17010A_017M,C17010A_017EA,C17010A_017MA,state
3860030,20158,336615,8674,165294,6579,76611,4523,171321,5974,32749,3070,21761,2592,138572,5843,112094,5048,3523415,20199,2801129,20093,884056,13615,722286,14229,234066,9463,111078,6547,488220,10273,247601,8064,20158,null,null,8674,null,null,6579,null,null,4523,null,null,5974,null,null,3070,null,null,2592,null,null,5843,null,null,5048,null,null,20199,null,null,20093,null,null,13615,null,null,14229,null,null,9463,null,null,6547,null,null,10273,null,null,8064,null,null,12
1559990,14129,125454,5867,57305,3919,32649,2978,68149,4929,13202,1838,9438,1791,54947,4550,47384,4312,1434536,14504,1193592,14074,482217,8848,240944,8713,79050,4755,40157,3599,161894,7296,87658,5076,14129,null,null,5867,null,null,3919,null,null,2978,null,null,4929,null,null,1838,null,null,1791,null,null,4550,null,null,4312,null,null,14504,null,null,14074,null,null,8848,null,null,8713,null,null,4755,null,null,3599,null,null,7296,null,null,5076,null,null,13
93422,3264,3505,805,1994,606,810,354,1511,562,20,37,20,37,1491,558,1070,368,89917,3303,76302,3265,28928,2271,13615,2007,5257,1307,2844,985,8358,1573,4109,1162,3264,null,null,805,null,null,606,null,null,354,null,null,562,null,null,37,null,null,37,null,null,558,null,null,368,null,null,3303,null,null,3265,null,null,2271,null,null,2007,null,null,1307,null,null,985,null,null,1573,null,null,1162,null,null,15
378955,6825,35802,3281,16528,2341,9252,1646,19274,2368,3607,1041,3162,992,15667,2098,14207,2018,343153,7079,289612,7128,113394,5376,53541,3772,19638,2535,11472,2097,33903,2812,19097,2386,6825,null,null,3281,null,null,2341,null,null,1646,null,null,2368,null,null,1041,null,null,992,null,null,2098,null,null,2018,null,null,7079,null,null,7128,null,null,5376,null,null,3772,null,null,2535,null,null,2097,null,null,2812,null,null,2386,null,null,16
2320070,14449,152006,6753,65761,3855,35833,2980,86245,5554,16830,2122,12293,2021,69415,4928,57531,4194,2168064,13858,1769430,14567,700550,10817,398634,9931,131410,6103,65558,4504,267224,7092,139306,5572,14449,null,null,6753,null,null,3855,null,null,2980,null,null,5554,null,null,2122,null,null,2021,null,null,4928,null,null,4194,null,null,13858,null,null,14567,null,null,10817,null,null,9931,null,null,6103,null,null,4504,null,null,7092,null,null,5572,null,null,17
1431393,10139,110890,5017,44225,2835,25865,2239,66665,4493,11088,1905,9431,1752,55577,4173,48642,3617,1320503,10360,1068994,9859,414138,7383,251509,7372,90715,4146,50832,3341,160794,6210,90494,5483,10139,null,null,5017,null,null,2835,null,null,2239,null,null,4493,null,null,1905,null,null,1752,null,null,4173,null,null,3617,null,null,10360,null,null,9859,null,null,7383,null,null,7372,null,null,4146,null,null,3341,null,null,6210,null,null,5483,null,null,18
739662,8109,48136,2749,17478,2069,9135,1628,30658,2534,5359,993,3846,925,25299,2388,23087,2337,691526,8262,581732,7587,224446,5701,109794,4309,39202,2967,25027,2416,70592,3666,44359,3238,8109,null,null,2749,null,null,2069,null,null,1628,null,null,2534,null,null,993,null,null,925,null,null,2388,null,null,2337,null,null,8262,null,null,7587,null,null,5701,null,null,4309,null,null,2967,null,null,2416,null,null,3666,null,null,3238,null,null,19
628404,8107,41922,3222,16525,1647,8384,1317,25397,2611,4365,1109,3100,915,21032,2396,17469,2033,586482,7471,484408,7262,192462,4928,102074,4662,36023,2679,21720,2273,66051,3676,40797,2920,8107,null,null,3222,null,null,1647,null,null,1317,null,null,2611,null,null,1109,null,null,915,null,null,2396,null,null,2033,null,null,7471,null,null,7262,null,null,4928,null,null,4662,null,null,2679,null,null,2273,null,null,3676,null,null,2920,null,null,20
1007356,10483,130720,6165,50742,3640,25218,2461,79978,4738,14843,1841,10055,1420,65135,4016,54017,3703,876636,11742,707075,11077,272749,6845,169561,6185,56764,3353,30972,2849,112797,5149,58615,3823,10483,null,null,6165,null,null,3640,null,null,2461,null,null,4738,null,null,1841,null,null,1420,null,null,4016,null,null,3703,null,null,11742,null,null,11077,null,null,6845,null,null,6185,null,null,3353,null,null,2849,null,null,5149,null,null,3823,null,null,21
726157,8488,66603,5058,25786,2530,11500,1932,40817,4214,7696,1516,4768,1332,33121,3926,27172,3551,659554,7904,536416,8037,211742,5557,123138,5774,43173,3681,24346,3022,79965,4366,43050,3569,8488,null,null,5058,null,null,2530,null,null,1932,null,null,4214,null,null,1516,null,null,1332,null,null,3926,null,null,3551,null,null,7904,null,null,8037,null,null,5557,null,null,5774,null,null,3681,null,null,3022,null,null,4366,null,null,3569,null,null,22
