B17010A_001E,B17010A_001M,B17010A_002E,B17010A_002M,B17010A_003E,B17010A_003M,B17010A_004E,B17010A_004M,B17010A_005E,B17010A_005M,B17010A_006E,B17010A_006M,B17010A_007E,B17010A_007M,B17010A_008E,B17010A_008M,B17010A_009E,B17010A_009M,B17010A_010E,B17010A_010M,B17010A_011E,B17010A_011M,B17010A_012E,B17010A_012M,B17010A_013E,B17010A_013M,B17010A_014E,B17010A_014M,B17010A_015E,B17010A_015M,B17010A_016E,B17010A_016M,B17010A_017E,B17010A_017M,B17010A_018E,B17010A_018M,B17010A_019E,B17010A_019M,B17010A_020E,B17010A_020M,B17010A_021E,B17010A_021M,B17010A_022E,B17010A_022M,B17010A_023E,B17010A_023M,B17010A_024E,B17010A_024M,B17010A_025E,B17010A_025M,B17010A_026E,B17010A_026M,B17010A_027E,B17010A_027M,B17010A_028E,B17010A_028M,B17010A_029E,B17010A_029M,B17010A_030E,B17010A_030M,B17010A_031E,B17010A_031M,B17010A_032E,B17010A_032M,B17010A_033E,B17010A_033M,B17010A_034E,B17010A_034M,B17010A_035E,B17010A_035M,B17010A_036E,B17010A_036M,B17010A_037E,B17010A_037M,B17010A_038E,B17010A_038M,B17010A_039E,B17010A_039M,B17010A_040E,B17010A_040M,B17010A_041E,B17010A_041M,B17010A_001M,B17010A_001EA,B17010A_001MA,B17010A_002M,B17010A_002EA,B17010A_002MA,B17010A_003M,B17010A_003EA,B17010A_003MA,B17010A_004M,B17010A_004EA,B17010A_004MA,B17010A_005M,B17010A_005EA,B17010A_005MA,B17010A_006M,B17010A_006EA,B17010A_006MA,B17010A_007M,B17010A_007EA,B17010A_007MA,B17010A_008M,B17010A_008EA,B17010A_008MA,B17010A_009M,B17010A_009EA,B17010A_009MA,B17010A_010M,B17010A_010EA,B17010A_010MA,B17010A_011M,B17010A_011EA,B17010A_011MA,B17010A_012M,B17010A_012EA,B17010A_012MA,B17010A_013M,B17010A_013EA,B17010A_013MA,B17010A_014M,B17010A_014EA,B17010A_014MA,B17010A_015M,B17010A_015EA,B17010A_015MA,B17010A_016M,B17010A_016EA,B17010A_016MA,B17010A_017M,B17010A_017EA,B17010A_017MA,B17010A_018M,B17010A_018EA,B17010A_018MA,B17010A_019M,B17010A_019EA,B17010A_019MA,B17010A_020M,B17010A_020EA,B17010A_020MA,B17010A_021M,B17010A_021EA,B17010A_021MA,B17010A_022M,B17010A_022EA,B17010A_022MA,B17010A_023M,B17010A_023EA,B17010A_023MA,B17010A_024M,B17010A_024EA,B17010A_024MA,B17010A_025M,B17010A_025EA,B17010A_025MA,B17010A_026M,B17010A_026EA,B17010A_026MA,B17010A_027M,B17010A_027EA,B17010A_027MA,B17010A_028M,B17010A_028EA,B17010A_028MA,B17010A_029M,B17010A_029EA,B17010A_029MA,B17010A_030M,B17010A_030EA,B17010A_030MA,B17010A_031M,B17010A_031EA,B17010A_031MA,B17010A_032M,B17010A_032EA,B17010A_032MA,B17010A_033M,B17010A_033EA,B17010A_033MA,B17010A_034M,B17010A_034EA,B17010A_034MA,B17010A_035M,B17010A_035EA,B17010A_035MA,B17010A_036M,B17010A_036EA,B17010A_036MA,B17010A_037M,B17010A_037EA,B17010A_037MA,B17010A_038M,B17010A_038EA,B17010A_038MA,B17010A_039M,B17010A_039EA,B17010A_039MA,B17010A_040M,B17010A_040EA,B17010A_040MA,B17010A_041M,B17010A_041EA,B17010A_041MA,state
316108,6125,22072,2402,9323,1494,3863,1003,402,207,1603,713,1858,541,5460,1131,12749,1844,3667,1062,3213,1009,423,226,1024,631,1766,619,454,271,9082,1419,7828,1326,1616,619,1634,566,4578,892,1254,508,294036,6092,239065,5816,74581,3567,13998,1713,12614,1720,47969,2502,164484,4382,54971,3013,19274,1936,10953,1579,2584,819,1076,667,7293,1378,8321,1450,35697,2415,19121,1895,2536,923,2101,697,14484,1547,16576,2106,6125,null,null,2402,null,null,1494,null,null,1003,null,null,207,null,null,713,null,null,541,null,null,1131,null,null,1844,null,null,1062,null,null,1009,null,null,226,null,null,631,null,null,619,null,null,271,null,null,1419,null,null,1326,null,null,619,null,null,566,null,null,892,null,null,508,null,null,6092,null,null,5816,null,null,3567,null,null,1713,null,null,1720,null,null,2502,null,null,4382,null,null,3013,null,null,1936,null,null,1579,null,null,819,null,null,667,null,null,1378,null,null,1450,null,null,2415,null,null,1895,null,null,923,null,null,697,null,null,1547,null,null,2106,null,null,23
880265,8549,37245,2313,15094,1835,7652,1589,629,339,2845,930,4178,1210,7442,1239,22151,2140,4127,984,3096,915,395,277,535,407,2166,800,1031,464,18024,2103,14806,1795,2240,822,4102,1021,8464,1662,3218,972,843020,8237,694021,7959,277405,6559,59468,3333,45435,2874,172502,5706,416616,5911,148999,5981,50779,3485,26531,2760,5668,1301,2186,829,18677,2092,24248,2349,98220,4471,48093,3156,6862,1386,5709,1142,35522,2625,50127,2943,8549,null,null,2313,null,null,1835,null,null,1589,null,null,339,null,null,930,null,null,1210,null,null,1239,null,null,2140,null,null,984,null,null,915,null,null,277,null,null,407,null,null,800,null,null,464,null,null,2103,null,null,1795,null,null,822,null,null,1021,null,null,1662,null,null,972,null,null,8237,null,null,7959,null,null,6559,null,null,3333,null,null,2874,null,null,5706,null,null,5911,null,null,5981,null,null,3485,null,null,2760,null,null,1301,null,null,829,null,null,2092,null,null,2349,null,null,4471,null,null,3156,null,null,1386,null,null,1142,null,null,2625,null,null,2943,null,null,24
1326410,10724,71187,3717,20582,2205,7847,1500,1764,774,2118,733,3965,1043,12735,1586,50605,2915,7369,1601,4753,1379,1585,840,552,388,2616,906,2616,822,43236,3205,36498,2884,5229,1432,10886,1785,20383,2449,6738,1244,1255223,10448,992854,10701,385876,7733,79945,3482,56150,2972,249781,6217,606978,8061,262369,7434,77573,4059,35071,3658,8746,1908,2913,1010,23412,2615,42502,3259,184796,6574,89205,5099,11350,2100,9486,2044,68369,4388,95591,4368,10724,null,null,3717,null,null,2205,null,null,1500,null,null,774,null,null,733,null,null,1043,null,null,1586,null,null,2915,null,null,1601,null,null,1379,null,null,840,null,null,388,null,null,906,null,null,822,null,null,3205,null,null,2884,null,null,1432,null,null,1785,null,null,2449,null,null,1244,null,null,10448,null,null,10701,null,null,7733,null,null,3482,null,null,2972,null,null,6217,null,null,8061,null,null,7434,null,null,4059,null,null,3658,null,null,1908,null,null,1010,null,null,2615,null,null,3259,null,null,6574,null,null,5099,null,null,2100,null,null,2044,null,null,4388,null,null,4368,null,null,25
2030438,12764,157353,5014,67035,3040,38157,2843,5599,1279,14964,1752,17594,1477,28878,2271,90318,4417,19667,2285,13992,1864,3617,867,2381,762,7994,1324,5675,1197,70651,3858,59655,3838,13301,2074,12960,1815,33394,2638,10996,1532,1873085,12990,1537039,12138,549874,8837,101185,4164,98593,4360,350096,6807,987165,8493,336046,8079,114444,4462,58759,3392,12596,1632,6650,1267,39513,2828,55685,2869,221602,6755,108561,5671,16394,2029,10975,1451,81192,4514,113041,4157,12764,null,null,5014,null,null,3040,null,null,2843,null,null,1279,null,null,1752,null,null,1477,null,null,2271,null,null,4417,null,null,2285,null,null,1864,null,null,867,null,null,762,null,null,1324,null,null,1197,null,null,3858,null,null,3838,null,null,2074,null,null,1815,null,null,2638,null,null,1532,null,null,12990,null,null,12138,null,null,8837,null,null,4164,null,null,4360,null,null,6807,null,null,8493,null,null,8079,null,null,4462,null,null,3392,null,null,1632,null,null,1267,null,null,2828,null,null,2869,null,null,6755,null,null,5671,null,null,2029,null,null,1451,null,null,4514,null,null,4157,null,null,26
1199232,8229,49930,2838,19425,1629,7948,1132,1113,422,3382,860,3453,665,11477,1125,30505,2254,4497,819,3097,610,633,295,349,161,2115,528,1400,519,26008,2203,23394,2012,5617,951,6222,1252,11555,1590,2614,668,1149302,8630,965798,9706,375257,6618,75800,3254,68328,3451,231129,4862,590541,7183,183504,5245,70618,3595,41028,3053,6941,1341,5686,1134,28401,2501,29590,2232,112886,4403,67488,3159,10385,1216,7757,1459,49346,3007,45398,2609,8229,null,null,2838,null,null,1629,null,null,1132,null,null,422,null,null,860,null,null,665,null,null,1125,null,null,2254,null,null,819,null,null,610,null,null,295,null,null,161,null,null,528,null,null,519,null,null,2203,null,null,2012,null,null,951,null,null,1252,null,null,1590,null,null,668,null,null,8630,null,null,9706,null,null,6618,null,null,3254,null,null,3451,null,null,4862,null,null,7183,null,null,5245,null,null,3595,null,null,3053,null,null,1341,null,null,1134,null,null,2501,null,null,2232,null,null,4403,null,null,3159,null,null,1216,null,null,1459,null,null,3007,null,null,2609,null,null,27
456260,7205,43254,3416,20199,2424,10055,1832,1501,676,2193,781,6361,1353,10144,1409,23055,2668,3245,875,2223,805,437,340,327,285,1459,698,1022,451,19810,2538,15245,2234,2567,916,3189,1096,9489,1666,4565,1136,413006,6887,344347,7178,129443,5565,23943,2704,25186,2782,80314,4396,214904,5242,68659,4441,21134,2476,10308,1866,2638,980,655,506,7015,1487,10826,1686,47525,4062,23543,2409,3768,920,2632,751,17143,2207,23982,2759,7205,null,null,3416,null,null,2424,null,null,1832,null,null,676,null,null,781,null,null,1353,null,null,1409,null,null,2668,null,null,875,null,null,805,null,null,340,null,null,285,null,null,698,null,null,451,null,null,2538,null,null,2234,null,null,916,null,null,1096,null,null,1666,null,null,1136,null,null,6887,null,null,7178,null,null,5565,null,null,2704,null,null,2782,null,null,4396,null,null,5242,null,null,4441,null,null,2476,null,null,1866,null,null,980,null,null,506,null,null,1487,null,null,1686,null,null,4062,null,null,2409,null,null,920,null,null,751,null,null,2207,null,null,2759,null,null,28
1302641,9768,105541,4345,45930,3269,23396,2385,4141,974,9044,1617,10211,1521,22534,2191,59611,3835,12601,1730,8678,1672,2357,778,2050,916,4271,1136,3923,993,47010,3605,40670,3347,8145,1539,11340,1746,21185,2680,6340,1423,1197100,10635,985995,11423,379712,8461,69445,3986,73295,3551,236972,7090,606283,9466,211105,8092,73688,4368,41745,3432,8434,1349,4305,871,29006,2942,31943,2813,137417,5823,75245,3981,10927,1750,7006,1360,57312,3176,62172,3691,9768,null,null,4345,null,null,3269,null,null,2385,null,null,974,null,null,1617,null,null,1521,null,null,2191,null,null,3835,null,null,1730,null,null,1672,null,null,778,null,null,916,null,null,1136,null,null,993,null,null,3605,null,null,3347,null,null,1539,null,null,1746,null,null,2680,null,null,1423,null,null,10635,null,null,11423,null,null,8461,null,null,3986,null,null,3551,null,null,7090,null,null,9466,null,null,8092,null,null,4368,null,null,3432,null,null,1349,null,null,871,null,null,2942,null,null,2813,null,null,5823,null,null,3981,null,null,1750,null,null,1360,null,null,3176,null,null,3691,null,null,29
238649,4999,16991,2164,8811,1522,4313,1036,1144,560,1065,413,2104,756,4498,1062,8180,1430,1518,437,1058,394,438,332,203,175,417,211,460,303,6662,1301,6055,1206,1305,751,1008,492,3742,948,607,357,221658,4608,187363,5167,67727,3464,11364,1628,14573,1996,41790,2587,119636,3776,34295,2499,13422,1731,7820,1550,1905,837,836,461,5079,1056,5602,1036,20873,2337,11377,1643,2028,906,1177,561,8172,1444,9496,1514,4999,null,null,2164,null,null,1522,null,null,1036,null,null,560,null,null,413,null,null,756,null,null,1062,null,null,1430,null,null,437,null,null,394,null,null,332,null,null,175,null,null,211,null,null,303,null,null,1301,null,null,1206,null,null,751,null,null,492,null,null,948,null,null,357,null,null,4608,null,null,5167,null,null,3464,null,null,1628,null,null,1996,null,null,2587,null,null,3776,null,null,2499,null,null,1731,null,null,1550,null,null,837,null,null,461,null,null,1056,null,null,1036,null,null,2337,null,null,1643,null,null,906,null,null,561,null,null,1444,null,null,1514,null,null,30
432529,5228,26090,2352,9318,1277,5150,973,798,437,2511,770,1841,556,4168,849,16772,2068,2646,739,2242,673,321,217,662,401,1259,485,404,354,14126,1914,12590,1829,3239,862,2808,655,6543,1383,1536,564,406439,4998,334948,5524,138866,3459,25855,1693,29426,2181,83585,3164,196082,4520,71491,3565,22219,2096,12941,1658,1812,565,1287,517,9842,1560,9278,1524,49272,2664,29600,2242,4222,1147,4636,1060,20742,1877,19672,1644,5228,null,null,2352,null,null,1277,null,null,973,null,null,437,null,null,770,null,null,556,null,null,849,null,null,2068,null,null,739,null,null,673,null,null,217,null,null,401,null,null,485,null,null,354,null,null,1914,null,null,1829,null,null,862,null,null,655,null,null,1383,null,null,564,null,null,4998,null,null,5524,null,null,3459,null,null,1693,null,null,2181,null,null,3164,null,null,4520,null,null,3565,null,null,2096,null,null,1658,null,null,565,null,null,517,null,null,1560,null,null,1524,null,null,2664,null,null,2242,null,null,1147,null,null,1060,null,null,1877,null,null,1644,null,null,31
474418,7275,39564,3547,17029,1860,8685,1511,1131,476,2919,884,4635,1230,8344,1171,22535,2622,3609,936,2736,902,315,335,345,281,2076,792,873,508,18926,2515,16518,2305,3681,1059,4192,1096,8645,1689,2408,871,434854,7391,336064,7502,124773,5111,23364,2021,23845,2301,77564,4105,211291,6185,98790,4555,38327,2953,20339,1950,3426,1104,3270,1374,13643,1865,17988,1988,60463,3349,31922,2877,4719,1308,3458,885,23745,2529,28541,2568,7275,null,null,3547,null,null,1860,null,null,1511,null,null,476,null,null,884,null,null,1230,null,null,1171,null,null,2622,null,null,936,null,null,902,null,null,335,null,null,281,null,null,792,null,null,508,null,null,2515,null,null,2305,null,null,1059,null,null,1096,null,null,1689,null,null,871,null,null,7391,null,null,7502,null,null,5111,null,null,2021,null,null,2301,null,null,4105,null,null,6185,null,null,4555,null,null,2953,null,null,1950,null,null,1104,null,null,1374,null,null,1865,null,null,1988,null,null,3349,null,null,2877,null,null,1308,null,null,885,null,null,2529,null,null,2568,null,null,32
