B12002F_001E,B12002F_001M,B12002F_002E,B12002F_002M,B12002F_003E,B12002F_003M,B12002F_004E,B12002F_004M,B12002F_005E,B12002F_005M,B12002F_006E,B12002F_006M,B12002F_007E,B12002F_007M,B12002F_008E,B12002F_008M,B12002F_009E,B12002F_009M,B12002F_010E,B12002F_010M,B12002F_011E,B12002F_011M,B12002F_012E,B12002F_012M,B12002F_013E,B12002F_013M,B12002F_001M,B12002F_001EA,B12002F_001MA,B12002F_002M,B12002F_002EA,B12002F_002MA,B12002F_003M,B12002F_003EA,B12002F_003MA,B12002F_004M,B12002F_004EA,B12002F_004MA,B12002F_005M,B12002F_005EA,B12002F_005MA,B12002F_006M,B12002F_006EA,B12002F_006MA,B12002F_007M,B12002F_007EA,B12002F_007MA,B12002F_008M,B12002F_008EA,B12002F_008MA,B12002F_009M,B12002F_009EA,B12002F_009MA,B12002F_010M,B12002F_010EA,B12002F_010MA,B12002F_011M,B12002F_011EA,B12002F_011MA,B12002F_012M,B12002F_012EA,B12002F_012MA,B12002F_013M,B12002F_013EA,B12002F_013MA,state
448240,19861,226887,10654,101183,7571,93198,5621,8365,2086,2837,927,21304,3204,221353,11682,79201,6896,89504,6209,9890,2311,13168,2376,29590,3418,19861,null,null,10654,null,null,7571,null,null,5621,null,null,2086,null,null,927,null,null,3204,null,null,11682,null,null,6896,null,null,6209,null,null,2311,null,null,2376,null,null,3418,null,null,12
209283,14448,113142,7720,49064,4951,54695,5252,1811,695,1498,910,6074,1497,96141,8042,36950,4019,47771,4649,2760,1091,2506,1043,6154,1588,14448,null,null,7720,null,null,4951,null,null,5252,null,null,695,null,null,910,null,null,1497,null,null,8042,null,null,4019,null,null,4649,null,null,1091,null,null,1043,null,null,1588,null,null,13
10025,1849,5915,1321,2357,902,2752,826,140,127,30,53,636,382,4110,1004,1165,525,2381,753,143,142,243,202,178,130,1849,null,null,1321,null,null,902,null,null,826,null,null,127,null,null,53,null,null,382,null,null,1004,null,null,525,null,null,753,null,null,142,null,null,202,null,null,130,null,null,15
44262,4490,23407,2640,8971,1648,11157,1905,707,600,200,207,2372,923,20855,2498,7271,1813,10767,1853,517,406,347,254,1953,949,4490,null,null,2640,null,null,1648,null,null,1905,null,null,600,null,null,207,null,null,923,null,null,2498,null,null,1813,null,null,1853,null,null,406,null,null,254,null,null,949,null,null,16
604984,17134,311035,9432,144669,6488,139524,6206,8216,1843,3124,843,15502,2089,293949,9981,122661,6634,125441,5372,11060,1619,13076,2038,21711,2832,17134,null,null,9432,null,null,6488,null,null,6206,null,null,1843,null,null,843,null,null,2089,null,null,9981,null,null,6634,null,null,5372,null,null,1619,null,null,2038,null,null,2832,null,null,17
109073,7605,59501,4428,25357,2825,29348,3000,555,380,439,303,3802,1058,49572,3989,17953,2265,24705,2803,1164,529,2294,988,3456,836,7605,null,null,4428,null,null,2825,null,null,3000,null,null,380,null,null,303,null,null,1058,null,null,3989,null,null,2265,null,null,2803,null,null,529,null,null,988,null,null,836,null,null,18
31178,3367,16255,2072,7826,1616,7128,1330,137,120,32,53,1132,602,14923,1894,7128,1233,6004,1214,539,341,378,351,874,517,3367,null,null,2072,null,null,1616,null,null,1330,null,null,120,null,null,53,null,null,602,null,null,1894,null,null,1233,null,null,1214,null,null,341,null,null,351,null,null,517,null,null,19
53982,5407,28422,3292,12667,2392,13071,1888,258,280,405,304,2021,693,25560,2789,8419,2022,13063,1967,777,507,1166,491,2135,647,5407,null,null,3292,null,null,2392,null,null,1888,null,null,280,null,null,304,null,null,693,null,null,2789,null,null,2022,null,null,1967,null,null,507,null,null,491,null,null,647,null,null,20
26646,3844,14954,2509,5614,1231,7423,1721,786,616,0,190,1131,716,11692,1973,5852,1312,5165,1448,257,221,82,116,336,231,3844,null,null,2509,null,null,1231,null,null,1721,null,null,616,null,null,190,null,null,716,null,null,1973,null,null,1312,null,null,1448,null,null,221,null,null,116,null,null,231,null,null,21
49599,4614,29695,3202,11374,1770,14437,2180,1300,788,62,78,2522,1232,19904,2237,6046,1484,10892,1626,1057,787,450,291,1459,742,4614,null,null,3202,null,null,1770,null,null,2180,null,null,788,null,null,78,null,null,1232,null,null,2237,null,null,1484,null,null,1626,null,null,787,null,null,291,null,null,742,null,null,22
