B10051C_001E,B10051C_001M,B10051C_002E,B10051C_002M,B10051C_003E,B10051C_003M,B10051C_004E,B10051C_004M,B10051C_005E,B10051C_005M,B10051C_006E,B10051C_006M,B10051C_007E,B10051C_007M,B10051C_001M,B10051C_001EA,B10051C_001MA,B10051C_002M,B10051C_002EA,B10051C_002MA,B10051C_003M,B10051C_003EA,B10051C_003MA,B10051C_004M,B10051C_004EA,B10051C_004MA,B10051C_005M,B10051C_005EA,B10051C_005MA,B10051C_006M,B10051C_006EA,B10051C_006MA,B10051C_007M,B10051C_007EA,B10051C_007MA,state
2002,923,649,406,443,358,206,266,1353,860,548,489,805,763,923,null,null,406,null,null,358,null,null,266,null,null,860,null,null,489,null,null,763,null,null,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1189,584,431,370,431,370,0,185,758,414,355,266,403,271,584,null,null,370,null,null,370,null,null,185,null,null,414,null,null,266,null,null,271,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
855,382,379,223,31,42,348,222,476,295,191,207,285,202,382,null,null,223,null,null,42,null,null,222,null,null,295,null,null,207,null,null,202,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
