B19001G_001E,B19001G_001M,B19001G_002E,B19001G_002M,B19001G_003E,B19001G_003M,B19001G_004E,B19001G_004M,B19001G_005E,B19001G_005M,B19001G_006E,B19001G_006M,B19001G_007E,B19001G_007M,B19001G_008E,B19001G_008M,B19001G_009E,B19001G_009M,B19001G_010E,B19001G_010M,B19001G_011E,B19001G_011M,B19001G_012E,B19001G_012M,B19001G_013E,B19001G_013M,B19001G_014E,B19001G_014M,B19001G_015E,B19001G_015M,B19001G_016E,B19001G_016M,B19001G_017E,B19001G_017M,B19001G_001M,B19001G_001EA,B19001G_001MA,B19001G_002M,B19001G_002EA,B19001G_002MA,B19001G_003M,B19001G_003EA,B19001G_003MA,B19001G_004M,B19001G_004EA,B19001G_004MA,B19001G_005M,B19001G_005EA,B19001G_005MA,B19001G_006M,B19001G_006EA,B19001G_006MA,B19001G_007M,B19001G_007EA,B19001G_007MA,B19001G_008M,B19001G_008EA,B19001G_008MA,B19001G_009M,B19001G_009EA,B19001G_009MA,B19001G_010M,B19001G_010EA,B19001G_010MA,B19001G_011M,B19001G_011EA,B19001G_011MA,B19001G_012M,B19001G_012EA,B19001G_012MA,B19001G_013M,B19001G_013EA,B19001G_013MA,B19001G_014M,B19001G_014EA,B19001G_014MA,B19001G_015M,B19001G_015EA,B19001G_015MA,B19001G_016M,B19001G_016EA,B19001G_016MA,B19001G_017M,B19001G_017EA,B19001G_017MA,state
120572,5916,8935,1749,6571,1414,7492,1548,8101,1316,5820,1258,6987,1349,6091,1278,7158,1615,6254,1237,10318,1947,11011,1749,14738,1975,8963,1603,4454,1084,4493,895,3186,963,5916,null,null,1749,null,null,1414,null,null,1548,null,null,1316,null,null,1258,null,null,1349,null,null,1278,null,null,1615,null,null,1237,null,null,1947,null,null,1749,null,null,1975,null,null,1603,null,null,1084,null,null,895,null,null,963,null,null,12
53596,3851,5104,1224,1985,677,1818,776,4149,1261,1936,701,2831,842,1851,775,2731,969,1629,686,4206,985,4641,1101,7911,1850,4403,900,2235,908,3010,875,3156,917,3851,null,null,1224,null,null,677,null,null,776,null,null,1261,null,null,701,null,null,842,null,null,775,null,null,969,null,null,686,null,null,985,null,null,1101,null,null,1850,null,null,900,null,null,908,null,null,875,null,null,917,null,null,13
75692,3440,3909,1071,2815,892,1518,527,2521,640,2461,786,2482,787,2980,882,2511,737,2379,889,4837,929,7279,1439,11479,1752,9370,1329,6501,1107,5015,712,7635,1353,3440,null,null,1071,null,null,892,null,null,527,null,null,640,null,null,786,null,null,787,null,null,882,null,null,737,null,null,889,null,null,929,null,null,1439,null,null,1752,null,null,1329,null,null,1107,null,null,712,null,null,1353,null,null,15
11522,1651,1482,589,773,582,1043,598,423,265,590,365,604,522,534,315,796,557,528,386,600,456,1403,741,1079,659,411,332,422,351,573,435,261,296,1651,null,null,589,null,null,582,null,null,598,null,null,265,null,null,365,null,null,522,null,null,315,null,null,557,null,null,386,null,null,456,null,null,741,null,null,659,null,null,332,null,null,351,null,null,435,null,null,296,null,null,16
71132,4250,6740,1301,3600,880,3794,1011,3168,832,3119,822,3815,1019,3792,964,4867,1212,2712,888,5623,1149,6526,1035,7714,1359,5694,1276,3240,873,2778,589,3950,878,4250,null,null,1301,null,null,880,null,null,1011,null,null,832,null,null,822,null,null,1019,null,null,964,null,null,1212,null,null,888,null,null,1149,null,null,1035,null,null,1359,null,null,1276,null,null,873,null,null,589,null,null,878,null,null,17
31134,3208,3432,982,3034,947,1923,831,1573,519,2667,983,2764,958,2284,924,1131,533,1360,600,1887,703,2769,860,2784,945,1448,582,758,426,920,462,400,269,3208,null,null,982,null,null,947,null,null,831,null,null,519,null,null,983,null,null,958,null,null,924,null,null,533,null,null,600,null,null,703,null,null,860,null,null,945,null,null,582,null,null,426,null,null,462,null,null,269,null,null,18
11402,1623,1487,731,411,334,757,418,819,462,774,429,738,433,439,287,227,224,1356,790,901,428,1359,591,748,363,618,279,84,82,426,295,258,206,1623,null,null,731,null,null,334,null,null,418,null,null,462,null,null,429,null,null,433,null,null,287,null,null,224,null,null,790,null,null,428,null,null,591,null,null,363,null,null,279,null,null,82,null,null,295,null,null,206,null,null,19
22146,2177,1860,618,1730,708,1503,484,888,423,1077,449,951,485,970,541,713,356,694,394,2417,834,2319,771,2747,608,1534,526,1119,500,1147,564,477,302,2177,null,null,618,null,null,708,null,null,484,null,null,423,null,null,449,null,null,485,null,null,541,null,null,356,null,null,394,null,null,834,null,null,771,null,null,608,null,null,526,null,null,500,null,null,564,null,null,302,null,null,20
19627,2419,1950,631,2090,667,2023,762,1348,634,1085,675,1518,773,771,479,1155,757,1046,493,1250,536,1158,496,1892,620,1258,547,183,165,625,426,275,194,2419,null,null,631,null,null,667,null,null,762,null,null,634,null,null,675,null,null,773,null,null,479,null,null,757,null,null,493,null,null,536,null,null,496,null,null,620,null,null,547,null,null,165,null,null,426,null,null,194,null,null,21
21442,2606,2218,768,2099,977,969,439,1158,562,782,436,1287,559,1734,711,917,489,909,480,1802,660,1483,793,1508,521,1675,748,705,373,1065,546,1131,605,2606,null,null,768,null,null,977,null,null,439,null,null,562,null,null,436,null,null,559,null,null,711,null,null,489,null,null,480,null,null,660,null,null,793,null,null,521,null,null,748,null,null,373,null,null,546,null,null,605,null,null,22
