B17020H_001E,B17020H_001M,B17020H_002E,B17020H_002M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_006E,B17020H_006M,B17020H_007E,B17020H_007M,B17020H_008E,B17020H_008M,B17020H_009E,B17020H_009M,B17020H_010E,B17020H_010M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013M,B17020H_014E,B17020H_014M,B17020H_015E,B17020H_015M,B17020H_016E,B17020H_016M,B17020H_017E,B17020H_017M,B17020H_001M,B17020H_001EA,B17020H_001MA,B17020H_002M,B17020H_002EA,B17020H_002MA,B17020H_003M,B17020H_003EA,B17020H_003MA,B17020H_004M,B17020H_004EA,B17020H_004MA,B17020H_005M,B17020H_005EA,B17020H_005MA,B17020H_006M,B17020H_006EA,B17020H_006MA,B17020H_007M,B17020H_007EA,B17020H_007MA,B17020H_008M,B17020H_008EA,B17020H_008MA,B17020H_009M,B17020H_009EA,B17020H_009MA,B17020H_010M,B17020H_010EA,B17020H_010MA,B17020H_011M,B17020H_011EA,B17020H_011MA,B17020H_012M,B17020H_012EA,B17020H_012MA,B17020H_013M,B17020H_013EA,B17020H_013MA,B17020H_014M,B17020H_014EA,B17020H_014MA,B17020H_015M,B17020H_015EA,B17020H_015MA,B17020H_016M,B17020H_016EA,B17020H_016MA,B17020H_017M,B17020H_017EA,B17020H_017MA,state
11054009,8328,1170130,23751,82102,6424,73631,5000,69752,5533,627925,16228,210295,8350,71106,4815,35319,3310,9883879,25015,460002,7630,493009,9584,549595,9393,4834231,17299,2314856,14168,869598,9767,362588,8951,8328,null,null,23751,null,null,6424,null,null,5000,null,null,5533,null,null,16228,null,null,8350,null,null,4815,null,null,3310,null,null,25015,null,null,7630,null,null,9584,null,null,9393,null,null,17299,null,null,14168,null,null,9767,null,null,8951,null,null,12
5363247,6292,580942,20660,48404,3775,49228,5213,43969,4163,335408,13388,73460,4647,22763,2130,7710,1217,4782305,20850,277930,6534,314686,8729,355872,7517,2633879,15509,866644,8917,247122,4117,86172,3981,6292,null,null,20660,null,null,3775,null,null,5213,null,null,4163,null,null,13388,null,null,4647,null,null,2130,null,null,1217,null,null,20850,null,null,6534,null,null,8729,null,null,7517,null,null,15509,null,null,8917,null,null,4117,null,null,3981,null,null,13
301217,1277,25926,3541,906,524,964,516,482,281,15153,2536,7173,1648,671,272,577,301,275291,3650,16574,1279,11492,1288,10744,1192,154597,3050,61647,2408,14299,1068,5938,980,1277,null,null,3541,null,null,524,null,null,516,null,null,281,null,null,2536,null,null,1648,null,null,272,null,null,301,null,null,3650,null,null,1279,null,null,1288,null,null,1192,null,null,3050,null,null,2408,null,null,1068,null,null,980,null,null,15
1363623,1462,174123,12054,17140,2844,15471,2819,16085,2695,94726,7176,20942,2658,6313,1159,3446,962,1189500,12369,81762,3244,99909,3846,93986,3768,616055,6975,214717,4491,60711,2353,22360,2130,1462,null,null,12054,null,null,2844,null,null,2819,null,null,2695,null,null,7176,null,null,2658,null,null,1159,null,null,962,null,null,12369,null,null,3244,null,null,3846,null,null,3768,null,null,6975,null,null,4491,null,null,2353,null,null,2130,null,null,16
7725225,5245,677086,20556,47887,4014,48345,4173,47498,3570,388602,12154,96775,4677,29823,2357,18156,2012,7048139,20078,419310,5616,442670,6374,483692,7071,3879284,15653,1281412,10118,373461,5249,168310,5155,5245,null,null,20556,null,null,4014,null,null,4173,null,null,3570,null,null,12154,null,null,4677,null,null,2357,null,null,2012,null,null,20078,null,null,5616,null,null,6374,null,null,7071,null,null,15653,null,null,10118,null,null,5249,null,null,5155,null,null,17
5127473,4533,570266,18697,56133,4480,49512,4101,47935,3762,327678,11954,59967,4060,20167,2027,8874,1297,4557207,19654,297514,5073,314493,6860,336786,5540,2476037,13656,809134,6941,234104,4418,89139,3780,4533,null,null,18697,null,null,4480,null,null,4101,null,null,3762,null,null,11954,null,null,4060,null,null,2027,null,null,1297,null,null,19654,null,null,5073,null,null,6860,null,null,5540,null,null,13656,null,null,6941,null,null,4418,null,null,3780,null,null,18
2623337,3052,254981,10360,22956,2880,20941,2618,16051,1995,151093,6333,25519,1982,10955,1476,7466,1416,2368356,10865,158381,3629,168593,4260,175729,4559,1245520,7386,430899,4637,131869,2820,57365,2529,3052,null,null,10360,null,null,2880,null,null,2618,null,null,1995,null,null,6333,null,null,1982,null,null,1476,null,null,1416,null,null,10865,null,null,3629,null,null,4260,null,null,4559,null,null,7386,null,null,4637,null,null,2820,null,null,2529,null,null,19
2159595,2301,217022,10559,16339,2144,19723,2904,13886,2049,128174,6324,23483,2505,9986,1379,5431,941,1942573,10465,134307,3054,138549,4534,147052,3740,1030555,7400,345304,4781,103294,2848,43512,2746,2301,null,null,10559,null,null,2144,null,null,2904,null,null,2049,null,null,6324,null,null,2505,null,null,1379,null,null,941,null,null,10465,null,null,3054,null,null,4534,null,null,3740,null,null,7400,null,null,4781,null,null,2848,null,null,2746,null,null,20
3660806,5153,616221,20259,58862,4581,58328,3938,51537,4473,345891,11630,71708,4894,20549,2437,9346,1619,3044585,20339,185092,4772,208023,5584,215831,5918,1664009,13271,557717,7527,159512,3668,54401,3116,5153,null,null,20259,null,null,4581,null,null,3938,null,null,4473,null,null,11630,null,null,4894,null,null,2437,null,null,1619,null,null,20339,null,null,4772,null,null,5584,null,null,5918,null,null,13271,null,null,7527,null,null,3668,null,null,3116,null,null,21
2696046,3985,333554,16599,25525,3593,27984,3690,25126,3676,192271,10010,43138,3707,12574,1512,6936,1124,2362492,17355,155886,4656,153862,4816,171525,5595,1291522,11460,420556,5359,123071,3032,46070,2991,3985,null,null,16599,null,null,3593,null,null,3690,null,null,3676,null,null,10010,null,null,3707,null,null,1512,null,null,1124,null,null,17355,null,null,4656,null,null,4816,null,null,5595,null,null,11460,null,null,5359,null,null,3032,null,null,2991,null,null,22
1212981,1564,140012,8871,11984,2403,12540,2238,8885,1611,76176,4872,20631,2411,6065,1041,3731,811,1072969,9097,56143,2764,60571,3025,69641,2916,575479,5343,223947,4049,59957,2360,27231,2346,1564,null,null,8871,null,null,2403,null,null,2238,null,null,1611,null,null,4872,null,null,2411,null,null,1041,null,null,811,null,null,9097,null,null,2764,null,null,3025,null,null,2916,null,null,5343,null,null,4049,null,null,2360,null,null,2346,null,null,23
3024858,3619,213456,10468,12908,2328,15268,2693,15069,2652,120264,6558,31872,2796,11593,1454,6482,1177,2811402,11378,163844,3322,170461,4392,190596,4295,1538168,8911,528684,6024,150318,3145,69331,3224,3619,null,null,10468,null,null,2328,null,null,2693,null,null,2652,null,null,6558,null,null,2796,null,null,1454,null,null,1177,null,null,11378,null,null,3322,null,null,4392,null,null,4295,null,null,8911,null,null,6024,null,null,3145,null,null,3224,null,null,24
4771463,7070,319911,10833,17550,2620,18628,2625,18085,2138,184263,7175,51617,3420,17974,2035,11794,1508,4451552,12541,231316,4022,256110,6215,301834,6039,2481804,9654,830217,7410,237872,4594,112399,4197,7070,null,null,10833,null,null,2620,null,null,2625,null,null,2138,null,null,7175,null,null,3420,null,null,2035,null,null,1508,null,null,12541,null,null,4022,null,null,6215,null,null,6039,null,null,9654,null,null,7410,null,null,4594,null,null,4197,null,null,25
7333736,4574,849643,18586,73292,5250,67998,4051,68498,4980,494321,11788,100867,4276,29112,2129,15555,1848,6484093,19709,372236,5867,403916,6578,460708,5874,3498902,13057,1236107,7545,358952,5175,153272,4849,4574,null,null,18586,null,null,5250,null,null,4051,null,null,4980,null,null,11788,null,null,4276,null,null,2129,null,null,1848,null,null,19709,null,null,5867,null,null,6578,null,null,5874,null,null,13057,null,null,7545,null,null,5175,null,null,4849,null,null,26
4355741,3061,306863,10855,22024,2474,20465,2174,18182,2199,174918,6189,44042,2677,16821,1863,10411,1195,4048878,11356,265413,3835,272167,5332,291283,4817,2223318,8833,706443,6256,200435,4219,89819,3565,3061,null,null,10855,null,null,2474,null,null,2174,null,null,2199,null,null,6189,null,null,2677,null,null,1863,null,null,1195,null,null,11356,null,null,3835,null,null,5332,null,null,4817,null,null,8833,null,null,6256,null,null,4219,null,null,3565,null,null,27
1655708,2625,214871,11691,16276,3023,21394,2664,15236,2389,122315,7734,26352,2600,8898,1403,4400,971,1440837,11781,90923,3592,101881,4880,103156,4343,755024,8346,275414,4796,85136,2666,29303,2175,2625,null,null,11691,null,null,3023,null,null,2664,null,null,2389,null,null,7734,null,null,2600,null,null,1403,null,null,971,null,null,11781,null,null,3592,null,null,4880,null,null,4343,null,null,8346,null,null,4796,null,null,2666,null,null,2175,null,null,28
4716918,4344,544056,17096,52095,3521,49864,4663,39983,3450,309378,9437,63697,4053,19977,2261,9062,1408,4172862,18046,260631,4212,281890,7493,304411,6361,2261862,11605,746692,7016,228552,4683,88824,4203,4344,null,null,17096,null,null,3521,null,null,4663,null,null,3450,null,null,9437,null,null,4053,null,null,2261,null,null,1408,null,null,18046,null,null,4212,null,null,7493,null,null,6361,null,null,11605,null,null,7016,null,null,4683,null,null,4203,null,null,29
881556,1268,105745,7550,8028,1727,7828,1741,7736,1456,61966,4841,14126,1729,4382,1008,1679,655,775811,7561,49002,2132,50832,2522,51672,2284,404776,5333,157874,3501,44189,1936,17466,1782,1268,null,null,7550,null,null,1727,null,null,1741,null,null,1456,null,null,4841,null,null,1729,null,null,1008,null,null,655,null,null,7561,null,null,2132,null,null,2522,null,null,2284,null,null,5333,null,null,3501,null,null,1936,null,null,1782,null,null,30
1478726,2227,126255,6177,10550,1882,9013,1649,7444,1475,74335,3677,13733,1508,6559,910,4621,738,1352471,6625,96972,2227,100047,2915,100037,2624,718092,4567,238054,3718,69797,2052,29472,1746,2227,null,null,6177,null,null,1882,null,null,1649,null,null,1475,null,null,3677,null,null,1508,null,null,910,null,null,738,null,null,6625,null,null,2227,null,null,2915,null,null,2624,null,null,4567,null,null,3718,null,null,2052,null,null,1746,null,null,31
1444671,2387,140728,8921,9299,1926,6216,1474,7840,1662,82641,5811,26801,2722,5101,906,2830,819,1303943,8929,66085,2643,71689,3110,75251,3306,696290,6761,283843,3717,83524,2751,27261,2761,2387,null,null,8921,null,null,1926,null,null,1474,null,null,1662,null,null,5811,null,null,2722,null,null,906,null,null,819,null,null,8929,null,null,2643,null,null,3110,null,null,3306,null,null,6761,null,null,3717,null,null,2751,null,null,2761,null,null,32
1176388,1868,78880,6974,5175,1323,5445,1736,5024,1224,49034,4587,9509,1647,2903,852,1790,669,1097508,7067,59634,1990,68787,2816,75006,2441,606471,5143,210821,3896,54225,2041,22564,1970,1868,null,null,6974,null,null,1323,null,null,1736,null,null,1224,null,null,4587,null,null,1647,null,null,852,null,null,669,null,null,7067,null,null,1990,null,null,2816,null,null,2441,null,null,5143,null,null,3896,null,null,2041,null,null,1970,null,null,33
4883990,5633,314582,14646,25240,3934,22537,2650,24052,2942,160456,8638,47844,3350,20947,2304,13506,1651,4569408,14799,244682,4744,280503,6015,324350,6023,2459620,11666,867846,7667,257240,3780,135167,4250,5633,null,null,14646,null,null,3934,null,null,2650,null,null,2942,null,null,8638,null,null,3350,null,null,2304,null,null,1651,null,null,14799,null,null,4744,null,null,6015,null,null,6023,null,null,11666,null,null,7667,null,null,3780,null,null,4250,null,null,34
774810,2409,92112,7046,5438,1598,5572,1360,5907,1391,54812,4794,15124,1825,4185,1193,1074,428,682698,7694,30137,2115,35485,2467,35078,2098,331311,5383,176177,3728,54026,2027,20484,1824,2409,null,null,7046,null,null,1598,null,null,1360,null,null,1391,null,null,4794,null,null,1825,null,null,1193,null,null,428,null,null,7694,null,null,2115,null,null,2467,null,null,2098,null,null,5383,null,null,3728,null,null,2027,null,null,1824,null,null,35
10694320,8237,1030955,21592,95119,5255,86620,4810,79911,4999,548867,13227,139077,6580,48620,3619,32741,2775,9663365,22413,523694,6529,563793,9053,621297,7873,5338097,15584,1802428,11458,545859,6929,268197,6119,8237,null,null,21592,null,null,5255,null,null,4810,null,null,4999,null,null,13227,null,null,6580,null,null,3619,null,null,2775,null,null,22413,null,null,6529,null,null,9053,null,null,7873,null,null,15584,null,null,11458,null,null,6929,null,null,6119,null,null,36
6292410,5052,681245,21012,50603,4938,50059,4559,46794,4235,401986,12915,90435,4788,28919,2359,12449,1716,5611165,21496,305684,5781,355609,7907,380643,6516,3045916,13748,1082287,9003,331075,5365,109951,4395,5052,null,null,21012,null,null,4938,null,null,4559,null,null,4235,null,null,12915,null,null,4788,null,null,2359,null,null,1716,null,null,21496,null,null,5781,null,null,7907,null,null,6516,null,null,13748,null,null,9003,null,null,5365,null,null,4395,null,null,37
