B28009B_001E,B28009B_001M,B28009B_002E,B28009B_002M,B28009B_003E,B28009B_003M,B28009B_004E,B28009B_004M,B28009B_005E,B28009B_005M,B28009B_006E,B28009B_006M,B28009B_001M,B28009B_001EA,B28009B_001MA,B28009B_002M,B28009B_002EA,B28009B_002MA,B28009B_003M,B28009B_003EA,B28009B_003MA,B28009B_004M,B28009B_004EA,B28009B_004MA,B28009B_005M,B28009B_005EA,B28009B_005MA,B28009B_006M,B28009B_006EA,B28009B_006MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
3189072,22068,2850971,26319,8497,3030,2395051,31125,447423,20968,338101,16182,22068,null,null,26319,null,null,3030,null,null,31125,null,null,20968,null,null,16182,null,null,12
3143390,15573,2853876,20577,6028,2470,2502648,28485,345200,18862,289514,13343,15573,null,null,20577,null,null,2470,null,null,28485,null,null,18862,null,null,13343,null,null,13
22480,2166,21831,2096,0,185,20901,2107,930,628,649,484,2166,null,null,2096,null,null,185,null,null,2107,null,null,628,null,null,484,null,null,15
1728904,9653,1529636,13499,3666,1678,1323471,18097,202499,12373,199268,9313,9653,null,null,13499,null,null,1678,null,null,18097,null,null,12373,null,null,9313,null,null,17
590700,7451,523447,10819,814,558,451786,12260,70847,7276,67253,7147,7451,null,null,10819,null,null,558,null,null,12260,null,null,7276,null,null,7147,null,null,18
105280,3421,91600,3696,199,228,81456,4532,9945,2799,13680,2524,3421,null,null,3696,null,null,228,null,null,4532,null,null,2799,null,null,2524,null,null,19
156237,4788,137462,5399,200,298,117377,6811,19885,4372,18775,2612,4788,null,null,5399,null,null,298,null,null,6811,null,null,4372,null,null,2612,null,null,20
341582,6743,298210,6652,521,451,262532,7239,35157,5551,43372,4790,6743,null,null,6652,null,null,451,null,null,7239,null,null,5551,null,null,4790,null,null,21
1450159,7662,1214583,14902,4689,2179,1018530,17381,191364,12378,235576,13074,7662,null,null,14902,null,null,2179,null,null,17381,null,null,12378,null,null,13074,null,null,22
18488,1959,17354,2076,0,172,12271,2487,5083,1613,1134,876,1959,null,null,2076,null,null,172,null,null,2487,null,null,1613,null,null,876,null,null,23
1741008,9145,1632883,11925,3627,1550,1493368,15502,135888,10890,108125,8417,9145,null,null,11925,null,null,1550,null,null,15502,null,null,10890,null,null,8417,null,null,24
481934,8248,450919,7621,360,268,414658,7955,35901,5426,31015,4403,8248,null,null,7621,null,null,268,null,null,7955,null,null,5426,null,null,4403,null,null,25
1308168,9740,1142388,14397,2536,1034,946778,16996,193074,12173,165780,10952,9740,null,null,14397,null,null,1034,null,null,16996,null,null,12173,null,null,10952,null,null,26
314377,5963,287614,7290,1354,1482,249197,9626,37063,6618,26763,5334,5963,null,null,7290,null,null,1482,null,null,9626,null,null,6618,null,null,5334,null,null,27
1089322,6788,909866,12364,6135,2751,741251,15666,162480,12869,179456,11547,6788,null,null,12364,null,null,2751,null,null,15666,null,null,12869,null,null,11547,null,null,28
672163,7551,592118,9953,906,469,514664,13079,76548,8603,80045,7602,7551,null,null,9953,null,null,469,null,null,13079,null,null,8603,null,null,7602,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
84340,2921,76483,3257,321,220,66060,3970,10102,3297,7857,1725,2921,null,null,3257,null,null,220,null,null,3970,null,null,3297,null,null,1725,null,null,31
252246,5306,229968,5954,497,529,187202,9842,42269,8208,22278,3925,5306,null,null,5954,null,null,529,null,null,9842,null,null,8208,null,null,3925,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
1143009,11139,1052495,12383,3802,1893,925525,14911,123168,11149,90514,6686,11139,null,null,12383,null,null,1893,null,null,14911,null,null,11149,null,null,6686,null,null,34
36676,2825,33911,2817,0,195,30500,2895,3411,1338,2765,1029,2825,null,null,2817,null,null,195,null,null,2895,null,null,1338,null,null,1029,null,null,35
2927732,19383,2671399,21739,7086,2159,2367346,26054,296967,16146,256333,11551,19383,null,null,21739,null,null,2159,null,null,26054,null,null,16146,null,null,11551,null,null,36
2101954,13265,1860999,19790,5777,1659,1575875,22522,279347,15489,240955,12794,13265,null,null,19790,null,null,1659,null,null,22522,null,null,15489,null,null,12794,null,null,37
18209,2378,16004,2694,0,155,13313,2966,2691,1659,2205,1944,2378,null,null,2694,null,null,155,null,null,2966,null,null,1659,null,null,1944,null,null,38
1377491,10624,1230068,13590,3527,1516,1071729,15278,154812,12357,147423,9317,10624,null,null,13590,null,null,1516,null,null,15278,null,null,12357,null,null,9317,null,null,39
272870,4815,241365,6116,434,426,210504,6778,30427,4567,31505,3440,4815,null,null,6116,null,null,426,null,null,6778,null,null,4567,null,null,3440,null,null,40
74645,4162,71254,4289,104,174,66907,4435,4243,1850,3391,1141,4162,null,null,4289,null,null,174,null,null,4435,null,null,1850,null,null,1141,null,null,41
1318501,11720,1180210,15506,3049,1010,1024104,19121,153057,10567,138291,9854,11720,null,null,15506,null,null,1010,null,null,19121,null,null,10567,null,null,9854,null,null,42
63738,4191,58994,4339,0,208,55278,4568,3716,2143,4744,1203,4191,null,null,4339,null,null,208,null,null,4568,null,null,2143,null,null,1203,null,null,44
1288991,9068,1110536,13895,3298,1312,911126,14563,196112,12225,178455,9869,9068,null,null,13895,null,null,1312,null,null,14563,null,null,12225,null,null,9869,null,null,45
13060,1345,11776,1581,0,157,9320,1765,2456,1525,1284,1127,1345,null,null,1581,null,null,157,null,null,1765,null,null,1525,null,null,1127,null,null,46
1071186,9419,901414,13123,1061,922,780611,15385,119742,11620,169772,12342,9419,null,null,13123,null,null,922,null,null,15385,null,null,11620,null,null,12342,null,null,47
3218427,18329,2882001,19229,7094,3822,2508765,28838,366142,21278,336426,17969,18329,null,null,19229,null,null,3822,null,null,28838,null,null,21278,null,null,17969,null,null,48
31951,2995,31338,3098,244,295,26114,2968,4980,2064,613,433,2995,null,null,3098,null,null,295,null,null,2968,null,null,2064,null,null,433,null,null,49
6651,1092,6200,1094,0,151,5777,1037,423,383,451,343,1092,null,null,1094,null,null,151,null,null,1037,null,null,383,null,null,343,null,null,50
1531548,12007,1395456,15239,3991,1613,1224509,16469,166956,13275,136092,10098,12007,null,null,15239,null,null,1613,null,null,16469,null,null,13275,null,null,10098,null,null,51
254675,9019,242029,9144,257,266,229256,9143,12516,2944,12646,2616,9019,null,null,9144,null,null,266,null,null,9143,null,null,2944,null,null,2616,null,null,53
60950,3312,55844,3162,286,432,49465,3374,6093,1722,5106,1432,3312,null,null,3162,null,null,432,null,null,3374,null,null,1722,null,null,1432,null,null,54
340466,4838,304239,6369,769,549,266167,8075,37303,5857,36227,4988,4838,null,null,6369,null,null,549,null,null,8075,null,null,5857,null,null,4988,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
390855,12285,293353,11395,1681,984,255060,12115,36612,5578,97502,6466,12285,null,null,11395,null,null,984,null,null,12115,null,null,5578,null,null,6466,null,null,72
441339,4815,369365,8148,381,430,298873,8495,70111,6785,71974,6669,4815,null,null,8148,null,null,430,null,null,8495,null,null,6785,null,null,6669,null,null,05
1252571,7738,1047122,11630,4397,1981,886137,16975,156588,11458,205449,9901,7738,null,null,11630,null,null,1981,null,null,16975,null,null,11458,null,null,9901,null,null,01
21442,1945,19922,2239,0,155,19713,2222,209,167,1520,915,1945,null,null,2239,null,null,155,null,null,2222,null,null,167,null,null,915,null,null,02
283494,6601,262451,6705,163,263,237612,7523,24676,5293,21043,3689,6601,null,null,6705,null,null,263,null,null,7523,null,null,5293,null,null,3689,null,null,04
2148062,15989,1990989,19320,3253,1412,1777224,24862,210512,17093,157073,9466,15989,null,null,19320,null,null,1412,null,null,24862,null,null,17093,null,null,9466,null,null,06
220981,5415,208936,6076,265,275,189393,6147,19278,3675,12045,3076,5415,null,null,6076,null,null,275,null,null,6147,null,null,3675,null,null,3076,null,null,08
359697,8010,324551,7884,793,791,291635,7497,32123,5652,35146,4469,8010,null,null,7884,null,null,791,null,null,7497,null,null,5652,null,null,4469,null,null,09
200904,4306,185714,4826,144,167,161476,5726,24094,4482,15190,2872,4306,null,null,4826,null,null,167,null,null,5726,null,null,4482,null,null,2872,null,null,10
302558,2899,265795,6789,204,193,209283,8748,56308,7493,36763,6008,2899,null,null,6789,null,null,193,null,null,8748,null,null,7493,null,null,6008,null,null,11
