B28005_001E,B28005_001M,B28005_002E,B28005_002M,B28005_003E,B28005_003M,B28005_004E,B28005_004M,B28005_005E,B28005_005M,B28005_006E,B28005_006M,B28005_007E,B28005_007M,B28005_008E,B28005_008M,B28005_009E,B28005_009M,B28005_010E,B28005_010M,B28005_011E,B28005_011M,B28005_012E,B28005_012M,B28005_013E,B28005_013M,B28005_014E,B28005_014M,B28005_015E,B28005_015M,B28005_016E,B28005_016M,B28005_017E,B28005_017M,B28005_018E,B28005_018M,B28005_019E,B28005_019M,B28005_001M,B28005_001EA,B28005_001MA,B28005_002M,B28005_002EA,B28005_002MA,B28005_003M,B28005_003EA,B28005_003MA,B28005_004M,B28005_004EA,B28005_004MA,B28005_005M,B28005_005EA,B28005_005MA,B28005_006M,B28005_006EA,B28005_006MA,B28005_007M,B28005_007EA,B28005_007MA,B28005_008M,B28005_008EA,B28005_008MA,B28005_009M,B28005_009EA,B28005_009MA,B28005_010M,B28005_010EA,B28005_010MA,B28005_011M,B28005_011EA,B28005_011MA,B28005_012M,B28005_012EA,B28005_012MA,B28005_013M,B28005_013EA,B28005_013MA,B28005_014M,B28005_014EA,B28005_014MA,B28005_015M,B28005_015EA,B28005_015MA,B28005_016M,B28005_016EA,B28005_016MA,B28005_017M,B28005_017EA,B28005_017MA,B28005_018M,B28005_018EA,B28005_018MA,B28005_019M,B28005_019EA,B28005_019MA,state
20178722,-555555555,4133530,4293,3971259,10512,7303,2381,3575414,19472,388542,18327,162271,10396,12035519,6181,11423132,22772,29278,4194,10330812,36484,1063042,32241,612387,21940,4009673,4651,3415463,15252,31272,3530,3047967,18893,336224,12784,594210,14892,-555555555,null,*****,4293,null,null,10512,null,null,2381,null,null,19472,null,null,18327,null,null,10396,null,null,6181,null,null,22772,null,null,4194,null,null,36484,null,null,32241,null,null,21940,null,null,4651,null,null,15252,null,null,3530,null,null,18893,null,null,12784,null,null,14892,null,null,12
10053466,-555555555,2505372,3168,2414332,7483,3483,1605,2195216,15137,215633,14257,91040,7217,6220873,4980,5866936,16318,12377,2870,5319005,24564,535554,20933,353937,14656,1327221,4150,1054770,9043,9695,1634,936556,9606,108519,7386,272451,8168,-555555555,null,*****,3168,null,null,7483,null,null,1605,null,null,15137,null,null,14257,null,null,7217,null,null,4980,null,null,16318,null,null,2870,null,null,24564,null,null,20933,null,null,14656,null,null,4150,null,null,9043,null,null,1634,null,null,9606,null,null,7386,null,null,8168,null,null,13
1384270,-555555555,306859,839,298859,2734,70,88,278016,4716,20773,4023,8000,2436,842370,1671,815883,4334,945,629,750994,6943,63944,6209,26487,3739,235041,1475,197323,3148,1333,542,176498,3956,19492,2280,37718,3154,-555555555,null,*****,839,null,null,2734,null,null,88,null,null,4716,null,null,4023,null,null,2436,null,null,1671,null,null,4334,null,null,629,null,null,6943,null,null,6209,null,null,3739,null,null,1475,null,null,3148,null,null,542,null,null,3956,null,null,2280,null,null,3154,null,null,15
1653088,-555555555,435239,1362,427089,2602,302,314,400545,4365,26242,3782,8150,2161,965728,1986,917915,5007,2671,1036,830045,8774,85199,8086,47813,4706,252121,1821,210037,4139,3662,975,186185,4909,20190,2580,42084,4071,-555555555,null,*****,1362,null,null,2602,null,null,314,null,null,4365,null,null,3782,null,null,2161,null,null,1986,null,null,5007,null,null,1036,null,null,8774,null,null,8086,null,null,4706,null,null,1821,null,null,4139,null,null,975,null,null,4909,null,null,2580,null,null,4071,null,null,16
12500720,-555555555,2918089,2744,2841724,7223,4271,1377,2655717,13409,181736,13494,76365,6340,7781485,4018,7433128,11645,17681,2787,6916186,21099,499261,16596,348357,10958,1801146,3791,1398721,8398,18211,1919,1241093,9516,139417,6559,402425,7670,-555555555,null,*****,2744,null,null,7223,null,null,1377,null,null,13409,null,null,13494,null,null,6340,null,null,4018,null,null,11645,null,null,2787,null,null,21099,null,null,16596,null,null,10958,null,null,3791,null,null,8398,null,null,1919,null,null,9516,null,null,6559,null,null,7670,null,null,17
6446001,-555555555,1571675,3373,1500815,7943,3769,1425,1372297,12478,124749,9539,70860,7542,3918836,3501,3688724,10771,11791,2305,3371303,15821,305630,13113,230112,9811,955490,2715,737212,6665,12662,2045,647396,8160,77154,4230,218278,6165,-555555555,null,*****,3373,null,null,7943,null,null,1425,null,null,12478,null,null,9539,null,null,7542,null,null,3501,null,null,10771,null,null,2305,null,null,15821,null,null,13113,null,null,9811,null,null,2715,null,null,6665,null,null,2045,null,null,8160,null,null,4230,null,null,6165,null,null,18
3034177,-555555555,724575,1944,703217,4243,1213,800,654832,6186,47172,4972,21358,3768,1820278,2729,1735308,6230,6412,1253,1591973,10199,136923,7921,84970,6010,489324,2051,368766,4545,9204,1118,320939,4972,38623,3086,120558,4255,-555555555,null,*****,1944,null,null,4243,null,null,800,null,null,6186,null,null,4972,null,null,3768,null,null,2729,null,null,6230,null,null,1253,null,null,10199,null,null,7921,null,null,6010,null,null,2051,null,null,4545,null,null,1118,null,null,4972,null,null,3086,null,null,4255,null,null,19
2828247,-555555555,712627,2422,692490,4269,1026,784,639678,6139,51786,5266,20137,3561,1698100,3253,1611113,7159,4269,1409,1479525,10743,127319,8007,86987,6684,417520,2062,327631,4512,5229,1227,287822,4413,34580,2674,89889,4611,-555555555,null,*****,2422,null,null,4269,null,null,784,null,null,6139,null,null,5266,null,null,3561,null,null,3253,null,null,7159,null,null,1409,null,null,10743,null,null,8007,null,null,6684,null,null,2062,null,null,4512,null,null,1227,null,null,4413,null,null,2674,null,null,4611,null,null,20
4305726,-555555555,1009088,3138,961426,5548,1658,766,890086,9034,69682,6945,47662,5577,2632150,3407,2432219,9549,7359,1499,2232055,14777,192805,11393,199931,9582,664488,2225,475455,5404,6428,1400,420638,5945,48389,3811,189033,5257,-555555555,null,*****,3138,null,null,5548,null,null,766,null,null,9034,null,null,6945,null,null,5577,null,null,3407,null,null,9549,null,null,1499,null,null,14777,null,null,11393,null,null,9582,null,null,2225,null,null,5404,null,null,1400,null,null,5945,null,null,3811,null,null,5257,null,null,21
4553054,-555555555,1115188,2300,1055300,7855,1215,687,944857,11275,109228,10204,59888,7596,2786448,3398,2547361,12576,5499,1527,2266001,15932,275861,12756,239087,11852,651418,2611,470748,6722,5078,1225,404330,7036,61340,4360,180670,6356,-555555555,null,*****,2300,null,null,7855,null,null,687,null,null,11275,null,null,10204,null,null,7596,null,null,3398,null,null,12576,null,null,1527,null,null,15932,null,null,12756,null,null,11852,null,null,2611,null,null,6722,null,null,1225,null,null,7036,null,null,4360,null,null,6356,null,null,22
