B10051I_001E,B10051I_001M,B10051I_002E,B10051I_002M,B10051I_003E,B10051I_003M,B10051I_004E,B10051I_004M,B10051I_005E,B10051I_005M,B10051I_006E,B10051I_006M,B10051I_007E,B10051I_007M,B10051I_001M,B10051I_001EA,B10051I_001MA,B10051I_002M,B10051I_002EA,B10051I_002MA,B10051I_003M,B10051I_003EA,B10051I_003MA,B10051I_004M,B10051I_004EA,B10051I_004MA,B10051I_005M,B10051I_005EA,B10051I_005MA,B10051I_006M,B10051I_006EA,B10051I_006MA,B10051I_007M,B10051I_007EA,B10051I_007MA,state
169316,9716,31274,3415,16116,2251,15158,2546,138042,8802,48918,5106,89124,7006,9716,null,null,3415,null,null,2251,null,null,2546,null,null,8802,null,null,5106,null,null,7006,null,null,12
26691,3114,7927,1963,4233,1587,3694,1140,18764,2455,9835,2144,8929,1850,3114,null,null,1963,null,null,1587,null,null,1140,null,null,2455,null,null,2144,null,null,1850,null,null,13
3177,870,735,340,641,337,94,89,2442,780,1182,603,1260,456,870,null,null,340,null,null,337,null,null,89,null,null,780,null,null,603,null,null,456,null,null,15
4184,1306,901,744,663,677,238,222,3283,1242,1800,1140,1483,707,1306,null,null,744,null,null,677,null,null,222,null,null,1242,null,null,1140,null,null,707,null,null,16
76230,5627,17611,2767,12794,2372,4817,1088,58619,5040,33108,4168,25511,3287,5627,null,null,2767,null,null,2372,null,null,1088,null,null,5040,null,null,4168,null,null,3287,null,null,17
12219,2263,5567,1463,3428,1174,2139,868,6652,1779,3627,1340,3025,1111,2263,null,null,1463,null,null,1174,null,null,868,null,null,1779,null,null,1340,null,null,1111,null,null,18
3778,913,1018,422,762,364,256,181,2760,742,1726,594,1034,520,913,null,null,422,null,null,364,null,null,181,null,null,742,null,null,594,null,null,520,null,null,19
7052,1326,1974,898,1752,879,222,154,5078,1230,2288,865,2790,988,1326,null,null,898,null,null,879,null,null,154,null,null,1230,null,null,865,null,null,988,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
4294,1480,1625,817,751,546,874,599,2669,1104,2289,984,380,347,1480,null,null,817,null,null,546,null,null,599,null,null,1104,null,null,984,null,null,347,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
15400,2753,4389,1606,3370,1286,1019,625,11011,2088,6440,1763,4571,1232,2753,null,null,1606,null,null,1286,null,null,625,null,null,2088,null,null,1763,null,null,1232,null,null,24
17796,2329,5011,1180,3240,917,1771,658,12785,1925,6188,1276,6597,1378,2329,null,null,1180,null,null,917,null,null,658,null,null,1925,null,null,1276,null,null,1378,null,null,25
12209,1952,4146,906,3051,842,1095,438,8063,1629,4297,1287,3766,870,1952,null,null,906,null,null,842,null,null,438,null,null,1629,null,null,1287,null,null,870,null,null,26
6150,1517,1982,630,1633,613,349,254,4168,1401,1667,664,2501,1145,1517,null,null,630,null,null,613,null,null,254,null,null,1401,null,null,664,null,null,1145,null,null,27
