B16005F_001E,B16005F_001M,B16005F_002E,B16005F_002M,B16005F_003E,B16005F_003M,B16005F_004E,B16005F_004M,B16005F_005E,B16005F_005M,B16005F_006E,B16005F_006M,B16005F_007E,B16005F_007M,B16005F_008E,B16005F_008M,B16005F_009E,B16005F_009M,B16005F_010E,B16005F_010M,B16005F_011E,B16005F_011M,B16005F_001M,B16005F_001EA,B16005F_001MA,B16005F_002M,B16005F_002EA,B16005F_002MA,B16005F_003M,B16005F_003EA,B16005F_003MA,B16005F_004M,B16005F_004EA,B16005F_004MA,B16005F_005M,B16005F_005EA,B16005F_005MA,B16005F_006M,B16005F_006EA,B16005F_006MA,B16005F_007M,B16005F_007EA,B16005F_007MA,B16005F_008M,B16005F_008EA,B16005F_008MA,B16005F_009M,B16005F_009EA,B16005F_009MA,B16005F_010M,B16005F_010EA,B16005F_010MA,B16005F_011M,B16005F_011EA,B16005F_011MA,state
530097,23866,288819,16868,86682,8682,202137,13645,161743,11801,40394,4682,241278,15295,24366,2957,216912,15324,88365,7427,128547,11106,23866,null,null,16868,null,null,8682,null,null,13645,null,null,11801,null,null,4682,null,null,15295,null,null,2957,null,null,15324,null,null,7427,null,null,11106,null,null,12
270445,19594,134073,11334,35620,6213,98453,10315,79022,8358,19431,3892,136372,11502,10261,3125,126111,10951,30840,4085,95271,9549,19594,null,null,11334,null,null,6213,null,null,10315,null,null,8358,null,null,3892,null,null,11502,null,null,3125,null,null,10951,null,null,4085,null,null,9549,null,null,13
11605,2406,8960,1962,5246,1493,3714,1407,2661,978,1053,702,2645,966,616,366,2029,928,770,527,1259,699,2406,null,null,1962,null,null,1493,null,null,1407,null,null,978,null,null,702,null,null,966,null,null,366,null,null,928,null,null,527,null,null,699,null,null,15
57943,6218,36435,4608,14214,3099,22221,4032,16822,3271,5399,2335,21508,3727,791,491,20717,3727,7480,1786,13237,2803,6218,null,null,4608,null,null,3099,null,null,4032,null,null,3271,null,null,2335,null,null,3727,null,null,491,null,null,3727,null,null,1786,null,null,2803,null,null,16
757895,23207,416213,16419,83814,8141,332399,14914,290914,12970,41485,5146,341682,14015,10212,1937,331470,13667,94311,6445,237159,10925,23207,null,null,16419,null,null,8141,null,null,14914,null,null,12970,null,null,5146,null,null,14015,null,null,1937,null,null,13667,null,null,6445,null,null,10925,null,null,17
142760,10325,85105,7295,34580,4376,50525,5893,42694,5366,7831,1451,57655,6183,3480,1060,54175,6335,19309,3507,34866,4376,10325,null,null,7295,null,null,4376,null,null,5893,null,null,5366,null,null,1451,null,null,6183,null,null,1060,null,null,6335,null,null,3507,null,null,4376,null,null,18
38055,4373,17737,2777,5907,1420,11830,2294,9818,2161,2012,723,20318,2565,902,459,19416,2463,4736,1156,14680,2100,4373,null,null,2777,null,null,1420,null,null,2294,null,null,2161,null,null,723,null,null,2565,null,null,459,null,null,2463,null,null,1156,null,null,2100,null,null,19
67622,7034,38277,4663,16527,2959,21750,3465,18543,3102,3207,1057,29345,4279,1272,534,28073,4325,6440,1567,21633,3753,7034,null,null,4663,null,null,2959,null,null,3465,null,null,3102,null,null,1057,null,null,4279,null,null,534,null,null,4325,null,null,1567,null,null,3753,null,null,20
34087,4805,16361,2639,7266,1603,9095,1961,7699,1604,1396,890,17726,3269,1493,842,16233,3273,5184,1787,11049,2498,4805,null,null,2639,null,null,1603,null,null,1961,null,null,1604,null,null,890,null,null,3269,null,null,842,null,null,3273,null,null,1787,null,null,2498,null,null,21
62235,5797,26845,3533,10804,2254,16041,2478,11889,2209,4152,1318,35390,4430,2019,978,33371,4269,8162,1653,25209,3880,5797,null,null,3533,null,null,2254,null,null,2478,null,null,2209,null,null,1318,null,null,4430,null,null,978,null,null,4269,null,null,1653,null,null,3880,null,null,22
