C27001H_001E,C27001H_001M,C27001H_002E,C27001H_002M,C27001H_003E,C27001H_003M,C27001H_004E,C27001H_004M,C27001H_005E,C27001H_005M,C27001H_006E,C27001H_006M,C27001H_007E,C27001H_007M,C27001H_008E,C27001H_008M,C27001H_009E,C27001H_009M,C27001H_010E,C27001H_010M,C27001H_001M,C27001H_001EA,C27001H_001MA,C27001H_002M,C27001H_002EA,C27001H_002MA,C27001H_003M,C27001H_003EA,C27001H_003MA,C27001H_004M,C27001H_004EA,C27001H_004MA,C27001H_005M,C27001H_005EA,C27001H_005MA,C27001H_006M,C27001H_006EA,C27001H_006MA,C27001H_007M,C27001H_007EA,C27001H_007MA,C27001H_008M,C27001H_008EA,C27001H_008MA,C27001H_009M,C27001H_009EA,C27001H_009MA,C27001H_010M,C27001H_010EA,C27001H_010MA,state
11108555,7337,1755027,2492,1663355,9237,91672,8348,6356835,5988,5465711,20813,891124,21084,2996693,2059,2982665,3265,14028,2661,7337,null,null,2492,null,null,9237,null,null,8348,null,null,5988,null,null,20813,null,null,21084,null,null,2059,null,null,3265,null,null,2661,null,null,12
5397447,5746,1105945,2656,1044675,6487,61270,5744,3345977,4314,2883626,15288,462351,14602,945525,1741,942733,2066,2792,1148,5746,null,null,2656,null,null,6487,null,null,5744,null,null,4314,null,null,15288,null,null,14602,null,null,1741,null,null,2066,null,null,1148,null,null,13
291287,2054,42421,386,41112,797,1309,713,185138,2021,176628,2528,8510,1551,63728,479,63502,490,226,195,2054,null,null,386,null,null,797,null,null,713,null,null,2021,null,null,2528,null,null,1551,null,null,479,null,null,490,null,null,195,null,null,15
1370690,1147,327487,303,315973,2555,11514,2504,808572,1165,708905,6131,99667,5849,234631,425,234009,698,622,577,1147,null,null,303,null,null,2555,null,null,2504,null,null,1165,null,null,6131,null,null,5849,null,null,425,null,null,698,null,null,577,null,null,16
7789493,4504,1505573,1762,1474254,4344,31319,4139,4896170,3420,4631221,8943,264949,8622,1387750,2158,1383200,2377,4550,1157,4504,null,null,1762,null,null,4344,null,null,4139,null,null,3420,null,null,8943,null,null,8622,null,null,2158,null,null,2377,null,null,1157,null,null,17
5203223,3325,1122640,1730,1052042,6352,70598,6302,3219038,2723,2925678,11076,293360,10633,861545,1600,857375,2009,4170,1291,3325,null,null,1730,null,null,6352,null,null,6302,null,null,2723,null,null,11076,null,null,10633,null,null,1600,null,null,2009,null,null,1291,null,null,18
2671539,2202,572697,930,559852,2738,12845,2661,1625966,1592,1550307,5381,75659,4982,472876,792,472244,888,632,368,2202,null,null,930,null,null,2738,null,null,2661,null,null,1592,null,null,5381,null,null,4982,null,null,792,null,null,888,null,null,368,null,null,19
2177741,1978,475808,1080,457706,2494,18102,2266,1324019,1635,1203332,4993,120687,5121,377914,838,377338,933,576,329,1978,null,null,1080,null,null,2494,null,null,2266,null,null,1635,null,null,4993,null,null,5121,null,null,838,null,null,933,null,null,329,null,null,20
3704304,4406,794658,1870,770851,3598,23807,3436,2292025,2870,2153103,7841,138922,7482,617621,1109,616704,1193,917,479,4406,null,null,1870,null,null,3598,null,null,3436,null,null,2870,null,null,7841,null,null,7482,null,null,1109,null,null,1193,null,null,479,null,null,21
2711225,2909,569759,1082,555032,3496,14727,3311,1676539,2381,1474325,10311,202214,9929,464927,1358,463990,1441,937,461,2909,null,null,1082,null,null,3496,null,null,3311,null,null,2381,null,null,10311,null,null,9929,null,null,1358,null,null,1441,null,null,461,null,null,22
1231065,811,225310,349,214737,2387,10573,2375,761789,993,675930,5699,85859,5688,243966,511,243788,520,178,135,811,null,null,349,null,null,2387,null,null,2375,null,null,993,null,null,5699,null,null,5688,null,null,511,null,null,520,null,null,135,null,null,23
3042420,3209,574719,994,560221,3733,14498,3744,1899508,2489,1811525,7167,87983,6638,568193,1222,566718,1529,1475,670,3209,null,null,994,null,null,3733,null,null,3744,null,null,2489,null,null,7167,null,null,6638,null,null,1222,null,null,1529,null,null,670,null,null,24
