B19301B_001E,B19301B_001M,B19301B_001M,B19301B_001EA,B19301B_001MA,state
18426,343,343,null,null,12
20958,325,325,null,null,13
32265,3753,3753,null,null,15
21159,8556,8556,null,null,16
21512,514,514,null,null,17
19391,1308,1308,null,null,18
18070,2254,2254,null,null,19
20299,1081,1081,null,null,20
18404,722,722,null,null,21
16238,498,498,null,null,22
12143,1937,1937,null,null,23
30545,458,458,null,null,24
24378,944,944,null,null,25
19016,452,452,null,null,26
17324,798,798,null,null,27
15438,609,609,null,null,28
19743,663,663,null,null,29
24846,5597,5597,null,null,30
20631,1922,1922,null,null,31
20908,1102,1102,null,null,32
23561,4094,4094,null,null,33
25933,763,763,null,null,34
21596,2505,2505,null,null,35
24001,408,408,null,null,36
20201,652,652,null,null,37
16904,4251,4251,null,null,38
18771,460,460,null,null,39
19076,923,923,null,null,40
19066,1192,1192,null,null,41
20349,486,486,null,null,42
20913,2035,2035,null,null,44
17884,474,474,null,null,45
17138,2582,2582,null,null,46
19884,581,581,null,null,47
22415,360,360,null,null,48
17429,3244,3244,null,null,49
13138,3245,3245,null,null,50
25855,552,552,null,null,51
24851,1381,1381,null,null,53
18784,1622,1622,null,null,54
16490,504,504,null,null,55
30007,10816,10816,null,null,56
11090,702,702,null,null,72
18467,518,518,null,null,01
32250,7032,7032,null,null,02
20952,969,969,null,null,04
16931,944,944,null,null,05
26848,497,497,null,null,06
24243,1341,1341,null,null,08
23606,898,898,null,null,09
23494,1662,1662,null,null,10
29445,2049,2049,null,null,11
