B19101G_001E,B19101G_001M,B19101G_002E,B19101G_002M,B19101G_003E,B19101G_003M,B19101G_004E,B19101G_004M,B19101G_005E,B19101G_005M,B19101G_006E,B19101G_006M,B19101G_007E,B19101G_007M,B19101G_008E,B19101G_008M,B19101G_009E,B19101G_009M,B19101G_010E,B19101G_010M,B19101G_011E,B19101G_011M,B19101G_012E,B19101G_012M,B19101G_013E,B19101G_013M,B19101G_014E,B19101G_014M,B19101G_015E,B19101G_015M,B19101G_016E,B19101G_016M,B19101G_017E,B19101G_017M,B19101G_001M,B19101G_001EA,B19101G_001MA,B19101G_002M,B19101G_002EA,B19101G_002MA,B19101G_003M,B19101G_003EA,B19101G_003MA,B19101G_004M,B19101G_004EA,B19101G_004MA,B19101G_005M,B19101G_005EA,B19101G_005MA,B19101G_006M,B19101G_006EA,B19101G_006MA,B19101G_007M,B19101G_007EA,B19101G_007MA,B19101G_008M,B19101G_008EA,B19101G_008MA,B19101G_009M,B19101G_009EA,B19101G_009MA,B19101G_010M,B19101G_010EA,B19101G_010MA,B19101G_011M,B19101G_011EA,B19101G_011MA,B19101G_012M,B19101G_012EA,B19101G_012MA,B19101G_013M,B19101G_013EA,B19101G_013MA,B19101G_014M,B19101G_014EA,B19101G_014MA,B19101G_015M,B19101G_015EA,B19101G_015MA,B19101G_016M,B19101G_016EA,B19101G_016MA,B19101G_017M,B19101G_017EA,B19101G_017MA,state
78987,4339,5052,1453,2381,987,4482,1183,4696,1238,3566,1049,3708,935,4247,1053,3780,843,4318,1109,6619,1543,7454,1536,11880,1916,6584,1355,3639,881,4056,820,2525,877,4339,null,null,1453,null,null,987,null,null,1183,null,null,1238,null,null,1049,null,null,935,null,null,1053,null,null,843,null,null,1109,null,null,1543,null,null,1536,null,null,1916,null,null,1355,null,null,881,null,null,820,null,null,877,null,null,12
35907,3391,2133,839,935,528,1339,645,1531,679,1429,560,1220,631,1241,645,1899,818,1090,486,3078,808,3323,931,5561,1575,3645,877,1867,842,2849,858,2767,937,3391,null,null,839,null,null,528,null,null,645,null,null,679,null,null,560,null,null,631,null,null,645,null,null,818,null,null,486,null,null,808,null,null,931,null,null,1575,null,null,877,null,null,842,null,null,858,null,null,937,null,null,13
56238,3085,1912,668,1155,531,684,347,1435,438,1674,623,1679,696,1283,457,2139,696,1757,619,3268,720,5888,1307,9142,1584,7541,1176,6034,1134,4707,834,5940,1137,3085,null,null,668,null,null,531,null,null,347,null,null,438,null,null,623,null,null,696,null,null,457,null,null,696,null,null,619,null,null,720,null,null,1307,null,null,1584,null,null,1176,null,null,1134,null,null,834,null,null,1137,null,null,15
6653,1412,472,340,11,16,451,453,305,248,226,217,227,241,357,299,375,380,103,158,552,437,852,561,1055,658,411,332,422,351,573,435,261,296,1412,null,null,340,null,null,16,null,null,453,null,null,248,null,null,217,null,null,241,null,null,299,null,null,380,null,null,158,null,null,437,null,null,561,null,null,658,null,null,332,null,null,351,null,null,435,null,null,296,null,null,16
43934,3240,3757,1011,1588,588,2701,830,1731,580,1902,768,2417,879,1407,601,1861,718,1486,659,2947,844,4109,837,5346,1141,4200,1070,2908,853,2234,532,3340,721,3240,null,null,1011,null,null,588,null,null,830,null,null,580,null,null,768,null,null,879,null,null,601,null,null,718,null,null,659,null,null,844,null,null,837,null,null,1141,null,null,1070,null,null,853,null,null,532,null,null,721,null,null,17
17357,2235,864,315,1893,868,1169,532,615,335,1241,573,768,449,1615,783,785,447,1094,518,1262,580,1308,490,1841,689,1143,602,671,397,720,430,368,261,2235,null,null,315,null,null,868,null,null,532,null,null,335,null,null,573,null,null,449,null,null,783,null,null,447,null,null,518,null,null,580,null,null,490,null,null,689,null,null,602,null,null,397,null,null,430,null,null,261,null,null,18
6441,1229,283,196,257,266,490,387,349,318,289,243,376,330,302,238,281,245,574,481,439,252,1230,523,443,285,462,236,84,82,419,297,163,152,1229,null,null,196,null,null,266,null,null,387,null,null,318,null,null,243,null,null,330,null,null,238,null,null,245,null,null,481,null,null,252,null,null,523,null,null,285,null,null,236,null,null,82,null,null,297,null,null,152,null,null,19
14993,1615,488,328,828,541,578,326,454,294,502,271,957,525,531,372,497,296,786,442,1343,629,1941,695,2130,609,1373,475,961,469,1147,564,477,302,1615,null,null,328,null,null,541,null,null,326,null,null,294,null,null,271,null,null,525,null,null,372,null,null,296,null,null,442,null,null,629,null,null,695,null,null,609,null,null,475,null,null,469,null,null,564,null,null,302,null,null,20
12450,1877,1202,577,962,516,1196,575,1091,630,837,618,360,263,513,423,245,287,256,167,923,474,798,463,1872,655,1125,533,220,184,575,420,275,194,1877,null,null,577,null,null,516,null,null,575,null,null,630,null,null,618,null,null,263,null,null,423,null,null,287,null,null,167,null,null,474,null,null,463,null,null,655,null,null,533,null,null,184,null,null,420,null,null,194,null,null,21
14482,2264,1007,517,1156,778,463,320,568,479,619,413,1049,505,983,473,593,360,505,449,992,419,1373,747,1373,621,1327,680,561,367,798,441,1115,604,2264,null,null,517,null,null,778,null,null,320,null,null,479,null,null,413,null,null,505,null,null,473,null,null,360,null,null,449,null,null,419,null,null,747,null,null,621,null,null,680,null,null,367,null,null,441,null,null,604,null,null,22
