B16005C_001E,B16005C_001M,B16005C_002E,B16005C_002M,B16005C_003E,B16005C_003M,B16005C_004E,B16005C_004M,B16005C_005E,B16005C_005M,B16005C_006E,B16005C_006M,B16005C_007E,B16005C_007M,B16005C_008E,B16005C_008M,B16005C_009E,B16005C_009M,B16005C_010E,B16005C_010M,B16005C_011E,B16005C_011M,B16005C_001M,B16005C_001EA,B16005C_001MA,B16005C_002M,B16005C_002EA,B16005C_002MA,B16005C_003M,B16005C_003EA,B16005C_003MA,B16005C_004M,B16005C_004EA,B16005C_004MA,B16005C_005M,B16005C_005EA,B16005C_005MA,B16005C_006M,B16005C_006EA,B16005C_006MA,B16005C_007M,B16005C_007EA,B16005C_007MA,B16005C_008M,B16005C_008EA,B16005C_008MA,B16005C_009M,B16005C_009EA,B16005C_009MA,B16005C_010M,B16005C_010EA,B16005C_010MA,B16005C_011M,B16005C_011EA,B16005C_011MA,state
50982,5312,40930,3848,34203,3261,6727,1644,5559,1491,1168,728,10052,3301,2697,1073,7355,3001,1724,613,5631,2773,5312,null,null,3848,null,null,3261,null,null,1644,null,null,1491,null,null,728,null,null,3301,null,null,1073,null,null,3001,null,null,613,null,null,2773,null,null,12
35290,5235,23887,3662,16678,2634,7209,2310,6277,2346,932,656,11403,3321,235,232,11168,3289,2950,1332,8218,2493,5235,null,null,3662,null,null,2634,null,null,2310,null,null,2346,null,null,656,null,null,3321,null,null,232,null,null,3289,null,null,1332,null,null,2493,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
29453,3471,23087,2625,15396,2134,7691,1674,6672,1592,1019,483,6366,1750,575,329,5791,1726,2296,912,3495,1296,3471,null,null,2625,null,null,2134,null,null,1674,null,null,1592,null,null,483,null,null,1750,null,null,329,null,null,1726,null,null,912,null,null,1296,null,null,17
16840,2413,15826,2194,13779,1929,2047,1148,1661,1087,386,297,1014,615,249,264,765,578,506,357,259,281,2413,null,null,2194,null,null,1929,null,null,1148,null,null,1087,null,null,297,null,null,615,null,null,264,null,null,578,null,null,357,null,null,281,null,null,18
10007,1611,9450,1547,8146,1397,1304,468,1263,464,41,38,557,415,52,79,505,405,363,301,142,191,1611,null,null,1547,null,null,1397,null,null,468,null,null,464,null,null,38,null,null,415,null,null,79,null,null,405,null,null,301,null,null,191,null,null,19
20364,2307,19806,2266,18255,2137,1551,736,1460,721,91,88,558,350,185,152,373,306,67,108,306,289,2307,null,null,2266,null,null,2137,null,null,736,null,null,721,null,null,88,null,null,350,null,null,152,null,null,306,null,null,108,null,null,289,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
24125,2631,23744,2605,21303,2483,2441,729,2121,689,320,221,381,320,138,106,243,287,145,172,98,126,2631,null,null,2605,null,null,2483,null,null,729,null,null,689,null,null,221,null,null,320,null,null,106,null,null,287,null,null,172,null,null,126,null,null,22
7279,1134,6781,1127,5461,996,1320,506,1270,493,50,53,498,384,368,338,130,139,57,85,73,122,1134,null,null,1127,null,null,996,null,null,506,null,null,493,null,null,53,null,null,384,null,null,338,null,null,139,null,null,85,null,null,122,null,null,23
14602,2250,13245,2076,11259,1801,1986,1105,1114,552,872,829,1357,622,310,283,1047,579,389,276,658,459,2250,null,null,2076,null,null,1801,null,null,1105,null,null,552,null,null,829,null,null,622,null,null,283,null,null,579,null,null,276,null,null,459,null,null,24
12153,2085,9165,1610,7436,1271,1729,658,1265,590,464,376,2988,1129,600,362,2388,1033,1117,487,1271,824,2085,null,null,1610,null,null,1271,null,null,658,null,null,590,null,null,376,null,null,1129,null,null,362,null,null,1033,null,null,487,null,null,824,null,null,25
48995,3405,46929,3139,41980,2683,4949,1428,4351,1371,598,418,2066,838,495,287,1571,762,285,213,1286,717,3405,null,null,3139,null,null,2683,null,null,1428,null,null,1371,null,null,418,null,null,838,null,null,287,null,null,762,null,null,213,null,null,717,null,null,26
57346,2610,54942,2407,51542,2360,3400,854,3139,817,261,162,2404,814,652,359,1752,740,780,404,972,570,2610,null,null,2407,null,null,2360,null,null,854,null,null,817,null,null,162,null,null,814,null,null,359,null,null,740,null,null,404,null,null,570,null,null,27
