B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,B19101F_001M,B19101F_001EA,B19101F_001MA,B19101F_002M,B19101F_002EA,B19101F_002MA,B19101F_003M,B19101F_003EA,B19101F_003MA,B19101F_004M,B19101F_004EA,B19101F_004MA,B19101F_005M,B19101F_005EA,B19101F_005MA,B19101F_006M,B19101F_006EA,B19101F_006MA,B19101F_007M,B19101F_007EA,B19101F_007MA,B19101F_008M,B19101F_008EA,B19101F_008MA,B19101F_009M,B19101F_009EA,B19101F_009MA,B19101F_010M,B19101F_010EA,B19101F_010MA,B19101F_011M,B19101F_011EA,B19101F_011MA,B19101F_012M,B19101F_012EA,B19101F_012MA,B19101F_013M,B19101F_013EA,B19101F_013MA,B19101F_014M,B19101F_014EA,B19101F_014MA,B19101F_015M,B19101F_015EA,B19101F_015MA,B19101F_016M,B19101F_016EA,B19101F_016MA,B19101F_017M,B19101F_017EA,B19101F_017MA,state
111822,6054,7672,1482,6543,1492,5525,1390,8799,1405,6046,1357,7670,1544,6820,1803,7689,1524,3459,990,11694,2234,11360,2234,11169,1979,6944,1390,3741,1204,2653,1023,4038,1455,6054,null,null,1482,null,null,1492,null,null,1390,null,null,1405,null,null,1357,null,null,1544,null,null,1803,null,null,1524,null,null,990,null,null,2234,null,null,2234,null,null,1979,null,null,1390,null,null,1204,null,null,1023,null,null,1455,null,null,12
58981,5429,4847,1643,2449,941,3524,1203,6184,1828,3413,1015,4902,1206,4052,1220,3597,1271,2813,1212,6354,1949,6652,1701,4877,1406,1856,875,1326,844,757,550,1378,1017,5429,null,null,1643,null,null,941,null,null,1203,null,null,1828,null,null,1015,null,null,1206,null,null,1220,null,null,1271,null,null,1212,null,null,1949,null,null,1701,null,null,1406,null,null,875,null,null,844,null,null,550,null,null,1017,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
13422,1788,1202,733,429,445,1012,589,378,275,1051,605,335,273,1318,802,572,516,680,428,2985,1143,1434,629,1677,636,300,221,49,94,0,198,0,198,1788,null,null,733,null,null,445,null,null,589,null,null,275,null,null,605,null,null,273,null,null,802,null,null,516,null,null,428,null,null,1143,null,null,629,null,null,636,null,null,221,null,null,94,null,null,198,null,null,198,null,null,16
175951,5078,8847,1382,7024,1660,8711,1582,10883,1985,10626,1693,9416,1734,14102,2173,11431,2037,9431,1735,14623,1910,18420,2209,25448,3214,13155,1988,6855,1165,4579,1078,2400,788,5078,null,null,1382,null,null,1660,null,null,1582,null,null,1985,null,null,1693,null,null,1734,null,null,2173,null,null,2037,null,null,1735,null,null,1910,null,null,2209,null,null,3214,null,null,1988,null,null,1165,null,null,1078,null,null,788,null,null,17
34425,3299,2371,855,1069,544,1374,573,3254,1197,2609,949,2626,819,3520,1071,2329,880,1718,791,3666,966,3412,1144,2232,725,1636,741,1367,649,768,568,474,349,3299,null,null,855,null,null,544,null,null,573,null,null,1197,null,null,949,null,null,819,null,null,1071,null,null,880,null,null,791,null,null,966,null,null,1144,null,null,725,null,null,741,null,null,649,null,null,568,null,null,349,null,null,18
8528,1334,612,376,151,154,545,456,993,579,699,395,741,544,677,348,344,187,598,375,824,460,981,492,802,425,204,207,170,187,187,219,0,159,1334,null,null,376,null,null,154,null,null,456,null,null,579,null,null,395,null,null,544,null,null,348,null,null,187,null,null,375,null,null,460,null,null,492,null,null,425,null,null,207,null,null,187,null,null,219,null,null,159,null,null,19
14895,1931,1319,641,376,300,650,375,895,422,1102,499,502,311,1246,649,581,339,1351,638,1834,773,1402,596,1875,832,691,393,504,446,406,393,161,160,1931,null,null,641,null,null,300,null,null,375,null,null,422,null,null,499,null,null,311,null,null,649,null,null,339,null,null,638,null,null,773,null,null,596,null,null,832,null,null,393,null,null,446,null,null,393,null,null,160,null,null,20
6662,1442,863,568,329,381,982,624,548,297,703,478,0,190,673,575,279,416,93,179,685,423,413,268,609,505,110,112,210,209,84,121,81,100,1442,null,null,568,null,null,381,null,null,624,null,null,297,null,null,478,null,null,190,null,null,575,null,null,416,null,null,179,null,null,423,null,null,268,null,null,505,null,null,112,null,null,209,null,null,121,null,null,100,null,null,21
14244,1956,764,609,990,583,1331,739,1468,805,839,606,550,394,1959,1076,431,289,544,405,1647,699,2052,857,958,599,330,284,0,208,122,107,259,267,1956,null,null,609,null,null,583,null,null,739,null,null,805,null,null,606,null,null,394,null,null,1076,null,null,289,null,null,405,null,null,699,null,null,857,null,null,599,null,null,284,null,null,208,null,null,107,null,null,267,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
44744,3447,1718,768,1413,835,1194,652,1824,702,1408,587,2330,895,2125,877,3397,1155,2823,1082,5770,1540,5912,1340,6823,1487,3361,971,2017,673,1872,661,757,331,3447,null,null,768,null,null,835,null,null,652,null,null,702,null,null,587,null,null,895,null,null,877,null,null,1155,null,null,1082,null,null,1540,null,null,1340,null,null,1487,null,null,971,null,null,673,null,null,661,null,null,331,null,null,24
65592,4520,5761,1395,4174,999,3824,1220,3879,1102,3770,1200,2918,865,4822,1224,3738,1315,2621,909,5941,1465,5541,1459,8195,1594,4489,1305,2310,1035,2389,878,1220,557,4520,null,null,1395,null,null,999,null,null,1220,null,null,1102,null,null,1200,null,null,865,null,null,1224,null,null,1315,null,null,909,null,null,1465,null,null,1459,null,null,1594,null,null,1305,null,null,1035,null,null,878,null,null,557,null,null,25
