B05003G_001E,B05003G_001M,B05003G_002E,B05003G_002M,B05003G_003E,B05003G_003M,B05003G_004E,B05003G_004M,B05003G_005E,B05003G_005M,B05003G_006E,B05003G_006M,B05003G_007E,B05003G_007M,B05003G_008E,B05003G_008M,B05003G_009E,B05003G_009M,B05003G_010E,B05003G_010M,B05003G_011E,B05003G_011M,B05003G_012E,B05003G_012M,B05003G_013E,B05003G_013M,B05003G_014E,B05003G_014M,B05003G_015E,B05003G_015M,B05003G_016E,B05003G_016M,B05003G_017E,B05003G_017M,B05003G_018E,B05003G_018M,B05003G_019E,B05003G_019M,B05003G_020E,B05003G_020M,B05003G_021E,B05003G_021M,B05003G_022E,B05003G_022M,B05003G_023E,B05003G_023M,B05003G_001M,B05003G_001EA,B05003G_001MA,B05003G_002M,B05003G_002EA,B05003G_002MA,B05003G_003M,B05003G_003EA,B05003G_003MA,B05003G_004M,B05003G_004EA,B05003G_004MA,B05003G_005M,B05003G_005EA,B05003G_005MA,B05003G_006M,B05003G_006EA,B05003G_006MA,B05003G_007M,B05003G_007EA,B05003G_007MA,B05003G_008M,B05003G_008EA,B05003G_008MA,B05003G_009M,B05003G_009EA,B05003G_009MA,B05003G_010M,B05003G_010EA,B05003G_010MA,B05003G_011M,B05003G_011EA,B05003G_011MA,B05003G_012M,B05003G_012EA,B05003G_012MA,B05003G_013M,B05003G_013EA,B05003G_013MA,B05003G_014M,B05003G_014EA,B05003G_014MA,B05003G_015M,B05003G_015EA,B05003G_015MA,B05003G_016M,B05003G_016EA,B05003G_016MA,B05003G_017M,B05003G_017EA,B05003G_017MA,B05003G_018M,B05003G_018EA,B05003G_018MA,B05003G_019M,B05003G_019EA,B05003G_019MA,B05003G_020M,B05003G_020EA,B05003G_020MA,B05003G_021M,B05003G_021EA,B05003G_021MA,B05003G_022M,B05003G_022EA,B05003G_022MA,B05003G_023M,B05003G_023EA,B05003G_023MA,state
532751,22197,277038,12150,129981,8711,125444,8154,4537,1766,1028,733,3509,1620,147057,7367,104094,5804,42963,4620,23044,3327,19919,2779,255713,13095,111647,8356,109539,8241,2108,890,1269,790,839,476,144066,8486,102234,6294,41832,4020,26348,3300,15484,2431,22197,null,null,12150,null,null,8711,null,null,8154,null,null,1766,null,null,733,null,null,1620,null,null,7367,null,null,5804,null,null,4620,null,null,3327,null,null,2779,null,null,13095,null,null,8356,null,null,8241,null,null,890,null,null,790,null,null,476,null,null,8486,null,null,6294,null,null,4020,null,null,3300,null,null,2431,null,null,12
258456,13861,126934,8027,67130,5933,65873,5938,1257,745,236,270,1021,684,59804,4758,47759,3893,12045,2316,5393,1314,6652,1683,131522,8391,63537,5252,62522,5151,1015,625,312,331,703,507,67985,5064,55398,4031,12587,2544,7221,1974,5366,1552,13861,null,null,8027,null,null,5933,null,null,5938,null,null,745,null,null,270,null,null,684,null,null,4758,null,null,3893,null,null,2316,null,null,1314,null,null,1683,null,null,8391,null,null,5252,null,null,5151,null,null,625,null,null,331,null,null,507,null,null,5064,null,null,4031,null,null,2544,null,null,1974,null,null,1552,null,null,13
341679,13209,175157,8681,64735,4182,64524,4232,211,253,11,19,200,253,110422,6035,107983,5889,2439,607,1853,557,586,302,166522,6123,60480,3407,60264,3426,216,187,46,77,170,166,106042,4609,103059,4513,2983,737,1812,613,1171,518,13209,null,null,8681,null,null,4182,null,null,4232,null,null,253,null,null,19,null,null,253,null,null,6035,null,null,5889,null,null,607,null,null,557,null,null,302,null,null,6123,null,null,3407,null,null,3426,null,null,187,null,null,77,null,null,166,null,null,4609,null,null,4513,null,null,737,null,null,613,null,null,518,null,null,15
42070,3150,20385,2240,9067,1642,8977,1622,90,115,0,198,90,115,11318,1779,10022,1774,1296,771,618,534,678,538,21685,2209,9473,1763,9378,1767,95,163,95,163,0,198,12212,1479,10628,1378,1584,742,809,452,775,552,3150,null,null,2240,null,null,1642,null,null,1622,null,null,115,null,null,198,null,null,115,null,null,1779,null,null,1774,null,null,771,null,null,534,null,null,538,null,null,2209,null,null,1763,null,null,1767,null,null,163,null,null,163,null,null,198,null,null,1479,null,null,1378,null,null,742,null,null,452,null,null,552,null,null,16
321411,13961,158970,8144,79472,5325,78139,5275,1333,742,585,380,748,639,79498,5048,64906,4585,14592,1871,7225,1217,7367,1475,162441,7634,77775,5541,76248,5376,1527,902,470,432,1057,797,84666,4638,69374,4163,15292,2076,8215,1374,7077,1426,13961,null,null,8144,null,null,5325,null,null,5275,null,null,742,null,null,380,null,null,639,null,null,5048,null,null,4585,null,null,1871,null,null,1217,null,null,1475,null,null,7634,null,null,5541,null,null,5376,null,null,902,null,null,432,null,null,797,null,null,4638,null,null,4163,null,null,2076,null,null,1374,null,null,1426,null,null,17
158643,8640,75269,4356,43342,3311,42851,3328,491,295,281,268,210,171,31927,3230,29012,3216,2915,779,1405,620,1510,562,83374,6283,43021,4367,42457,4370,564,423,78,121,486,406,40353,3632,37866,3519,2487,714,1042,422,1445,681,8640,null,null,4356,null,null,3311,null,null,3328,null,null,295,null,null,268,null,null,171,null,null,3230,null,null,3216,null,null,779,null,null,620,null,null,562,null,null,6283,null,null,4367,null,null,4370,null,null,423,null,null,121,null,null,406,null,null,3632,null,null,3519,null,null,714,null,null,422,null,null,681,null,null,18
57293,3933,26803,2756,16106,1994,16024,1948,82,138,0,159,82,138,10697,1583,9929,1459,768,438,300,246,468,343,30490,2756,16065,1800,16065,1800,0,159,0,159,0,159,14425,2149,13738,2209,687,337,379,242,308,237,3933,null,null,2756,null,null,1994,null,null,1948,null,null,138,null,null,159,null,null,138,null,null,1583,null,null,1459,null,null,438,null,null,246,null,null,343,null,null,2756,null,null,1800,null,null,1800,null,null,159,null,null,159,null,null,159,null,null,2149,null,null,2209,null,null,337,null,null,242,null,null,237,null,null,19
103366,5640,51238,3456,27637,2665,27442,2674,195,216,0,174,195,216,23601,2705,22273,2562,1328,701,705,382,623,509,52128,3710,26093,2786,25812,2805,281,250,121,146,160,205,26035,2446,24268,2434,1767,705,964,469,803,526,5640,null,null,3456,null,null,2665,null,null,2674,null,null,216,null,null,174,null,null,216,null,null,2705,null,null,2562,null,null,701,null,null,382,null,null,509,null,null,3710,null,null,2786,null,null,2805,null,null,250,null,null,146,null,null,205,null,null,2446,null,null,2434,null,null,705,null,null,469,null,null,526,null,null,20
92135,6909,45689,4669,25974,3261,25577,3163,397,401,115,170,282,356,19715,2612,17958,2399,1757,695,957,509,800,489,46446,3905,24722,2358,24616,2361,106,132,20,35,86,124,21724,2678,20273,2590,1451,564,1019,484,432,292,6909,null,null,4669,null,null,3261,null,null,3163,null,null,401,null,null,170,null,null,356,null,null,2612,null,null,2399,null,null,695,null,null,509,null,null,489,null,null,3905,null,null,2358,null,null,2361,null,null,132,null,null,35,null,null,124,null,null,2678,null,null,2590,null,null,564,null,null,484,null,null,292,null,null,21
92749,8594,45698,4178,24249,3312,24249,3312,0,208,0,208,0,208,21449,2814,19560,2688,1889,738,1236,582,653,376,47051,5701,21481,3416,21265,3423,216,224,158,215,58,100,25570,3598,23971,3505,1599,575,1247,540,352,229,8594,null,null,4178,null,null,3312,null,null,3312,null,null,208,null,null,208,null,null,208,null,null,2814,null,null,2688,null,null,738,null,null,582,null,null,376,null,null,5701,null,null,3416,null,null,3423,null,null,224,null,null,215,null,null,100,null,null,3598,null,null,3505,null,null,575,null,null,540,null,null,229,null,null,22
