B24081_001E,B24081_001M,B24081_002E,B24081_002M,B24081_003E,B24081_003M,B24081_004E,B24081_004M,B24081_005E,B24081_005M,B24081_006E,B24081_006M,B24081_007E,B24081_007M,B24081_008E,B24081_008M,B24081_009E,B24081_009M,B24081_001M,B24081_001EA,B24081_001MA,B24081_002M,B24081_002EA,B24081_002MA,B24081_003M,B24081_003EA,B24081_003MA,B24081_004M,B24081_004EA,B24081_004MA,B24081_005M,B24081_005EA,B24081_005MA,B24081_006M,B24081_006EA,B24081_006MA,B24081_007M,B24081_007EA,B24081_007MA,B24081_008M,B24081_008EA,B24081_008MA,B24081_009M,B24081_009EA,B24081_009MA,state
31040,135,30296,159,29603,384,41974,553,35363,660,40879,372,39648,1122,57034,1457,20283,469,135,null,null,159,null,null,384,null,null,553,null,null,660,null,null,372,null,null,1122,null,null,1457,null,null,469,null,null,12
32851,666,31945,207,31542,219,50309,1094,36929,977,38119,1190,37400,1539,59986,1686,21903,690,666,null,null,207,null,null,219,null,null,1094,null,null,977,null,null,1190,null,null,1539,null,null,1686,null,null,690,null,null,13
37057,540,33607,977,32481,685,51803,5086,41883,936,50059,1999,45903,1516,60805,3353,26844,3020,540,null,null,977,null,null,685,null,null,5086,null,null,936,null,null,1999,null,null,1516,null,null,3353,null,null,3020,null,null,15
30655,397,28880,1039,27965,989,41856,3703,34152,3717,36936,2026,34523,3403,61262,2983,25461,2719,397,null,null,1039,null,null,989,null,null,3703,null,null,3717,null,null,2026,null,null,3403,null,null,2983,null,null,2719,null,null,16
37203,189,36264,229,35848,242,50874,778,39363,1283,48725,1469,47779,1465,59275,1628,23529,1151,189,null,null,229,null,null,242,null,null,778,null,null,1283,null,null,1469,null,null,1465,null,null,1628,null,null,1151,null,null,17
32902,572,32422,286,32204,214,44945,5832,32500,1209,36756,841,39220,2302,60600,1424,22338,997,572,null,null,286,null,null,214,null,null,5832,null,null,1209,null,null,841,null,null,2302,null,null,1424,null,null,997,null,null,18
35207,341,34104,892,33431,875,43485,5161,32481,1510,40876,851,47084,1587,54561,6078,26257,1117,341,null,null,892,null,null,875,null,null,5161,null,null,1510,null,null,851,null,null,1587,null,null,6078,null,null,1117,null,null,19
33583,1089,32252,380,31972,340,47856,4621,34600,2610,36534,1039,40479,933,52065,2704,25755,1408,1089,null,null,380,null,null,340,null,null,4621,null,null,2610,null,null,1039,null,null,933,null,null,2704,null,null,1408,null,null,20
31965,242,31471,273,31170,276,49446,3735,34907,2043,33627,2355,36901,830,52961,2587,22148,1385,242,null,null,273,null,null,276,null,null,3735,null,null,2043,null,null,2355,null,null,830,null,null,2587,null,null,1385,null,null,21
31831,286,31243,337,30832,337,50426,2550,34960,2154,35073,1947,39589,2547,51325,2700,22349,2323,286,null,null,337,null,null,337,null,null,2550,null,null,2154,null,null,1947,null,null,2547,null,null,2700,null,null,2323,null,null,22
32882,1310,31759,492,31376,505,46693,8393,36178,1695,40708,1460,42456,2923,57009,7404,23568,2536,1310,null,null,492,null,null,505,null,null,8393,null,null,1695,null,null,1460,null,null,2923,null,null,7404,null,null,2536,null,null,23
45086,451,39725,706,38730,738,52850,3297,48278,1903,51865,789,50204,1920,90959,1048,27149,1168,451,null,null,706,null,null,738,null,null,3297,null,null,1903,null,null,789,null,null,1920,null,null,1048,null,null,1168,null,null,24
