B27001D_001E,B27001D_001M,B27001D_002E,B27001D_002M,B27001D_003E,B27001D_003M,B27001D_004E,B27001D_004M,B27001D_005E,B27001D_005M,B27001D_006E,B27001D_006M,B27001D_007E,B27001D_007M,B27001D_008E,B27001D_008M,B27001D_009E,B27001D_009M,B27001D_010E,B27001D_010M,B27001D_011E,B27001D_011M,B27001D_012E,B27001D_012M,B27001D_013E,B27001D_013M,B27001D_014E,B27001D_014M,B27001D_015E,B27001D_015M,B27001D_016E,B27001D_016M,B27001D_017E,B27001D_017M,B27001D_018E,B27001D_018M,B27001D_019E,B27001D_019M,B27001D_020E,B27001D_020M,B27001D_021E,B27001D_021M,B27001D_022E,B27001D_022M,B27001D_023E,B27001D_023M,B27001D_024E,B27001D_024M,B27001D_025E,B27001D_025M,B27001D_026E,B27001D_026M,B27001D_027E,B27001D_027M,B27001D_028E,B27001D_028M,B27001D_001M,B27001D_001EA,B27001D_001MA,B27001D_002M,B27001D_002EA,B27001D_002MA,B27001D_003M,B27001D_003EA,B27001D_003MA,B27001D_004M,B27001D_004EA,B27001D_004MA,B27001D_005M,B27001D_005EA,B27001D_005MA,B27001D_006M,B27001D_006EA,B27001D_006MA,B27001D_007M,B27001D_007EA,B27001D_007MA,B27001D_008M,B27001D_008EA,B27001D_008MA,B27001D_009M,B27001D_009EA,B27001D_009MA,B27001D_010M,B27001D_010EA,B27001D_010MA,B27001D_011M,B27001D_011EA,B27001D_011MA,B27001D_012M,B27001D_012EA,B27001D_012MA,B27001D_013M,B27001D_013EA,B27001D_013MA,B27001D_014M,B27001D_014EA,B27001D_014MA,B27001D_015M,B27001D_015EA,B27001D_015MA,B27001D_016M,B27001D_016EA,B27001D_016MA,B27001D_017M,B27001D_017EA,B27001D_017MA,B27001D_018M,B27001D_018EA,B27001D_018MA,B27001D_019M,B27001D_019EA,B27001D_019MA,B27001D_020M,B27001D_020EA,B27001D_020MA,B27001D_021M,B27001D_021EA,B27001D_021MA,B27001D_022M,B27001D_022EA,B27001D_022MA,B27001D_023M,B27001D_023EA,B27001D_023MA,B27001D_024M,B27001D_024EA,B27001D_024MA,B27001D_025M,B27001D_025EA,B27001D_025MA,B27001D_026M,B27001D_026EA,B27001D_026MA,B27001D_027M,B27001D_027EA,B27001D_027MA,B27001D_028M,B27001D_028EA,B27001D_028MA,state
556841,7608,34014,2470,32372,2542,1642,714,73984,3506,68027,3841,5957,1764,48343,2450,42483,2782,5860,1578,87767,3767,72205,4683,15562,3154,90042,3767,78748,3931,11294,2433,81102,2693,69951,2580,11151,1883,68864,2460,57773,2816,11091,2579,48611,2640,44815,2692,3796,1571,24114,1801,23615,1834,499,350,7608,null,null,2470,null,null,2542,null,null,714,null,null,3506,null,null,3841,null,null,1764,null,null,2450,null,null,2782,null,null,1578,null,null,3767,null,null,4683,null,null,3154,null,null,3767,null,null,3931,null,null,2433,null,null,2693,null,null,2580,null,null,1883,null,null,2460,null,null,2816,null,null,2579,null,null,2640,null,null,2692,null,null,1571,null,null,1801,null,null,1834,null,null,350,null,null,12
396879,6554,28231,2672,26581,2460,1650,790,59895,2829,55094,3217,4801,1486,38970,2156,33060,2454,5910,1651,67654,2307,57438,2416,10216,1762,73408,2450,64428,2845,8980,2167,56133,2387,50484,2456,5649,1327,39125,2119,32596,2404,6529,1592,21620,2091,20654,2060,966,539,11843,1574,11329,1446,514,469,6554,null,null,2672,null,null,2460,null,null,790,null,null,2829,null,null,3217,null,null,1486,null,null,2156,null,null,2454,null,null,1651,null,null,2307,null,null,2416,null,null,1762,null,null,2450,null,null,2845,null,null,2167,null,null,2387,null,null,2456,null,null,1327,null,null,2119,null,null,2404,null,null,1592,null,null,2091,null,null,2060,null,null,539,null,null,1574,null,null,1446,null,null,469,null,null,13
536582,10608,22912,2441,22796,2439,116,160,55405,4393,53946,4362,1459,934,38019,2647,35606,2630,2413,918,58224,3108,56226,3085,1998,745,68751,2647,65610,2674,3141,980,76088,2693,73559,2584,2529,858,86069,1513,82295,1779,3774,1154,66725,1372,66531,1391,194,154,64389,1193,64162,1207,227,294,10608,null,null,2441,null,null,2439,null,null,160,null,null,4393,null,null,4362,null,null,934,null,null,2647,null,null,2630,null,null,918,null,null,3108,null,null,3085,null,null,745,null,null,2647,null,null,2674,null,null,980,null,null,2693,null,null,2584,null,null,858,null,null,1513,null,null,1779,null,null,1154,null,null,1372,null,null,1391,null,null,154,null,null,1193,null,null,1207,null,null,294,null,null,15
24085,2248,1602,753,1602,753,0,198,4075,1106,3668,1062,407,352,2998,1092,2890,1103,108,178,4008,890,2979,746,1029,588,3606,980,3338,909,268,388,2889,856,2552,776,337,260,2078,665,1784,664,294,256,2384,711,2132,720,252,367,445,320,327,258,118,189,2248,null,null,753,null,null,753,null,null,198,null,null,1106,null,null,1062,null,null,352,null,null,1092,null,null,1103,null,null,178,null,null,890,null,null,746,null,null,588,null,null,980,null,null,909,null,null,388,null,null,856,null,null,776,null,null,260,null,null,665,null,null,664,null,null,256,null,null,711,null,null,720,null,null,367,null,null,320,null,null,258,null,null,189,null,null,16
682816,5844,46037,2319,45268,2333,769,371,96469,2902,92740,2885,3729,1218,63632,2320,58507,2558,5125,1189,121016,2616,110562,2851,10454,1763,114595,2295,106006,2491,8589,1626,91153,2264,84299,2713,6854,1499,71269,1250,64915,1734,6354,1457,49582,1261,46609,1760,2973,1110,29063,1682,28643,1679,420,272,5844,null,null,2319,null,null,2333,null,null,371,null,null,2902,null,null,2885,null,null,1218,null,null,2320,null,null,2558,null,null,1189,null,null,2616,null,null,2851,null,null,1763,null,null,2295,null,null,2491,null,null,1626,null,null,2264,null,null,2713,null,null,1499,null,null,1250,null,null,1734,null,null,1457,null,null,1261,null,null,1760,null,null,1110,null,null,1682,null,null,1679,null,null,272,null,null,17
140980,4565,11972,1735,11488,1655,484,354,19652,2280,18579,2207,1073,715,25870,1431,23991,1518,1879,577,26755,2751,24455,2801,2300,930,21386,2373,19418,2036,1968,1048,15238,1990,13090,1770,2148,888,11038,1470,9832,1330,1206,716,6657,1494,6441,1440,216,250,2412,780,2412,780,0,192,4565,null,null,1735,null,null,1655,null,null,354,null,null,2280,null,null,2207,null,null,715,null,null,1431,null,null,1518,null,null,577,null,null,2751,null,null,2801,null,null,930,null,null,2373,null,null,2036,null,null,1048,null,null,1990,null,null,1770,null,null,888,null,null,1470,null,null,1330,null,null,716,null,null,1494,null,null,1440,null,null,250,null,null,780,null,null,780,null,null,192,null,null,18
74653,2569,6152,1019,5849,978,303,396,11532,1492,11214,1563,318,364,12551,1703,11486,1564,1065,597,15636,2435,14974,2472,662,423,12916,1790,11873,1708,1043,715,7212,1119,7022,1113,190,187,4977,901,4567,910,410,277,2345,671,2250,644,95,126,1332,558,1332,558,0,159,2569,null,null,1019,null,null,978,null,null,396,null,null,1492,null,null,1563,null,null,364,null,null,1703,null,null,1564,null,null,597,null,null,2435,null,null,2472,null,null,423,null,null,1790,null,null,1708,null,null,715,null,null,1119,null,null,1113,null,null,187,null,null,901,null,null,910,null,null,277,null,null,671,null,null,644,null,null,126,null,null,558,null,null,558,null,null,159,null,null,19
79067,3474,5573,899,5484,882,89,118,10972,1554,10587,1555,385,237,12072,1673,9411,1762,2661,1262,13616,1579,12281,1780,1335,547,13774,1701,12991,1646,783,513,9664,1179,8823,1159,841,475,7967,957,6760,873,1207,836,3883,663,3574,565,309,327,1546,559,1460,518,86,135,3474,null,null,899,null,null,882,null,null,118,null,null,1554,null,null,1555,null,null,237,null,null,1673,null,null,1762,null,null,1262,null,null,1579,null,null,1780,null,null,547,null,null,1701,null,null,1646,null,null,513,null,null,1179,null,null,1159,null,null,475,null,null,957,null,null,873,null,null,836,null,null,663,null,null,565,null,null,327,null,null,559,null,null,518,null,null,135,null,null,20
60885,2897,4957,1008,4957,1008,0,190,9912,1451,9680,1384,232,245,6423,1265,5960,1302,463,369,12379,1710,9665,1257,2714,1194,11012,1189,10708,1200,304,259,7507,1040,6811,914,696,477,4853,1028,4632,1019,221,181,2688,739,2533,704,155,188,1154,462,1071,438,83,123,2897,null,null,1008,null,null,1008,null,null,190,null,null,1451,null,null,1384,null,null,245,null,null,1265,null,null,1302,null,null,369,null,null,1710,null,null,1257,null,null,1194,null,null,1189,null,null,1200,null,null,259,null,null,1040,null,null,914,null,null,477,null,null,1028,null,null,1019,null,null,181,null,null,739,null,null,704,null,null,188,null,null,462,null,null,438,null,null,123,null,null,21
77338,2494,5421,888,5267,897,154,174,10524,1082,10116,1102,408,315,8224,1948,6977,1370,1247,1129,14490,1987,11851,1941,2639,967,11620,1449,9518,1458,2102,896,10702,1682,8899,1470,1803,687,8816,956,7895,862,921,423,5054,1214,5019,1206,35,57,2487,788,2336,769,151,160,2494,null,null,888,null,null,897,null,null,174,null,null,1082,null,null,1102,null,null,315,null,null,1948,null,null,1370,null,null,1129,null,null,1987,null,null,1941,null,null,967,null,null,1449,null,null,1458,null,null,896,null,null,1682,null,null,1470,null,null,687,null,null,956,null,null,862,null,null,423,null,null,1214,null,null,1206,null,null,57,null,null,788,null,null,769,null,null,160,null,null,22
17295,1497,685,450,685,450,0,172,2814,712,2679,694,135,162,1542,445,1455,434,87,84,3733,1163,3432,1174,301,234,3341,931,3263,925,78,107,2411,687,2234,649,177,222,1341,537,1314,537,27,42,976,472,976,472,0,172,452,342,452,342,0,172,1497,null,null,450,null,null,450,null,null,172,null,null,712,null,null,694,null,null,162,null,null,445,null,null,434,null,null,84,null,null,1163,null,null,1174,null,null,234,null,null,931,null,null,925,null,null,107,null,null,687,null,null,649,null,null,222,null,null,537,null,null,537,null,null,42,null,null,472,null,null,472,null,null,172,null,null,342,null,null,342,null,null,172,null,null,23
