C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,C01001D_001M,C01001D_001EA,C01001D_001MA,C01001D_002M,C01001D_002EA,C01001D_002MA,C01001D_003M,C01001D_003EA,C01001D_003MA,C01001D_004M,C01001D_004EA,C01001D_004MA,C01001D_005M,C01001D_005EA,C01001D_005MA,C01001D_006M,C01001D_006EA,C01001D_006MA,C01001D_007M,C01001D_007EA,C01001D_007MA,C01001D_008M,C01001D_008EA,C01001D_008MA,C01001D_009M,C01001D_009EA,C01001D_009MA,state
559393,7440,249509,4858,52596,3144,167192,3652,29721,1398,309884,5112,55402,3120,211099,3189,43383,1884,7440,null,null,4858,null,null,3144,null,null,3652,null,null,1398,null,null,5112,null,null,3120,null,null,3189,null,null,1884,null,null,12
398897,6597,191940,4754,44339,3210,132256,2989,15345,1435,206957,4447,43787,2359,145028,2936,18142,1608,6597,null,null,4754,null,null,3210,null,null,2989,null,null,1435,null,null,4447,null,null,2359,null,null,2936,null,null,1608,null,null,13
543448,10631,251958,6804,40254,3251,155971,4363,55733,1301,291490,5138,38063,3079,175191,3776,78236,1202,10631,null,null,6804,null,null,3251,null,null,4363,null,null,1301,null,null,5138,null,null,3079,null,null,3776,null,null,1202,null,null,15
24406,2239,9900,1463,2453,873,6253,1115,1194,528,14506,1529,3224,968,9640,1252,1642,541,2239,null,null,1463,null,null,873,null,null,1115,null,null,528,null,null,1529,null,null,968,null,null,1252,null,null,541,null,null,16
684783,5820,330806,3522,73410,2386,221922,2667,35474,777,353977,3805,69096,2420,240663,3027,44218,1908,5820,null,null,3522,null,null,2386,null,null,2667,null,null,777,null,null,3805,null,null,2420,null,null,3027,null,null,1908,null,null,17
141451,4471,69647,2348,15312,1504,50958,1674,3377,755,71804,3203,16312,1692,49757,2208,5735,1106,4471,null,null,2348,null,null,1504,null,null,1674,null,null,755,null,null,3203,null,null,1692,null,null,2208,null,null,1106,null,null,18
74805,2572,36382,1612,8929,1251,25912,1186,1541,580,38423,1997,8755,1118,27380,1433,2288,622,2572,null,null,1612,null,null,1251,null,null,1186,null,null,580,null,null,1997,null,null,1118,null,null,1433,null,null,622,null,null,19
79741,3466,38742,2141,8337,1106,28263,1663,2142,383,40999,2234,8208,1282,29377,1833,3414,427,3466,null,null,2141,null,null,1106,null,null,1663,null,null,383,null,null,2234,null,null,1282,null,null,1833,null,null,427,null,null,20
61311,2866,28272,1808,8338,1158,18606,1433,1328,496,33039,1777,6531,900,23994,1714,2514,609,2866,null,null,1808,null,null,1158,null,null,1433,null,null,496,null,null,1777,null,null,900,null,null,1714,null,null,609,null,null,21
77921,2506,37668,1846,6771,1417,27272,1512,3625,744,40253,2165,9174,1437,27163,1621,3916,641,2506,null,null,1846,null,null,1417,null,null,1512,null,null,744,null,null,2165,null,null,1437,null,null,1621,null,null,641,null,null,22
17499,1510,7053,1064,1743,701,4821,852,489,298,10446,1180,1756,613,7751,1079,939,499,1510,null,null,1064,null,null,701,null,null,852,null,null,298,null,null,1180,null,null,613,null,null,1079,null,null,499,null,null,23
376518,4946,180705,3617,40509,2331,119226,2142,20970,843,195813,2858,34900,1789,136005,1966,24908,896,4946,null,null,3617,null,null,2331,null,null,2142,null,null,843,null,null,2858,null,null,1789,null,null,1966,null,null,896,null,null,24
440845,5571,212224,3136,48481,1782,146162,2512,17581,618,228621,3388,44567,1756,163083,2523,20971,863,5571,null,null,3136,null,null,1782,null,null,2512,null,null,618,null,null,3388,null,null,1756,null,null,2523,null,null,863,null,null,25
292514,4773,142932,2588,30269,1428,101329,1868,11334,610,149582,3275,32442,1770,103241,2052,13899,894,4773,null,null,2588,null,null,1428,null,null,1868,null,null,610,null,null,3275,null,null,1770,null,null,2052,null,null,894,null,null,26
258899,4686,127119,2872,38102,1679,82856,1718,6161,713,131780,3292,35212,1892,88410,2200,8158,574,4686,null,null,2872,null,null,1679,null,null,1718,null,null,713,null,null,3292,null,null,1892,null,null,2200,null,null,574,null,null,27
26708,2267,10347,1490,2329,515,7436,1458,582,379,16361,1880,3995,926,10966,1464,1400,656,2267,null,null,1490,null,null,515,null,null,1458,null,null,379,null,null,1880,null,null,926,null,null,1464,null,null,656,null,null,28
117335,3722,54953,2801,12742,1638,38905,1785,3306,553,62382,2376,12161,1524,44813,1636,5408,903,3722,null,null,2801,null,null,1638,null,null,1785,null,null,553,null,null,2376,null,null,1524,null,null,1636,null,null,903,null,null,29
8432,1383,2693,808,964,547,1714,581,15,27,5739,1253,550,275,4821,1170,368,304,1383,null,null,808,null,null,547,null,null,581,null,null,27,null,null,1253,null,null,275,null,null,1170,null,null,304,null,null,30
41548,3337,19481,1496,4921,816,13453,1117,1107,270,22067,2235,6111,1512,14375,1342,1581,406,3337,null,null,1496,null,null,816,null,null,1117,null,null,270,null,null,2235,null,null,1512,null,null,1342,null,null,406,null,null,31
244373,5223,109193,2749,20746,2033,72910,1597,15537,519,135180,3634,19950,1745,90722,2191,24508,1032,5223,null,null,2749,null,null,2033,null,null,1597,null,null,519,null,null,3634,null,null,1745,null,null,2191,null,null,1032,null,null,32
32679,2286,15307,1491,3238,836,11018,1092,1051,531,17372,1565,4368,914,11773,1111,1231,495,2286,null,null,1491,null,null,836,null,null,1092,null,null,531,null,null,1565,null,null,914,null,null,1111,null,null,495,null,null,33
854181,6311,416212,3534,94742,2110,279569,2001,41901,926,437969,3554,90801,2154,297067,2204,50101,758,6311,null,null,3534,null,null,2110,null,null,2001,null,null,926,null,null,3554,null,null,2154,null,null,2204,null,null,758,null,null,34
32346,2297,14479,1583,2808,671,10370,1313,1301,435,17867,1397,3582,959,12013,938,2272,434,2297,null,null,1583,null,null,671,null,null,1313,null,null,435,null,null,1397,null,null,959,null,null,938,null,null,434,null,null,35
1668036,11780,794533,5970,161961,2829,543048,4471,89524,1156,873503,7142,153354,3512,615161,4706,104988,1337,11780,null,null,5970,null,null,2829,null,null,4471,null,null,1156,null,null,7142,null,null,3512,null,null,4706,null,null,1337,null,null,36
275428,4413,133559,2957,34682,1595,89843,2210,9034,808,141869,2912,31812,1708,99362,2328,10695,939,4413,null,null,2957,null,null,1595,null,null,2210,null,null,808,null,null,2912,null,null,1708,null,null,2328,null,null,939,null,null,37
9200,1807,4447,1001,796,548,3590,676,61,75,4753,1104,574,396,3866,877,313,253,1807,null,null,1001,null,null,548,null,null,676,null,null,75,null,null,1104,null,null,396,null,null,877,null,null,253,null,null,38
239025,3799,117018,3043,26727,1774,82132,2386,8159,920,122007,2586,23693,1801,86911,2034,11403,989,3799,null,null,3043,null,null,1774,null,null,2386,null,null,920,null,null,2586,null,null,1801,null,null,2034,null,null,989,null,null,39
79246,2991,36102,2006,8755,964,24654,1401,2693,604,43144,1717,9136,1216,30386,1375,3622,544,2991,null,null,2006,null,null,964,null,null,1401,null,null,604,null,null,1717,null,null,1216,null,null,1375,null,null,544,null,null,40
169459,4996,77467,3178,15049,1833,54937,2380,7481,736,91992,3015,15259,1837,65606,2242,11127,965,4996,null,null,3178,null,null,1833,null,null,2380,null,null,736,null,null,3015,null,null,1837,null,null,2242,null,null,965,null,null,41
423180,5309,202208,3617,46293,2094,138601,2270,17314,1096,220972,3518,44679,2356,154940,2235,21353,965,5309,null,null,3617,null,null,2094,null,null,2270,null,null,1096,null,null,3518,null,null,2356,null,null,2235,null,null,965,null,null,42
36875,2185,17099,1426,3232,972,12707,975,1160,154,19776,1611,4690,1039,13792,1141,1294,255,2185,null,null,1426,null,null,972,null,null,975,null,null,154,null,null,1611,null,null,1039,null,null,1141,null,null,255,null,null,44
