B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,B20017A_001M,B20017A_001EA,B20017A_001MA,B20017A_002M,B20017A_002EA,B20017A_002MA,B20017A_003M,B20017A_003EA,B20017A_003MA,B20017A_004M,B20017A_004EA,B20017A_004MA,B20017A_005M,B20017A_005EA,B20017A_005MA,B20017A_006M,B20017A_006EA,B20017A_006MA,B20017A_007M,B20017A_007EA,B20017A_007MA,state
30915,153,35178,295,44458,855,12186,184,26651,217,37418,318,11574,139,153,null,null,295,null,null,855,null,null,184,null,null,217,null,null,318,null,null,139,null,null,12
34521,875,40835,389,51094,300,11317,376,27972,813,41216,443,10095,274,875,null,null,389,null,null,300,null,null,376,null,null,813,null,null,443,null,null,274,null,null,13
40786,1042,46198,1994,60236,2896,16587,2017,32641,3770,48215,2691,14665,1511,1042,null,null,1994,null,null,2896,null,null,2017,null,null,3770,null,null,2691,null,null,1511,null,null,15
27718,918,35179,1241,46600,1130,9935,694,21435,530,35392,840,10020,503,918,null,null,1241,null,null,1130,null,null,694,null,null,530,null,null,840,null,null,503,null,null,16
36910,212,45662,432,58744,1426,12198,243,30332,210,44095,821,11436,162,212,null,null,432,null,null,1426,null,null,243,null,null,210,null,null,821,null,null,162,null,null,17
31824,168,40252,256,50555,275,10807,292,25714,270,37062,324,10309,204,168,null,null,256,null,null,275,null,null,292,null,null,270,null,null,324,null,null,204,null,null,18
32368,338,40064,417,50285,336,9922,512,26848,420,38833,823,10134,318,338,null,null,417,null,null,336,null,null,512,null,null,420,null,null,823,null,null,318,null,null,19
31809,245,39261,1114,49687,850,10519,451,26117,386,37806,853,9984,457,245,null,null,1114,null,null,850,null,null,451,null,null,386,null,null,853,null,null,457,null,null,20
30836,228,36556,394,46738,557,10674,358,25149,410,36959,532,9527,260,228,null,null,394,null,null,557,null,null,358,null,null,410,null,null,532,null,null,260,null,null,21
35544,431,45388,879,54778,1642,13599,1236,26783,529,38761,1176,10285,302,431,null,null,879,null,null,1642,null,null,1236,null,null,529,null,null,1176,null,null,302,null,null,22
30921,404,36226,742,48119,1531,10953,549,26379,525,40445,587,11392,450,404,null,null,742,null,null,1531,null,null,549,null,null,525,null,null,587,null,null,450,null,null,23
45739,426,53489,1545,69748,1490,12187,461,37355,769,53908,1275,12188,267,426,null,null,1545,null,null,1490,null,null,461,null,null,769,null,null,1275,null,null,267,null,null,24
42187,263,50969,282,66971,778,13324,733,35945,414,53652,951,13591,443,263,null,null,282,null,null,778,null,null,733,null,null,414,null,null,951,null,null,443,null,null,25
31490,144,40037,322,51859,231,10978,189,25315,224,40471,264,10678,160,144,null,null,322,null,null,231,null,null,189,null,null,224,null,null,264,null,null,160,null,null,26
38007,540,44597,994,55990,530,11994,265,31605,253,45720,429,12430,255,540,null,null,994,null,null,530,null,null,265,null,null,253,null,null,429,null,null,255,null,null,27
32043,460,40171,1004,50172,720,11148,653,25989,761,36576,643,9168,639,460,null,null,1004,null,null,720,null,null,653,null,null,761,null,null,643,null,null,639,null,null,28
31693,180,38073,813,47778,943,10772,255,26220,307,37146,379,9962,296,180,null,null,813,null,null,943,null,null,255,null,null,307,null,null,379,null,null,296,null,null,29
27989,1304,34040,2335,47291,1157,10879,513,22910,857,35027,1322,10925,414,1304,null,null,2335,null,null,1157,null,null,513,null,null,857,null,null,1322,null,null,414,null,null,30
32095,240,40025,679,49084,1094,10107,510,26978,479,37143,477,10254,355,240,null,null,679,null,null,1094,null,null,510,null,null,479,null,null,477,null,null,355,null,null,31
32727,1037,38798,1710,49817,1741,15329,992,29145,1100,39594,1319,12688,721,1037,null,null,1710,null,null,1741,null,null,992,null,null,1100,null,null,1319,null,null,721,null,null,32
36498,488,41821,578,53727,2516,11725,775,31294,479,45204,1465,12528,712,488,null,null,578,null,null,2516,null,null,775,null,null,479,null,null,1465,null,null,712,null,null,33
43162,1039,52105,355,68902,1635,13702,758,35517,438,51767,372,13412,506,1039,null,null,355,null,null,1635,null,null,758,null,null,438,null,null,372,null,null,506,null,null,34
29088,1157,35060,2049,46874,1155,10657,525,23375,1135,36729,1092,10040,448,1157,null,null,2049,null,null,1155,null,null,525,null,null,1135,null,null,1092,null,null,448,null,null,35
40920,179,47638,801,61417,276,12951,397,34525,726,50999,227,12296,141,179,null,null,801,null,null,276,null,null,397,null,null,726,null,null,227,null,null,141,null,null,36
32441,316,38942,813,49857,785,11342,292,27855,506,40339,247,10809,204,316,null,null,813,null,null,785,null,null,292,null,null,506,null,null,247,null,null,204,null,null,37
36133,714,43514,2183,52479,1928,11706,778,28810,1793,39431,1101,12280,748,714,null,null,2183,null,null,1928,null,null,778,null,null,1793,null,null,1101,null,null,748,null,null,38
32484,305,40507,178,51037,174,10684,210,26819,276,40319,232,10513,155,305,null,null,178,null,null,174,null,null,210,null,null,276,null,null,232,null,null,155,null,null,39
31626,215,38324,1054,49008,1098,11380,384,26046,372,35525,377,10037,370,215,null,null,1054,null,null,1098,null,null,384,null,null,372,null,null,377,null,null,370,null,null,40
31551,265,38237,1288,51760,398,12551,568,26358,489,40788,518,11625,277,265,null,null,1288,null,null,398,null,null,568,null,null,489,null,null,518,null,null,277,null,null,41
35311,203,41859,199,52971,751,11061,193,28283,417,41732,202,10271,144,203,null,null,199,null,null,751,null,null,193,null,null,417,null,null,202,null,null,144,null,null,42
36964,786,42400,1793,56782,2251,11829,830,31666,579,46214,1286,12359,768,786,null,null,1793,null,null,2251,null,null,830,null,null,579,null,null,1286,null,null,768,null,null,44
32146,256,39686,1397,49352,1298,11181,414,26908,356,38293,1198,10568,334,256,null,null,1397,null,null,1298,null,null,414,null,null,356,null,null,1198,null,null,334,null,null,45
31982,363,38262,1372,46271,851,11135,678,27028,543,36065,581,10367,569,363,null,null,1372,null,null,851,null,null,678,null,null,543,null,null,581,null,null,569,null,null,46
31090,212,36405,412,46157,613,11390,262,25924,311,36782,357,10264,247,212,null,null,412,null,null,613,null,null,262,null,null,311,null,null,357,null,null,247,null,null,47
32029,123,39409,571,50181,179,12022,180,26069,190,39146,536,10231,154,123,null,null,571,null,null,179,null,null,180,null,null,190,null,null,536,null,null,154,null,null,48
30980,272,40853,435,52468,977,11022,373,21704,401,37373,866,9185,434,272,null,null,435,null,null,977,null,null,373,null,null,401,null,null,866,null,null,434,null,null,49
32319,783,36573,824,47961,1558,10779,633,29872,1113,41266,905,10987,560,783,null,null,824,null,null,1558,null,null,633,null,null,1113,null,null,905,null,null,560,null,null,50
39690,658,46929,574,60605,417,11668,344,31768,349,47264,544,10994,223,658,null,null,574,null,null,417,null,null,344,null,null,349,null,null,544,null,null,223,null,null,51
38222,532,46938,448,60939,385,14273,771,30645,294,46260,598,12726,470,532,null,null,448,null,null,385,null,null,771,null,null,294,null,null,598,null,null,470,null,null,53
28673,1306,35321,915,46667,1011,9994,541,22877,817,33394,1184,9888,524,1306,null,null,915,null,null,1011,null,null,541,null,null,817,null,null,1184,null,null,524,null,null,54
34063,563,41074,240,51153,230,10898,321,27744,600,40411,237,11211,184,563,null,null,240,null,null,230,null,null,321,null,null,600,null,null,237,null,null,184,null,null,55
32021,1024,40340,1516,51422,1023,11682,949,25097,1350,39929,2216,10900,866,1024,null,null,1516,null,null,1023,null,null,949,null,null,1350,null,null,2216,null,null,866,null,null,56
17344,300,17363,416,24309,975,7415,341,17324,395,24082,613,8206,324,300,null,null,416,null,null,975,null,null,341,null,null,395,null,null,613,null,null,324,null,null,72
31708,275,40274,520,50916,462,10676,436,25153,526,36701,515,10101,407,275,null,null,520,null,null,462,null,null,436,null,null,526,null,null,515,null,null,407,null,null,01
42384,1605,50531,983,61676,1817,25340,3259,35094,2790,52125,1548,15779,1091,1605,null,null,983,null,null,1817,null,null,3259,null,null,2790,null,null,1548,null,null,1091,null,null,02
32164,242,37456,878,50222,444,11452,292,27861,926,40425,348,11070,246,242,null,null,878,null,null,444,null,null,292,null,null,926,null,null,348,null,null,246,null,null,04
30183,284,35082,759,43384,2079,11442,478,24759,684,35094,851,10490,326,284,null,null,759,null,null,2079,null,null,478,null,null,684,null,null,851,null,null,326,null,null,05
36042,163,41518,170,56424,433,15012,289,30408,177,47556,536,12448,104,163,null,null,170,null,null,433,null,null,289,null,null,177,null,null,536,null,null,104,null,null,06
36449,248,41884,302,53004,1220,13396,716,30722,288,45463,533,11700,257,248,null,null,302,null,null,1220,null,null,716,null,null,288,null,null,533,null,null,257,null,null,08
43805,1246,52059,520,69002,2301,12567,826,35500,617,53194,1345,12847,765,1246,null,null,520,null,null,2301,null,null,826,null,null,617,null,null,1345,null,null,765,null,null,09
