C17001E_001E,C17001E_001M,C17001E_002E,C17001E_002M,C17001E_003E,C17001E_003M,C17001E_004E,C17001E_004M,C17001E_005E,C17001E_005M,C17001E_006E,C17001E_006M,C17001E_007E,C17001E_007M,C17001E_008E,C17001E_008M,C17001E_009E,C17001E_009M,C17001E_010E,C17001E_010M,C17001E_011E,C17001E_011M,C17001E_012E,C17001E_012M,C17001E_013E,C17001E_013M,C17001E_014E,C17001E_014M,C17001E_015E,C17001E_015M,C17001E_016E,C17001E_016M,C17001E_017E,C17001E_017M,C17001E_018E,C17001E_018M,C17001E_019E,C17001E_019M,C17001E_001M,C17001E_001EA,C17001E_001MA,C17001E_002M,C17001E_002EA,C17001E_002MA,C17001E_003M,C17001E_003EA,C17001E_003MA,C17001E_004M,C17001E_004EA,C17001E_004MA,C17001E_005M,C17001E_005EA,C17001E_005MA,C17001E_006M,C17001E_006EA,C17001E_006MA,C17001E_007M,C17001E_007EA,C17001E_007MA,C17001E_008M,C17001E_008EA,C17001E_008MA,C17001E_009M,C17001E_009EA,C17001E_009MA,C17001E_010M,C17001E_010EA,C17001E_010MA,C17001E_011M,C17001E_011EA,C17001E_011MA,C17001E_012M,C17001E_012EA,C17001E_012MA,C17001E_013M,C17001E_013EA,C17001E_013MA,C17001E_014M,C17001E_014EA,C17001E_014MA,C17001E_015M,C17001E_015EA,C17001E_015MA,C17001E_016M,C17001E_016EA,C17001E_016MA,C17001E_017M,C17001E_017EA,C17001E_017MA,C17001E_018M,C17001E_018EA,C17001E_018MA,C17001E_019M,C17001E_019EA,C17001E_019MA,state
12325,2377,2149,801,1098,650,55,92,838,565,205,249,1051,445,142,233,800,338,109,180,10176,2200,4451,1341,798,446,3297,1196,356,252,5725,1497,1520,650,3258,1045,947,646,2377,null,null,801,null,null,650,null,null,92,null,null,565,null,null,249,null,null,445,null,null,233,null,null,338,null,null,180,null,null,2200,null,null,1341,null,null,446,null,null,1196,null,null,252,null,null,1497,null,null,650,null,null,1045,null,null,646,null,null,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
141512,6763,31912,5100,14002,2641,5694,1700,7519,1418,789,399,17910,3069,5675,1327,10551,1979,1684,754,109600,7955,56974,4775,14331,3023,36192,2565,6451,596,52626,4094,13814,1942,32478,2496,6334,927,6763,null,null,5100,null,null,2641,null,null,1700,null,null,1418,null,null,399,null,null,3069,null,null,1327,null,null,1979,null,null,754,null,null,7955,null,null,4775,null,null,3023,null,null,2565,null,null,596,null,null,4094,null,null,1942,null,null,2496,null,null,927,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3769,1744,1210,844,488,358,59,70,429,304,0,159,722,558,398,342,324,258,0,159,2559,1426,1146,763,589,476,557,449,0,159,1413,767,604,500,649,516,160,155,1744,null,null,844,null,null,358,null,null,70,null,null,304,null,null,159,null,null,558,null,null,342,null,null,258,null,null,159,null,null,1426,null,null,763,null,null,476,null,null,449,null,null,159,null,null,767,null,null,500,null,null,516,null,null,155,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
8505,2062,1721,1207,985,780,365,480,569,464,51,89,736,652,154,230,549,518,33,63,6784,1718,3587,1271,1640,873,1858,748,89,150,3197,769,707,542,2259,913,231,212,2062,null,null,1207,null,null,780,null,null,480,null,null,464,null,null,89,null,null,652,null,null,230,null,null,518,null,null,63,null,null,1718,null,null,1271,null,null,873,null,null,748,null,null,150,null,null,769,null,null,542,null,null,913,null,null,212,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
